é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.169339,0.169339,0.713764,0.756884,0.689890,0.116171,0.435898, 
2,0.000000,0.858759,0.625593,0.289381,0.000000,0.802074,0.429301, 
3,0.739230,0.687713,0.750081,0.796585,0.234109,0.929284,0.689500, 
4,0.797937,0.000000,0.208746,0.797754,0.606080,0.824503,0.539170, 
5,0.433918,0.810974,0.687606,0.632812,0.358067,0.776374,0.616625, 
6,0.758035,0.840633,0.233057,0.772331,0.840600,0.777102,0.703626, 
7,0.818663,0.072382,0.428073,0.983832,0.362397,0.450662,0.519335, 
8,0.964578,0.278188,0.888753,0.823931,0.766006,0.540504,0.710327, 
9,0.847380,0.888303,0.757051,0.860470,0.415512,0.670503,0.739870, 
10,0.663120,0.834313,0.877109,0.908786,0.806910,0.744665,0.805817, 
11,0.548467,0.162627,0.068655,0.605381,0.746784,0.651707,0.463937, 
12,0.847246,0.940922,0.910160,0.731071,0.860218,0.366638,0.776042, 
13,0.719296,0.644448,0.528228,0.000000,0.773660,0.747077,0.568785, 
14,0.000000,0.000000,0.706573,0.737994,0.886585,0.570623,0.483629, 
15,0.774185,0.890266,0.917882,0.543015,0.417686,0.615143,0.693029, 
16,0.753357,0.724111,0.442816,0.740713,0.411106,0.406757,0.579810, 
17,0.187218,0.793467,0.640606,0.663702,0.598660,0.854124,0.622963, 
18,0.651968,0.822257,0.863709,0.734962,0.436261,0.713450,0.703768, 
19,0.725190,0.811094,0.774399,0.284855,0.448931,0.761110,0.634263, 
20,0.725412,0.095335,0.900250,0.897295,0.809335,0.430662,0.643048, 
21,0.770584,0.395266,0.766849,0.395266,0.283558,0.908141,0.586611, 
22,0.228796,0.228796,0.803553,0.643655,0.400169,0.320341,0.437552, 
23,0.402107,0.788041,0.874805,0.782533,0.567881,0.690985,0.684392, 
24,0.914267,0.032910,0.646086,0.714073,0.937464,0.877727,0.687088, 
25,0.765467,0.028809,0.884131,0.882516,0.806442,0.500446,0.644635, 
26,0.263158,0.892835,0.845305,0.755743,0.522278,0.831376,0.685116, 
27,0.295775,0.852731,0.792357,0.717729,0.861229,0.953303,0.745521, 
28,0.742962,0.645118,0.618966,0.267135,0.628210,0.618314,0.586784, 
29,0.000000,0.078953,0.628659,0.695180,0.817423,0.767929,0.498024, 
30,0.676956,0.798078,0.743046,0.297304,0.673230,0.596544,0.630860, 
31,0.048319,0.700035,0.771377,0.686656,0.610367,0.688966,0.584287, 
32,0.772160,0.018210,0.018210,0.924563,0.000000,0.658678,0.398637, 
33,0.739201,0.746392,0.169084,0.392278,0.847489,0.880253,0.629116, 
34,0.332155,0.000000,0.356456,0.926562,0.494574,0.729890,0.473273, 
35,0.466081,0.780964,0.609622,0.766786,0.669737,0.145231,0.573070, 
36,0.813183,0.681300,0.329419,0.510504,0.917397,0.179491,0.571883, 
37,0.768382,0.581950,0.823882,0.750533,0.871244,0.575600,0.728599, 
38,0.549448,0.063005,0.639533,0.252894,0.252894,0.827936,0.430952, 
39,0.595472,0.655490,0.366268,0.855397,0.786260,0.630765,0.648275, 
40,0.684412,0.767964,0.817560,0.628136,0.792694,0.626474,0.719540, 
41,0.135542,0.611623,0.571309,0.664825,0.961628,0.553516,0.583074, 
42,0.701385,0.275090,0.275090,0.879833,0.367585,0.902550,0.566922, 
43,0.328295,0.650258,0.529646,0.502049,0.547348,0.840569,0.566361, 
44,0.384903,0.357249,0.814228,0.302927,0.840886,0.808441,0.584772, 
45,0.700298,0.807105,0.617634,0.932546,0.869307,0.690624,0.769586, 
46,0.699865,0.588876,0.885731,0.737561,0.594724,0.518257,0.670836, 
47,0.513206,0.530291,0.903177,0.881588,0.849385,0.696485,0.729022, 
48,0.801766,0.000500,0.506665,0.562331,0.543747,0.590983,0.500999, 
49,0.722577,0.460009,0.413620,0.614639,0.266333,0.807274,0.547409, 
50,0.688988,0.725653,0.720731,0.701388,0.794840,0.902471,0.755678, 
51,0.876374,0.696686,0.763415,0.841164,0.502881,0.459461,0.689997, 
52,0.844589,0.665365,0.746453,0.817491,0.754084,0.797689,0.770945, 
53,0.434602,0.674566,0.840580,0.852561,0.755286,0.731463,0.714843, 
54,0.798948,0.638944,0.467627,0.483212,0.774708,0.763762,0.654533, 
55,0.839136,0.024039,0.043366,0.393661,0.438787,0.955269,0.449043, 
56,0.560193,0.262807,0.644658,0.952844,0.978056,0.396673,0.632538, 
57,0.657470,0.673948,0.559470,0.637634,0.515858,0.687227,0.621934, 
58,0.691805,0.906557,0.465699,0.597696,0.719174,0.496015,0.646158, 
59,0.846050,0.824378,0.669937,0.601950,0.598621,0.821051,0.726998, 
60,0.469326,0.767374,0.736157,0.112183,0.568546,0.934079,0.597944, 
61,0.551314,0.110572,0.341602,0.701731,0.345676,0.186749,0.372941, 
62,0.605086,0.832812,0.425858,0.756149,0.792338,0.863076,0.712553, 
63,0.000000,0.626227,0.584659,0.116246,0.779395,0.952307,0.509806, 
64,0.748550,0.445756,0.848586,0.755270,0.373834,0.804130,0.662688, 
65,0.095449,0.763276,0.630591,0.282686,0.265029,0.902885,0.489986, 
66,0.800774,0.766480,0.240477,0.783109,0.706502,0.791826,0.681528, 
67,0.372875,0.734884,0.410453,0.885685,0.807092,0.875063,0.681009, 
68,0.778586,0.040335,0.299710,0.777475,0.819148,0.818502,0.588959, 
69,0.460991,0.561178,0.086175,0.284540,0.489200,0.692669,0.429126, 
70,0.542591,0.854731,0.780814,0.719587,0.739131,0.772798,0.734942, 
71,0.159993,0.769826,0.845022,0.864020,0.858253,0.728467,0.704263, 
72,0.571400,0.814772,0.000000,0.893777,0.935128,0.869140,0.680703, 
73,0.786989,0.640950,0.920820,0.536221,0.852950,0.681771,0.736617, 
74,0.756455,0.477796,0.807903,0.571751,0.443864,0.595628,0.608899, 
75,0.216400,0.531433,0.263262,0.658937,0.079341,0.534406,0.380630, 
76,0.872151,0.838364,0.798196,0.485292,0.637864,0.726382,0.726375, 
77,0.712182,0.058878,0.772256,0.720863,0.455550,0.723181,0.573818, 
78,0.452296,0.937049,0.206552,0.206552,0.764947,0.406620,0.495669, 
79,0.761395,0.271334,0.807750,0.269875,0.691474,0.815412,0.602873, 
80,0.759915,0.837869,0.572707,0.688589,0.629054,0.765565,0.708950, 
81,0.641233,0.122272,0.879570,0.680077,0.938997,0.717451,0.663267, 
82,0.870310,0.525377,0.898716,0.239898,0.550151,0.548284,0.605456, 
83,0.000000,0.970987,0.147949,0.767848,0.677162,0.368402,0.488724, 
84,0.540114,0.674471,0.594581,0.887609,0.798334,0.886449,0.730260, 
85,0.542210,0.677568,0.913727,0.902967,0.578955,0.831829,0.741209, 
86,0.774704,0.761886,0.790150,0.498664,0.456032,0.697249,0.663114, 
87,0.753006,0.863865,0.634334,0.798051,0.872549,0.540080,0.743648, 
88,0.700730,0.271561,0.858803,0.685025,0.695557,0.253840,0.577586, 
89,0.880010,0.000000,0.000000,0.980358,0.755805,0.753155,0.561555, 
90,0.765903,0.270684,0.771442,0.535723,0.581110,0.865244,0.631684, 
91,0.682055,0.729258,0.769348,0.946718,0.943118,0.358182,0.738113, 
92,0.183839,0.828364,0.521194,0.726857,0.742700,0.793914,0.632811, 
93,0.000000,0.747621,0.233225,0.663342,0.876164,0.582546,0.517150, 
94,0.735699,0.571423,0.665260,0.739895,0.096966,0.749791,0.593172, 
95,0.634844,0.805528,0.156760,0.806646,0.697302,0.283248,0.564055, 
96,0.522364,0.833571,0.895955,0.693394,0.952387,0.600971,0.749774, 
97,0.042494,0.342722,0.265108,0.906508,0.804259,0.985415,0.557751, 
98,0.389647,0.845211,0.574790,0.637439,0.920031,0.822125,0.698207, 
99,0.905037,0.881611,0.314939,0.897034,0.613021,0.941739,0.758897, 
100,0.700427,0.410409,0.846174,0.769588,0.710599,0.822456,0.709942, 
101,0.799467,0.830298,0.841542,0.730795,0.247919,0.571926,0.670325, 
102,0.742357,0.188084,0.616244,0.924494,0.286955,0.914386,0.612087, 
103,0.170110,0.562605,0.879913,0.434057,0.696105,0.859705,0.600416, 
