é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.092502,0.092502,0.554925,0.608861,0.526589,0.061668,0.322841, 
2,0.000000,0.752478,0.455173,0.169168,0.000000,0.669552,0.341062, 
3,0.586332,0.524057,0.600104,0.661937,0.132573,0.867908,0.562152, 
4,0.663807,0.000000,0.116536,0.663553,0.434803,0.701408,0.430018, 
5,0.277072,0.682049,0.523933,0.462856,0.218077,0.634486,0.466412, 
6,0.610352,0.725079,0.131899,0.629104,0.725030,0.635459,0.576154, 
7,0.692997,0.037550,0.272324,0.968179,0.221297,0.290874,0.413870, 
8,0.931579,0.161567,0.799780,0.700580,0.620754,0.370337,0.597433, 
9,0.735177,0.799051,0.609077,0.755109,0.262237,0.504328,0.610830, 
10,0.496020,0.715726,0.781117,0.832820,0.676319,0.593201,0.682534, 
11,0.377853,0.088510,0.035548,0.434083,0.595894,0.483357,0.335874, 
12,0.734976,0.888435,0.835132,0.576132,0.754721,0.224468,0.668977, 
13,0.561641,0.475414,0.358906,0.000000,0.630869,0.596267,0.437183, 
14,0.000000,0.000000,0.546279,0.584778,0.796276,0.399211,0.387757, 
15,0.631568,0.802234,0.848227,0.372698,0.263971,0.444192,0.560482, 
16,0.604309,0.567534,0.284370,0.588200,0.258737,0.255302,0.426409, 
17,0.103277,0.657642,0.471244,0.496673,0.427205,0.745390,0.483572, 
18,0.483644,0.698164,0.760113,0.580980,0.278986,0.554546,0.559405, 
19,0.568861,0.682218,0.631853,0.166082,0.289433,0.614349,0.492133, 
20,0.569135,0.050054,0.818595,0.813722,0.679734,0.274422,0.534277, 
21,0.626789,0.246312,0.621861,0.246312,0.165201,0.831738,0.456369, 
22,0.129175,0.129175,0.671616,0.474551,0.250132,0.190718,0.307561, 
23,0.251648,0.650221,0.777470,0.642754,0.396532,0.527867,0.541082, 
24,0.842074,0.016731,0.477198,0.555299,0.882290,0.782098,0.592615, 
25,0.620046,0.014615,0.792326,0.789734,0.675662,0.333730,0.537686, 
26,0.151516,0.806416,0.732059,0.607386,0.353435,0.711414,0.560371, 
27,0.173554,0.743271,0.656119,0.559733,0.756279,0.910772,0.633288, 
28,0.591041,0.476143,0.448190,0.154158,0.457949,0.447507,0.429165, 
29,0.000000,0.041099,0.458427,0.532778,0.691222,0.623284,0.391135, 
30,0.511666,0.664001,0.591148,0.174607,0.507420,0.425054,0.478983, 
31,0.024758,0.538503,0.627839,0.522830,0.439229,0.525513,0.446445, 
32,0.628877,0.009189,0.009189,0.859710,0.000000,0.491066,0.333005, 
33,0.586295,0.595395,0.092350,0.243996,0.735342,0.786118,0.506583, 
34,0.199152,0.000000,0.216882,0.863172,0.328528,0.574667,0.363734, 
35,0.303850,0.640641,0.438457,0.621778,0.503462,0.078302,0.431082, 
36,0.685180,0.516646,0.197188,0.342736,0.847400,0.098594,0.447957, 
37,0.623880,0.410387,0.700510,0.600683,0.771863,0.404100,0.585237, 
38,0.378785,0.032527,0.470083,0.144750,0.144750,0.706392,0.312881, 
39,0.423966,0.487531,0.224191,0.747330,0.647800,0.460669,0.498581, 
40,0.520233,0.623329,0.691418,0.457871,0.656581,0.456107,0.567590, 
41,0.072698,0.440531,0.399883,0.497931,0.926092,0.382663,0.453300, 
42,0.540103,0.159481,0.159481,0.785448,0.225179,0.822407,0.448683, 
43,0.196384,0.481765,0.360217,0.335158,0.376792,0.724985,0.412550, 
44,0.238315,0.217470,0.686665,0.178500,0.725455,0.678474,0.454147, 
45,0.538814,0.676593,0.446795,0.873618,0.768827,0.527445,0.638682, 
46,0.538302,0.417310,0.794899,0.584235,0.423208,0.349762,0.517953, 
47,0.345176,0.360814,0.823448,0.788250,0.738200,0.534313,0.598367, 
48,0.669123,0.000250,0.339284,0.391141,0.373387,0.419429,0.365436, 
49,0.565652,0.298709,0.260732,0.443667,0.153624,0.676831,0.399869, 
50,0.525539,0.569431,0.563393,0.540105,0.659531,0.822275,0.613379, 
51,0.779951,0.534550,0.617358,0.725870,0.335899,0.298247,0.548646, 
52,0.730985,0.498537,0.595472,0.691319,0.605245,0.663463,0.630837, 
53,0.277630,0.508940,0.725001,0.743012,0.606795,0.576620,0.573000, 
54,0.665206,0.469447,0.305165,0.318576,0.632264,0.617811,0.501412, 
55,0.722855,0.012166,0.022163,0.245067,0.281055,0.914368,0.366279, 
56,0.389075,0.151283,0.475642,0.909934,0.957055,0.247406,0.521732, 
57,0.489725,0.508237,0.388378,0.468034,0.347580,0.523493,0.454241, 
58,0.528824,0.829084,0.303526,0.426224,0.561492,0.329800,0.496492, 
59,0.733177,0.701226,0.503688,0.430564,0.427166,0.696426,0.582041, 
60,0.306614,0.622552,0.582476,0.059424,0.397181,0.876312,0.474093, 
61,0.380562,0.058521,0.205983,0.540512,0.208953,0.102991,0.249587, 
62,0.433780,0.713520,0.270533,0.607910,0.656092,0.759132,0.573495, 
63,0.000000,0.455845,0.413087,0.061710,0.638531,0.908957,0.413022, 
64,0.598147,0.286799,0.736995,0.606775,0.229887,0.672422,0.521837, 
65,0.050116,0.617176,0.460484,0.164609,0.152757,0.822964,0.378018, 
66,0.667742,0.621376,0.136672,0.643533,0.546195,0.655391,0.545151, 
67,0.229162,0.580883,0.258220,0.794824,0.676576,0.777878,0.552924, 
68,0.637447,0.020582,0.176270,0.635958,0.693693,0.692766,0.476119, 
69,0.299538,0.390026,0.045028,0.165868,0.323802,0.529834,0.292349, 
70,0.372298,0.746314,0.640439,0.561996,0.586207,0.629724,0.589496, 
71,0.086952,0.625786,0.731635,0.760594,0.751701,0.572904,0.588262, 
72,0.399972,0.687438,0.000000,0.807954,0.878160,0.768566,0.590348, 
73,0.648789,0.471616,0.853259,0.366326,0.743604,0.517188,0.600130, 
74,0.608305,0.313884,0.677715,0.400316,0.285235,0.424124,0.451597, 
75,0.121328,0.361871,0.151584,0.491355,0.041309,0.364634,0.255347, 
76,0.773287,0.721709,0.664166,0.320387,0.468282,0.570330,0.586360, 
77,0.553015,0.030332,0.629005,0.563555,0.294959,0.566393,0.439543, 
78,0.292237,0.881554,0.115170,0.115170,0.619363,0.255194,0.379781, 
79,0.614720,0.156962,0.677500,0.155986,0.528437,0.688351,0.470326, 
80,0.612792,0.720976,0.401254,0.525075,0.458846,0.620174,0.556520, 
81,0.471922,0.065117,0.785028,0.515240,0.885008,0.559395,0.546952, 
82,0.770397,0.356279,0.816062,0.136298,0.379454,0.377680,0.472695, 
83,0.000000,0.943610,0.079884,0.623176,0.511901,0.225792,0.397394, 
84,0.369970,0.508831,0.423063,0.797929,0.664356,0.796056,0.593368, 
85,0.371940,0.512365,0.841158,0.823100,0.407415,0.712078,0.611343, 
86,0.632259,0.615360,0.653097,0.332147,0.295364,0.535213,0.510573, 
87,0.603857,0.760354,0.464487,0.663964,0.773913,0.369938,0.606085, 
88,0.539326,0.157114,0.752546,0.520942,0.533221,0.145370,0.441420, 
89,0.785729,0.000000,0.000000,0.961474,0.607465,0.604049,0.493119, 
90,0.620619,0.156527,0.627924,0.365862,0.409553,0.762494,0.490496, 
91,0.517514,0.573884,0.625155,0.898826,0.892359,0.218162,0.620983, 
92,0.101224,0.707015,0.352443,0.570916,0.590710,0.658256,0.496761, 
93,0.000000,0.596961,0.132006,0.496269,0.779619,0.410981,0.402639, 
94,0.581902,0.399995,0.498419,0.587169,0.050953,0.599733,0.453029, 
95,0.465034,0.674380,0.085046,0.675949,0.535276,0.164991,0.433446, 
96,0.353513,0.714634,0.811520,0.530683,0.909103,0.429563,0.624836, 
97,0.021708,0.206798,0.152809,0.829003,0.672602,0.971250,0.475695, 
98,0.241964,0.731918,0.403302,0.467825,0.851905,0.697973,0.565814, 
99,0.826546,0.788287,0.186901,0.813292,0.441983,0.889893,0.657817, 
100,0.538968,0.258185,0.733363,0.625472,0.551108,0.698450,0.567591, 
101,0.665927,0.709837,0.726433,0.575790,0.141500,0.400488,0.536662, 
102,0.590276,0.103804,0.445342,0.859590,0.167512,0.842275,0.501466, 
103,0.092962,0.391406,0.785576,0.277185,0.533865,0.753932,0.472488, 
104,0.610368,0.903393,0.200427,0.362622,0.842400,0.333016,0.542038, 
105,0.705583,0.664920,0.538543,0.361912,0.743852,0.790869,0.634280, 
106,0.427133,0.596495,0.486566,0.086982,0.435271,0.340606,0.395509, 
107,0.635201,0.483114,0.765630,0.739771,0.890765,0.644465,0.693158, 
108,0.000000,0.617320,0.617213,0.000000,0.917734,0.857536,0.501634, 
109,0.592432,0.866818,0.000000,0.321036,0.675596,0.728338,0.530703, 
110,0.404648,0.750294,0.696776,0.791791,0.798049,0.263228,0.617464, 
111,0.155259,0.696813,0.615232,0.740228,0.681973,0.453115,0.557103, 
112,0.454914,0.357005,0.517780,0.522886,0.463202,0.165292,0.413513, 
113,0.744443,0.807968,0.672071,0.963687,0.123730,0.554387,0.644381, 
114,0.103429,0.285789,0.383626,0.984265,0.442693,0.447020,0.441137, 
115,0.426501,0.554400,0.282859,0.587369,0.867915,0.789538,0.584764, 
116,0.750452,0.060494,0.445265,0.755854,0.880523,0.734859,0.604575, 
117,0.696609,0.683231,0.173687,0.921728,0.340961,0.655568,0.578631, 
118,0.459977,0.572021,0.628751,0.272352,0.627072,0.864309,0.570747, 
119,0.632736,0.234353,0.973311,0.843860,0.859837,0.485994,0.671682, 
120,0.281094,0.732158,0.648697,0.492725,0.789097,0.742160,0.614322, 
121,0.341864,0.352782,0.600831,0.507394,0.748527,0.760179,0.551929, 
122,0.592050,0.795445,0.713083,0.814553,0.261702,0.712554,0.648231, 
123,0.561400,0.674740,0.343794,0.053212,0.839427,0.570384,0.507160, 
124,0.752116,0.936241,0.491305,0.746117,0.727902,0.543850,0.699589, 
125,0.828755,0.573788,0.101343,0.691946,0.733322,0.395264,0.554070, 
126,0.726777,0.859869,0.004970,0.102945,0.392152,0.941060,0.504629, 
127,0.515906,0.007491,0.691224,0.374017,0.351820,0.847144,0.464600, 
128,0.646665,0.584454,0.058026,0.825553,0.746038,0.354121,0.535809, 
129,0.855805,0.693640,0.494899,0.894545,0.871215,0.496556,0.717777, 
130,0.559168,0.637756,0.864544,0.313941,0.549596,0.715157,0.606694, 
131,0.528824,0.487325,0.679476,0.348376,0.561492,0.329800,0.489216, 
132,0.323993,0.338056,0.615941,0.753097,0.900763,0.593732,0.587597, 
133,0.408602,0.536905,0.510049,0.630500,0.275576,0.491261,0.475482, 
134,0.076713,0.584898,0.494178,0.375456,0.696147,0.506581,0.455662, 
135,0.522209,0.580542,0.618637,0.745268,0.667554,0.231450,0.560943, 
136,0.156647,0.313271,0.877769,0.770932,0.505454,0.154190,0.463044, 
137,0.280889,0.781104,0.770602,0.560427,0.542510,0.649248,0.597463, 
138,0.113222,0.545011,0.440723,0.707413,0.419550,0.321127,0.424507, 
139,0.270565,0.697900,0.166156,0.344476,0.859177,0.804857,0.523855, 
140,0.171623,0.919586,0.670486,0.197094,0.085811,0.956419,0.500170, 
141,0.748106,0.000000,0.656480,0.650804,0.494517,0.226156,0.462677, 
142,0.605798,0.052550,0.618267,0.387745,0.609078,0.762559,0.506000, 
143,0.088665,0.250493,0.478124,0.658216,0.189420,0.594599,0.376586, 
144,0.594643,0.676029,0.740537,0.402728,0.473503,0.552034,0.573246, 
145,0.557885,0.683200,0.605666,0.829333,0.089851,0.833655,0.599932, 
146,0.702222,0.601442,0.227026,0.704613,0.788683,0.570638,0.599104, 
147,0.585518,0.392499,0.143790,0.917466,0.442503,0.377109,0.476481, 
148,0.607099,0.175047,0.498689,0.630716,0.272144,0.523194,0.451148, 
149,0.162213,0.081107,0.278650,0.892708,0.714067,0.369750,0.416416, 
150,0.575737,0.495309,0.847718,0.569791,0.585160,0.528898,0.600435, 
151,0.463993,0.509535,0.041577,0.873002,0.505088,0.228273,0.436911, 
152,0.511651,0.553605,0.072221,0.653825,0.892683,0.644277,0.554710, 
153,0.449345,0.115370,0.665070,0.415963,0.162922,0.765825,0.429082, 
