No.,tL,tR
true,0.833333,1.250000
0,0.968321,1.033821
1,0.955331,1.049052
2,0.931816,1.078950
3,0.947044,1.059228
4,0.908943,1.111333
5,0.931929,1.078798
6,0.963803,1.039021
7,0.916138,1.100763
8,0.907945,1.112830
9,0.882067,1.154336
10,0.963914,1.038893
11,0.871325,1.173264
12,0.927680,1.084549
13,0.970441,1.031418
14,0.907752,1.113116
15,0.931438,1.079458
16,0.934590,1.075257
17,0.912372,1.106247
18,0.948052,1.057969
19,0.891350,1.138813
20,0.960310,1.043110
21,0.990904,1.009264
22,0.892968,1.136182
23,0.887626,1.144951
24,0.924219,1.089317
25,0.895384,1.132296
26,0.883640,1.151653
27,0.911925,1.106909
28,0.931965,1.078752
29,0.929792,1.081676
30,0.939511,1.068813
31,0.979101,1.021808
32,0.926469,1.086209
33,0.947364,1.058829
34,0.951003,1.054320
35,0.941736,1.065948
36,0.922674,1.091471
37,0.959144,1.044492
38,0.925517,1.087518
39,0.899950,1.125078
40,0.920004,1.095233
41,0.939391,1.068968
42,0.934363,1.075554
43,0.898775,1.126918
44,0.880779,1.156549
45,0.898257,1.127734
46,0.904331,1.118304
47,0.963314,1.039591
48,0.973177,1.028343
49,0.911383,1.107708
50,0.920268,1.094860
51,0.857413,1.199471
52,0.859876,1.194682
53,0.894977,1.132948
54,0.958101,1.045730
55,0.928603,1.083289
56,0.897049,1.129646
57,0.932357,1.078225
58,0.920807,1.094097
59,0.919794,1.095531
60,0.962304,1.040771
61,0.899097,1.126413
62,0.983900,1.016635
63,0.928571,1.083334
64,0.943189,1.064095
65,0.907609,1.113335
66,0.903462,1.119637
67,0.923557,1.090237
68,0.939832,1.068398
69,0.906190,1.115476
70,0.887600,1.144994
71,0.929695,1.081805
72,0.874747,1.167119
73,0.923609,1.090165
74,0.937851,1.070969
75,0.909127,1.111057
76,0.907242,1.113886
77,0.946203,1.060285
78,0.930140,1.081207
79,0.897794,1.128467
80,0.932311,1.078290
81,0.905784,1.116090
82,0.946018,1.060514
83,0.876150,1.164630
84,0.897656,1.128683
85,0.928060,1.084031
86,0.893333,1.135591
87,0.917168,1.099279
88,0.929688,1.081816
89,0.898578,1.127229
90,0.863125,1.188470
91,0.903907,1.118956
92,0.932047,1.078639
93,0.958507,1.045247
94,0.935439,1.074132
95,0.879899,1.158070
96,0.945874,1.060695
97,0.907689,1.113214
98,0.911323,1.107794
99,0.911200,1.107977
100,0.912613,1.105894
101,0.920366,1.094720
102,0.938346,1.070325
103,0.918862,1.096857
104,0.903171,1.120083
105,0.922792,1.091308
106,0.878902,1.159799
107,0.925729,1.087227
108,0.916707,1.099943
109,0.897156,1.129474
110,0.913713,1.104284
111,0.924680,1.088678
112,0.890011,1.141009
113,0.921528,1.093080
114,0.887062,1.145890
115,0.905802,1.116063
116,0.916090,1.100831
117,0.895449,1.132193
118,0.866997,1.181205
119,0.883228,1.152353
120,0.890318,1.140502
121,0.883775,1.151425
122,0.935021,1.074683
123,0.879707,1.158400
124,0.915397,1.101835
125,0.915206,1.102112
126,0.915458,1.101747
127,0.922281,1.092021
128,0.855016,1.204194
129,0.858123,1.198083
130,0.932357,1.078225
131,0.912655,1.105831
132,0.929183,1.082501
133,0.968264,1.033888
134,0.905898,1.115918
135,0.933478,1.076732
136,0.904028,1.118771
137,0.935673,1.073823
138,0.901925,1.122007
139,0.930658,1.080508
140,0.932564,1.077950
141,0.949936,1.055633
142,0.948309,1.057653
143,0.922001,1.092416
144,0.913064,1.105231
145,0.892972,1.136179
146,0.939186,1.069234
