ó^Ç¶ÇΩèdóvìx,0.180000,0.280000,0.150000,0.250000,0.130000,0.230000,0.100000,0.200000,0.080000,0.180000,0.060000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.204300, 0.232050,0.204300, 0.232050,0.127125, 0.300152,0.121210, 0.223555,0.015701, 0.184858,0.072725, 0.081975,0.509280
2,0.179193, 0.179193,0.119793, 0.252527,0.096564, 0.198673,0.174194, 0.232088,0.179193, 0.179193,0.030196, 0.179193,0.441735
3,0.105453, 0.352767,0.118578, 0.313121,0.125932, 0.248464,0.109365, 0.230968,0.082512, 0.106485,0.000001, 0.206355,0.916318
4,0.124244, 0.287028,0.266011, 0.308046,0.125472, 0.145261,0.108492, 0.228912,0.058521, 0.137091,0.066771, 0.144151,0.500979
5,0.119052, 0.238103,0.059282, 0.361174,0.125458, 0.315602,0.093552, 0.160149,0.129651, 0.185951,0.050778, 0.161249,0.844454
6,0.135443, 0.349375,0.155763, 0.243889,0.138710, 0.176458,0.087775, 0.176458,0.065038, 0.209004,0.078792, 0.183294,0.676957
7,0.154542, 0.347079,0.176350, 0.188553,0.153131, 0.193988,0.088175, 0.208570,0.116138, 0.233752,0.044087, 0.095635,0.535154
8,0.165820, 0.287087,0.187693, 0.279460,0.128693, 0.253225,0.061984, 0.220624,0.072211, 0.149634,0.076781, 0.116788,0.613636
9,0.182735, 0.308101,0.139618, 0.272804,0.098451, 0.219344,0.109672, 0.211188,0.085700, 0.133644,0.087041, 0.151701,0.593565
10,0.106612, 0.422284,0.122204, 0.295153,0.110895, 0.247411,0.086886, 0.201691,0.071889, 0.158720,0.044033, 0.132224,0.914964
11,0.175888, 0.314691,0.217086, 0.245289,0.094237, 0.154125,0.122645, 0.265889,0.050819, 0.162491,0.068124, 0.128715,0.542402
12,0.060269, 0.367911,0.066196, 0.334479,0.107045, 0.271883,0.106680, 0.250426,0.070710, 0.214090,0.056652, 0.093657,1.064892
13,0.123968, 0.285495,0.170397, 0.226108,0.108077, 0.175374,0.211178, 0.231335,0.110628, 0.175437,0.058522, 0.123480,0.434459
14,0.196433, 0.196433,0.196433, 0.196433,0.107015, 0.298370,0.104476, 0.255868,0.078245, 0.204058,0.061362, 0.104874,0.512072
15,0.174292, 0.274719,0.082795, 0.320960,0.100939, 0.242517,0.124079, 0.224505,0.041427, 0.128548,0.083340, 0.201878,0.786255
16,0.139332, 0.336366,0.120434, 0.229414,0.122720, 0.323694,0.111604, 0.240640,0.076970, 0.117415,0.069807, 0.111604,0.718266
17,0.243767, 0.278884,0.171591, 0.266494,0.130663, 0.182951,0.128599, 0.182311,0.069527, 0.143034,0.061865, 0.140315,0.387978
18,0.101044, 0.421690,0.098165, 0.333347,0.071954, 0.261393,0.025751, 0.226533,0.055558, 0.125536,0.066184, 0.212845,1.162687
19,0.140463, 0.357812,0.123220, 0.237985,0.130556, 0.268026,0.111587, 0.136499,0.087038, 0.147770,0.021882, 0.237163,0.770508
20,0.142024, 0.270616,0.206320, 0.334912,0.099857, 0.239150,0.071057, 0.212846,0.000001, 0.221830,0.045522, 0.155866,0.870438
21,0.168893, 0.346716,0.140828, 0.209914,0.119157, 0.255845,0.140828, 0.209914,0.067215, 0.103349,0.061969, 0.175371,0.602220
22,0.203198, 0.241951,0.203198, 0.241951,0.095320, 0.222574,0.110749, 0.284002,0.079815, 0.111287,0.091259, 0.114696,0.432923
23,0.226486, 0.271449,0.124484, 0.233747,0.120294, 0.262643,0.100451, 0.248967,0.041125, 0.147108,0.078610, 0.144637,0.617102
24,0.119583, 0.336802,0.226253, 0.278950,0.069929, 0.213593,0.026732, 0.252601,0.049780, 0.203783,0.063150, 0.158844,0.889148
25,0.119175, 0.328748,0.212416, 0.221185,0.115561, 0.265613,0.073938, 0.216800,0.046053, 0.216800,0.072267, 0.111445,0.721182
26,0.151900, 0.242809,0.064962, 0.312090,0.092096, 0.296032,0.067589, 0.190774,0.098677, 0.265968,0.037406, 0.179697,0.974740
27,0.212972, 0.317105,0.088340, 0.305190,0.019200, 0.353453,0.066260, 0.180888,0.004993, 0.229256,0.060033, 0.162310,1.096402
28,0.169580, 0.263655,0.128699, 0.258296,0.073124, 0.216617,0.160849, 0.240323,0.064499, 0.137195,0.086575, 0.200586,0.633347
29,0.219999, 0.409508,0.150658, 0.157377,0.125503, 0.189076,0.078645, 0.169911,0.104918, 0.186049,0.051067, 0.157290,0.538421
