é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.434448,0.434448,0.732529,0.778772,0.743062,0.169339,0.548766, 
2,0.000000,0.859349,0.679565,0.326880,0.000000,0.803224,0.444836, 
3,0.575849,0.679016,0.898751,0.817993,0.386742,0.652840,0.668532, 
4,0.761079,0.000000,0.254805,0.830309,0.639422,0.872478,0.559682, 
5,0.530498,0.497647,0.689314,0.722087,0.644263,0.950252,0.672343, 
6,0.637082,0.936884,0.548076,0.810442,0.819787,0.794202,0.757745, 
7,0.683673,0.217516,0.580121,0.907460,0.586930,0.470283,0.574330, 
8,0.903886,0.649821,0.890741,0.773275,0.784954,0.571503,0.762363, 
9,0.863175,0.857683,0.808937,0.896485,0.648139,0.785369,0.809965, 
10,0.481149,0.732736,0.845607,0.931078,0.842683,0.767562,0.766803, 
11,0.837510,0.439974,0.301775,0.636031,0.779427,0.754603,0.624887, 
12,0.490627,0.543062,0.755180,0.765713,0.821760,0.491328,0.644612, 
13,0.764739,0.715571,0.542439,0.000000,0.786469,0.769650,0.596478, 
14,0.000000,0.000000,0.686448,0.759961,0.885689,0.606390,0.489748, 
15,0.945171,0.591427,0.827890,0.757596,0.518896,0.701570,0.723758, 
16,0.673322,0.760014,0.664508,0.771897,0.532803,0.589527,0.665345, 
17,0.519808,0.804597,0.686701,0.698864,0.726588,0.879238,0.719299, 
18,0.475460,0.596690,0.690994,0.664934,0.535786,0.760688,0.620759, 
19,0.630221,0.819362,0.837528,0.398877,0.755693,0.634355,0.679339, 
20,0.792818,0.382166,0.835797,0.827167,0.621449,0.911516,0.728486, 
21,0.719884,0.708684,0.844991,0.699901,0.343028,0.918743,0.705872, 
22,0.558585,0.558585,0.814720,0.653249,0.475952,0.379746,0.573473, 
23,0.620342,0.800396,0.825254,0.801147,0.651586,0.795377,0.749017, 
24,0.630479,0.311038,0.686135,0.613742,0.787391,0.977995,0.667797, 
25,0.646051,0.161244,0.799833,0.823513,0.738696,0.562989,0.622054, 
26,0.657999,0.576155,0.658035,0.813440,0.608497,0.825453,0.689930, 
27,0.656709,0.631213,0.460562,0.753747,0.616784,0.988415,0.684572, 
28,0.862088,0.871089,0.711456,0.436283,0.662379,0.686177,0.704912, 
29,0.414499,0.125923,0.722322,0.731031,0.829036,0.943540,0.627725, 
30,0.545043,0.733869,0.787651,0.480557,0.694872,0.720430,0.660404, 
31,0.258667,0.637303,0.784705,0.696341,0.713471,0.729207,0.636616, 
32,0.794411,0.053652,0.053652,0.924904,0.000000,0.725291,0.425318, 
33,0.664307,0.767556,0.369578,0.555685,0.608771,0.893288,0.643198, 
34,0.483106,0.000000,0.535358,0.751078,0.680695,0.762284,0.535420, 
35,0.556774,0.777369,0.837586,0.900954,0.696273,0.283698,0.675442, 
36,0.725780,0.695029,0.688671,0.680665,0.887880,0.415948,0.682329, 
37,0.598599,0.696943,0.927931,0.569160,0.906459,0.683265,0.730393, 
38,0.618537,0.368275,0.761482,0.380538,0.380538,0.841195,0.558428, 
39,0.658849,0.686773,0.758484,0.863409,0.813878,0.678610,0.743334, 
40,0.744283,0.801754,0.782378,0.731893,0.822640,0.681567,0.760753, 
41,0.607422,0.634601,0.610034,0.696457,0.879636,0.713621,0.690295, 
42,0.772670,0.483656,0.483656,0.945758,0.458458,0.812937,0.659522, 
43,0.640815,0.685057,0.686950,0.563422,0.597158,0.679822,0.642204, 
44,0.605780,0.490927,0.917764,0.612805,0.850810,0.882408,0.726749, 
45,0.609234,0.758031,0.569654,0.606365,0.734491,0.923824,0.700266, 
46,0.631007,0.752724,0.752420,0.906213,0.657471,0.591174,0.715168, 
47,0.706266,0.606246,0.617948,0.967199,0.698305,0.809747,0.734285, 
48,0.749931,0.002999,0.545699,0.626218,0.958801,0.655675,0.589887, 
49,0.641857,0.695920,0.768680,0.636953,0.310396,0.835436,0.648207, 
50,0.756720,0.496597,0.921892,0.936065,0.813693,0.875715,0.800114, 
51,0.473899,0.561394,0.670141,0.791648,0.679655,0.518083,0.615803, 
52,0.663672,0.764661,0.569582,0.531971,0.898492,0.614805,0.673864, 
53,0.500822,0.507136,0.821596,0.715886,0.764467,0.667122,0.662838, 
54,0.746367,0.629756,0.629756,0.879089,0.583609,0.879930,0.724751, 
55,0.722365,0.136056,0.488875,0.509968,0.462174,0.700961,0.503400, 
56,0.600131,0.581997,0.692969,0.778509,0.763940,0.477828,0.649229, 
57,0.637319,0.751035,0.700311,0.689666,0.684865,0.719111,0.697051, 
58,0.934258,0.840055,0.541182,0.676568,0.737581,0.567215,0.716143, 
59,0.868151,0.727425,0.788747,0.937519,0.674724,0.915173,0.818623, 
60,0.517956,0.698163,0.511346,0.253275,0.601355,0.920492,0.583764, 
61,0.618099,0.162360,0.595355,0.782302,0.582043,0.349731,0.514982, 
62,0.709565,0.689265,0.507353,0.763279,0.841897,0.879998,0.731893, 
63,0.000000,0.640689,0.926792,0.454634,0.789505,0.941513,0.625522, 
64,0.565088,0.832381,0.783104,0.777637,0.412369,0.888739,0.709887, 
65,0.462364,0.672868,0.568233,0.296235,0.267018,0.824004,0.515120, 
66,0.813905,0.806319,0.667715,0.808898,0.860700,0.832769,0.798384, 
67,0.595180,0.825485,0.892673,0.814466,0.517154,0.882220,0.754530, 
68,0.540934,0.454523,0.415452,0.749880,0.855931,0.826219,0.640490, 
69,0.556373,0.583510,0.143658,0.295266,0.695367,0.696431,0.495101, 
70,0.595900,0.642875,0.844306,0.582599,0.854662,0.847055,0.727900, 
71,0.442077,0.688114,0.513194,0.771355,0.989687,0.746518,0.691824, 
72,0.541137,0.919900,0.058365,0.559688,0.741896,0.939762,0.626791, 
73,0.600964,0.676777,0.830639,0.641924,0.635677,0.709445,0.682571, 
74,0.549522,0.656036,0.934002,0.656191,0.556043,0.678871,0.671778, 
75,0.407652,0.543336,0.441486,0.667328,0.152626,0.557154,0.461597, 
76,0.804243,0.786835,0.836024,0.690748,0.792133,0.869545,0.796588, 
77,0.768073,0.276459,0.800157,0.761657,0.642263,0.696566,0.657529, 
78,0.553521,0.877337,0.374434,0.374434,0.867713,0.418498,0.577656, 
79,0.802936,0.477841,0.879363,0.357096,0.741835,0.864010,0.687180, 
80,0.524913,0.457680,0.626632,0.701967,0.884413,0.895038,0.681774, 
81,0.788665,0.504405,0.822465,0.664802,0.915261,0.752141,0.741290, 
82,0.700578,0.680926,0.506339,0.566639,0.591171,0.826645,0.645383, 
83,0.405846,0.725569,0.194943,0.927184,0.844089,0.727796,0.637571, 
84,0.720813,0.737346,0.585386,0.903993,0.750205,0.810677,0.751403, 
85,0.735677,0.520093,0.825514,0.868151,0.737289,0.629896,0.719437, 
86,0.616655,0.612470,0.695903,0.869605,0.624723,0.824419,0.707296, 
87,0.648590,0.974185,0.689433,0.818971,0.775179,0.684991,0.765225, 
88,0.684629,0.617375,0.956008,0.726888,0.778404,0.417783,0.696848, 
89,0.758256,0.000000,0.000000,0.801507,0.658124,0.836032,0.508986, 
90,0.533605,0.437888,0.795326,0.691156,0.457271,0.889249,0.634082, 
91,0.540374,0.457336,0.540730,0.905290,0.541090,0.522137,0.584493, 
92,0.375339,0.723964,0.624661,0.716333,0.853010,0.757299,0.675101, 
93,0.295685,0.685382,0.293514,0.678427,0.884206,0.768231,0.600908, 
94,0.639028,0.676510,0.723663,0.842856,0.361522,0.763250,0.667805, 
95,0.695821,0.859061,0.391683,0.901610,0.709193,0.417760,0.662521, 
96,0.528344,0.835873,0.608489,0.618596,0.938989,0.646578,0.696145, 
97,0.230479,0.837070,0.817510,0.888136,0.770582,0.757711,0.716915, 
98,0.743359,0.857487,0.661034,0.687529,0.969021,0.875350,0.798963, 
99,0.926283,0.762335,0.420262,0.646339,0.676334,0.989636,0.736865, 
100,0.732379,0.835070,0.927828,0.835775,0.790912,0.839823,0.826964, 
101,0.611385,0.775969,0.818212,0.804891,0.573064,0.602829,0.697725, 
102,0.510168,0.277623,0.638813,0.954981,0.437716,0.876887,0.616031, 
103,0.716113,0.812789,0.822653,0.671991,0.713587,0.915559,0.775449, 
104,0.762577,0.611381,0.786833,0.858613,0.889589,0.610903,0.753316, 
105,0.847030,0.700283,0.790187,0.640051,0.823515,0.671105,0.745362, 
106,0.637267,0.769367,0.697417,0.208269,0.634372,0.535338,0.580338, 
107,0.689632,0.776073,0.569237,0.770693,0.658908,0.807680,0.712037, 
108,0.000000,0.575332,0.564832,0.000000,0.763227,0.696466,0.433310, 
109,0.587808,0.933490,0.124719,0.667030,0.830619,0.909623,0.675548, 
110,0.884092,0.760021,0.853414,0.842954,0.695346,0.763741,0.799928, 
111,0.635537,0.757803,0.710458,0.630660,0.678683,0.714465,0.687934, 
112,0.703002,0.666823,0.909694,0.839175,0.694504,0.416299,0.704916, 
113,0.505692,0.758839,0.746067,0.835829,0.483565,0.774250,0.684040, 
114,0.282096,0.962973,0.702798,0.726273,0.698638,0.660396,0.672195, 
115,0.826998,0.752763,0.572914,0.604108,0.626410,0.854467,0.706277, 
116,0.729440,0.255492,0.660405,0.871338,0.969613,0.899529,0.730969, 
117,0.840855,0.829318,0.427928,0.786039,0.676081,0.872164,0.738731, 
118,0.724257,0.710914,0.725154,0.634261,0.847956,0.720404,0.727158, 
119,0.589277,0.988275,0.848839,0.974185,0.824736,0.680426,0.817623, 
120,0.895925,0.866245,0.801884,0.752690,0.770684,0.749786,0.806202, 
121,0.600766,0.660098,0.803724,0.729289,0.962720,0.820258,0.762809, 
122,0.785000,0.812421,0.850157,0.721656,0.621590,0.727364,0.753031, 
123,0.876185,0.822735,0.569585,0.185132,0.934125,0.840053,0.704636, 
124,0.517890,0.548063,0.813786,0.741609,0.801502,0.754760,0.696268, 
125,0.757337,0.751620,0.388717,0.823520,0.859205,0.838702,0.736517, 
126,0.801768,0.931569,0.528113,0.666515,0.605836,0.794707,0.721418, 
127,0.683848,0.086025,0.822509,0.553935,0.524602,0.921562,0.598747, 
128,0.595495,0.918287,0.516489,0.909619,0.715894,0.605311,0.710182, 
129,0.412195,0.594067,0.568308,0.779486,0.588471,0.762181,0.617451, 
130,0.594402,0.441170,0.878232,0.539323,0.729259,0.629148,0.635256, 
131,0.934258,0.782899,0.840055,0.726282,0.737581,0.567215,0.764715, 
132,0.633860,0.585352,0.663682,0.945481,0.949329,0.762205,0.756652, 
133,0.671092,0.837822,0.752393,0.730532,0.639193,0.702562,0.722266, 
134,0.492689,0.702054,0.603989,0.565588,0.846933,0.687335,0.649765, 
135,0.509468,0.670324,0.777295,0.800610,0.618707,0.538605,0.652502, 
136,0.895708,0.544097,0.850413,0.788299,0.705895,0.295703,0.680019, 
