é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.277505,0.277505,0.577945,0.637696,0.591168,0.092502,0.409053, 
2,0.000000,0.753384,0.514653,0.195372,0.000000,0.671157,0.355761, 
3,0.404345,0.514023,0.816119,0.692037,0.239727,0.484605,0.525143, 
4,0.614309,0.000000,0.146004,0.709853,0.469963,0.773801,0.452322, 
5,0.361005,0.331245,0.525918,0.565051,0.475213,0.905218,0.527275, 
6,0.467440,0.881262,0.377482,0.681296,0.694609,0.658652,0.626790, 
7,0.519380,0.122030,0.408570,0.830596,0.415358,0.307431,0.433894, 
8,0.824628,0.481285,0.803006,0.630358,0.646028,0.400072,0.630896, 
9,0.759286,0.750828,0.679173,0.812390,0.479442,0.646591,0.687952, 
10,0.316785,0.578203,0.732513,0.871043,0.728135,0.622799,0.641580, 
11,0.720444,0.282030,0.177700,0.466309,0.638575,0.605913,0.481829, 
12,0.325053,0.372742,0.606657,0.620369,0.697447,0.325669,0.491323, 
13,0.619091,0.557112,0.372155,0.000000,0.648083,0.625554,0.470333, 
14,0.000000,0.000000,0.522589,0.612852,0.794831,0.435122,0.394232, 
15,0.896041,0.419877,0.706324,0.609782,0.350344,0.540322,0.587115, 
16,0.507525,0.612922,0.497575,0.628528,0.363144,0.417964,0.504609, 
17,0.351176,0.673076,0.522882,0.537119,0.570584,0.784500,0.573223, 
18,0.311871,0.425202,0.527877,0.498053,0.365921,0.613799,0.457120, 
19,0.460089,0.694000,0.720472,0.249124,0.607320,0.464510,0.532586, 
20,0.656751,0.236221,0.717914,0.705272,0.450799,0.837418,0.600729, 
21,0.562359,0.548807,0.731589,0.538344,0.207021,0.849699,0.572970, 
22,0.387526,0.387526,0.687364,0.485055,0.312295,0.234375,0.415690, 
23,0.449635,0.667217,0.702495,0.668261,0.483224,0.660271,0.605184, 
24,0.460364,0.184159,0.522227,0.442733,0.649336,0.956938,0.535960, 
25,0.477161,0.087692,0.666435,0.699976,0.585661,0.391778,0.484784, 
26,0.490312,0.404648,0.490352,0.685544,0.437295,0.702784,0.535156, 
27,0.488880,0.461148,0.299175,0.604811,0.445906,0.977095,0.546169, 
28,0.757605,0.771618,0.552140,0.279003,0.495192,0.522275,0.562972, 
29,0.261431,0.067192,0.565340,0.576083,0.707995,0.893115,0.511859, 
30,0.374611,0.579616,0.649689,0.316272,0.532417,0.563025,0.502605, 
31,0.148545,0.467677,0.645691,0.534144,0.554570,0.573821,0.487408, 
32,0.658940,0.027566,0.027566,0.860298,0.000000,0.568986,0.357226, 
33,0.497350,0.622792,0.226677,0.384740,0.437578,0.807155,0.496048, 
34,0.318484,0.000000,0.365521,0.601382,0.515950,0.615879,0.402869, 
35,0.385784,0.635816,0.720557,0.819760,0.534063,0.165296,0.543546, 
36,0.569588,0.532601,0.525170,0.515916,0.798367,0.262585,0.534038, 
37,0.427144,0.534852,0.865552,0.397780,0.828920,0.518908,0.595526, 
38,0.447741,0.225697,0.614834,0.234978,0.234978,0.725916,0.414024, 
39,0.491257,0.522965,0.610934,0.759648,0.686167,0.513558,0.597421, 
40,0.592716,0.669106,0.642546,0.577155,0.698716,0.516953,0.616199, 
41,0.436185,0.464774,0.438884,0.534279,0.785133,0.554752,0.535668, 
42,0.629553,0.318962,0.318962,0.897097,0.297402,0.684830,0.524468, 
43,0.471470,0.520979,0.523171,0.392197,0.425677,0.514947,0.474740, 
44,0.434494,0.325317,0.848026,0.441758,0.740356,0.789561,0.596586, 
45,0.438056,0.610346,0.398263,0.435096,0.580392,0.858431,0.553431, 
46,0.460928,0.603494,0.603104,0.828509,0.489726,0.419621,0.567564, 
47,0.545913,0.434973,0.447123,0.936482,0.536458,0.680315,0.596877, 
48,0.599912,0.001502,0.375231,0.455835,0.920863,0.487735,0.473513, 
49,0.472599,0.533648,0.624274,0.467301,0.183709,0.717380,0.499819, 
50,0.608648,0.330315,0.855103,0.879814,0.685905,0.778908,0.689782, 
51,0.310529,0.390235,0.503919,0.655146,0.514755,0.349603,0.454031, 
52,0.496639,0.618988,0.398193,0.362371,0.815692,0.443840,0.522621, 
53,0.334065,0.339707,0.697211,0.557494,0.618734,0.500513,0.507954, 
54,0.595363,0.459594,0.459594,0.784262,0.412039,0.785603,0.582743, 
55,0.565392,0.072994,0.323517,0.342253,0.300537,0.539599,0.357382, 
56,0.428705,0.410435,0.530186,0.637344,0.618044,0.313912,0.489771, 
57,0.467695,0.601326,0.538829,0.526328,0.520756,0.561416,0.536058, 
58,0.876627,0.724219,0.370973,0.511223,0.584260,0.395883,0.577198, 
59,0.767020,0.571617,0.651182,0.882387,0.509119,0.843613,0.704156, 
60,0.349488,0.536291,0.343496,0.145000,0.429955,0.852695,0.442821, 
61,0.447282,0.088352,0.423847,0.642444,0.410480,0.211924,0.370721, 
62,0.549865,0.525862,0.339902,0.617179,0.726962,0.785712,0.590914, 
63,0.000000,0.471334,0.863572,0.294192,0.652216,0.889489,0.528467, 
64,0.393814,0.712888,0.643526,0.636175,0.259739,0.799758,0.574317, 
65,0.300698,0.507009,0.396875,0.173871,0.154080,0.700687,0.372203, 
66,0.686206,0.675489,0.501180,0.679118,0.755464,0.713457,0.668486, 
67,0.423670,0.702830,0.806151,0.687003,0.348758,0.789261,0.626279, 
68,0.370740,0.294099,0.262189,0.599846,0.748146,0.703895,0.496486, 
69,0.385400,0.411941,0.077388,0.173204,0.532998,0.534250,0.352530, 
70,0.424400,0.473704,0.730561,0.411033,0.746209,0.734689,0.586766, 
71,0.283761,0.524523,0.345165,0.627810,0.979585,0.595555,0.559400, 
72,0.370931,0.851681,0.030060,0.388588,0.589694,0.886368,0.519553, 
73,0.429555,0.511461,0.710336,0.472672,0.465929,0.549720,0.523279, 
74,0.378856,0.488135,0.876177,0.488307,0.385083,0.513857,0.521736, 
75,0.256007,0.373000,0.283274,0.500745,0.082618,0.386149,0.313632, 
76,0.672580,0.648580,0.718249,0.527589,0.655812,0.769200,0.665335, 
77,0.623473,0.160402,0.666885,0.615061,0.473039,0.534408,0.512211, 
78,0.382668,0.781478,0.230341,0.230341,0.766336,0.264621,0.442631, 
79,0.670755,0.313923,0.784699,0.217357,0.589616,0.760579,0.556155, 
80,0.355852,0.296748,0.456274,0.540793,0.792779,0.810018,0.542077, 
81,0.651071,0.337261,0.698464,0.497905,0.843762,0.602745,0.605201, 
82,0.539146,0.516215,0.338992,0.395322,0.419619,0.704514,0.485635, 
83,0.254584,0.569328,0.107998,0.864252,0.730237,0.572075,0.516412, 
84,0.563493,0.583966,0.413813,0.824806,0.600262,0.681630,0.611328, 
85,0.581874,0.351436,0.702872,0.767021,0.583894,0.459743,0.574473, 
86,0.445771,0.441410,0.533628,0.769292,0.454252,0.701286,0.557607, 
87,0.479936,0.949670,0.526057,0.693438,0.632892,0.520903,0.633816, 
88,0.520483,0.446524,0.915724,0.570953,0.637203,0.264049,0.559156, 
89,0.610638,0.000000,0.000000,0.668762,0.490451,0.718260,0.414685, 
90,0.363889,0.280318,0.660200,0.528066,0.296404,0.800583,0.488243, 
91,0.370214,0.296458,0.370549,0.826967,0.370887,0.353306,0.431397, 
92,0.231026,0.567354,0.454187,0.558037,0.743695,0.609397,0.527283, 
93,0.173492,0.521355,0.171999,0.513348,0.792446,0.623681,0.466054, 
94,0.469538,0.511156,0.566984,0.728393,0.220645,0.617142,0.518976, 
95,0.533532,0.752943,0.243536,0.820848,0.549419,0.264031,0.527384, 
96,0.359013,0.718026,0.437286,0.447803,0.884994,0.477736,0.554143, 
97,0.130249,0.719793,0.691346,0.798781,0.626786,0.609931,0.596148, 
98,0.591544,0.750528,0.493690,0.523843,0.939904,0.778332,0.679640, 
99,0.862688,0.615946,0.266033,0.477475,0.510955,0.979484,0.618763, 
100,0.577759,0.716841,0.865372,0.717881,0.654139,0.723875,0.709311, 
101,0.440284,0.633946,0.692351,0.673488,0.401604,0.431464,0.545523, 
102,0.342433,0.161186,0.469306,0.913841,0.280177,0.780765,0.491285, 
103,0.557770,0.684621,0.698734,0.506014,0.554711,0.844268,0.641020, 
104,0.616263,0.440280,0.648577,0.752254,0.801135,0.439784,0.616382, 
105,0.734651,0.538796,0.653148,0.470644,0.699980,0.505010,0.600371, 
106,0.467639,0.625180,0.535411,0.116239,0.464528,0.365503,0.429083, 
107,0.526289,0.634085,0.397856,0.626932,0.491322,0.677402,0.558981, 
108,0.000000,0.403836,0.393565,0.000000,0.617111,0.534291,0.324801, 
109,0.416238,0.875276,0.066507,0.500409,0.710306,0.834228,0.567161, 
110,0.792262,0.612931,0.744309,0.728540,0.532974,0.617784,0.671467, 
111,0.465778,0.610051,0.550938,0.460557,0.513641,0.555772,0.526123, 
112,0.542023,0.500176,0.834348,0.722913,0.531985,0.262865,0.565718, 
113,0.338413,0.611394,0.594982,0.717961,0.318883,0.631654,0.535548, 
114,0.164210,0.928590,0.541780,0.570195,0.536851,0.492978,0.539101, 
115,0.705027,0.603545,0.401458,0.432776,0.456039,0.745912,0.557459, 
116,0.574109,0.146455,0.492989,0.772010,0.941017,0.817403,0.623997, 
117,0.725410,0.708406,0.272206,0.647499,0.510667,0.773307,0.606249, 
118,0.567714,0.551487,0.568817,0.464408,0.736044,0.562993,0.575244, 
119,0.417713,0.976821,0.737377,0.949670,0.701745,0.515641,0.716495, 
120,0.811472,0.764050,0.669287,0.603450,0.626921,0.599726,0.679151, 
121,0.429353,0.492646,0.671855,0.573921,0.928120,0.695287,0.631864, 
122,0.646090,0.684098,0.739369,0.564525,0.450947,0.571542,0.609428, 
123,0.779652,0.698853,0.398196,0.102009,0.876393,0.724217,0.596553, 
124,0.349428,0.377470,0.686036,0.589331,0.668755,0.606116,0.546189, 
125,0.609447,0.602076,0.241247,0.699987,0.753163,0.722211,0.604689, 
126,0.669126,0.871904,0.358800,0.499829,0.434551,0.659347,0.582260, 
127,0.519582,0.044946,0.698527,0.383063,0.355566,0.854534,0.476036, 
128,0.423989,0.848920,0.348153,0.834221,0.557504,0.434011,0.574466, 
129,0.259600,0.422543,0.396948,0.638654,0.416903,0.615745,0.458399, 
130,0.422882,0.283013,0.782900,0.369229,0.573885,0.458947,0.481809, 
131,0.876627,0.643249,0.724219,0.570206,0.584260,0.395883,0.632407, 
132,0.463979,0.413780,0.496650,0.896600,0.903545,0.615776,0.631722, 
133,0.504995,0.720907,0.603068,0.575463,0.469716,0.541500,0.569275, 
134,0.326866,0.540896,0.432654,0.394299,0.734504,0.523619,0.492140, 
135,0.341803,0.504126,0.635718,0.667515,0.447919,0.368556,0.494273, 
136,0.811115,0.373718,0.739756,0.650573,0.545469,0.173505,0.549023, 
137,0.474408,0.648554,0.830127,0.585241,0.628296,0.714963,0.646932, 
138,0.396244,0.590379,0.517362,0.831231,0.566061,0.368225,0.544917, 
139,0.350282,0.353806,0.418173,0.468241,0.676562,0.550713,0.469630, 
140,0.514869,0.911534,0.682307,0.254133,0.257434,0.655360,0.545940, 
141,0.781697,0.000000,0.680493,0.679261,0.650186,0.365260,0.526149, 
142,0.485796,0.124937,0.639639,0.444242,0.802045,0.770748,0.544568, 
143,0.265996,0.657212,0.579288,0.708518,0.229921,0.873778,0.552452, 
144,0.350447,0.427485,0.691766,0.558506,0.779511,0.714071,0.586964, 
145,0.500977,0.747347,0.618892,0.395820,0.480595,0.839857,0.597248, 
146,0.397912,0.478092,0.450480,0.536408,0.803937,0.692805,0.559939, 
147,0.533239,0.516051,0.303232,0.762829,0.619859,0.418302,0.525585, 
148,0.631989,0.466547,0.536763,0.654963,0.330169,0.723882,0.557385, 
149,0.243320,0.243320,0.371011,0.837270,0.613318,0.392739,0.450163, 
150,0.478336,0.510680,0.704560,0.606781,0.472292,0.593859,0.561084, 
151,0.470482,0.516961,0.076650,0.876592,0.542066,0.252165,0.455819, 
152,0.275543,0.469676,0.433327,0.595389,0.854480,0.638947,0.544560, 
153,0.477371,0.366285,0.669031,0.473648,0.203067,0.678948,0.478058, 
154,0.384721,0.471694,0.651293,0.890739,0.891238,0.630672,0.653393, 
155,0.730818,0.259505,0.521336,0.591219,0.789536,0.615597,0.584669, 
156,0.383583,0.321121,0.172271,0.499084,0.553468,0.533264,0.410465, 
157,0.478867,0.595618,0.528030,0.637898,0.611201,0.256327,0.517990, 
158,0.546304,0.228036,0.537816,0.522307,0.480790,0.280438,0.432615, 
159,0.339205,0.650409,0.867448,0.848658,0.556985,0.718897,0.663601, 
160,0.344234,0.136448,0.513363,0.539248,0.555128,0.879760,0.494697, 
161,0.816435,0.706481,0.400360,0.652785,0.653839,0.416488,0.607732, 
162,0.321193,0.960685,0.752148,0.825905,0.826769,0.511200,0.699650, 
163,0.323934,0.430515,0.581728,0.824210,0.349373,0.450667,0.493404, 
164,0.594158,0.427446,0.889269,0.628115,0.480111,0.415554,0.572442, 
165,0.236878,0.597814,0.856015,0.748221,0.494193,0.448361,0.563580, 
166,0.000000,0.654169,0.104559,0.583024,0.887820,0.428583,0.443026, 
167,0.393175,0.691696,0.479454,0.525288,0.212785,0.555110,0.476251, 
168,0.317695,0.416478,0.333712,0.599232,0.542064,0.711261,0.486740, 
169,0.672775,0.471537,0.440620,0.811322,0.484072,0.709814,0.598357, 
170,0.058573,0.000000,0.678658,0.355852,0.141538,0.643628,0.313041, 
171,0.426057,0.462982,0.393527,0.846452,0.448901,0.691086,0.544834, 
172,0.417870,0.588026,0.300711,0.294814,0.600391,0.467921,0.444956, 
173,0.458262,0.598840,0.645922,0.936072,0.699209,0.348273,0.614430, 
174,0.300362,0.844030,0.795960,0.663859,0.905660,0.596402,0.684379, 
175,0.669064,0.603739,0.356944,0.545499,0.544129,0.795971,0.585891, 
176,0.797132,0.528191,0.648293,0.625025,0.728186,0.678760,0.667598, 
177,0.244686,0.566598,0.641191,0.456663,0.590145,0.702592,0.533646, 
178,0.539301,0.945073,0.688847,0.397466,0.742131,0.551890,0.644118, 
179,0.692530,0.199931,0.621811,0.886093,0.651364,0.224936,0.546111, 
180,0.489484,0.236281,0.603841,0.410468,0.956918,0.646233,0.557204, 
181,0.478414,0.989993,0.583599,0.195252,0.346132,0.195252,0.464773, 
182,0.517141,0.558715,0.673776,0.498187,0.517141,0.479178,0.540690, 
183,0.698106,0.056147,0.523578,0.475099,0.328472,0.818749,0.483359, 
184,0.421623,0.783105,0.698361,0.624333,0.614690,0.470281,0.602065, 
185,0.448579,0.482586,0.666398,0.550580,0.588908,0.349469,0.514420, 
186,0.375463,0.535551,0.470270,0.900836,0.624482,0.486577,0.565530, 
187,0.685170,0.501370,0.551520,0.661430,0.638705,0.783421,0.636936, 
188,0.064978,0.317323,0.994715,0.512753,0.419397,0.522110,0.471879, 
189,0.740667,0.548144,0.758114,0.520596,0.641783,0.515359,0.620777, 
190,0.503274,0.755864,0.729159,0.387445,0.803812,0.409273,0.598138, 
191,0.368344,0.752994,0.648533,0.491936,0.754641,0.668888,0.614223, 
192,0.863252,0.753704,0.437522,0.422019,0.065401,0.343652,0.480925, 
193,0.026410,0.000000,0.187435,0.602314,0.544915,0.601500,0.327096, 
194,0.671834,0.738471,0.481602,0.508759,0.601642,0.431357,0.572278, 
195,0.511924,0.575040,0.639324,0.405531,0.514084,0.599807,0.540952, 
196,0.336029,0.487881,0.498432,0.270635,0.771302,0.637852,0.500355, 
197,0.610511,0.313649,0.491881,0.552567,0.543860,0.644839,0.526218, 
198,0.638362,0.754715,0.674257,0.674257,0.714186,0.531845,0.664603, 
199,0.846602,0.473962,0.609773,0.628443,0.590596,0.626020,0.629233, 
200,0.327462,0.346174,0.331355,0.749566,0.619580,0.260510,0.439108, 
201,0.768013,0.347880,0.641343,0.387693,0.826024,0.684060,0.609169, 
202,0.453928,0.348162,0.827627,0.860000,0.573091,0.858803,0.653602, 
203,0.313627,0.540764,0.555072,0.461069,0.701603,0.542443,0.519096, 
204,0.627725,0.567400,0.729297,0.570136,0.649934,0.473777,0.603045, 
205,0.384770,0.462038,0.359871,0.772475,0.864176,0.471430,0.552460, 
206,0.341363,0.434189,0.395438,0.643519,0.408345,0.712271,0.489188, 
207,0.147091,0.147091,0.308877,0.770684,0.577477,0.589704,0.423487, 
208,0.460325,0.735278,0.532862,0.311410,0.670587,0.867307,0.596295, 
209,0.369764,0.267075,0.425958,0.683034,0.556017,0.602922,0.484128, 
210,0.380910,0.800440,0.297546,0.394879,0.664519,0.762669,0.550160, 
211,0.491653,0.686324,0.309351,0.304463,0.551878,0.566675,0.485057, 
212,0.462402,0.793651,0.540632,0.450719,0.870225,0.549053,0.611114, 
213,0.465712,0.476062,0.338275,0.630398,0.382246,0.838381,0.521846, 
214,0.590213,0.668754,0.521104,0.588093,0.143574,0.807541,0.553213, 
215,0.737578,0.846656,0.323194,0.790484,0.381400,0.610845,0.615026, 
216,0.618440,0.358033,0.443605,0.618440,0.407841,0.764274,0.535106, 
217,0.286229,0.448615,0.573261,0.938025,0.335387,0.727053,0.551428, 
218,0.434619,0.575896,0.432352,0.614161,0.509708,0.741243,0.551330, 
219,0.605976,0.226348,0.395909,0.417847,0.458432,0.608227,0.452123, 
220,0.565042,0.758644,0.932126,0.907009,0.740677,0.521825,0.737554, 
221,0.446571,0.480124,0.305376,0.484487,0.427933,0.835569,0.496677, 
222,0.001461,0.410344,0.903228,0.631883,0.647289,0.761509,0.559286, 
223,0.343374,0.605207,0.383407,0.557481,0.425715,0.483514,0.466450, 
224,0.666837,0.755462,0.194780,0.637702,0.627145,0.784101,0.611004, 
225,0.268474,0.461321,0.357524,0.394474,0.749446,0.519535,0.458462, 
226,0.520654,0.761027,0.334252,0.633049,0.639745,0.470954,0.559947, 
227,0.736722,0.713137,0.526533,0.420560,0.354811,0.939129,0.615148, 
228,0.756471,0.360194,0.754888,0.148851,0.809073,0.453505,0.547163, 
