No.,tL,tR
true,0.833333,1.250000
0,0.924545,1.088864
1,0.932949,1.077435
2,0.825869,1.267178
3,0.919367,1.096137
4,0.892589,1.136796
5,0.889248,1.142266
6,0.930198,1.081128
7,0.870945,1.173954
8,0.859405,1.195596
9,0.875802,1.165242
10,0.886559,1.146732
11,0.816457,1.290000
12,0.947237,1.058989
13,0.939248,1.069154
14,0.865829,1.183380
15,0.863439,1.187873
16,0.909847,1.109983
17,0.793211,1.352627
18,0.856233,1.201786
19,0.824137,1.271278
20,0.890245,1.140624
21,0.958582,1.045159
22,0.862043,1.190524
23,0.820544,1.279925
24,0.868796,1.177880
25,0.806294,1.316209
26,0.823758,1.272182
27,0.852385,1.209455
28,0.926181,1.086603
29,0.903416,1.119708
30,0.841509,1.232046
31,0.971457,1.030271
32,0.857976,1.198371
33,0.905531,1.116475
34,0.875368,1.166014
35,0.903225,1.120003
36,0.849357,1.215600
37,0.920703,1.094242
38,0.850508,1.213249
39,0.821425,1.277790
40,0.868104,1.179156
41,0.904471,1.118089
42,0.875598,1.165608
43,0.846125,1.222282
44,0.753746,1.485231
45,0.835578,1.244984
46,0.849824,1.214645
47,0.919083,1.096542
48,0.935725,1.073757
49,0.856105,1.202037
50,0.821660,1.277221
51,0.744607,1.522049
52,0.830970,1.255356
53,0.792860,1.353651
54,0.879721,1.158375
55,0.897343,1.129182
56,0.842219,1.230525
57,0.902390,1.121286
58,0.855701,1.202840
59,0.832949,1.250866
60,0.921596,1.092985
61,0.857744,1.198822
62,0.933199,1.077102
63,0.882443,1.153694
64,0.923193,1.090748
65,0.851637,1.210962
66,0.839492,1.236392
67,0.872626,1.170915
68,0.954002,1.050657
69,0.855506,1.203228
70,0.857523,1.199254
71,0.834493,1.247399
72,0.743442,1.526934
73,0.817344,1.287787
74,0.937196,1.071826
75,0.850001,1.214283
76,0.877809,1.161711
77,0.927467,1.084841
78,0.916287,1.100548
79,0.835385,1.245411
80,0.857404,1.199489
81,0.860949,1.192619
82,0.894347,1.133960
83,0.817503,1.287394
84,0.844724,1.225218
85,0.822800,1.274473
86,0.847474,1.219479
87,0.857156,1.199973
88,0.916916,1.099641
89,0.873484,1.169370
90,0.738348,1.548884
91,0.813095,1.298480
92,0.922133,1.092228
93,0.885740,1.148107
94,0.907766,1.113099
95,0.801100,1.330288
96,0.879153,1.159367
97,0.847292,1.219853
98,0.874521,1.167519
99,0.832836,1.251120
100,0.869755,1.176123
101,0.934174,1.075806
102,0.840773,1.233625
103,0.872891,1.170434
104,0.796097,1.344319
105,0.897379,1.129122
106,0.802313,1.326957
107,0.853698,1.206816
108,0.922784,1.091317
109,0.839755,1.235825
110,0.824693,1.269959
111,0.888020,1.144296
112,0.845444,1.223706
113,0.864082,1.186659
114,0.769346,1.428176
115,0.885453,1.148587
116,0.885487,1.148528
117,0.816987,1.288673
118,0.849984,1.214317
119,0.819188,1.283237
120,0.835937,1.244185
121,0.820064,1.281094
122,0.897092,1.129576
123,0.793619,1.351444
124,0.887245,1.145587
125,0.882859,1.152982
126,0.909628,1.110309
127,0.898941,1.126663
128,0.759238,1.464365
129,0.805169,1.319216
130,0.902390,1.121286
131,0.889663,1.141576
132,0.856077,1.202094
133,0.910958,1.108335
134,0.805242,1.319021
135,0.886776,1.146368
136,0.833944,1.248628
137,0.921687,1.092858
138,0.817396,1.287659
139,0.914476,1.103173
140,0.906781,1.114580
141,0.944401,1.062555
142,0.898584,1.127220
143,0.820847,1.279188
144,0.856276,1.201706
145,0.822070,1.276228
146,0.864760,1.185382
147,0.860845,1.192818
148,0.937389,1.071575
149,0.759051,1.465060
150,0.944685,1.062196
151,0.856596,1.201073
152,0.906795,1.114561
153,0.836836,1.242201
154,0.879211,1.159266
155,0.917416,1.098922
156,0.883407,1.152047
157,0.877485,1.162277
158,0.863272,1.188192
159,0.907934,1.112846
160,0.878616,1.160300
161,0.847918,1.218561
162,0.805284,1.318911
163,0.785805,1.374722
164,0.875873,1.165118
165,0.929042,1.082696
166,0.908121,1.112564
167,0.840271,1.234710
168,0.868075,1.179209
169,0.974940,1.026383
170,0.815593,1.292157
171,0.755653,1.477889
172,0.872335,1.171435
173,0.881801,1.154792
174,0.831016,1.255252
175,0.840740,1.233697
176,0.873937,1.168560
177,0.814126,1.295857
178,0.909932,1.109858
179,0.904095,1.118665
180,0.931168,1.079823
181,0.779971,1.392952
182,0.892366,1.137160
183,0.843522,1.227753
184,0.761726,1.455200
185,0.852375,1.209472
186,0.832490,1.251906
187,0.921778,1.092731
188,0.839941,1.235422
189,0.843116,1.228614
190,0.859907,1.194625
191,0.940171,1.067962
192,0.926015,1.086834
193,0.861776,1.191033
194,0.845751,1.223062
195,0.792026,1.356090
196,0.840168,1.234931
197,0.797968,1.339014
198,0.850372,1.213529
199,0.879193,1.159294
200,0.876694,1.163670
201,0.840565,1.234071
202,0.788649,1.366105
203,0.796191,1.344052
204,0.889331,1.142127
205,0.892785,1.136481
206,0.959317,1.044285
207,0.842664,1.229578
208,0.787054,1.370918
209,0.797168,1.341275
210,0.831717,1.253653
211,0.825424,1.268229
212,0.824463,1.270504
213,0.861643,1.191290
214,0.881714,1.154942
215,0.805348,1.318738
216,0.884040,1.150973
217,0.798420,1.337746
218,0.820055,1.281118
