ó^Ç¶ÇΩèdóvìx,0.180000,0.280000,0.150000,0.250000,0.130000,0.230000,0.100000,0.200000,0.080000,0.180000,0.060000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.217147, 0.227509,0.217147, 0.227509,0.139525, 0.276075,0.127736, 0.218327,0.050921, 0.139525,0.075836, 0.082745,0.343377
2,0.181146, 0.183991,0.140333, 0.224804,0.106233, 0.183576,0.183991, 0.225862,0.181146, 0.183991,0.064593, 0.140333,0.285114
3,0.133701, 0.311934,0.194959, 0.250676,0.155967, 0.222462,0.125338, 0.211804,0.094243, 0.104265,0.057809, 0.136841,0.475965
4,0.141480, 0.273687,0.273687, 0.313448,0.128707, 0.145678,0.124528, 0.204990,0.061142, 0.129106,0.068330, 0.135218,0.404253
5,0.139833, 0.223130,0.137232, 0.270180,0.133368, 0.302528,0.103929, 0.152725,0.148873, 0.174490,0.073878, 0.139833,0.525773
6,0.163231, 0.304937,0.167760, 0.241223,0.156850, 0.167760,0.101531, 0.168766,0.096163, 0.174135,0.087067, 0.170576,0.454794
7,0.177211, 0.317057,0.185288, 0.188647,0.158529, 0.190972,0.097469, 0.199323,0.154562, 0.194938,0.044521, 0.091482,0.364840
8,0.182156, 0.271506,0.228855, 0.247090,0.137675, 0.240083,0.098078, 0.182156,0.080424, 0.137675,0.077678, 0.116626,0.390271
9,0.195345, 0.291026,0.143149, 0.261843,0.122848, 0.198595,0.126098, 0.195345,0.099297, 0.127997,0.094257, 0.144201,0.438012
10,0.213779, 0.316421,0.174280, 0.246540,0.139394, 0.211016,0.104217, 0.187563,0.082180, 0.149406,0.050786, 0.124419,0.470731
11,0.229516, 0.263085,0.230926, 0.238614,0.114707, 0.131594,0.131543, 0.259435,0.063201, 0.141890,0.070945, 0.124544,0.318324
12,0.159190, 0.267901,0.153847, 0.245336,0.133950, 0.246544,0.122668, 0.232963,0.103116, 0.179149,0.069814, 0.085522,0.514829
