é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.187788,0.187788,0.764957,0.758315,0.631214,0.129237,0.443216, 
2,0.055324,0.811012,0.604211,0.225684,0.000000,0.861952,0.426364, 
3,0.718823,0.706933,0.798765,0.800809,0.182180,0.858400,0.677652, 
4,0.806926,0.000000,0.268062,0.836429,0.584716,0.801593,0.549621, 
5,0.470604,0.858562,0.718027,0.655878,0.407862,0.794852,0.650964, 
6,0.827452,0.847021,0.196725,0.804076,0.876229,0.794869,0.724395, 
7,0.833868,0.065002,0.489919,0.984110,0.362426,0.428439,0.527294, 
8,0.943754,0.308454,0.912270,0.892623,0.728149,0.560615,0.724311, 
9,0.865238,0.914519,0.780608,0.818294,0.445995,0.666173,0.748471, 
10,0.653578,0.838966,0.834649,0.909171,0.804014,0.742013,0.797065, 
11,0.502649,0.142768,0.027267,0.600785,0.692709,0.697912,0.444015, 
12,0.842321,0.955555,0.903598,0.735461,0.863846,0.271503,0.762047, 
13,0.656516,0.729151,0.519786,0.000000,0.751580,0.743954,0.566831, 
14,0.000000,0.000000,0.743486,0.744734,0.944146,0.639241,0.511934, 
15,0.754415,0.858658,0.904323,0.488493,0.373773,0.636983,0.669441, 
16,0.752272,0.735658,0.465624,0.747126,0.394502,0.340247,0.572572, 
17,0.102377,0.778908,0.615006,0.641009,0.491335,0.868875,0.582918, 
18,0.680775,0.740269,0.882951,0.719794,0.480107,0.720331,0.704038, 
19,0.726571,0.807512,0.753939,0.269851,0.417621,0.716905,0.615400, 
20,0.760142,0.057020,0.854371,0.847277,0.675040,0.643771,0.639603, 
21,0.780936,0.530562,0.835256,0.530562,0.295506,0.910947,0.647295, 
22,0.279940,0.279940,0.797228,0.682208,0.279940,0.483142,0.467066, 
23,0.328386,0.756050,0.856077,0.773188,0.532485,0.655519,0.650284, 
24,0.930592,0.000000,0.629315,0.688318,0.949271,0.826851,0.670724, 
25,0.754208,0.098411,0.883265,0.864087,0.736600,0.518024,0.642432, 
26,0.247461,0.835982,0.842887,0.745156,0.533290,0.742292,0.657845, 
27,0.111359,0.894447,0.820540,0.731565,0.864858,0.985957,0.734788, 
28,0.745500,0.682684,0.611343,0.262969,0.600642,0.617639,0.586796, 
29,0.000000,0.041639,0.615380,0.689015,0.804618,0.758134,0.484798, 
30,0.702920,0.793092,0.753829,0.373310,0.687221,0.633035,0.657235, 
31,0.073950,0.710648,0.754372,0.665871,0.485503,0.611998,0.550390, 
32,0.770161,0.054221,0.054221,0.937722,0.000000,0.667159,0.413914, 
33,0.740932,0.787211,0.000000,0.311595,0.805682,0.925710,0.595188, 
34,0.265323,0.000000,0.334649,0.954502,0.522520,0.698633,0.462604, 
35,0.480319,0.740290,0.610128,0.792742,0.652689,0.139442,0.569268, 
36,0.659246,0.628944,0.382770,0.420686,0.928957,0.211637,0.538707, 
37,0.818399,0.510648,0.848555,0.743996,0.864536,0.607673,0.732301, 
38,0.496907,0.178509,0.558731,0.300221,0.300221,0.806273,0.440144, 
39,0.551026,0.740488,0.274268,0.802468,0.831476,0.609188,0.634819, 
40,0.799205,0.716072,0.818156,0.705569,0.834099,0.683313,0.759403, 
41,0.093334,0.578087,0.633421,0.615479,0.858662,0.539302,0.553047, 
42,0.490147,0.236198,0.214007,0.929656,0.332748,0.864308,0.511177, 
43,0.328610,0.651149,0.531611,0.432070,0.556255,0.875546,0.562540, 
44,0.405631,0.332886,0.809303,0.281011,0.813005,0.696648,0.556414, 
45,0.678067,0.784791,0.620675,0.923398,0.877875,0.694595,0.763234, 
46,0.749366,0.496074,0.877440,0.747957,0.556627,0.487307,0.652462, 
47,0.523450,0.502133,0.910650,0.794280,0.865686,0.690798,0.714500, 
48,0.848730,0.071228,0.484674,0.603223,0.567915,0.642424,0.536366, 
49,0.707011,0.485633,0.426294,0.541845,0.271778,0.784184,0.536124, 
50,0.720868,0.764260,0.738963,0.699903,0.799442,0.924795,0.774705, 
51,0.947197,0.700277,0.739854,0.846115,0.519234,0.473519,0.704366, 
52,0.776194,0.724269,0.748265,0.803782,0.744216,0.780624,0.762892, 
53,0.481841,0.560283,0.883957,0.842471,0.791261,0.753520,0.718889, 
54,0.801412,0.624600,0.490155,0.436858,0.769440,0.765479,0.647991, 
55,0.815484,0.058756,0.000000,0.424130,0.439237,0.898201,0.439302, 
56,0.588164,0.348017,0.631774,0.957162,0.944759,0.473557,0.657239, 
57,0.632952,0.685519,0.536366,0.609503,0.489523,0.661645,0.602585, 
58,0.685589,0.871763,0.462523,0.578424,0.709112,0.487977,0.632565, 
59,0.837292,0.835124,0.760258,0.641424,0.595168,0.794842,0.744018, 
60,0.384079,0.744564,0.611378,0.053681,0.575807,0.955231,0.554123, 
61,0.556528,0.070549,0.336638,0.719697,0.402659,0.183786,0.378309, 
62,0.438755,0.786191,0.520668,0.774781,0.837811,0.912750,0.711826, 
63,0.000000,0.675761,0.317440,0.072558,0.764034,0.970098,0.466648, 
64,0.673244,0.432981,0.898420,0.760810,0.403136,0.795746,0.660723, 
65,0.170149,0.789310,0.668025,0.354446,0.346359,0.956053,0.547390, 
66,0.786980,0.764539,0.286308,0.793455,0.694694,0.747018,0.678832, 
67,0.428785,0.737894,0.348894,0.875245,0.905328,0.897446,0.698932, 
68,0.752423,0.000000,0.356785,0.688416,0.734308,0.850698,0.563772, 
69,0.520437,0.557937,0.289749,0.268401,0.509681,0.675213,0.470236, 
70,0.463169,0.844369,0.808836,0.661920,0.786881,0.546151,0.685221, 
71,0.271584,0.821762,0.823828,0.874441,0.817685,0.706213,0.719252, 
72,0.621941,0.810562,0.000000,0.886017,0.942703,0.822377,0.680600, 
73,0.746483,0.634635,0.940927,0.504321,0.787507,0.728071,0.723657, 
74,0.775688,0.415022,0.802798,0.527668,0.427961,0.624740,0.595646, 
75,0.120181,0.493976,0.301443,0.611394,0.051993,0.508017,0.347834, 
76,0.873124,0.823084,0.772137,0.500502,0.653165,0.712814,0.722471, 
77,0.716175,0.000000,0.748084,0.721258,0.497131,0.773881,0.576088, 
78,0.486074,0.876647,0.204451,0.184098,0.755921,0.390126,0.482886, 
79,0.691021,0.243188,0.847420,0.156796,0.657946,0.755746,0.558686, 
80,0.788986,0.849894,0.560697,0.657903,0.650016,0.806960,0.719076, 
81,0.543549,0.073850,0.867013,0.627370,0.863048,0.707149,0.613663, 
82,0.855685,0.551604,0.820076,0.263149,0.588087,0.572736,0.608556, 
83,0.000000,0.961075,0.162122,0.786050,0.647827,0.382955,0.490005, 
84,0.522200,0.717718,0.598599,0.908652,0.799417,0.893375,0.739993, 
85,0.398094,0.682736,0.789040,0.908691,0.373797,0.892567,0.674154, 
86,0.793800,0.760670,0.773711,0.526767,0.477262,0.675798,0.668001, 
87,0.774078,0.845362,0.653682,0.781833,0.852943,0.525389,0.738881, 
88,0.674375,0.267512,0.839684,0.656798,0.713421,0.212062,0.560642, 
89,0.812306,0.000000,0.000000,0.934759,0.679366,0.713146,0.523263, 
90,0.796758,0.359986,0.782356,0.624576,0.627217,0.876013,0.677818, 
91,0.737086,0.680256,0.752442,0.938166,0.991744,0.339925,0.739936, 
92,0.326438,0.822959,0.407645,0.781079,0.708375,0.845989,0.648747, 
93,0.000000,0.637219,0.269651,0.636104,0.859950,0.582234,0.497526, 
94,0.709789,0.608001,0.571358,0.746164,0.094000,0.647461,0.562796, 
95,0.610929,0.803793,0.113415,0.835275,0.729987,0.226665,0.553344, 
96,0.500182,0.813625,0.893136,0.657346,0.904476,0.613015,0.730297, 
97,0.098860,0.257378,0.165100,0.958286,0.801834,0.874589,0.526008, 
98,0.371094,0.878604,0.546552,0.593052,0.886795,0.773536,0.674939, 
99,0.891127,0.901933,0.323644,0.804648,0.605016,0.952076,0.746408, 
100,0.711755,0.388230,0.961288,0.797533,0.545646,0.756288,0.693457, 
101,0.774702,0.823793,0.829543,0.760762,0.249534,0.575568,0.668984, 
102,0.764816,0.431451,0.536314,0.922498,0.593914,0.847358,0.682725, 
103,0.052000,0.504489,0.929176,0.399311,0.716308,0.859826,0.576851, 
104,0.750935,0.933986,0.391100,0.621571,0.933754,0.494919,0.687711, 
105,0.890961,0.750427,0.703018,0.521826,0.858358,0.813130,0.756287, 
106,0.559755,0.728595,0.660144,0.304939,0.634956,0.498539,0.564488, 
107,0.736076,0.630187,0.828077,0.876999,0.893638,0.792796,0.792962, 
108,0.000000,0.750508,0.831339,0.000000,0.914009,0.977357,0.578869, 
109,0.676882,0.899080,0.000000,0.415144,0.735705,0.813459,0.590045, 
110,0.582479,0.855574,0.777650,0.890168,0.874718,0.469778,0.741728, 
111,0.169993,0.808441,0.796023,0.732159,0.761777,0.737088,0.667580, 
112,0.608277,0.522602,0.679754,0.694611,0.627421,0.272555,0.567537, 
113,0.867953,0.895776,0.798202,0.986610,0.227246,0.708126,0.747319, 
114,0.256709,0.392789,0.526704,0.919158,0.647129,0.669423,0.568652, 
115,0.604712,0.737051,0.433697,0.739967,0.846228,0.858398,0.703342, 
116,0.885044,0.226795,0.601043,0.832415,0.982654,0.846454,0.729068, 
117,0.845208,0.782363,0.197228,0.946364,0.484872,0.769440,0.670913, 
118,0.542860,0.789152,0.831938,0.371305,0.820384,0.968417,0.720676, 
119,0.743733,0.367263,0.950273,0.851362,0.915557,0.662321,0.748418, 
120,0.446474,0.837852,0.771763,0.727450,0.951604,0.724119,0.743210, 
121,0.535767,0.464098,0.725924,0.676998,0.829634,0.874886,0.684551, 
122,0.695297,0.879676,0.773034,0.886097,0.432397,0.852517,0.753170, 
123,0.497539,0.806759,0.597099,0.000000,0.881682,0.706460,0.581590, 
124,0.898446,0.943528,0.677065,0.835476,0.843826,0.736721,0.822510, 
125,0.882989,0.749603,0.198745,0.808500,0.870686,0.396581,0.651184, 
126,0.822538,0.959223,0.014955,0.157214,0.536717,0.924461,0.569184, 
127,0.698534,0.000000,0.829764,0.543140,0.466572,0.870776,0.568131, 
128,0.791283,0.638160,0.236164,0.895558,0.855611,0.584330,0.666851, 
129,0.917286,0.803173,0.650322,0.931386,0.897608,0.634912,0.805781, 
130,0.596119,0.793752,0.913262,0.520484,0.742611,0.936214,0.750407, 
131,0.685589,0.666702,0.838475,0.500714,0.709112,0.487977,0.648095, 
132,0.600361,0.381808,0.774475,0.736748,0.973460,0.735240,0.700349, 
133,0.611715,0.628487,0.721726,0.802043,0.372822,0.666301,0.633849, 
134,0.186837,0.765617,0.657717,0.549963,0.777260,0.564427,0.583637, 
135,0.602665,0.771108,0.756273,0.819252,0.721492,0.452772,0.687260, 
136,0.421645,0.416388,0.946027,0.893874,0.637736,0.274253,0.598321, 
137,0.466184,0.874655,0.887331,0.733343,0.687379,0.733951,0.730474, 
138,0.203953,0.724767,0.619689,0.797674,0.637186,0.500367,0.580606, 
139,0.448953,0.815824,0.224310,0.528139,0.929258,0.845973,0.632076, 
140,0.124756,0.985478,0.684995,0.279248,0.064386,0.955300,0.515694, 
141,0.866865,0.000000,0.770217,0.733899,0.700492,0.377250,0.574787, 
142,0.801757,0.135781,0.745513,0.563264,0.782759,0.886513,0.652598, 
143,0.185892,0.436877,0.694286,0.731199,0.321303,0.748582,0.519690, 
144,0.750358,0.859276,0.833077,0.664434,0.646070,0.730886,0.747350, 
145,0.695048,0.861773,0.674747,0.914429,0.214507,0.923733,0.714039, 
146,0.822680,0.762463,0.394227,0.807199,0.858450,0.761044,0.734344, 
147,0.766577,0.537895,0.195572,0.926945,0.596384,0.541112,0.594081, 
148,0.927287,0.236549,0.603282,0.800134,0.432503,0.722863,0.620436, 
149,0.311903,0.169141,0.390087,0.910652,0.887324,0.557515,0.537770, 
150,0.815301,0.515689,0.917147,0.719943,0.733453,0.666554,0.728014, 
151,0.644231,0.699037,0.131018,0.951886,0.611807,0.417318,0.575883, 
152,0.708468,0.738093,0.290610,0.794975,0.904741,0.742522,0.696568, 
153,0.666066,0.134206,0.817107,0.561290,0.205516,0.802065,0.531042, 
154,0.806471,0.939360,0.604663,0.700439,0.909865,0.900069,0.810145, 
155,0.592353,0.298027,0.661680,0.612488,0.678676,0.719322,0.593758, 
156,0.403109,0.263136,0.012899,0.437907,0.654800,0.683914,0.409294, 
157,0.299964,0.719011,0.621311,0.680978,0.617968,0.401730,0.556827, 
158,0.802707,0.064507,0.430972,0.609560,0.688690,0.399577,0.499336, 
159,0.322610,0.729522,0.943045,0.782449,0.629577,0.496863,0.650678, 
160,0.493388,0.273289,0.692625,0.678820,0.735839,0.847506,0.620244, 
161,0.292296,0.884256,0.263510,0.681934,0.292296,0.425799,0.473348, 
162,0.729292,0.763205,0.782121,0.923061,0.726363,0.835846,0.793315, 
163,0.111176,0.666724,0.642426,0.952296,0.875111,0.408364,0.609350, 
164,0.766657,0.681164,0.665761,0.714034,0.888546,0.794426,0.751765, 
165,0.131953,0.470726,0.626739,0.777443,0.588743,0.391864,0.497911, 
166,0.000000,0.798132,0.135804,0.589956,0.872061,0.589647,0.497600, 
167,0.536475,0.811093,0.265982,0.591775,0.193480,0.637019,0.505971, 
168,0.808158,0.652353,0.321396,0.657045,0.682093,0.805727,0.654462, 
169,0.878669,0.920439,0.523053,0.875730,0.464073,0.564314,0.704380, 
170,0.000000,0.000000,0.852620,0.634490,0.277206,0.739299,0.417269, 
171,0.640704,0.580904,0.584565,0.889827,0.558812,0.719526,0.662390, 
172,0.804569,0.766950,0.634380,0.894336,0.408410,0.961021,0.744944, 
173,0.450747,0.650642,0.834768,0.946169,0.792439,0.179973,0.642456, 
174,0.748052,0.618710,0.783401,0.722464,0.877923,0.800956,0.758584, 
175,0.771699,0.830221,0.237745,0.675088,0.726609,0.705548,0.657818, 
176,0.877797,0.612549,0.755519,0.465996,0.837172,0.967634,0.752778, 
177,0.158843,0.771883,0.782809,0.533828,0.695967,0.892453,0.639297, 
178,0.753492,0.810032,0.754174,0.530611,0.813879,0.729768,0.731993, 
179,0.696145,0.140377,0.964689,0.876215,0.673533,0.317189,0.611358, 
180,0.792245,0.177481,0.599311,0.457954,0.977920,0.914540,0.653242, 
181,0.651038,0.882903,0.781962,0.234807,0.256490,0.234807,0.507001, 
182,0.905648,0.787478,0.860103,0.615149,0.874144,0.889420,0.821990, 
183,0.767843,0.000000,0.717922,0.557791,0.361131,0.775999,0.530114, 
184,0.732710,0.158230,0.831727,0.639313,0.778225,0.566198,0.617734, 
185,0.907021,0.703985,0.852556,0.804606,0.703527,0.762652,0.789058, 
186,0.636340,0.580270,0.426544,0.895843,0.603341,0.850765,0.665517, 
187,0.845015,0.758394,0.447695,0.771611,0.481053,0.951115,0.709147, 
188,0.109670,0.468601,0.906952,0.729050,0.524827,0.672384,0.568581, 
189,0.339775,0.709590,0.926476,0.725025,0.439914,0.669826,0.635101, 
190,0.615704,0.745779,0.848629,0.727138,0.911023,0.365370,0.702274, 
191,0.410064,0.958508,0.440757,0.548595,0.832329,0.785902,0.662692, 
192,0.957034,0.825778,0.582391,0.491360,0.106959,0.517802,0.580221, 
193,0.000000,0.000000,0.232462,0.720499,0.511123,0.771251,0.372556, 
194,0.855736,0.944042,0.243275,0.579054,0.977967,0.619272,0.703224, 
195,0.765252,0.696951,0.627603,0.202993,0.534538,0.745279,0.595436, 
196,0.803833,0.569246,0.637819,0.600066,0.891861,0.747135,0.708327, 
197,0.802279,0.640298,0.723143,0.359266,0.649582,0.608348,0.630486, 
198,0.741120,0.807759,0.738571,0.746806,0.828781,0.904105,0.794524, 
199,0.807238,0.345360,0.906043,0.892264,0.505667,0.649396,0.684328, 
200,0.912533,0.696328,0.205553,0.881951,0.738695,0.432120,0.644530, 
201,0.944054,0.530346,0.593065,0.340862,0.859332,0.722556,0.665036, 
202,0.861253,0.733483,0.837333,0.763960,0.941189,0.716454,0.808945, 
203,0.276419,0.554570,0.803704,0.870427,0.888792,0.747910,0.690304, 
204,0.765860,0.879129,0.716539,0.810428,0.956339,0.559479,0.781296, 
205,0.305502,0.554568,0.421052,0.906646,0.890174,0.589775,0.611286, 
206,0.374823,0.481575,0.805909,0.811389,0.488695,0.714557,0.612824, 
207,0.063790,0.063790,0.398605,0.896493,0.673270,0.556209,0.442026, 
208,0.777440,0.852742,0.781625,0.171968,0.639421,0.737347,0.660090, 
209,0.737025,0.769605,0.662158,0.767993,0.425595,0.990421,0.725466, 
210,0.641417,0.521562,0.806125,0.708033,0.652809,0.762814,0.682127, 
211,0.970061,0.647741,0.370557,0.792641,0.562294,0.763615,0.684485, 
212,0.710374,0.875642,0.590788,0.570725,0.393183,0.764420,0.650855, 
213,0.796039,0.643337,0.898227,0.631633,0.510338,0.891718,0.728549, 
214,0.791377,0.812124,0.715460,0.553236,0.209531,0.854929,0.656109, 
215,0.819757,0.385941,0.436661,0.947745,0.213578,0.703125,0.584468, 
216,0.921630,0.598600,0.461567,0.769438,0.860065,0.582528,0.698971, 
217,0.253759,0.702244,0.852962,0.947186,0.461154,0.785535,0.667140, 
218,0.815641,0.052943,0.853816,0.795163,0.668860,0.763778,0.658367, 
219,0.384968,0.088254,0.765636,0.626634,0.977784,0.620592,0.577311, 
220,0.761374,0.563469,0.859024,0.794862,0.906181,0.643622,0.754755, 
221,0.508621,0.721081,0.309867,0.578571,0.513211,0.901473,0.588804, 
222,0.239950,0.524096,0.898877,0.697087,0.771275,0.707146,0.639739, 
223,0.664540,0.737187,0.665300,0.551915,0.813363,0.883085,0.719231, 
224,0.652996,0.940648,0.208774,0.809308,0.611116,0.816265,0.673185, 
225,0.515135,0.834620,0.662490,0.826861,0.804979,0.634944,0.713172, 
226,0.748763,0.890889,0.820833,0.802748,0.697522,0.916959,0.812952, 
227,0.690170,0.802478,0.511259,0.850117,0.860760,0.843648,0.759739, 
228,0.655388,0.728738,0.838387,0.183054,0.819033,0.955252,0.696642, 
229,0.383731,0.961807,0.024362,0.938034,0.674776,0.944705,0.654569, 
230,0.280346,0.802184,0.130116,0.665591,0.150738,0.584414,0.435565, 
231,0.515004,0.862548,0.812832,0.341828,0.679717,0.788372,0.666717, 
232,0.257205,0.233302,0.510396,0.910995,0.960893,0.709811,0.597100, 
233,0.480703,0.518147,0.510672,0.926153,0.788486,0.822562,0.674454, 
234,0.998377,0.811877,0.588510,0.827406,0.000000,0.665224,0.648566, 
235,0.642994,0.388504,0.482443,0.403567,0.431794,0.648788,0.499682, 
236,0.620324,0.784474,0.717013,0.788924,0.121413,0.534121,0.594378, 
