é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.103624,0.103624,0.619376,0.610715,0.461149,0.069082,0.327928, 
2,0.028449,0.682103,0.432881,0.127195,0.000000,0.757395,0.338004, 
3,0.561064,0.546711,0.664954,0.667791,0.100219,0.751928,0.548778, 
4,0.676342,0.000000,0.154776,0.718847,0.413144,0.668883,0.438665, 
5,0.307706,0.752175,0.560095,0.487960,0.256172,0.659548,0.503943, 
6,0.705687,0.734637,0.109093,0.672346,0.779723,0.659571,0.610176, 
7,0.715072,0.033593,0.324432,0.968717,0.221319,0.272620,0.422625, 
8,0.893498,0.182350,0.838691,0.806069,0.572511,0.389482,0.613767, 
9,0.762485,0.842501,0.640162,0.692469,0.286997,0.499444,0.620676, 
10,0.485418,0.722602,0.716221,0.833468,0.672260,0.589841,0.669968, 
11,0.335692,0.076872,0.013822,0.429373,0.529881,0.535994,0.320272, 
12,0.727595,0.914892,0.824148,0.581604,0.760325,0.157074,0.660940, 
13,0.488667,0.573751,0.351156,0.000000,0.602026,0.592299,0.434650, 
14,0.000000,0.000000,0.591705,0.593288,0.894202,0.469768,0.424827, 
15,0.605672,0.752323,0.825356,0.323183,0.229841,0.467333,0.533951, 
16,0.602914,0.581850,0.303461,0.596330,0.245719,0.204999,0.422546, 
17,0.053950,0.637878,0.444050,0.471680,0.325675,0.768151,0.450231, 
18,0.516042,0.587640,0.790432,0.562249,0.315882,0.562905,0.555858, 
19,0.570563,0.677166,0.605058,0.155970,0.263920,0.558731,0.471901, 
20,0.613087,0.029347,0.745767,0.735022,0.509480,0.474677,0.517897, 
21,0.640604,0.361064,0.717115,0.361064,0.173369,0.836458,0.514946, 
22,0.162750,0.162750,0.662825,0.517691,0.162750,0.318515,0.331213, 
23,0.196448,0.607782,0.748370,0.630242,0.362848,0.487563,0.505542, 
24,0.870193,0.000000,0.459124,0.524759,0.903441,0.704814,0.577055, 
25,0.605404,0.051752,0.790935,0.760698,0.583030,0.349550,0.523561, 
26,0.141202,0.718187,0.728440,0.593824,0.363596,0.590194,0.522574, 
27,0.058963,0.809049,0.695692,0.576746,0.761895,0.972304,0.645775, 
28,0.594260,0.518238,0.440241,0.151390,0.429227,0.446800,0.430026, 
29,0.000000,0.021262,0.444440,0.525571,0.673105,0.610480,0.379143, 
30,0.541925,0.657127,0.604917,0.229491,0.523486,0.463096,0.503340, 
31,0.038395,0.551166,0.605616,0.499106,0.320570,0.440920,0.409296, 
32,0.626230,0.027866,0.027866,0.882747,0.000000,0.500554,0.344210, 
33,0.588477,0.649091,0.000000,0.184550,0.674595,0.861695,0.493068, 
34,0.152952,0.000000,0.200948,0.912964,0.353656,0.536846,0.359561, 
35,0.316066,0.587667,0.438981,0.656647,0.484438,0.074946,0.426457, 
36,0.491697,0.458729,0.236683,0.266373,0.867339,0.118341,0.406527, 
37,0.692619,0.342866,0.736948,0.592351,0.761394,0.436444,0.593771, 
38,0.330590,0.098002,0.387666,0.176624,0.176624,0.675424,0.307488, 
39,0.380287,0.587917,0.158928,0.670102,0.711561,0.438009,0.491134, 
40,0.665563,0.557720,0.692271,0.545081,0.715412,0.518964,0.615835, 
41,0.048951,0.406556,0.463509,0.444543,0.752329,0.369208,0.414183, 
42,0.324632,0.133914,0.119825,0.868558,0.199578,0.761041,0.401258, 
43,0.196609,0.482744,0.362037,0.275567,0.385286,0.778641,0.413481, 
44,0.254415,0.199678,0.679689,0.163475,0.684927,0.534504,0.419448, 
45,0.512936,0.645807,0.449985,0.857696,0.782333,0.532092,0.630142, 
46,0.599188,0.329852,0.781642,0.597389,0.385644,0.322146,0.502643, 
47,0.354509,0.335232,0.835957,0.658760,0.763181,0.527648,0.579214, 
48,0.737211,0.036929,0.319848,0.431868,0.396565,0.473214,0.399273, 
49,0.546804,0.320684,0.270885,0.371597,0.157259,0.644986,0.385369, 
50,0.563560,0.618463,0.585997,0.538346,0.665893,0.860110,0.638728, 
51,0.899691,0.538790,0.587117,0.733275,0.350652,0.310203,0.569955, 
52,0.634245,0.567728,0.597782,0.671936,0.592630,0.640183,0.617418, 
53,0.317385,0.389162,0.792046,0.727818,0.654616,0.604519,0.580924, 
54,0.668630,0.454122,0.324639,0.279475,0.625276,0.620061,0.495367, 
55,0.688453,0.030267,0.000000,0.269140,0.281425,0.815213,0.347417, 
56,0.416595,0.210666,0.461746,0.917844,0.895301,0.310236,0.535398, 
57,0.463007,0.521514,0.366462,0.438335,0.324085,0.494372,0.434629, 
58,0.521595,0.772677,0.300832,0.406889,0.549321,0.322731,0.479008, 
59,0.720122,0.716921,0.613238,0.472129,0.423658,0.659533,0.600934, 
60,0.237684,0.593072,0.440277,0.027581,0.404304,0.914299,0.436203, 
61,0.385548,0.036564,0.202384,0.562131,0.252081,0.101192,0.256650, 
62,0.281029,0.647706,0.351961,0.632361,0.720891,0.839503,0.578908, 
63,0.000000,0.510302,0.188665,0.037645,0.618168,0.941931,0.382785, 
64,0.507437,0.276309,0.815574,0.613958,0.252455,0.660779,0.521085, 
65,0.092985,0.651951,0.501530,0.215396,0.209452,0.915806,0.431187, 
66,0.648777,0.618829,0.167071,0.657626,0.532207,0.596192,0.536784, 
67,0.272900,0.584653,0.211309,0.778166,0.827032,0.813971,0.581338, 
68,0.603108,0.000000,0.217126,0.524874,0.580163,0.740187,0.444243, 
69,0.351751,0.386902,0.169419,0.155002,0.341995,0.509677,0.319124, 
70,0.301379,0.730657,0.679030,0.494679,0.648643,0.375659,0.538341, 
71,0.157129,0.697450,0.700432,0.776895,0.691596,0.545850,0.594892, 
72,0.451317,0.681466,0.000000,0.795359,0.891616,0.698337,0.586349, 
73,0.595511,0.464810,0.888444,0.337185,0.649494,0.572414,0.584643, 
74,0.633570,0.261847,0.670562,0.358389,0.272233,0.454271,0.441812, 
75,0.063932,0.328000,0.177470,0.440293,0.026690,0.340498,0.229481, 
76,0.774818,0.699356,0.628846,0.333780,0.484963,0.553777,0.579257, 
77,0.557845,0.000000,0.597551,0.564037,0.330788,0.631163,0.446897, 
78,0.321069,0.780385,0.113866,0.101381,0.607615,0.242333,0.361108, 
79,0.527909,0.138425,0.735237,0.085067,0.490253,0.607388,0.430713, 
80,0.651508,0.738970,0.389561,0.490205,0.481499,0.676389,0.571355, 
