No.,tL,tR
true,0.833333,1.250000
0,0.966053,1.036418
1,0.945103,1.061669
2,0.943620,1.063547
3,0.934649,1.075175
4,0.914306,1.103420
5,0.921072,1.093723
6,0.959165,1.044467
7,0.915141,1.102203
8,0.908832,1.111496
9,0.882828,1.153033
10,0.969678,1.032279
11,0.873499,1.169346
12,0.921763,1.092750
13,0.964871,1.037784
14,0.913464,1.104649
15,0.933921,1.076141
16,0.944209,1.062799
17,0.902850,1.120579
18,0.948244,1.057730
19,0.898435,1.127454
20,0.940873,1.067057
21,0.978645,1.022312
22,0.903224,1.120001
23,0.897267,1.129300
24,0.928528,1.083393
25,0.899805,1.125305
26,0.887292,1.145509
27,0.911137,1.108070
28,0.934547,1.075315
29,0.929393,1.082217
30,0.934313,1.075622
31,0.978306,1.022677
32,0.929918,1.081505
33,0.948355,1.057594
34,0.951624,1.053559
35,0.950713,1.054675
36,0.908691,1.111708
37,0.935717,1.073764
38,0.926137,1.086666
39,0.900386,1.124396
40,0.928206,1.083836
41,0.961227,1.042030
42,0.934511,1.075358
43,0.903884,1.118989
44,0.881744,1.154886
45,0.897911,1.128282
46,0.914921,1.102522
47,0.948768,1.057080
48,0.976532,1.024624
49,0.904091,1.118670
50,0.921349,1.093334
51,0.859445,1.195514
52,0.869608,1.176390
53,0.893825,1.134797
54,0.967715,1.034513
55,0.922728,1.091397
56,0.896284,1.130861
57,0.930118,1.081234
58,0.912765,1.105672
59,0.933727,1.076400
60,0.961027,1.042269
61,0.906747,1.114632
62,0.982416,1.018225
63,0.924614,1.088770
64,0.937638,1.071250
65,0.907991,1.112759
66,0.889153,1.142418
67,0.915613,1.101522
68,0.941708,1.065982
69,0.917515,1.098780
70,0.891235,1.139000
71,0.940069,1.068093
72,0.889289,1.142199
73,0.920410,1.094655
74,0.948143,1.057856
75,0.911433,1.107634
76,0.912985,1.105349
77,0.954101,1.050538
78,0.937441,1.071506
79,0.891324,1.138856
80,0.943734,1.063402
81,0.916297,1.100530
82,0.942637,1.064797
83,0.877922,1.161510
84,0.906763,1.114609
85,0.929178,1.082509
86,0.898361,1.127570
87,0.918117,1.097919
88,0.954533,1.050014
89,0.876344,1.164287
90,0.868524,1.178381
91,0.900462,1.124280
92,0.936684,1.072495
93,0.971964,1.029702
94,0.933134,1.077192
95,0.884996,1.149358
96,0.972141,1.029501
97,0.918862,1.096854
98,0.910212,1.109441
99,0.906636,1.114802
100,0.909432,1.110601
101,0.900461,1.124279
102,0.940615,1.067387
103,0.921408,1.093251
104,0.913261,1.104943
105,0.906999,1.114251
106,0.887892,1.144510
107,0.917767,1.098418
108,0.908487,1.112014
109,0.898707,1.127025
110,0.909002,1.111242
111,0.923878,1.089794
112,0.891906,1.137909
113,0.933960,1.076090
114,0.887435,1.145271
115,0.896462,1.130576
116,0.922937,1.091106
117,0.888110,1.144148
118,0.878278,1.160891
119,0.897693,1.128626
120,0.891906,1.137908
121,0.886244,1.147256
122,0.947324,1.058879
123,0.895407,1.132259
124,0.922424,1.091823
125,0.921634,1.092930
126,0.925578,1.087436
127,0.921733,1.092791
128,0.855798,1.202644
129,0.896157,1.131063
130,0.930118,1.081234
131,0.918929,1.096759
132,0.933331,1.076925
133,0.958584,1.045155
134,0.897582,1.128802
135,0.931462,1.079426
136,0.900616,1.124039
137,0.930898,1.080184
138,0.902746,1.120737
139,0.941060,1.066816
140,0.934290,1.075653
141,0.937502,1.071427
142,0.950094,1.055438
143,0.909303,1.110794
144,0.908214,1.112424
145,0.894230,1.134147
146,0.937952,1.070838
147,0.920181,1.094980
148,0.963286,1.039623
149,0.874606,1.167368
150,0.935550,1.073989
151,0.885326,1.148805
152,0.969970,1.031949
153,0.881905,1.154612
154,0.931175,1.079812
155,0.960792,1.042542
156,0.941918,1.065716
157,0.965036,1.037592
158,0.924027,1.089587
159,0.917280,1.099117
160,0.992534,1.007579
161,0.899551,1.125701
162,0.931999,1.078707
163,0.869140,1.177250
164,0.934858,1.074900
165,0.940792,1.067162
166,0.954951,1.049507
167,0.896247,1.130919
168,0.912253,1.106421
169,0.967538,1.034717
170,0.880378,1.157241
171,0.896722,1.130164
172,0.906583,1.114879
173,0.879190,1.159299
174,0.899701,1.125467
