ó^Ç¶ÇΩèdóvìx,0.180000,0.280000,0.150000,0.250000,0.130000,0.230000,0.100000,0.200000,0.080000,0.180000,0.060000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.206784, 0.237871,0.206784, 0.237871,0.119091, 0.296508,0.116655, 0.229408,0.008155, 0.182290,0.074109, 0.084472,0.536842
2,0.178301, 0.186836,0.113642, 0.251495,0.092660, 0.197150,0.182569, 0.227284,0.178301, 0.186836,0.025109, 0.179817,0.458835
3,0.106237, 0.339398,0.134178, 0.311458,0.125494, 0.252936,0.114416, 0.222726,0.090107, 0.108401,0.000001, 0.194648,0.859134
4,0.121600, 0.293567,0.263691, 0.323444,0.122908, 0.151476,0.099368, 0.230150,0.051858, 0.138389,0.063710, 0.139838,0.553729
5,0.120988, 0.241975,0.046499, 0.360913,0.112532, 0.323363,0.090839, 0.165815,0.127720, 0.195644,0.046177, 0.167534,0.910489
6,0.144192, 0.323977,0.162305, 0.246678,0.152734, 0.171877,0.098421, 0.171877,0.070564, 0.199733,0.081153, 0.176491,0.581263
7,0.149047, 0.345222,0.176890, 0.197045,0.153650, 0.195850,0.088445, 0.208348,0.129851, 0.219650,0.042519, 0.093484,0.519197
8,0.161248, 0.292415,0.192883, 0.283061,0.123745, 0.254013,0.059735, 0.220499,0.073505, 0.144593,0.075317, 0.118986,0.627133
9,0.190540, 0.295830,0.139287, 0.265705,0.094148, 0.227294,0.113647, 0.207796,0.095270, 0.132024,0.091488, 0.146970,0.551237
10,0.105911, 0.424289,0.123712, 0.297108,0.108250, 0.242160,0.088367, 0.203413,0.074558, 0.157028,0.042655, 0.132550,0.913097
11,0.180185, 0.312416,0.223239, 0.246301,0.089787, 0.156513,0.123150, 0.267828,0.048882, 0.156208,0.063417, 0.132072,0.542676
12,0.063231, 0.363860,0.064273, 0.334910,0.106773, 0.273722,0.106773, 0.248859,0.068719, 0.213545,0.062518, 0.092819,1.055428
13,0.136755, 0.264680,0.166280, 0.235155,0.107720, 0.176137,0.215440, 0.235155,0.107720, 0.176137,0.056324, 0.122495,0.419520
14,0.200753, 0.200753,0.200753, 0.200753,0.107259, 0.294247,0.100377, 0.257325,0.069863, 0.200753,0.056747, 0.110417,0.528497
15,0.178680, 0.271565,0.084033, 0.317090,0.100281, 0.240349,0.132237, 0.225123,0.041497, 0.125507,0.083075, 0.200562,0.760394
16,0.139495, 0.334012,0.119837, 0.231427,0.119881, 0.322685,0.110641, 0.240623,0.080225, 0.116916,0.073617, 0.110641,0.712609
17,0.255851, 0.274607,0.173991, 0.267713,0.132614, 0.179717,0.131534, 0.180798,0.078136, 0.128284,0.058591, 0.138165,0.338566
18,0.084641, 0.415728,0.110730, 0.335048,0.071498, 0.265752,0.018146, 0.232038,0.056575, 0.129020,0.059609, 0.221213,1.197601
19,0.138447, 0.347708,0.122740, 0.237907,0.126841, 0.277972,0.115697, 0.139319,0.084561, 0.153791,0.022544, 0.232472,0.778340
20,0.136582, 0.282386,0.209484, 0.355287,0.075881, 0.256654,0.057934, 0.218963,0.000001, 0.201418,0.045966, 0.159446,0.948305
21,0.161265, 0.348063,0.137289, 0.215859,0.118126, 0.259712,0.137289, 0.215859,0.067936, 0.105206,0.056822, 0.176574,0.642548
22,0.199347, 0.248172,0.199347, 0.248172,0.092684, 0.223760,0.100784, 0.279246,0.087467, 0.111880,0.085315, 0.123824,0.470110
23,0.242934, 0.267197,0.127533, 0.226172,0.118805, 0.259628,0.098639, 0.255065,0.050613, 0.134925,0.081169, 0.137319,0.560613
24,0.147737, 0.297755,0.266279, 0.268729,0.073445, 0.207197,0.016352, 0.264290,0.066876, 0.183148,0.064119, 0.144072,0.730383
25,0.135004, 0.313756,0.209029, 0.239731,0.112190, 0.268893,0.058321, 0.224380,0.027478, 0.224380,0.074647, 0.112190,0.766659
26,0.162159, 0.246880,0.057984, 0.306429,0.083110, 0.306780,0.072309, 0.185370,0.102260, 0.262153,0.054672, 0.159893,0.935012
27,0.238417, 0.322970,0.097683, 0.280694,0.023892, 0.329759,0.070173, 0.179896,0.014283, 0.219445,0.053326, 0.169460,1.004450
28,0.168120, 0.266134,0.127190, 0.259687,0.069872, 0.217127,0.162723, 0.243155,0.064479, 0.134515,0.084060, 0.202939,0.647112
29,0.228234, 0.406291,0.152464, 0.158631,0.126287, 0.184808,0.077774, 0.169142,0.105754, 0.185012,0.050055, 0.155547,0.518864
30,0.137378, 0.404389,0.086269, 0.271785,0.107536, 0.211454,0.100746, 0.135893,0.107536, 0.211454,0.082578, 0.142982,0.755913
31,0.251059, 0.274096,0.081103, 0.308477,0.129145, 0.287671,0.019372, 0.214558,0.070192, 0.205283,0.027756, 0.131289,0.842745
32,0.171188, 0.250515,0.206671, 0.215031,0.206671, 0.215031,0.101983, 0.210851,0.070284, 0.073070,0.075688, 0.203015,0.335028
33,0.129362, 0.347996,0.115443, 0.238679,0.229828, 0.247530,0.084759, 0.149281,0.000001, 0.223082,0.046598, 0.187442,0.788020
34,0.232172, 0.335354,0.101693, 0.141881,0.180580, 0.283763,0.065845, 0.241040,0.094771, 0.148804,0.056753, 0.117343,0.536373
35,0.202162, 0.382254,0.120308, 0.265933,0.107979, 0.260180,0.102448, 0.184079,0.061360, 0.141246,0.079621, 0.092430,0.652245
36,0.172339, 0.262991,0.101721, 0.221223,0.181246, 0.225637,0.150179, 0.212313,0.065468, 0.203442,0.090623, 0.112819,0.476849
37,0.128712, 0.372860,0.191906, 0.276891,0.127831, 0.244253,0.000001, 0.245910,0.073652, 0.167478,0.053306, 0.117199,0.849183
38,0.087038, 0.266785,0.198087, 0.363572,0.140415, 0.196844,0.125093, 0.155736,0.125093, 0.155736,0.045186, 0.140415,0.558177
39,0.197185, 0.367250,0.090818, 0.282217,0.141109, 0.207551,0.087165, 0.176611,0.094072, 0.196251,0.043778, 0.115993,0.691746
40,0.137562, 0.325191,0.135911, 0.231377,0.073620, 0.253596,0.086768, 0.172943,0.082310, 0.209206,0.054731, 0.236785,0.858196
41,0.249414, 0.278784,0.092524, 0.218477,0.157366, 0.282456,0.132049, 0.178951,0.071119, 0.175723,0.031088, 0.132049,0.532880
42,0.181467, 0.225913,0.181467, 0.206841,0.168780, 0.194154,0.093907, 0.194154,0.133902, 0.229033,0.019486, 0.170894,0.441979
43,0.200130, 0.350566,0.176470, 0.291175,0.122653, 0.186414,0.100065, 0.145242,0.044304, 0.137674,0.022968, 0.222339,0.666819
44,0.086116, 0.267605,0.192085, 0.343125,0.133802, 0.244648,0.133802, 0.181327,0.056555, 0.166275,0.048180, 0.146480,0.698919
45,0.152552, 0.392205,0.093622, 0.266408,0.013378, 0.272378,0.031503, 0.254253,0.049888, 0.235869,0.062338, 0.175606,1.193439
46,0.141138, 0.365106,0.154250, 0.318913,0.131435, 0.251560,0.118291, 0.200623,0.066814, 0.130183,0.000001, 0.121687,0.776145
47,0.143992, 0.259672,0.189012, 0.295763,0.059845, 0.282943,0.100916, 0.184517,0.043046, 0.242387,0.064969, 0.132940,0.796442
48,0.131382, 0.294934,0.233722, 0.244801,0.102837, 0.178916,0.123700, 0.256104,0.072097, 0.178916,0.060190, 0.122401,0.552142
49,0.125065, 0.334100,0.154185, 0.210254,0.124960, 0.199718,0.083525, 0.146057,0.156769, 0.207670,0.075478, 0.182219,0.560038
50,0.135731, 0.271463,0.074891, 0.382169,0.121199, 0.241570,0.089127, 0.198803,0.054365, 0.202152,0.047146, 0.181384,0.955083
