é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.474296,0.474296,0.720937,0.783492,0.729568,0.187788,0.561729, 
2,0.125968,0.840855,0.656753,0.240906,0.031304,0.785213,0.446833, 
3,0.600310,0.721294,0.879344,0.821696,0.309305,0.678778,0.668455, 
4,0.735381,0.000000,0.334081,0.866620,0.626053,0.864467,0.571100, 
5,0.560895,0.482609,0.643436,0.752273,0.622666,0.903520,0.660900, 
6,0.714835,0.915243,0.321346,0.828760,0.872721,0.807292,0.743366, 
7,0.675277,0.335494,0.593528,0.909493,0.528447,0.443598,0.580973, 
8,0.865177,0.600667,0.868552,0.766980,0.755087,0.607909,0.744062, 
9,0.871546,0.883324,0.834621,0.889555,0.537520,0.713671,0.788373, 
10,0.478037,0.731538,0.855030,0.930030,0.844282,0.764105,0.767170, 
11,0.859616,0.374796,0.318047,0.628171,0.735153,0.814149,0.621655, 
12,0.499214,0.539612,0.749206,0.770200,0.816907,0.465093,0.640039, 
13,0.743053,0.815695,0.547893,0.000000,0.812472,0.752176,0.611881, 
14,0.000000,0.000000,0.696893,0.775436,0.866214,0.656171,0.499119, 
15,0.949429,0.600497,0.833096,0.702621,0.494617,0.707398,0.714610, 
16,0.679076,0.769670,0.660493,0.777093,0.536850,0.540405,0.660598, 
17,0.315871,0.784727,0.640404,0.660094,0.643152,0.870562,0.652468, 
18,0.463943,0.616680,0.679683,0.637162,0.568534,0.764514,0.621753, 
19,0.646701,0.817107,0.796399,0.382156,0.818180,0.645310,0.684309, 
20,0.813659,0.329663,0.712321,0.766199,0.663534,0.931664,0.702840, 
21,0.697355,0.737629,0.827859,0.702368,0.367247,0.910116,0.707096, 
22,0.656140,0.656140,0.811509,0.712601,0.392445,0.556055,0.630815, 
23,0.390507,0.766938,0.830485,0.779953,0.596003,0.719179,0.680511, 
24,0.799943,0.000000,0.660506,0.574815,0.924761,0.888597,0.641437, 
25,0.717485,0.469792,0.779111,0.751713,0.673623,0.545905,0.656271, 
26,0.724123,0.573978,0.617914,0.801367,0.598246,0.973516,0.714857, 
27,0.450636,0.706688,0.492772,0.761921,0.655389,0.925351,0.665460, 
28,0.869979,0.860226,0.704754,0.413198,0.641215,0.693899,0.697212, 
29,0.372344,0.116181,0.691490,0.722610,0.828368,0.929939,0.610155, 
30,0.544943,0.700485,0.798890,0.520130,0.710716,0.753145,0.671385, 
31,0.374470,0.610922,0.773618,0.677541,0.850735,0.700515,0.664633, 
32,0.786438,0.154297,0.154297,0.938553,0.000000,0.741765,0.462558, 
33,0.627678,0.794486,0.002920,0.599077,0.619040,0.830412,0.578936, 
34,0.470791,0.000000,0.486455,0.726755,0.701578,0.714155,0.516623, 
35,0.555805,0.814250,0.793020,0.898868,0.680940,0.227098,0.661663, 
36,0.870601,0.648949,0.614877,0.614566,0.840429,0.363282,0.658784, 
37,0.581144,0.628093,0.924119,0.578187,0.902648,0.698005,0.718699, 
38,0.620453,0.391082,0.721465,0.469114,0.469114,0.823799,0.582505, 
39,0.613297,0.686344,0.798382,0.808790,0.850018,0.650269,0.734517, 
40,0.695338,0.832643,0.714347,0.783598,0.861099,0.709086,0.766018, 
41,0.454056,0.606116,0.645380,0.638546,0.935688,0.717049,0.666139, 
42,0.615397,0.404772,0.404772,0.940381,0.472484,0.795522,0.605555, 
43,0.637849,0.684938,0.688981,0.622373,0.596513,0.668069,0.649787, 
44,0.622439,0.461402,0.912493,0.644292,0.822763,0.872214,0.722601, 
45,0.588837,0.733174,0.557102,0.619674,0.699348,0.915860,0.685666, 
46,0.617345,0.723562,0.895538,0.896270,0.614355,0.556527,0.717266, 
47,0.738796,0.589968,0.619007,0.910684,0.668134,0.809318,0.722651, 
48,0.758865,0.199477,0.555612,0.656614,0.956547,0.767033,0.649025, 
49,0.647176,0.718516,0.797882,0.566746,0.307902,0.817660,0.642647, 
50,0.775992,0.491065,0.907561,0.942435,0.807145,0.853829,0.796338, 
51,0.513467,0.558111,0.667036,0.777427,0.709881,0.531968,0.626315, 
52,0.640802,0.840522,0.584134,0.561741,0.847543,0.582305,0.676174, 
53,0.507704,0.578310,0.812921,0.731728,0.794624,0.788425,0.702285, 
54,0.747145,0.628278,0.628278,0.718806,0.573400,0.876079,0.695331, 
55,0.725017,0.174081,0.315099,0.541513,0.463110,0.685322,0.484024, 
56,0.636543,0.555378,0.695707,0.705853,0.730722,0.582344,0.651091, 
57,0.633403,0.742783,0.690079,0.671361,0.693212,0.703737,0.689096, 
58,0.910894,0.872699,0.522297,0.639951,0.724749,0.544921,0.702585, 
59,0.851724,0.709955,0.809787,0.857798,0.685131,0.900067,0.802410, 
60,0.519832,0.684131,0.563251,0.283976,0.596773,0.890116,0.589680, 
61,0.619933,0.124960,0.744682,0.713939,0.554698,0.457518,0.535955, 
62,0.556252,0.644182,0.586071,0.665297,0.876339,0.710774,0.673152, 
63,0.000000,0.658409,0.369090,0.247382,0.768665,0.953441,0.499498, 
64,0.627970,0.776548,0.744429,0.780230,0.447240,0.871071,0.707915, 
65,0.606352,0.683395,0.582939,0.377260,0.381023,0.779639,0.568435, 
66,0.751803,0.804446,0.558279,0.810305,0.844708,0.805252,0.762465, 
67,0.652633,0.809514,0.815285,0.827793,0.557074,0.867805,0.755017, 
68,0.541148,0.284291,0.444057,0.776926,0.868055,0.859815,0.629049, 
69,0.550412,0.583113,0.523652,0.310231,0.667355,0.683401,0.553027, 
70,0.555975,0.577848,0.797784,0.530637,0.898372,0.694442,0.675843, 
71,0.500191,0.524099,0.562741,0.792024,0.962249,0.735682,0.679498, 
72,0.541221,0.885716,0.147336,0.628961,0.768304,0.955869,0.654568, 
73,0.561082,0.758698,0.819356,0.653750,0.657513,0.745862,0.699377, 
74,0.549376,0.649854,0.973863,0.668813,0.598337,0.701304,0.690258, 
75,0.237612,0.502740,0.439358,0.616675,0.101350,0.526188,0.403987, 
76,0.782028,0.778474,0.817374,0.710443,0.811028,0.858097,0.792907, 
77,0.755909,0.201984,0.797046,0.747101,0.622256,0.644114,0.628068, 
