é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.310871,0.310871,0.563644,0.644050,0.574267,0.103624,0.417888, 
2,0.067218,0.725410,0.488929,0.136949,0.015901,0.646379,0.346798, 
3,0.428888,0.564081,0.784670,0.697355,0.182945,0.513750,0.528615, 
4,0.581504,0.000000,0.200539,0.764634,0.455660,0.761287,0.460604, 
5,0.389753,0.318052,0.474314,0.602915,0.452081,0.824019,0.510189, 
6,0.556220,0.843730,0.191431,0.707591,0.774183,0.676856,0.625002, 
7,0.509750,0.201557,0.421997,0.834009,0.359108,0.285015,0.435239, 
8,0.762389,0.429252,0.767647,0.622033,0.606537,0.436688,0.604091, 
9,0.772336,0.791029,0.716180,0.801080,0.367540,0.554812,0.667163, 
10,0.314092,0.576712,0.746771,0.869211,0.730526,0.618261,0.642595, 
11,0.753795,0.230615,0.189094,0.457908,0.581219,0.686553,0.483197, 
12,0.332635,0.369499,0.598985,0.626281,0.690484,0.303010,0.486816, 
13,0.591157,0.688754,0.377309,0.000000,0.684171,0.602790,0.490697, 
14,0.000000,0.000000,0.534794,0.633234,0.764002,0.488285,0.403386, 
15,0.903726,0.429078,0.713937,0.541569,0.328566,0.547267,0.577357, 
16,0.514092,0.625580,0.493086,0.635448,0.366914,0.370244,0.500894, 
17,0.187557,0.645720,0.471025,0.492642,0.474005,0.770793,0.506957, 
18,0.302035,0.445797,0.514788,0.467526,0.397169,0.618797,0.457685, 
19,0.477870,0.690770,0.661680,0.236213,0.692306,0.476352,0.539198, 
20,0.685855,0.197363,0.553182,0.621007,0.496484,0.872071,0.570994, 
21,0.535338,0.584320,0.706280,0.541269,0.224925,0.835058,0.571198, 
22,0.488250,0.488250,0.682807,0.553520,0.244125,0.385094,0.473674, 
23,0.242627,0.621978,0.710110,0.639281,0.424505,0.561499,0.533333, 
24,0.666587,0.000000,0.493101,0.403327,0.860052,0.799527,0.537099, 
25,0.559435,0.307012,0.638150,0.602196,0.507867,0.375426,0.498348, 
26,0.567550,0.402502,0.447088,0.668568,0.426784,0.948398,0.576815, 
27,0.290852,0.546417,0.326940,0.615406,0.487419,0.861073,0.521351, 
28,0.769878,0.754734,0.544108,0.260397,0.471903,0.531276,0.555383, 
29,0.228761,0.061673,0.528456,0.565693,0.707021,0.869052,0.493442, 
30,0.374517,0.539035,0.665127,0.351470,0.551248,0.604036,0.514239, 
31,0.230368,0.439804,0.630813,0.512334,0.740242,0.539071,0.515439, 
32,0.648040,0.083598,0.083598,0.884220,0.000000,0.589528,0.381498, 
