No.,tL,tR
true,0.833333,1.250000
0,0.916588,1.100116
1,0.930484,1.080742
2,0.835837,1.244409
3,0.905062,1.117191
4,0.876555,1.163915
5,0.900213,1.124665
6,0.940359,1.067718
7,0.867451,1.180363
8,0.875294,1.166145
9,0.878603,1.160320
10,0.887579,1.145032
11,0.814939,1.293802
12,0.924356,1.089130
13,0.928281,1.083729
14,0.871734,1.172525
15,0.866927,1.181335
16,0.929746,1.081737
17,0.788823,1.365587
18,0.848003,1.218386
19,0.785708,1.375015
20,0.881465,1.155368
21,0.946439,1.059989
22,0.889775,1.141397
23,0.895052,1.132829
24,0.842866,1.229149
25,0.820304,1.280510
26,0.835871,1.244337
27,0.850122,1.214036
28,0.924749,1.088583
29,0.900134,1.124791
30,0.837521,1.240693
31,0.961367,1.041871
32,0.854023,1.206168
33,0.914921,1.102525
34,0.872578,1.171001
35,0.908718,1.111667
36,0.848405,1.217557
37,0.909636,1.110298
38,0.866195,1.182696
39,0.805497,1.318338
40,0.876818,1.163450
41,0.934946,1.074787
42,0.881804,1.154786
43,0.856186,1.201881
44,0.747541,1.509933
45,0.859030,1.196320
46,0.850974,1.212300
47,0.898860,1.126786
48,0.933722,1.076407
49,0.854509,1.205201
50,0.808768,1.309668
51,0.736487,1.557142
52,0.836347,1.243282
53,0.802101,1.327536
54,0.905809,1.116054
55,0.876161,1.164612
56,0.834980,1.246311
57,0.909978,1.109790
58,0.836387,1.243194
59,0.834267,1.247905
60,0.917845,1.098307
61,0.824103,1.271360
62,0.977759,1.023276
63,0.874028,1.168399
64,0.905859,1.115976
65,0.860027,1.194394
66,0.834073,1.248340
67,0.873009,1.170227
68,0.939416,1.068938
69,0.842839,1.229206
70,0.826822,1.264942
71,0.861067,1.192391
72,0.760601,1.459319
73,0.816140,1.290789
74,0.956187,1.048021
75,0.845638,1.223298
76,0.888930,1.142791
77,0.930223,1.081095
78,0.925045,1.088174
79,0.835476,1.245209
80,0.877127,1.162908
81,0.863271,1.188193
82,0.897934,1.128245
83,0.810295,1.305682
84,0.833305,1.250063
85,0.831294,1.254615
86,0.844494,1.225700
87,0.850888,1.212478
88,0.916777,1.099839
89,0.838675,1.238169
90,0.731799,1.578522
91,0.831286,1.254639
92,0.908442,1.112085
93,0.910661,1.108774
94,0.910380,1.109192
95,0.791961,1.356280
96,0.924390,1.089081
97,0.858388,1.197570
