ó^Ç¶ÇΩèdóvìx,0.180000,0.280000,0.150000,0.250000,0.130000,0.230000,0.100000,0.200000,0.080000,0.180000,0.060000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.222328, 0.222328,0.222328, 0.222328,0.207800, 0.207800,0.173031, 0.173031,0.095223, 0.095223,0.079290, 0.079290,0.000000
2,0.182569, 0.182569,0.182569, 0.182569,0.144905, 0.144905,0.204926, 0.204926,0.182569, 0.182569,0.102463, 0.102463,0.000000
3,0.222818, 0.222818,0.222818, 0.222818,0.189215, 0.189215,0.168571, 0.168571,0.099254, 0.099254,0.097325, 0.097325,0.000000
4,0.207583, 0.207583,0.293567, 0.293567,0.137192, 0.137192,0.164759, 0.164759,0.095124, 0.095124,0.101774, 0.101774,0.000000
5,0.181482, 0.181482,0.203706, 0.203706,0.217948, 0.217948,0.128327, 0.128327,0.161682, 0.161682,0.106856, 0.106856,0.000000
6,0.234084, 0.234084,0.204492, 0.204492,0.162305, 0.162305,0.135149, 0.135149,0.135149, 0.135149,0.128822, 0.128822,0.000000
7,0.247134, 0.247134,0.186968, 0.186968,0.174750, 0.174750,0.148396, 0.148396,0.174750, 0.174750,0.068002, 0.068002,0.000000
8,0.226831, 0.226831,0.237972, 0.237972,0.188879, 0.188879,0.140117, 0.140117,0.109049, 0.109049,0.097152, 0.097152,0.000000
9,0.243185, 0.243185,0.202496, 0.202496,0.160721, 0.160721,0.160721, 0.160721,0.113647, 0.113647,0.119229, 0.119229,0.000000
10,0.265100, 0.265100,0.210410, 0.210410,0.175205, 0.175205,0.145890, 0.145890,0.115793, 0.115793,0.087602, 0.087602,0.000000
11,0.246301, 0.246301,0.234770, 0.234770,0.123150, 0.123150,0.195489, 0.195489,0.102545, 0.102545,0.097745, 0.097745,0.000000
12,0.213545, 0.213545,0.199591, 0.199591,0.190247, 0.190247,0.177816, 0.177816,0.141132, 0.141132,0.077668, 0.077668,0.000000
