ó^Ç¶ÇΩèdóvìx,0.180000,0.280000,0.150000,0.250000,0.130000,0.230000,0.100000,0.200000,0.080000,0.180000,0.060000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.151468, 0.328180,0.151468, 0.328180,0.080783, 0.193879,0.075734, 0.194993,0.050489, 0.167137,0.050489, 0.227202,0.879139
2,0.141935, 0.283871,0.085161, 0.170323,0.070968, 0.170323,0.141935, 0.283871,0.141935, 0.283871,0.070968, 0.154839,0.694194
3,0.118027, 0.287690,0.118027, 0.314737,0.076717, 0.255724,0.071922, 0.255724,0.040377, 0.255724,0.026918, 0.178412,1.096023
4,0.106519, 0.247277,0.133149, 0.310681,0.088766, 0.266298,0.088766, 0.266298,0.044383, 0.230791,0.035506, 0.181567,1.005822
5,0.101366, 0.304099,0.101366, 0.271304,0.050683, 0.215019,0.059130, 0.266086,0.064506, 0.279525,0.043004, 0.243912,1.159889
6,0.114558, 0.257757,0.114558, 0.324582,0.114558, 0.324582,0.038186, 0.193317,0.038186, 0.193317,0.057279, 0.229117,1.045346
7,0.124219, 0.280843,0.111369, 0.259529,0.080742, 0.269141,0.055684, 0.235499,0.080742, 0.279493,0.027842, 0.194895,1.038801
8,0.104999, 0.279998,0.139999, 0.326664,0.093333, 0.248887,0.078749, 0.223998,0.046666, 0.173792,0.046666, 0.236248,0.979174
9,0.110081, 0.293548,0.067469, 0.224896,0.072122, 0.258214,0.072122, 0.258214,0.055040, 0.278871,0.044979, 0.264446,1.156376
10,0.135969, 0.315459,0.109400, 0.262024,0.088128, 0.258509,0.058752, 0.228794,0.045323, 0.260607,0.027350, 0.209684,1.070154
11,0.186551, 0.310918,0.119926, 0.299814,0.059963, 0.264280,0.093275, 0.209870,0.046638, 0.164604,0.046638, 0.197524,0.894020
12,0.128557, 0.278540,0.128557, 0.278540,0.064279, 0.235688,0.064279, 0.235688,0.064279, 0.235688,0.042852, 0.243053,1.014396
13,0.095522, 0.238806,0.107463, 0.268657,0.071642, 0.214925,0.143284, 0.322388,0.081876, 0.214925,0.035821, 0.204691,0.928785
14,0.139467, 0.302179,0.139467, 0.302179,0.139467, 0.247942,0.069734, 0.178983,0.069734, 0.172591,0.046489, 0.191768,0.791283
15,0.130141, 0.281972,0.130141, 0.260282,0.065070, 0.195211,0.130141, 0.319437,0.035493, 0.185915,0.070986, 0.195211,0.876056
16,0.145624, 0.266977,0.082855, 0.207648,0.145624, 0.266977,0.072812, 0.207648,0.072812, 0.254841,0.055237, 0.220946,0.850076
17,0.181719, 0.363439,0.129641, 0.239338,0.090860, 0.204434,0.090860, 0.257436,0.045430, 0.192409,0.037170, 0.167264,0.848640
18,0.084324, 0.292323,0.097925, 0.342736,0.075892, 0.265620,0.040656, 0.238091,0.027104, 0.271041,0.037946, 0.226343,1.272308
19,0.121551, 0.265202,0.072930, 0.255256,0.068372, 0.270113,0.060775, 0.273489,0.045582, 0.250698,0.060775, 0.255256,1.140029
20,0.116946, 0.292364,0.141752, 0.342568,0.070876, 0.248066,0.032485, 0.176047,0.038982, 0.199907,0.058473, 0.281535,1.080974
21,0.136657, 0.257670,0.122641, 0.296383,0.079717, 0.212578,0.122641, 0.296383,0.040880, 0.216374,0.053144, 0.164931,0.888638
22,0.145541, 0.315339,0.145541, 0.315339,0.072771, 0.188664,0.072771, 0.179434,0.072771, 0.242569,0.048514, 0.200746,0.884184
23,0.126907, 0.338418,0.076144, 0.245353,0.069222, 0.276887,0.050763, 0.236893,0.038072, 0.227096,0.042302, 0.271943,1.193181
24,0.090454, 0.258439,0.170266, 0.407041,0.042566, 0.212832,0.065784, 0.271361,0.032892, 0.212832,0.042566, 0.192968,1.110943
25,0.144287, 0.280559,0.144287, 0.348695,0.072144, 0.210419,0.036072, 0.166485,0.072144, 0.240479,0.048096, 0.236333,0.965940
26,0.128809, 0.343491,0.085873, 0.264979,0.085873, 0.257618,0.064405, 0.234199,0.064405, 0.234199,0.042936, 0.193214,1.055399
27,0.174871, 0.419690,0.087435, 0.274797,0.053806, 0.229574,0.043718, 0.249815,0.035871, 0.199852,0.023316, 0.207254,1.161965
28,0.130461, 0.282665,0.130461, 0.308361,0.065230, 0.182645,0.130461, 0.282665,0.043487, 0.195691,0.065230, 0.182645,0.869342
29,0.231927, 0.347891,0.115964, 0.270582,0.101468, 0.202936,0.057982, 0.166512,0.077309, 0.202936,0.057982, 0.166512,0.714737
30,0.108689, 0.278515,0.071875, 0.263542,0.064583, 0.274479,0.047917, 0.285657,0.049514, 0.247569,0.035937, 0.271722,1.242970
31,0.140555, 0.363100,0.078086, 0.244019,0.054060, 0.234258,0.035139, 0.248038,0.054060, 0.286316,0.023426, 0.238943,1.229350
32,0.116573, 0.213717,0.153002, 0.306005,0.153002, 0.306005,0.076501, 0.174860,0.051001, 0.204003,0.076501, 0.168830,0.746839
33,0.089107, 0.267321,0.085807, 0.286022,0.128710, 0.375404,0.042903, 0.229265,0.042903, 0.211993,0.032177, 0.208388,1.156785
34,0.187166, 0.327540,0.093583, 0.243316,0.120321, 0.252674,0.093583, 0.200535,0.060160, 0.243316,0.037433, 0.140374,0.815508
35,0.158075, 0.287408,0.115664, 0.243192,0.092985, 0.255709,0.061990, 0.243698,0.038555, 0.192774,0.046493, 0.263458,0.972477
36,0.128957, 0.281360,0.070340, 0.180539,0.128957, 0.279406,0.128957, 0.304807,0.042986, 0.154748,0.064478, 0.234467,0.870653
37,0.093816, 0.250175,0.125087, 0.342501,0.080875, 0.246121,0.062544, 0.228024,0.053917, 0.242626,0.041147, 0.233167,1.085228
38,0.100995, 0.220352,0.148834, 0.255144,0.100995, 0.252487,0.100995, 0.269319,0.100995, 0.269319,0.033665, 0.146901,0.827045
39,0.138780, 0.300691,0.108291, 0.258093,0.082152, 0.273838,0.054145, 0.231622,0.054768, 0.226895,0.036097, 0.234630,1.051535
40,0.125332, 0.313330,0.088470, 0.281997,0.068363, 0.273452,0.062666, 0.273452,0.044235, 0.221174,0.046999, 0.200531,1.127870
41,0.156177, 0.390441,0.062471, 0.218647,0.097610, 0.223109,0.078088, 0.292831,0.045934, 0.187412,0.039044, 0.208235,1.041352
42,0.130499, 0.282748,0.130499, 0.293623,0.130499, 0.293623,0.065250, 0.177954,0.106772, 0.213544,0.032625, 0.142363,0.807711
43,0.170368, 0.340736,0.113579, 0.227157,0.085184, 0.250294,0.085184, 0.265017,0.044170, 0.187071,0.044170, 0.187071,0.914692
