é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.722772,0.712164,0.599529,0.866490,0.804410,0.722772,0.738023, 
2,0.826667,0.219512,0.404531,0.480000,0.314667,0.912281,0.526276, 
3,0.741666,0.674057,0.716828,0.704717,0.634223,0.795248,0.711123, 
4,0.558874,0.720638,0.720638,0.720638,0.698303,0.812809,0.705317, 
5,0.660650,0.740912,0.643266,0.651559,0.634882,0.664654,0.665987, 
6,0.639450,0.645112,0.645112,0.731525,0.783910,0.735733,0.696807, 
7,0.779350,0.805931,0.693484,0.714760,0.664485,0.748914,0.734487, 
8,0.727261,0.697678,0.782612,0.815498,0.825903,0.690651,0.756600, 
9,0.705548,0.581879,0.699076,0.699076,0.617607,0.626042,0.654872, 
10,0.715590,0.791692,0.739697,0.740625,0.634348,0.708381,0.721722, 
11,0.833002,0.714571,0.657208,0.923385,0.776302,0.797173,0.783607, 
12,0.788376,0.800054,0.736894,0.736894,0.736894,0.666221,0.744222, 
13,0.483436,0.765714,0.698160,0.406417,0.842086,0.743854,0.656611, 
14,0.761290,0.761290,0.868525,0.754918,0.912867,0.815400,0.812382, 
15,0.794183,0.869033,0.566707,0.482960,0.798650,0.793970,0.717584, 
16,0.785864,0.512901,0.762369,0.851656,0.709146,0.752701,0.729106, 
17,0.697720,0.852068,0.697034,0.750255,0.809786,0.869208,0.779345, 
18,0.649353,0.580027,0.690301,0.672416,0.581502,0.693488,0.644514, 
19,0.699374,0.708401,0.662821,0.639563,0.655487,0.673895,0.673257, 
20,0.726168,0.664859,0.721526,0.624457,0.766504,0.619075,0.687098, 
21,0.702857,0.730616,0.709246,0.565196,0.725970,0.944346,0.729705, 
22,0.741295,0.741295,0.543457,0.768730,0.741295,0.792919,0.721498, 
23,0.642031,0.708394,0.650056,0.698983,0.691983,0.606721,0.666362, 
24,0.585396,0.473517,0.612967,0.654501,0.714440,0.798718,0.639923, 
25,0.846484,0.657015,0.675010,0.577097,0.745336,0.693873,0.699136, 
26,0.635562,0.716573,0.735982,0.741306,0.741306,0.799113,0.728307, 
27,0.580014,0.695987,0.722159,0.653386,0.757629,0.704379,0.685592, 
28,0.793009,0.719681,0.484280,0.551454,0.793009,0.871788,0.702204, 
29,0.445194,0.785490,0.724048,0.637911,0.886418,0.959095,0.739693, 
30,0.730214,0.685714,0.645378,0.592171,0.671016,0.595619,0.653352, 
31,0.620068,0.707088,0.713779,0.639183,0.601945,0.633879,0.652657, 
32,0.342058,0.766774,0.608672,0.754792,0.790507,0.868292,0.688516, 
33,0.627724,0.666188,0.576877,0.698418,0.743247,0.724086,0.672757, 
34,0.772414,0.747323,0.860759,0.966408,0.706327,0.792095,0.807554, 
35,0.872091,0.819169,0.761256,0.709954,0.786723,0.630984,0.763363, 
36,0.792383,0.290574,0.798565,0.515087,0.705961,0.707599,0.635028, 
37,0.547472,0.630092,0.754018,0.753352,0.692738,0.684884,0.677093, 
38,0.367911,0.969414,0.795254,0.737953,0.588879,0.815070,0.712414, 
39,0.763620,0.800634,0.685667,0.720782,0.734951,0.669943,0.729266, 
40,0.694449,0.681368,0.655547,0.643530,0.722180,0.788856,0.697655, 
41,0.598328,0.535936,0.825807,0.635440,0.828234,0.742966,0.694452, 
42,0.792867,0.760098,0.756303,0.732977,0.708295,0.785388,0.755988, 
43,0.739732,0.722520,0.754404,0.714712,0.823380,0.823380,0.763021, 
44,0.469783,0.853798,0.696784,0.644543,0.790934,0.764735,0.703430, 
45,0.632634,0.669665,0.699170,0.653923,0.641230,0.611552,0.651362, 
46,0.743980,0.817306,0.837952,0.682729,0.719673,0.817306,0.769824, 
47,0.645191,0.756246,0.736924,0.735818,0.788241,0.621731,0.714025, 
48,0.269057,0.650071,0.734921,0.828503,0.734921,0.719908,0.656230, 
49,0.634348,0.680416,0.641914,0.774046,0.652462,0.689160,0.678724, 
50,0.769536,0.707365,0.685222,0.728775,0.713655,0.797575,0.733688, 
51,0.735427,0.570644,0.642068,0.667825,0.622899,0.603656,0.640420, 
52,0.616756,0.572742,0.662581,0.654476,0.589572,0.721704,0.636305, 
53,0.591347,0.579681,0.562532,0.627369,0.615998,0.714256,0.615197, 
54,0.675804,0.675804,0.707012,0.675804,0.785261,0.648679,0.694727, 
55,0.332586,0.563540,0.740645,0.768559,0.759641,0.820490,0.664244, 
56,0.756773,0.734790,0.605551,0.829320,0.815279,0.863050,0.767461, 
57,0.796453,0.823705,0.739745,0.754417,0.713992,0.740169,0.761413, 
58,0.827003,0.832087,0.724415,0.702495,0.827003,0.638566,0.758595, 
59,0.741867,0.793926,0.703431,0.747484,0.747484,0.801247,0.755906, 
60,0.781470,0.692446,0.743859,0.669568,0.740316,0.779471,0.734522, 
61,0.904202,0.221122,0.791946,0.852046,0.581132,0.751592,0.683673, 
62,0.615569,0.675636,0.597196,0.709266,0.619345,0.625884,0.640483, 
63,0.639180,0.755190,0.664583,0.628848,0.686024,0.801165,0.695832, 
64,0.768766,0.691863,0.667447,0.756548,0.675727,0.700373,0.710121, 
65,0.716016,0.519358,0.734995,0.659559,0.696486,0.885434,0.701975, 
66,0.780632,0.758608,0.672702,0.792715,0.725353,0.894957,0.770828, 
67,0.588285,0.671628,0.629798,0.719411,0.819634,0.750891,0.696608, 
68,0.569348,0.631902,0.671260,0.666164,0.677179,0.666646,0.647083, 
69,0.779406,0.748716,0.657945,0.691833,0.684983,0.741216,0.717350, 
70,0.590162,0.608000,0.672399,0.705486,0.559926,0.632255,0.628038, 
71,0.604593,0.762965,0.717899,0.658657,0.651931,0.653182,0.674871, 
72,0.693263,0.670342,0.572045,0.707872,0.600532,0.724835,0.661482, 
73,0.657998,0.580143,0.639754,0.733247,0.646829,0.721481,0.663242, 
74,0.613555,0.742243,0.698326,0.734480,0.663260,0.735408,0.697879, 
75,0.561467,0.638464,0.640778,0.384283,0.634281,0.618304,0.579596, 
76,0.823529,0.767123,0.720611,0.775982,0.717949,0.750000,0.759199, 
77,0.455789,0.630158,0.645510,0.632220,0.645675,0.814354,0.637284, 
78,0.875531,0.655610,0.749078,0.747603,0.788534,0.803932,0.770048, 
79,0.836125,0.779399,0.576746,0.382342,0.715302,0.745812,0.672621, 
80,0.672014,0.603277,0.642256,0.624029,0.642256,0.607316,0.631858, 
81,0.821147,0.672363,0.813975,0.698108,0.844360,0.794483,0.774073, 
82,0.730201,0.694802,0.725620,0.614586,0.802335,0.630177,0.699620, 
83,0.735971,0.775713,0.587406,0.838903,0.716569,0.809445,0.744001, 
84,0.574202,0.678117,0.607909,0.650702,0.717760,0.643407,0.645350, 
85,0.661480,0.752907,0.649698,0.650228,0.603131,0.770819,0.681377, 
86,0.809661,0.633683,0.740031,0.625557,0.673370,0.678929,0.693539, 
87,0.722910,0.780779,0.809819,0.768476,0.846764,0.701577,0.771721, 
88,0.489052,0.675908,0.744116,0.715918,0.687657,0.753960,0.677769, 
89,0.321654,0.673236,0.526035,0.773611,0.780572,0.834777,0.651647, 
90,0.640613,0.535052,0.685566,0.642797,0.660887,0.675891,0.640134, 
91,0.607489,0.690534,0.659882,0.648668,0.683162,0.574175,0.643985, 
92,0.674699,0.842105,0.674699,0.783217,0.783217,0.842105,0.766674, 
93,0.516024,0.590501,0.676083,0.813595,0.751580,0.764378,0.685360, 
94,0.697370,0.662466,0.696103,0.738099,0.645596,0.739493,0.696521, 
95,0.749338,0.791850,0.639222,0.759702,0.938983,0.799165,0.779710, 
96,0.674035,0.728534,0.718184,0.653520,0.606829,0.607230,0.664722, 
97,0.704404,0.704404,0.704404,0.842443,0.629308,0.850192,0.739193, 
98,0.649948,0.734403,0.693279,0.768351,0.706175,0.699811,0.708661, 
99,0.703684,0.735463,0.652902,0.712925,0.712925,0.747275,0.710863, 
100,0.760094,0.727863,0.802752,0.826940,0.656495,0.842888,0.769505, 
101,0.632911,0.886076,0.623529,0.823529,0.376238,0.800000,0.690381, 
102,0.701280,0.692821,0.646649,0.732419,0.563928,0.767557,0.684109, 
103,0.679019,0.737204,0.687390,0.750747,0.842786,0.760676,0.742970, 
104,0.614580,0.822126,0.687217,0.740221,0.770769,0.644449,0.713227, 
105,0.630077,0.806558,0.675656,0.633694,0.714810,0.753496,0.702382, 
106,0.809839,0.588421,0.753770,0.635056,0.663351,0.712342,0.693797, 
107,0.644183,0.666214,0.768748,0.759014,0.702238,0.738825,0.713204, 
108,0.637844,0.825182,0.730907,0.637844,0.754586,0.794479,0.730140, 
109,0.562430,0.662173,0.518502,0.772969,0.794395,0.710892,0.670227, 
110,0.616852,0.679675,0.703139,0.751176,0.724901,0.618295,0.682340, 
111,0.603040,0.683248,0.443966,0.687822,0.779101,0.681435,0.646435, 
112,0.617570,0.817281,0.879940,0.891613,0.885097,0.753837,0.807556, 
113,0.734686,0.737928,0.674601,0.767320,0.613207,0.661977,0.698286, 
114,0.567366,0.735393,0.667774,0.810498,0.788834,0.819263,0.731522, 
115,0.611833,0.719915,0.709234,0.754693,0.697590,0.665851,0.693186, 
116,0.450028,0.624355,0.666000,0.761197,0.713597,0.761197,0.662729, 
117,0.623510,0.694097,0.645116,0.715943,0.659596,0.697661,0.672654, 
118,0.635402,0.704024,0.686904,0.677420,0.730005,0.746239,0.696666, 
119,0.696854,0.603266,0.680726,0.730510,0.646371,0.700055,0.676297, 
120,0.634604,0.566467,0.725763,0.737334,0.829781,0.769731,0.710613, 
121,0.606722,0.792169,0.750942,0.711858,0.710208,0.778733,0.725105, 
122,0.638256,0.664093,0.684888,0.738871,0.603061,0.700777,0.671658, 
123,0.808557,0.516754,0.763097,0.387224,0.850436,0.821910,0.691330, 
124,0.785676,0.782748,0.669629,0.585022,0.829635,0.756137,0.734808, 
125,0.729390,0.641837,0.629269,0.708553,0.686111,0.714265,0.684904, 
126,0.453420,0.739303,0.543960,0.681139,0.644116,0.828779,0.648453, 
127,0.685409,0.633370,0.701886,0.691579,0.660733,0.791874,0.694142, 
