é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.565892,0.552993,0.428091,0.764431,0.672815,0.565892,0.591686, 
2,0.704545,0.123288,0.253550,0.315789,0.186709,0.838710,0.403765, 
3,0.589403,0.508360,0.558638,0.544065,0.464368,0.660093,0.554154, 
4,0.387804,0.563279,0.563279,0.563279,0.536456,0.684649,0.549791, 
5,0.493261,0.588452,0.474128,0.483195,0.465075,0.497739,0.500308, 
6,0.469994,0.476136,0.476136,0.576696,0.644615,0.581944,0.537587, 
7,0.638472,0.674945,0.530789,0.556129,0.497549,0.598612,0.582749, 
8,0.571414,0.535718,0.642862,0.688473,0.703436,0.527477,0.611563, 
9,0.545056,0.410317,0.537369,0.537369,0.446767,0.455649,0.488754, 
10,0.557136,0.655208,0.586920,0.588090,0.464502,0.548444,0.566716, 
11,0.713799,0.555901,0.489434,0.857675,0.634390,0.662749,0.652325, 
12,0.650676,0.666741,0.583398,0.583398,0.583398,0.499498,0.594519, 
13,0.318770,0.620370,0.536287,0.255034,0.727244,0.592172,0.508313, 
14,0.614583,0.614583,0.767604,0.606320,0.839701,0.688333,0.688521, 
15,0.658627,0.768398,0.395389,0.318357,0.664794,0.658333,0.577316, 
16,0.647261,0.344901,0.615991,0.741638,0.549361,0.603465,0.583770, 
17,0.535767,0.742263,0.534959,0.600326,0.680370,0.768672,0.643726, 
18,0.480772,0.408478,0.527068,0.506496,0.409942,0.530793,0.477258, 
19,0.537721,0.548468,0.495687,0.470115,0.487527,0.508176,0.507949, 
20,0.570066,0.497970,0.564365,0.453971,0.621407,0.448305,0.526014, 
21,0.541850,0.575567,0.549482,0.393919,0.569821,0.894561,0.587533, 
22,0.588935,0.588935,0.373114,0.624339,0.588935,0.656889,0.570191, 
23,0.472788,0.548460,0.481543,0.537259,0.529033,0.435463,0.500758, 
24,0.413823,0.310201,0.441926,0.486437,0.555742,0.664888,0.478836, 
25,0.733829,0.489220,0.509445,0.405577,0.594052,0.531245,0.543895, 
26,0.465805,0.558328,0.582256,0.588949,0.588949,0.665436,0.574954, 
27,0.408465,0.533727,0.565139,0.485207,0.609825,0.543661,0.524337, 
28,0.657013,0.562111,0.319505,0.380695,0.657013,0.772717,0.558176, 
29,0.286334,0.646755,0.567457,0.468333,0.796006,0.921404,0.614381, 
30,0.575068,0.521739,0.476427,0.420627,0.504909,0.424115,0.487148, 
31,0.449347,0.546896,0.554943,0.469705,0.430559,0.463999,0.485908, 
32,0.206315,0.621762,0.437476,0.606158,0.653585,0.767241,0.548756, 
33,0.457433,0.499462,0.405360,0.536592,0.591402,0.567504,0.509626, 
34,0.629213,0.596581,0.755556,0.935000,0.545985,0.655759,0.686349, 
35,0.773193,0.693722,0.614538,0.550333,0.648428,0.460904,0.623520, 
36,0.656154,0.169984,0.664675,0.346880,0.545548,0.547507,0.488458, 
37,0.376909,0.459952,0.605160,0.604302,0.529915,0.520779,0.516170, 
38,0.225423,0.940644,0.660101,0.584727,0.417313,0.687863,0.586012, 
39,0.617626,0.667548,0.521684,0.563455,0.580966,0.503695,0.575829, 
40,0.531921,0.516723,0.487594,0.474416,0.565166,0.651331,0.537858, 
41,0.426867,0.366060,0.703298,0.465674,0.706826,0.591047,0.543295, 
42,0.656818,0.613030,0.608109,0.578503,0.548342,0.646616,0.608570, 
43,0.586964,0.565582,0.605658,0.556072,0.699784,0.699784,0.618974, 
44,0.307004,0.744893,0.534665,0.475517,0.654169,0.619086,0.555889, 
45,0.462666,0.503380,0.537480,0.485799,0.471919,0.440458,0.483617, 
46,0.592332,0.691054,0.721100,0.518290,0.562101,0.691054,0.629322, 
47,0.476223,0.608035,0.583436,0.582050,0.650493,0.451096,0.558555, 
48,0.155439,0.481559,0.580928,0.707217,0.580928,0.562388,0.511410, 
49,0.464502,0.515629,0.472660,0.631383,0.484189,0.525740,0.515684, 
50,0.625403,0.547227,0.521169,0.573286,0.554793,0.663306,0.580864, 
51,0.581562,0.399231,0.472828,0.501304,0.452326,0.432312,0.473260, 
52,0.445876,0.401288,0.495418,0.486410,0.418009,0.564583,0.468597, 
53,0.419796,0.408135,0.391335,0.457056,0.445085,0.555519,0.446154, 
54,0.510351,0.510351,0.546805,0.510351,0.646444,0.480033,0.534056, 
55,0.199462,0.392312,0.588115,0.624114,0.612436,0.695619,0.518676, 
56,0.608717,0.580765,0.434259,0.708409,0.688161,0.759093,0.629901, 
57,0.661754,0.700253,0.586981,0.605674,0.555201,0.587514,0.616229, 
58,0.705035,0.712456,0.567908,0.541420,0.705035,0.469039,0.616815, 
59,0.589657,0.658273,0.542532,0.596786,0.596786,0.668400,0.608739, 
60,0.641322,0.529573,0.592178,0.503271,0.587699,0.638633,0.582113, 
61,0.825153,0.124304,0.655556,0.742230,0.409574,0.602041,0.559810, 
62,0.444637,0.510158,0.425716,0.549506,0.448588,0.455482,0.472348, 
63,0.469702,0.606672,0.497660,0.458627,0.522098,0.668286,0.537174, 
64,0.624387,0.528892,0.500879,0.608425,0.510262,0.538903,0.551958, 
65,0.557652,0.350765,0.581021,0.492046,0.534314,0.794421,0.551703, 
66,0.640194,0.611094,0.506820,0.656609,0.569062,0.809884,0.632277, 
67,0.416717,0.505603,0.459639,0.561781,0.694390,0.601141,0.539878, 
68,0.397964,0.461883,0.505185,0.499435,0.511921,0.499977,0.479394, 
69,0.638547,0.598359,0.490252,0.528856,0.520893,0.588835,0.560957, 
70,0.418603,0.436782,0.506477,0.544981,0.388817,0.462261,0.459653, 
71,0.433274,0.616769,0.559940,0.491043,0.483603,0.484981,0.511602, 
72,0.530530,0.504146,0.400604,0.547835,0.429115,0.568425,0.496776, 
73,0.490311,0.408593,0.470322,0.578839,0.478009,0.564310,0.498397, 
74,0.442538,0.590132,0.536483,0.580377,0.496178,0.581538,0.537874, 
75,0.390305,0.468929,0.471430,0.237840,0.464430,0.447496,0.413405, 
76,0.700000,0.622222,0.563246,0.633962,0.560000,0.600000,0.613238, 
77,0.295160,0.460023,0.476570,0.462224,0.476751,0.686844,0.476262, 
78,0.778617,0.487664,0.598821,0.596937,0.650892,0.672146,0.630846, 
79,0.718398,0.638538,0.405231,0.236356,0.556786,0.594657,0.524994, 
80,0.506040,0.431923,0.473031,0.453519,0.473031,0.436076,0.462270, 
81,0.696565,0.506436,0.686305,0.536226,0.730643,0.659040,0.635869, 
82,0.575053,0.532335,0.569390,0.443612,0.669916,0.460042,0.541725, 
83,0.582242,0.633603,0.415835,0.722509,0.558323,0.679889,0.598734, 
84,0.402723,0.512993,0.436688,0.482253,0.559770,0.474282,0.478118, 
85,0.494188,0.603729,0.481151,0.481732,0.431773,0.627099,0.519945, 
86,0.680193,0.463789,0.587341,0.455135,0.507579,0.513924,0.534660, 
87,0.566061,0.640392,0.680416,0.624004,0.734251,0.540331,0.630909, 
88,0.323672,0.510469,0.592504,0.557533,0.523991,0.605085,0.518876, 
89,0.191650,0.507427,0.356885,0.630804,0.640113,0.716410,0.507215, 
90,0.471251,0.365236,0.521568,0.473619,0.493526,0.510450,0.472608, 
91,0.436255,0.527341,0.492406,0.480021,0.518789,0.402697,0.476251, 
92,0.509091,0.727273,0.509091,0.643678,0.643678,0.727273,0.626681, 
93,0.347730,0.418944,0.510668,0.685765,0.602025,0.618619,0.530625, 
94,0.535355,0.495289,0.533864,0.584910,0.476664,0.586663,0.535458, 
95,0.599153,0.655424,0.469747,0.612516,0.884984,0.665508,0.647889, 
96,0.508335,0.572988,0.560286,0.485354,0.435574,0.435987,0.499754, 
