ó^Ç¶ÇΩèdóvìx,0.180000,0.280000,0.150000,0.250000,0.130000,0.230000,0.100000,0.200000,0.080000,0.180000,0.060000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.214286, 0.214286,0.214286, 0.214286,0.196429, 0.214286,0.107143, 0.214286,0.071429, 0.196429,0.071429, 0.071429,0.250000
2,0.181818, 0.181818,0.181818, 0.181818,0.090909, 0.181818,0.181818, 0.181818,0.181818, 0.181818,0.090909, 0.181818,0.181818
3,0.214286, 0.214286,0.214286, 0.214286,0.107143, 0.214286,0.107143, 0.214286,0.107143, 0.107143,0.071429, 0.214286,0.357143
4,0.144578, 0.289157,0.289157, 0.289157,0.144578, 0.144578,0.144578, 0.144578,0.072289, 0.144578,0.048193, 0.144578,0.313253
5,0.186047, 0.186047,0.186047, 0.186047,0.093023, 0.279070,0.093023, 0.186047,0.139535, 0.186047,0.093023, 0.186047,0.418605
6,0.196721, 0.196721,0.196721, 0.196721,0.196721, 0.196721,0.065574, 0.196721,0.065574, 0.196721,0.098361, 0.196721,0.360656
7,0.191304, 0.347826,0.173913, 0.191304,0.173913, 0.173913,0.086957, 0.173913,0.173913, 0.173913,0.043478, 0.095652,0.313043
8,0.206897, 0.206897,0.206897, 0.206897,0.206897, 0.206897,0.103448, 0.206897,0.068966, 0.206897,0.068966, 0.103448,0.275862
9,0.240000, 0.240000,0.120000, 0.240000,0.120000, 0.240000,0.120000, 0.240000,0.120000, 0.120000,0.080000, 0.120000,0.400000
10,0.294479, 0.294479,0.147239, 0.294479,0.147239, 0.147239,0.098160, 0.147239,0.098160, 0.147239,0.036810, 0.147239,0.355828
11,0.250000, 0.250000,0.250000, 0.250000,0.125000, 0.125000,0.125000, 0.250000,0.062500, 0.125000,0.062500, 0.125000,0.250000
12,0.214286, 0.214286,0.214286, 0.214286,0.107143, 0.214286,0.107143, 0.214286,0.107143, 0.214286,0.071429, 0.107143,0.357143
13,0.205128, 0.205128,0.205128, 0.205128,0.102564, 0.205128,0.205128, 0.205128,0.102564, 0.205128,0.051282, 0.102564,0.256410
14,0.203390, 0.203390,0.203390, 0.203390,0.203390, 0.203390,0.101695, 0.203390,0.101695, 0.203390,0.067797, 0.101695,0.237288
15,0.205128, 0.205128,0.205128, 0.205128,0.102564, 0.205128,0.205128, 0.205128,0.051282, 0.102564,0.102564, 0.205128,0.256410
16,0.205128, 0.307692,0.153846, 0.205128,0.205128, 0.205128,0.102564, 0.205128,0.102564, 0.102564,0.102564, 0.102564,0.256410
17,0.250000, 0.250000,0.250000, 0.250000,0.125000, 0.250000,0.125000, 0.125000,0.062500, 0.125000,0.062500, 0.125000,0.250000
18,0.220183, 0.220183,0.220183, 0.220183,0.110092, 0.220183,0.110092, 0.220183,0.073394, 0.110092,0.055046, 0.220183,0.422018
19,0.216216, 0.324324,0.108108, 0.216216,0.162162, 0.216216,0.108108, 0.108108,0.108108, 0.108108,0.108108, 0.216216,0.378378
20,0.188976, 0.283465,0.283465, 0.283465,0.141732, 0.188976,0.047244, 0.188976,0.062992, 0.094488,0.094488, 0.141732,0.362205
21,0.188976, 0.283465,0.188976, 0.188976,0.141732, 0.188976,0.188976, 0.188976,0.062992, 0.094488,0.094488, 0.188976,0.267717
22,0.226415, 0.226415,0.226415, 0.226415,0.113208, 0.226415,0.113208, 0.226415,0.113208, 0.113208,0.075472, 0.113208,0.264151
23,0.220183, 0.220183,0.110092, 0.220183,0.220183, 0.220183,0.110092, 0.220183,0.055046, 0.220183,0.073394, 0.110092,0.422018
