é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.000000,0.000000,0.303030,0.896552,0.888889,0.000000,0.348078, 
2,0.000000,0.000000,0.542857,0.000000,0.000000,0.723810,0.211111, 
3,0.000000,0.000000,0.813793,0.896552,0.000000,0.729412,0.406626, 
4,0.817734,0.000000,0.000000,0.000000,0.749650,0.861350,0.404789, 
5,0.000000,0.000000,0.699187,0.891566,0.552381,0.693976,0.472852, 
6,0.000000,0.000000,0.000000,0.836879,0.865248,0.621488,0.387269, 
7,0.691525,0.296296,0.000000,0.790698,0.000000,0.468571,0.374515, 
8,0.000000,0.000000,0.000000,0.949153,0.840580,0.512821,0.383759, 
9,0.000000,0.818182,0.909091,0.727273,0.000000,0.571429,0.504329, 
10,0.000000,0.808933,0.000000,0.633745,0.658436,0.829155,0.488378, 
11,0.000000,0.000000,0.000000,0.666667,0.553846,0.769231,0.331624, 
12,0.000000,0.000000,0.813793,0.896552,0.703448,0.526316,0.490018, 
13,0.000000,0.000000,0.741772,0.000000,0.764557,0.562712,0.344840, 
14,0.000000,0.000000,0.000000,0.974790,0.776471,0.506329,0.376265, 
15,0.000000,0.000000,0.741772,0.000000,0.298305,0.567089,0.267861, 
16,0.739241,0.677966,0.000000,0.962025,0.000000,0.000000,0.396539, 
17,0.000000,0.000000,0.888889,0.000000,0.553846,0.769231,0.368661, 
18,0.000000,0.000000,0.858515,0.855895,0.440268,0.754325,0.484834, 
19,0.612987,0.636364,0.701754,0.000000,0.000000,0.498701,0.408301, 
20,0.936032,0.000000,0.641711,0.736156,0.220359,0.641711,0.529328, 
21,0.936032,0.000000,0.641711,0.000000,0.220359,0.673684,0.411965, 
22,0.000000,0.000000,0.904425,0.814159,0.000000,0.547945,0.377755, 
23,0.000000,0.668122,0.000000,0.855895,0.754325,0.536913,0.469209, 
24,0.805970,0.000000,0.208511,0.000000,0.782979,0.851064,0.441421, 
25,0.178571,0.000000,0.918919,0.750000,0.000000,0.563380,0.401812, 
26,0.000000,0.000000,0.000000,0.950820,0.845902,0.833803,0.438421, 
27,0.000000,0.888889,0.428571,0.666667,0.888889,0.909091,0.630351, 
28,0.000000,0.000000,0.727731,0.000000,0.324051,0.578151,0.271655, 
29,0.000000,0.000000,0.000000,0.647059,0.689655,0.882353,0.369844, 
30,0.756477,0.707965,0.000000,0.707965,0.707965,0.854135,0.622418, 
31,0.000000,0.851675,0.810526,0.416107,0.000000,0.788166,0.477746, 
32,0.000000,0.000000,0.000000,0.949153,0.000000,0.555932,0.250847, 
33,0.000000,0.000000,0.000000,0.846975,0.811618,0.803987,0.410430, 
34,0.000000,0.000000,0.000000,0.731707,0.181818,0.742857,0.276064, 
35,0.410811,0.740741,0.000000,0.740741,0.474074,0.000000,0.394394, 
36,0.400000,0.500000,0.000000,0.000000,0.888889,0.000000,0.298148, 
37,0.000000,0.000000,0.923767,0.771300,0.525874,0.714110,0.489175, 
38,0.747826,0.000000,0.000000,0.000000,0.000000,0.848780,0.266101, 
39,0.000000,0.778894,0.000000,0.589928,0.672269,0.547899,0.431498, 
40,0.000000,0.857143,0.000000,0.000000,0.640000,0.622222,0.353228, 
41,0.000000,0.000000,0.717647,0.000000,0.733333,0.833333,0.380719, 
42,0.000000,0.000000,0.000000,0.926829,0.215385,0.913043,0.342543, 
43,0.000000,0.600000,0.000000,0.000000,0.640000,0.800000,0.340000, 
44,0.800000,0.000000,0.000000,0.000000,0.700000,0.533332,0.338889, 
45,0.000000,0.857143,0.828571,0.000000,0.640000,0.800000,0.520952, 
46,0.000000,0.000000,0.883721,0.000000,0.567742,0.720000,0.361910, 
