é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.000000,0.000000,0.178571,0.812500,0.800000,0.000000,0.298512, 
2,0.000000,0.000000,0.372549,0.000000,0.000000,0.567164,0.156619, 
3,0.000000,0.000000,0.686047,0.812500,0.000000,0.574074,0.345437, 
4,0.691667,0.000000,0.000000,0.000000,0.599553,0.756466,0.341281, 
5,0.000000,0.000000,0.537500,0.804348,0.381579,0.531365,0.375799, 
6,0.000000,0.000000,0.000000,0.719512,0.762500,0.450839,0.322142, 
7,0.528497,0.173913,0.000000,0.653846,0.000000,0.305970,0.277038, 
8,0.000000,0.000000,0.000000,0.903226,0.725000,0.344828,0.328842, 
9,0.000000,0.692308,0.833333,0.571429,0.000000,0.400000,0.416178, 
10,0.000000,0.679167,0.000000,0.463855,0.490798,0.708167,0.390331, 
11,0.000000,0.000000,0.000000,0.500000,0.382979,0.625000,0.251330, 
12,0.000000,0.000000,0.686047,0.812500,0.542553,0.357143,0.399707, 
13,0.000000,0.000000,0.589537,0.000000,0.618852,0.391509,0.266650, 
14,0.000000,0.000000,0.000000,0.950820,0.634615,0.338983,0.320736, 
15,0.000000,0.000000,0.589537,0.000000,0.175299,0.395760,0.193433, 
16,0.586345,0.512821,0.000000,0.926829,0.000000,0.000000,0.337666, 
17,0.000000,0.000000,0.800000,0.000000,0.382979,0.625000,0.301330, 
18,0.000000,0.000000,0.752104,0.748092,0.282272,0.605556,0.398004, 
19,0.441948,0.466667,0.540541,0.000000,0.000000,0.332180,0.296889, 
20,0.879756,0.000000,0.472441,0.582474,0.123822,0.472441,0.421822, 
21,0.879756,0.000000,0.472441,0.000000,0.123822,0.507937,0.330659, 
22,0.000000,0.000000,0.825525,0.686567,0.000000,0.377358,0.314908, 
23,0.000000,0.501639,0.000000,0.748092,0.605556,0.366972,0.370376, 
24,0.675000,0.000000,0.116390,0.000000,0.643357,0.740741,0.362581, 
25,0.098039,0.000000,0.850000,0.600000,0.000000,0.392157,0.323366, 
26,0.000000,0.000000,0.000000,0.906250,0.732955,0.714976,0.392363, 
27,0.000000,0.800000,0.272727,0.500000,0.800000,0.833333,0.534343, 
28,0.000000,0.000000,0.571995,0.000000,0.193353,0.406619,0.195328, 
29,0.000000,0.000000,0.000000,0.478261,0.526316,0.789474,0.299008, 
30,0.608333,0.547945,0.000000,0.547945,0.547945,0.745407,0.499596, 
31,0.000000,0.741667,0.681416,0.262712,0.000000,0.650391,0.389364, 
32,0.000000,0.000000,0.000000,0.903226,0.000000,0.384977,0.214700, 
33,0.000000,0.000000,0.000000,0.734568,0.682961,0.672222,0.348292, 
34,0.000000,0.000000,0.000000,0.576923,0.100000,0.590909,0.211305, 
35,0.258503,0.588235,0.000000,0.588235,0.310680,0.000000,0.290942, 
36,0.250000,0.333333,0.000000,0.000000,0.800000,0.000000,0.230556, 
37,0.000000,0.000000,0.858333,0.627737,0.356736,0.555344,0.399692, 
38,0.597222,0.000000,0.000000,0.000000,0.000000,0.737288,0.222418, 
39,0.000000,0.637860,0.000000,0.418367,0.506329,0.377315,0.323312, 
40,0.000000,0.750000,0.000000,0.000000,0.470588,0.451613,0.278700, 
41,0.000000,0.000000,0.559633,0.000000,0.578947,0.714286,0.308811, 
42,0.000000,0.000000,0.000000,0.863636,0.120690,0.840000,0.304054, 
43,0.000000,0.428571,0.000000,0.000000,0.470588,0.666667,0.260971, 
44,0.666667,0.000000,0.000000,0.000000,0.538461,0.363635,0.261461, 
45,0.000000,0.750000,0.707317,0.000000,0.470588,0.666667,0.432429, 
46,0.000000,0.000000,0.791667,0.000000,0.396396,0.562500,0.291761, 
47,0.000000,0.000000,0.866667,0.128205,0.600000,0.384615,0.329915, 
