No.,tL,tR
true,0.833333,1.250000
0,0.999998,1.000000
1,1.000000,1.000001
2,0.965516,1.037036
3,0.988096,1.012195
4,0.977271,1.023809
5,0.953126,1.051725
6,1.000000,1.000000
7,0.999998,1.000000
8,0.925926,1.086957
9,0.970239,1.031644
10,1.000000,1.000000
11,0.933332,1.076921
12,0.975001,1.026317
13,0.983333,1.017240
14,0.975001,1.026317
15,0.975001,1.026317
16,1.000000,1.000000
17,0.956142,1.048079
18,0.925001,1.088236
19,0.962121,1.040985
20,0.962123,1.040985
21,0.981480,1.019230
22,0.956142,1.048079
23,0.964287,1.038463
24,1.000000,1.000001
25,0.968752,1.033335
26,0.925926,1.086957
27,0.983333,1.017240
28,0.974359,1.027027
29,0.960524,1.042856
30,0.927085,1.085366
31,0.999998,1.000000
32,0.960318,1.043103
33,1.000000,1.000000
34,0.971428,1.030302
35,1.000000,1.000000
36,0.953703,1.051020
37,1.000000,1.000000
38,0.987499,1.012821
39,1.000000,1.000000
40,1.000000,1.000000
41,1.000000,1.000000
42,1.000000,1.000000
43,1.000000,1.000000
44,0.937501,1.071428
45,0.989582,1.010637
46,1.000000,1.000000
47,0.979165,1.021739
48,0.999998,1.000000
49,0.976191,1.025000
50,1.000000,1.000000
51,1.000000,1.000000
52,0.906248,1.115383
53,1.000000,1.000000
54,1.000000,1.000001
55,0.983333,1.017240
56,0.944443,1.062499
57,0.983333,1.017240
58,0.968752,1.033335
59,0.988096,1.012195
60,1.000000,1.000000
61,0.937501,1.071428
62,0.999998,1.000000
63,0.953703,1.051020
64,1.000000,1.000001
65,0.999999,1.000000
66,0.953126,1.051725
67,0.964287,1.038463
68,0.942308,1.065217
69,1.000000,1.000000
70,0.972220,1.029411
71,0.931251,1.079712
72,0.971697,1.029999
73,0.976193,1.025000
74,0.999999,1.000000
75,0.972223,1.029412
76,0.981481,1.019230
77,0.961538,1.041667
78,1.000000,1.000000
79,0.977271,1.023809
80,0.989582,1.010637
81,1.000000,1.000000
82,0.961538,1.041667
83,0.916666,1.100000
84,1.000000,1.000001
85,0.947918,1.058141
86,0.991378,1.008770
87,1.000000,1.000000
88,1.000000,1.000000
89,0.921874,1.092592
90,0.941176,1.066667
91,0.968752,1.033335
92,0.975001,1.026317
93,0.968752,1.033335
94,0.983333,1.017240
95,1.000000,1.000000
96,0.999998,1.000000
97,0.976193,1.025000
98,0.958332,1.045453
99,1.000000,1.000000
100,0.954546,1.050001
101,0.956522,1.047620
102,0.972223,1.029412
103,0.999998,1.000000
104,0.956522,1.047620
105,0.958332,1.045453
106,0.973685,1.027779
107,1.000000,1.000000
108,1.000000,1.000001
109,0.962963,1.040000
110,1.000000,1.000000
111,0.983333,1.017240
112,0.965516,1.037036
113,0.983333,1.017240
114,0.944445,1.062501
115,0.953126,1.051725
116,0.968750,1.033333
117,0.918181,1.097825
118,0.956142,1.048079
119,0.968752,1.033335
120,0.968752,1.033335
121,0.948275,1.057692
122,1.000000,1.000000
123,0.991378,1.008770
124,0.952381,1.052632
125,0.999999,1.000000
126,1.000000,1.000001
127,0.948275,1.057692
128,0.906248,1.115383
129,0.984128,1.016393
130,0.983333,1.017240
131,0.991378,1.008770
132,0.990383,1.009803
133,0.979165,1.021739
134,0.923912,1.089742
135,0.971153,1.030611
136,0.976191,1.025000
137,0.954546,1.050000
138,0.953126,1.051725
139,0.999998,1.000000
140,0.999998,1.000000
141,0.953126,1.051725
142,1.000000,1.000000
143,0.953703,1.051020
144,1.000000,1.000000
145,0.950000,1.055556
146,0.913044,1.105264
147,0.981480,1.019230
148,0.999999,1.000000
149,0.988637,1.011628
150,1.000000,1.000001
151,0.975001,1.026317
152,1.000000,1.000000
153,0.980000,1.020833
154,1.000000,1.000000
155,1.000000,1.000000
156,0.948719,1.057144
157,0.999998,1.000000
158,1.000000,1.000001
159,0.968752,1.033335
160,1.000000,1.000001
161,0.940790,1.067165
162,0.958334,1.045454
163,0.980000,1.020833
164,0.999999,1.000000
165,1.000000,1.000001
166,0.973685,1.027779
167,0.927085,1.085366
168,0.961538,1.041667
169,1.000000,1.000000
170,0.968752,1.033335
171,0.966666,1.035713
172,0.945652,1.060975
173,0.907144,1.114037
174,0.909091,1.111111
