No.,tL,tR
true,0.833333,1.250000
0,0.930774,1.080351
1,0.907739,1.113138
2,0.910889,1.108437
3,0.911098,1.108128
4,0.945886,1.060682
5,0.918094,1.097952
6,0.903703,1.119267
7,0.879882,1.158099
8,0.950761,1.054617
9,0.888259,1.143900
10,0.917536,1.098751
11,0.948889,1.056930
12,0.924155,1.089407
13,0.936505,1.072732
14,0.915621,1.101510
15,0.922161,1.092191
16,0.954066,1.050581
17,0.896168,1.131046
18,0.941713,1.065979
19,0.973064,1.028469
20,0.888448,1.143586
21,0.901001,1.123440
22,0.932542,1.077979
23,0.907695,1.113204
24,0.894739,1.133330
25,0.904462,1.118105
26,0.938811,1.069722
27,0.925112,1.088081
28,0.934052,1.075968
29,0.978897,1.022033
30,0.931598,1.079242
31,0.931683,1.079129
32,0.945108,1.061662
33,0.930604,1.080580
34,0.927598,1.084661
35,0.940577,1.067438
36,0.918203,1.097796
37,0.897873,1.128341
38,0.928017,1.084088
39,0.952376,1.052638
40,0.930721,1.080421
41,0.914485,1.103158
42,0.870314,1.175103
43,0.909402,1.110647
44,0.906635,1.114803
45,0.945599,1.061042
46,0.957024,1.047017
47,0.910155,1.109526
48,0.918415,1.097492
49,0.872865,1.170484
50,0.877808,1.161712
51,0.880083,1.157751
52,0.944482,1.062452
53,0.944061,1.062985
54,0.900960,1.123503
55,0.936917,1.072191
56,0.905323,1.116792
57,0.921468,1.093165
58,0.965334,1.037249
59,0.894212,1.134177
60,0.969674,1.032284
61,0.938379,1.070283
62,0.942156,1.065411
63,0.917504,1.098796
64,0.902283,1.121453
65,0.921460,1.093176
66,0.922377,1.091888
67,0.889632,1.141631
68,0.909667,1.110252
69,0.919797,1.095526
70,0.881758,1.154866
71,0.933610,1.076555
72,0.941899,1.065740
73,0.922278,1.092027
74,0.910195,1.109467
75,0.946046,1.060480
76,0.937468,1.071470
77,0.894439,1.133811
78,0.926876,1.085650
79,0.919403,1.096085
80,0.949345,1.056366
81,0.874782,1.167055
82,0.892838,1.136395
83,0.942782,1.064612
84,0.916158,1.100733
85,0.926352,1.086370
86,0.930302,1.080988
87,0.905940,1.115855
88,0.876850,1.163394
89,0.915644,1.101476
90,0.933812,1.076286
91,0.947151,1.059095
92,0.935646,1.073861
93,0.885943,1.147763
94,0.932857,1.077557
95,0.923481,1.090345
96,0.908830,1.111501
97,0.924624,1.088756
98,0.924472,1.088967
99,0.912527,1.106021
100,0.935183,1.074471
101,0.919044,1.096597
102,0.918389,1.097530
103,0.912038,1.106740
104,0.896174,1.131035
105,0.944982,1.061820
106,0.914949,1.102483
107,0.899167,1.126305
108,0.924638,1.088737
109,0.925211,1.087943
110,0.902178,1.121616
111,0.935279,1.074344
112,0.909342,1.110736
113,0.903046,1.120276
114,0.920461,1.094586
115,0.902222,1.121547
116,0.870753,1.174303
117,0.899287,1.126116
118,0.890108,1.140848
119,0.890241,1.140630
120,0.936898,1.072215
121,0.902377,1.121307
122,0.896869,1.129931
123,0.917045,1.099455
124,0.903415,1.119710
125,0.909113,1.111078
126,0.871067,1.173732
127,0.884852,1.149601
128,0.936917,1.072191
129,0.907820,1.113015
130,0.930358,1.080912
131,0.942695,1.064723
132,0.914943,1.102492
133,0.935667,1.073833
134,0.895585,1.131975
135,0.935980,1.073421
136,0.905187,1.116999
137,0.937938,1.070857
138,0.929021,1.082722
139,0.937500,1.071429
140,0.947275,1.058941
141,0.930988,1.080062
142,0.904903,1.117432
143,0.892831,1.136405
144,0.942368,1.065141
145,0.925704,1.087263
146,0.956062,1.048171
147,0.878160,1.161096
148,0.935839,1.073606
149,0.890903,1.139545
150,0.940239,1.067873
151,0.890121,1.140827
152,0.936979,1.072110
153,0.961245,1.042011
154,0.938188,1.070532
155,0.960266,1.043164
156,0.912775,1.105657
157,0.910059,1.109668
158,0.996973,1.003046
159,0.896320,1.130803
