No.,tL,tR
true,0.833333,1.250000
0,0.847327,1.219782
1,0.823164,1.273602
2,0.857380,1.199536
3,0.853352,1.207510
4,0.878099,1.161203
5,0.851208,1.211829
6,0.832791,1.251223
7,0.826247,1.266290
8,0.886676,1.146537
9,0.818577,1.284739
10,0.864660,1.185570
11,0.897089,1.129582
12,0.843959,1.226831
13,0.868297,1.178799
14,0.860140,1.194175
15,0.843557,1.227681
16,0.904657,1.117808
17,0.847720,1.218970
18,0.857853,1.198610
19,0.888895,1.142846
20,0.814377,1.295224
21,0.825891,1.267127
22,0.856132,1.201987
23,0.858062,1.198203
24,0.834422,1.247558
25,0.844733,1.225199
26,0.880468,1.157086
27,0.864375,1.186106
28,0.868388,1.178633
29,0.925173,1.087996
30,0.874664,1.167264
31,0.856511,1.201241
32,0.903887,1.118985
33,0.861811,1.190968
34,0.847813,1.218778
35,0.874598,1.167383
36,0.856827,1.200619
37,0.817744,1.286796
38,0.872528,1.171091
39,0.883446,1.151983
40,0.847334,1.219769
41,0.853822,1.206570
42,0.782942,1.383573
43,0.847908,1.218580
44,0.837877,1.239915
45,0.898089,1.128000
46,0.885940,1.147770
47,0.866986,1.181224
48,0.847915,1.218566
49,0.809330,1.308198
50,0.784554,1.378568
51,0.773751,1.413237
52,0.867702,1.179899
53,0.871855,1.172305
54,0.830297,1.256895
55,0.900711,1.123891
56,0.837791,1.240102
57,0.822923,1.274179
58,0.921837,1.092647
59,0.803560,1.323560
60,0.900679,1.123941
61,0.859185,1.196021
62,0.872328,1.171452
63,0.862558,1.189544
64,0.834758,1.246808
65,0.840838,1.233486
66,0.875224,1.166269
67,0.811309,1.303060
68,0.831221,1.254783
69,0.801823,1.328299
70,0.774342,1.411273
71,0.851670,1.210894
72,0.897982,1.128169
73,0.844049,1.226640
74,0.844646,1.225382
75,0.903471,1.119623
76,0.878976,1.159673
77,0.833159,1.250393
78,0.859074,1.196236
79,0.836486,1.242972
80,0.866337,1.182433
81,0.802057,1.327658
82,0.826885,1.264794
83,0.867618,1.180053
84,0.850145,1.213990
85,0.856183,1.201886
86,0.884263,1.150597
87,0.835829,1.244427
88,0.778297,1.398320
89,0.839359,1.236683
90,0.912550,1.105987
91,0.880311,1.157357
92,0.863034,1.188641
93,0.827797,1.262667
94,0.843757,1.227258
95,0.849057,1.216216
96,0.829309,1.259165
97,0.845119,1.224387
98,0.866875,1.181432
99,0.850155,1.213969
100,0.873847,1.168722
101,0.864514,1.185845
102,0.822531,1.275119
103,0.855136,1.203956
104,0.824149,1.271251
105,0.901980,1.121922
106,0.837527,1.240681
107,0.819164,1.283297
108,0.829533,1.258649
109,0.875408,1.165942
110,0.816643,1.289533
111,0.883499,1.151892
112,0.801662,1.328743
113,0.831846,1.253361
114,0.872010,1.172025
115,0.808449,1.310507
116,0.808934,1.309234
117,0.826062,1.266726
118,0.808356,1.310751
119,0.795403,1.346301
120,0.867482,1.180306
121,0.826829,1.264925
122,0.837687,1.240330
123,0.840962,1.233219
124,0.828448,1.261155
125,0.830795,1.255756
126,0.829409,1.258934
127,0.785609,1.375323
128,0.900711,1.123891
129,0.860376,1.193720
130,0.814771,1.294229
131,0.880054,1.157802
132,0.833738,1.249091
133,0.871648,1.172679
134,0.827382,1.263634
135,0.858243,1.197851
136,0.859919,1.194602
137,0.872740,1.170709
138,0.872098,1.171865
139,0.865705,1.183611
140,0.908556,1.111911
141,0.851019,1.212211
142,0.815363,1.292737
143,0.826767,1.265072
144,0.875541,1.165706
145,0.850330,1.213613
146,0.894378,1.133910
147,0.790707,1.359973
148,0.902294,1.121437
149,0.807622,1.312686
150,0.876512,1.163990
151,0.831382,1.254417
152,0.884774,1.149733
153,0.901322,1.122941
154,0.894035,1.134461
155,0.897481,1.128961
156,0.839644,1.236064
157,0.841771,1.231483
158,0.908652,1.111767
159,0.839881,1.235550
160,0.824473,1.270480
161,0.794886,1.347784
162,0.859445,1.195516
163,0.877053,1.163037
164,0.889842,1.141285
165,0.830930,1.255447
166,0.862244,1.190142
167,0.927580,1.084687
168,0.840993,1.233153
169,0.804333,1.321468
170,0.844360,1.225985
171,0.812538,1.299904
172,0.833482,1.249666
173,0.818572,1.284751
174,0.845413,1.223770
175,0.852770,1.208677
176,0.863974,1.186861
177,0.891269,1.138946
178,0.923754,1.089965
179,0.801483,1.329233
180,0.872584,1.170990
181,0.850436,1.213398
182,0.782673,1.384415
183,0.850895,1.212465
184,0.787785,1.368705
185,0.836253,1.243488
186,0.870035,1.175611
187,0.836879,1.242106
188,0.829224,1.259361
189,0.894237,1.134136
190,0.909805,1.110047
191,0.862231,1.190167
192,0.859077,1.196229
193,0.802592,1.326194
194,0.853707,1.206799
195,0.825911,1.267081
196,0.827117,1.264253
197,0.862720,1.189238
198,0.853645,1.206924
199,0.806429,1.315850
200,0.813202,1.298206
201,0.832912,1.250948
202,0.853245,1.207724
203,0.866280,1.182539
204,0.946311,1.060148
205,0.852742,1.208733
206,0.806381,1.315978
207,0.850750,1.212759
208,0.831076,1.255114
209,0.832734,1.251351
210,0.849017,1.216298
211,0.827964,1.262278
212,0.858762,1.196841
213,0.840982,1.233177
214,0.875097,1.166494
215,0.802997,1.325092
216,0.866849,1.181479
217,0.822547,1.275082
218,0.856420,1.201419
219,0.839180,1.237073
220,0.826782,1.265036
221,0.843523,1.227754
222,0.791011,1.359074
223,0.787150,1.370625
224,0.842604,1.229705
225,0.843552,1.227692
226,0.823814,1.272048
227,0.902606,1.120954
228,0.839103,1.237238
229,0.886307,1.147154
230,0.813213,1.298179
231,0.871602,1.172762
232,0.897535,1.128876
233,0.846647,1.221194
234,0.845609,1.223360
235,0.816598,1.289646
236,0.906316,1.115285
237,0.820340,1.280420
238,0.830685,1.256007
239,0.786564,1.372404
240,0.891707,1.138232
241,0.865419,1.184147
242,0.816038,1.291044
243,0.794774,1.348108
244,0.797976,1.338993
245,0.893117,1.135944
246,0.863645,1.187483
247,0.826679,1.265277
248,0.878090,1.161218
249,0.836048,1.243942
250,0.870397,1.174951
251,0.851582,1.211071
252,0.800730,1.331311
253,0.896241,1.130929
254,0.872611,1.170942
255,0.853474,1.207266
256,0.800230,1.332694
257,0.842741,1.229413
258,0.832364,1.252188
259,0.768008,1.432809
260,0.875527,1.165732
261,0.803142,1.324696
262,0.828696,1.260582
263,0.846489,1.221524
264,0.873598,1.169168
265,0.818854,1.284058
266,0.877374,1.162473
267,0.835535,1.245078
268,0.846270,1.221980
269,0.836211,1.243581
270,0.854505,1.205209
271,0.836173,1.243665
272,0.867031,1.181141
273,0.848185,1.218010
274,0.879051,1.159542
275,0.872518,1.171109
276,0.891441,1.138666
277,0.813863,1.296527
278,0.870454,1.174847
279,0.868710,1.178040
280,0.867320,1.180605
281,0.864793,1.185320
282,0.830802,1.255738
283,0.820788,1.279332
284,0.894494,1.133724
285,0.805385,1.318640
286,0.887644,1.144921
287,0.871628,1.172716
288,0.876053,1.164799
289,0.821838,1.276788
290,0.839140,1.237159
291,0.871647,1.172681
292,0.877667,1.161958
293,0.842224,1.230516
294,0.858569,1.197216
295,0.818018,1.286119
296,0.866012,1.183037
297,0.807399,1.313274
298,0.840189,1.234886
299,0.837266,1.241255
300,0.792358,1.355117
301,0.819675,1.282043
302,0.866187,1.182710
303,0.809913,1.306678
304,0.879150,1.159370
305,0.874600,1.167379
306,0.834790,1.246737
307,0.799483,1.334772
308,0.836481,1.242984
309,0.791532,1.357540
310,0.865256,1.184451
311,0.882021,1.154414
312,0.906835,1.114500
313,0.891242,1.138991
314,0.872999,1.170242
315,0.854195,1.205825
316,0.859626,1.195166
317,0.881542,1.155237
318,0.837882,1.239903
319,0.805732,1.317709
320,0.859081,1.196221
321,0.854551,1.205117
322,0.905502,1.116519
323,0.881259,1.155722
324,0.827049,1.264411
325,0.836785,1.242313
326,0.915815,1.101229
327,0.829964,1.257659
328,0.891663,1.138304
329,0.882313,1.153914
330,0.877385,1.162453
331,0.828897,1.260116
332,0.854335,1.205548
333,0.836826,1.242223
334,0.876651,1.163745
335,0.833249,1.250190
336,0.845121,1.224383
337,0.844839,1.224976
338,0.868949,1.177600
339,0.827153,1.264169
340,0.878795,1.159988
341,0.867720,1.179865
342,0.849840,1.214611
343,0.827995,1.262208
344,0.770775,1.423276
345,0.849548,1.215210
346,0.813144,1.298355
347,0.853400,1.207413
348,0.875720,1.165389
349,0.848006,1.218378
350,0.830537,1.256344
351,0.879198,1.159287
352,0.800750,1.331255
353,0.854929,1.204366
354,0.889818,1.141326
355,0.827354,1.263699
356,0.808197,1.311170
357,0.837640,1.240433
