No.,tL,tR
true,0.833333,1.250000
0,0.938921,1.069578
1,0.912438,1.106151
2,0.917427,1.098907
3,0.909863,1.109959
4,0.943049,1.064271
5,0.920251,1.094882
6,0.903568,1.119475
7,0.884405,1.150357
8,0.954419,1.050153
9,0.888104,1.144157
10,0.919692,1.095676
11,0.949877,1.055708
12,0.927802,1.084383
13,0.940246,1.067864
14,0.919351,1.096159
15,0.915072,1.102306
16,0.955229,1.049174
17,0.902223,1.121546
18,0.937211,1.071806
19,0.973689,1.027772
20,0.887679,1.144863
21,0.895643,1.131882
22,0.938415,1.070236
23,0.909191,1.110962
24,0.896183,1.131021
25,0.907275,1.113836
26,0.941365,1.066424
27,0.928001,1.084110
28,0.933496,1.076706
29,0.975580,1.025674
30,0.927696,1.084527
31,0.936534,1.072693
32,0.942084,1.065504
33,0.943348,1.063891
34,0.930238,1.081073
35,0.944579,1.062330
36,0.920370,1.094715
37,0.897719,1.128585
38,0.934242,1.075715
39,0.967131,1.035182
40,0.934074,1.075939
41,0.917589,1.098675
42,0.871003,1.173849
43,0.911193,1.107987
44,0.912451,1.106133
45,0.941400,1.066380
46,0.962177,1.040919
47,0.905831,1.116020
48,0.916843,1.099746
49,0.874453,1.167640
50,0.881389,1.155499
51,0.886193,1.147345
52,0.951878,1.053246
53,0.944309,1.062672
54,0.902188,1.121599
55,0.934918,1.074822
56,0.903039,1.120288
57,0.927952,1.084177
58,0.965516,1.037039
59,0.892898,1.136298
60,0.974642,1.026713
61,0.936348,1.072938
62,0.939991,1.068193
63,0.913526,1.104557
64,0.891957,1.137826
65,0.908713,1.111675
66,0.928136,1.083927
67,0.903585,1.119448
68,0.906702,1.114701
69,0.922644,1.091514
70,0.892459,1.137009
71,0.933136,1.077186
72,0.942850,1.064525
73,0.921138,1.093630
74,0.916669,1.099997
75,0.939570,1.068737
76,0.947574,1.058567
77,0.893857,1.134749
78,0.932458,1.078091
79,0.928359,1.083623
80,0.950846,1.054513
81,0.879763,1.158305
82,0.913044,1.105263
83,0.944510,1.062417
84,0.912787,1.105640
85,0.925658,1.087326
86,0.950106,1.055425
87,0.887913,1.144475
88,0.880585,1.156884
