é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.804829,0.558846,0.815239,0.895771,0.762049,0.916412,0.792191, 
2,0.046030,0.588235,0.655410,0.773994,0.081283,0.651727,0.466113, 
3,0.491778,0.434783,0.761805,0.456093,0.607953,0.959991,0.618734, 
4,0.792781,0.025789,0.794882,0.892709,0.682908,0.916875,0.684324, 
5,0.689655,0.465116,0.790048,0.889423,0.764792,0.844828,0.740644, 
6,0.819672,0.588235,0.650344,0.837523,0.960395,0.713037,0.761534, 
7,0.524332,0.468085,0.449598,0.479565,0.539741,0.649551,0.518479, 
8,0.581258,0.555556,0.523777,0.903845,0.902991,0.904649,0.728679, 
9,0.415385,0.582425,0.592179,0.592179,0.863181,0.586395,0.605290, 
10,0.530780,0.688432,0.538913,0.785866,0.919489,0.858449,0.720322, 
11,0.684020,0.349688,0.361272,0.947290,0.584227,0.568602,0.582517, 
12,0.800135,0.588235,0.862590,0.970287,0.740827,0.879009,0.806847, 
13,0.180333,0.471698,0.600813,0.234694,0.739117,0.877618,0.517379, 
14,0.511397,0.522388,0.311909,0.765956,0.899559,0.756515,0.627954, 
15,0.404901,0.381471,0.721449,0.384361,0.620898,0.455207,0.494715, 
16,0.540541,0.569163,0.355872,0.766721,0.500000,0.697083,0.571563, 
17,0.551651,0.370370,0.805465,0.568510,0.710839,0.942341,0.658196, 
18,0.804409,0.661157,0.785508,0.916526,0.738343,0.608838,0.752463, 
19,0.516246,0.796180,0.683674,0.599823,0.749803,0.733567,0.679882, 
20,0.798123,0.252558,0.711857,0.811146,0.662768,0.649043,0.647582, 
21,0.741525,0.659026,0.804734,0.911032,0.639383,0.551066,0.717794, 
22,0.696379,0.402896,0.784615,0.890012,0.623529,0.809739,0.701195, 
23,0.419556,0.520876,0.772990,0.842115,0.844149,0.626530,0.671036, 
24,0.810164,0.000000,0.572435,0.458716,0.957328,0.923584,0.620371, 
25,0.796460,0.312633,0.803196,0.890641,0.713932,0.915960,0.738804, 
26,0.529357,0.661947,0.471698,0.774758,0.736316,0.623719,0.632966, 
27,0.000000,0.773328,0.682368,0.792443,0.910019,0.716854,0.645835, 
28,0.429778,0.600707,0.584809,0.355876,0.642116,0.421352,0.505773, 
29,0.000000,0.526316,0.305283,0.628629,0.774465,0.860250,0.515824, 
30,0.761875,0.542318,0.651751,0.805317,0.842822,0.566609,0.695115, 
31,0.125086,0.850869,0.972540,0.510075,0.761971,0.655822,0.646061, 
32,0.564061,0.471698,0.418410,0.745222,0.571569,0.615444,0.564401, 
33,0.752156,0.728097,0.484638,0.738631,0.923357,0.744657,0.728589, 
34,0.418444,0.246570,0.872214,0.727832,0.743721,0.797097,0.634313, 
35,0.284266,0.650875,0.624965,0.895997,0.689016,0.942532,0.681275, 
36,0.419674,0.443836,0.375940,0.395161,0.921109,0.866389,0.570351, 
37,0.705219,0.243671,0.865699,0.563234,0.827137,0.963662,0.694770, 
38,0.554115,0.239098,0.494905,0.494905,0.654206,0.826951,0.544030, 
39,0.315472,0.996730,0.489801,0.698212,0.627901,0.853457,0.663595, 
40,0.509094,0.738388,0.769496,0.855687,0.774640,0.790150,0.739576, 
41,0.915742,0.809982,0.458716,0.751769,0.917026,0.745254,0.766415, 
42,0.230005,0.489510,0.375940,0.804238,0.337287,0.752152,0.498189, 
43,0.391608,0.473934,0.361272,0.418410,0.579441,0.576314,0.466830, 
44,0.506916,0.162120,0.660084,0.820565,0.917417,0.821567,0.648112, 
45,0.453290,0.840256,0.925712,0.580589,0.927014,0.744505,0.745228, 
46,0.230648,0.563320,0.715929,0.755088,0.581540,0.784771,0.605216, 
47,0.884719,0.515461,0.907374,0.493185,0.800854,0.675340,0.712822, 
48,0.740799,0.678923,0.795475,0.701772,0.781871,0.837705,0.756091, 
49,0.721982,0.527759,0.441696,0.748962,0.541009,0.000000,0.496901, 
50,0.598989,0.540541,0.773556,0.870905,0.871028,0.909953,0.760828, 
51,0.848708,0.747660,0.800553,0.910281,0.724815,0.739265,0.795214, 
52,0.000000,0.548804,0.618431,0.730836,0.940834,0.676256,0.585860, 
53,0.787905,0.896282,0.877128,0.872849,0.783057,0.844132,0.843559, 
54,0.892468,0.633959,0.827011,0.649153,0.832265,0.896237,0.788515, 
55,0.425273,0.298022,0.220653,0.441462,0.427079,0.841572,0.442344, 
56,0.727484,0.555556,0.814127,0.833040,0.783212,0.823318,0.756123, 
57,0.536729,0.617073,0.718791,0.750618,0.661535,0.898214,0.697160, 
58,0.786578,0.779661,0.553157,0.958063,0.838741,0.160313,0.679419, 
59,0.875000,0.463019,0.846154,0.632505,0.577200,0.786302,0.696696, 
60,0.105437,0.000000,0.260945,0.295858,0.614365,0.691515,0.328020, 
61,0.491643,0.167878,0.689435,0.869498,0.588235,0.888030,0.615786, 
62,0.187948,0.651009,0.558258,0.898563,0.890049,0.717109,0.650489, 
63,0.031053,0.648921,0.475367,0.475367,0.869432,0.694133,0.532379, 
64,0.714286,0.524432,0.649732,0.938607,0.681320,0.957163,0.744257, 
65,0.932318,0.786792,0.519957,0.540270,0.685808,0.664963,0.688351, 
66,0.575524,0.471698,0.447928,0.790687,0.719959,0.713608,0.619901, 
67,0.405041,0.632911,0.481928,0.888692,0.861611,0.616615,0.647800, 
68,0.749793,0.000000,0.684621,0.761128,0.687554,0.812995,0.616015, 
69,0.000000,0.954917,0.578006,0.742411,0.842283,0.752812,0.645071, 
70,0.242122,0.842064,0.670969,0.865516,0.867007,0.825418,0.718849, 
71,0.715647,0.603448,0.751364,0.828762,0.836398,0.531494,0.711186, 
72,0.780258,0.871484,0.545221,0.768409,0.883783,0.890274,0.789905, 
73,0.879567,0.546220,0.678429,0.933767,0.794281,0.541831,0.729016, 
74,0.532838,0.333854,0.664172,0.837752,0.710027,0.413508,0.582025, 
75,0.299799,0.099704,0.287507,0.513886,0.633585,0.786960,0.436907, 
76,0.826502,0.621443,0.724847,0.813643,0.765978,0.706625,0.743173, 
77,0.368081,0.096334,0.680924,0.499625,0.528736,0.698958,0.478777, 
78,0.227211,0.861236,0.651017,0.761536,0.809377,0.758774,0.678192, 
79,0.350246,0.489510,0.273973,0.378117,0.945406,0.732749,0.528334, 
80,0.200039,0.703163,0.850110,0.545221,0.746174,0.841358,0.647678, 
81,0.377998,0.450857,0.784403,0.618959,0.740917,0.835191,0.634721, 
82,0.762709,0.824072,0.458716,0.588473,0.725033,0.677947,0.672825, 
83,0.000000,0.458716,0.452296,0.710871,0.455197,0.814470,0.481925, 
84,0.943979,0.798998,0.992923,0.972550,0.866096,0.740321,0.885811, 
85,0.437250,0.221946,0.387711,0.634903,0.756193,0.511276,0.491547, 
86,0.613210,0.790525,0.756493,0.625776,0.932492,0.679399,0.732983, 
87,0.694317,0.674424,0.914453,0.707225,0.934871,0.988138,0.818905, 
