é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.673401,0.387777,0.688104,0.811219,0.615573,0.845720,0.670299, 
2,0.023557,0.416667,0.487442,0.631313,0.042363,0.483380,0.347454, 
3,0.326065,0.277778,0.615254,0.295414,0.436733,0.923060,0.479051, 
4,0.656700,0.013063,0.659589,0.806209,0.518497,0.846509,0.583428, 
5,0.526316,0.303030,0.652958,0.800866,0.619161,0.731343,0.605612, 
6,0.694444,0.416667,0.481859,0.720464,0.923808,0.554046,0.631881, 
7,0.355319,0.305556,0.289988,0.315413,0.369620,0.480989,0.352814, 
8,0.409700,0.384615,0.354809,0.824559,0.823139,0.825899,0.603787, 
9,0.262136,0.410860,0.420635,0.420635,0.759295,0.414822,0.448064, 
10,0.361267,0.524892,0.368844,0.647265,0.850976,0.752002,0.584208, 
11,0.519780,0.211892,0.220459,0.899859,0.412656,0.397235,0.443647, 
12,0.666855,0.416667,0.758381,0.942289,0.588345,0.784136,0.692779, 
13,0.099102,0.308642,0.429401,0.132948,0.586190,0.781925,0.389701, 
14,0.343541,0.353535,0.184771,0.620688,0.817454,0.608383,0.488062, 
15,0.253840,0.235690,0.564271,0.237900,0.450220,0.294672,0.339432, 
16,0.370370,0.397783,0.216450,0.621693,0.333333,0.535017,0.412441, 
17,0.380883,0.227273,0.674292,0.397146,0.551397,0.890969,0.520326, 
18,0.672813,0.493827,0.646779,0.845914,0.585216,0.437647,0.613699, 
19,0.347932,0.661378,0.519380,0.428391,0.599747,0.579239,0.522678, 
20,0.664064,0.144530,0.552623,0.682292,0.495627,0.480432,0.503261, 
21,0.589226,0.491453,0.673268,0.836602,0.469921,0.380325,0.573466, 
22,0.534188,0.252267,0.645569,0.801821,0.452991,0.680304,0.561190, 
23,0.265467,0.352152,0.629979,0.727287,0.730327,0.456166,0.526896, 
24,0.680904,0.000000,0.400987,0.297619,0.918148,0.858018,0.525946, 
25,0.661765,0.185278,0.671117,0.802843,0.555128,0.844950,0.620180, 
26,0.359949,0.494709,0.308642,0.632330,0.582674,0.453192,0.471916, 
27,0.000000,0.630428,0.517874,0.656236,0.834894,0.558669,0.533017, 
28,0.273705,0.429293,0.413237,0.216453,0.472879,0.266907,0.345412, 
29,0.000000,0.357143,0.180138,0.458394,0.631940,0.754770,0.397064, 
30,0.615346,0.372042,0.483405,0.674084,0.728343,0.395293,0.544752, 
31,0.066716,0.740446,0.946547,0.342349,0.615471,0.487899,0.533238, 
32,0.392817,0.308642,0.264550,0.593907,0.400138,0.444506,0.400760, 
33,0.602764,0.572447,0.319817,0.585579,0.857626,0.593190,0.588570, 
34,0.264578,0.140622,0.773386,0.572120,0.592002,0.662645,0.500892, 
35,0.165682,0.482442,0.454509,0.811590,0.525571,0.891310,0.555184, 
36,0.265562,0.285211,0.231481,0.246231,0.853755,0.764274,0.441086, 
37,0.544662,0.138739,0.763201,0.392015,0.705229,0.929872,0.578953, 
38,0.383236,0.135782,0.328820,0.328820,0.486111,0.704958,0.394621, 
39,0.187276,0.993482,0.324328,0.536348,0.457621,0.744375,0.540572, 
40,0.341466,0.585273,0.625350,0.747773,0.632173,0.653098,0.597522, 
41,0.844579,0.680646,0.297619,0.602268,0.846766,0.593948,0.644304, 
42,0.129947,0.324074,0.231481,0.672574,0.202853,0.602759,0.360615, 
43,0.243478,0.310559,0.220459,0.264550,0.407897,0.404804,0.308624, 
44,0.339510,0.088210,0.492630,0.695727,0.847434,0.697169,0.526780, 
45,0.293067,0.724519,0.861698,0.409035,0.863957,0.592997,0.624212, 
46,0.130357,0.392098,0.557546,0.606539,0.409980,0.645780,0.457050, 
47,0.793270,0.347219,0.830452,0.327303,0.667854,0.509821,0.579320, 
48,0.588309,0.513916,0.660405,0.540562,0.641862,0.720734,0.610965, 
49,0.564923,0.358473,0.283447,0.598673,0.370811,0.000000,0.362721, 
50,0.427540,0.370370,0.630731,0.771329,0.771523,0.834783,0.634380, 
51,0.737178,0.597011,0.667436,0.835336,0.568400,0.586377,0.665289, 
52,0.000000,0.378174,0.447629,0.575840,0.888278,0.510866,0.466798, 
53,0.650036,0.812058,0.781148,0.774385,0.643462,0.730301,0.731898, 
54,0.805817,0.464085,0.705046,0.480553,0.712717,0.811983,0.663367, 
55,0.270062,0.175104,0.124008,0.283254,0.271519,0.726478,0.308404, 
56,0.571690,0.384615,0.686522,0.713855,0.643672,0.699695,0.616675, 
57,0.366801,0.446208,0.561026,0.600792,0.494249,0.815235,0.547385, 
58,0.648231,0.638889,0.382320,0.919503,0.722268,0.087142,0.566392, 
59,0.777778,0.301252,0.733333,0.462528,0.405679,0.647856,0.554738, 
60,0.055652,0.000000,0.150050,0.173611,0.443381,0.528485,0.225197, 
61,0.325946,0.091630,0.526059,0.769125,0.416667,0.798609,0.488006, 
62,0.103721,0.482590,0.387210,0.815810,0.801881,0.558978,0.525032, 
63,0.015772,0.480298,0.311791,0.311791,0.769022,0.531549,0.403371, 
64,0.555556,0.355410,0.481188,0.884316,0.516668,0.917845,0.618497, 
65,0.873217,0.648522,0.351312,0.370116,0.521848,0.498086,0.543850, 
66,0.404025,0.308642,0.288600,0.653832,0.562450,0.554735,0.462047, 
67,0.253950,0.462963,0.317460,0.799682,0.756869,0.445729,0.506109, 
68,0.599736,0.000000,0.520474,0.614371,0.523873,0.684913,0.490561, 
69,0.000000,0.913724,0.406476,0.590344,0.727537,0.603607,0.540281, 
70,0.137735,0.727211,0.504856,0.762916,0.765236,0.702733,0.600115, 
71,0.557205,0.432099,0.601748,0.707595,0.718801,0.361928,0.563229, 
72,0.639692,0.772239,0.374780,0.623916,0.791767,0.802247,0.667440, 
73,0.785024,0.375724,0.513350,0.875762,0.658761,0.371583,0.596701, 
74,0.363176,0.200375,0.497199,0.720803,0.550420,0.260643,0.432103, 
75,0.176332,0.052468,0.167888,0.345792,0.463684,0.648751,0.309152, 
76,0.704306,0.450793,0.568439,0.685834,0.620717,0.546342,0.596072, 
77,0.225551,0.050605,0.516213,0.333000,0.359375,0.537230,0.336996, 
78,0.128166,0.756289,0.482598,0.614903,0.679793,0.611310,0.545510, 
79,0.212302,0.324074,0.158730,0.233135,0.896465,0.578219,0.400488, 
80,0.111135,0.542214,0.739297,0.374780,0.595118,0.726158,0.514784, 
81,0.233044,0.291036,0.645282,0.448183,0.588458,0.717019,0.487170, 
82,0.616435,0.700785,0.297619,0.416905,0.568668,0.512799,0.518869, 
83,0.000000,0.297619,0.292237,0.551435,0.294663,0.687009,0.353827, 
84,0.893902,0.665276,0.985945,0.946567,0.763818,0.587706,0.807202, 
85,0.279795,0.124825,0.240473,0.465098,0.607967,0.343433,0.343598, 
86,0.442179,0.653611,0.608354,0.455367,0.873523,0.514462,0.591249, 
87,0.531765,0.508778,0.842388,0.547059,0.877707,0.976555,0.714042, 
88,0.363176,0.200375,0.497199,0.720803,0.651515,0.917367,0.558406, 
89,0.130898,0.322581,0.230415,0.327246,0.899455,0.583155,0.415625, 
90,0.584883,0.490043,0.446429,0.644342,0.305158,0.557291,0.504691, 
91,0.508571,0.260947,0.770140,0.887696,0.890112,0.256069,0.595589, 
92,0.771605,0.659722,0.544508,0.804741,0.851661,0.466836,0.683179, 
93,0.000000,0.140499,0.319423,0.560215,0.537245,0.367456,0.320806, 
94,0.516206,0.417454,0.233645,0.664844,0.030648,0.595781,0.409763, 
95,0.462963,0.636588,0.198413,0.444639,0.372093,0.462963,0.429610, 
96,0.126606,0.831287,0.929522,0.376435,0.629882,0.736077,0.604968, 
97,0.778605,0.554517,0.769720,0.854534,0.679616,0.774840,0.735305, 
98,0.010574,0.815379,0.424735,0.468308,0.651971,0.603312,0.495713, 
99,0.793651,0.931640,0.390923,0.522139,0.407651,0.649990,0.615999, 
100,0.673401,0.370370,0.198413,0.673673,0.485536,0.486685,0.481346, 
101,0.462963,0.520833,0.432900,0.680916,0.148346,0.408250,0.442368, 
102,0.772283,0.353861,0.364393,0.546032,0.268358,0.610356,0.485880, 
103,0.755183,0.386798,0.602241,0.342498,0.563652,0.626776,0.546191, 
104,0.320738,0.532407,0.308642,0.629191,0.833541,0.286728,0.485208, 
105,0.453915,0.659147,0.605205,0.911931,0.815591,0.416985,0.643796, 
106,0.092229,0.685184,0.527168,0.360162,0.586533,0.738437,0.498286, 
107,0.776917,0.693827,0.454631,0.763948,0.603613,0.339653,0.605432, 
108,0.744094,0.361111,0.730277,0.476012,0.651207,0.916367,0.646511, 
109,0.257506,0.381944,0.297351,0.561239,0.759536,0.809742,0.511220, 
110,0.830080,0.493827,0.581215,0.858155,0.748555,0.762186,0.712336, 
111,0.211905,0.409357,0.456486,0.431171,0.702405,0.554921,0.461041, 
112,0.520833,0.214019,0.556642,0.473619,0.463742,0.552560,0.463569, 
113,0.720165,0.644822,0.564989,0.722092,0.612011,0.282651,0.591122, 
114,0.270941,0.404040,0.178571,0.684552,0.473925,0.403123,0.402525, 
115,0.777778,0.608739,0.259312,0.809313,0.463765,0.631490,0.591733, 
116,0.506594,0.401235,0.252525,0.657322,0.711191,0.714972,0.540640, 
117,0.139903,0.783798,0.214333,0.383598,0.352829,0.749751,0.437369, 
118,0.705849,0.619444,0.796888,0.549269,0.826190,0.460551,0.659699, 
119,0.794924,0.531766,0.415622,0.523728,0.699267,0.082671,0.507996, 
120,0.833333,0.365152,0.317381,0.864499,0.692722,0.576520,0.608268, 
121,0.365695,0.071117,0.320513,0.320513,0.807126,0.714417,0.433230, 
122,0.456806,0.548309,0.520471,0.479149,0.781663,0.576908,0.560551, 
123,0.151565,0.222222,0.177331,0.231481,0.740540,0.522058,0.340866, 
124,0.289586,0.353535,0.288600,0.750305,0.702081,0.645556,0.504944, 
125,0.507670,0.479798,0.306638,0.698021,0.761094,0.663218,0.569406, 
126,0.308642,0.600760,0.177962,0.176367,0.441595,0.411523,0.352808, 
127,0.501451,0.217414,0.632433,0.737562,0.716270,0.705776,0.585151, 
128,0.390539,0.535190,0.360750,0.847446,0.678656,0.579987,0.565428, 
129,0.533826,0.625864,0.613043,0.774638,0.804147,0.693807,0.674221, 
130,0.000000,0.613356,0.722127,0.681692,0.676451,0.739860,0.572247, 
131,0.771605,0.486111,0.703260,0.748181,0.705768,0.211035,0.604327, 
132,0.670498,0.344828,0.447650,0.598899,0.763933,0.800790,0.604433, 
133,0.346542,0.594583,0.446492,0.768381,0.869748,0.617797,0.607257, 
134,0.488346,0.617177,0.747438,0.559807,0.818885,0.656029,0.647947, 
135,0.155175,0.923228,0.873439,0.703001,0.695713,0.815501,0.694343, 
136,0.461855,0.482507,0.618410,0.761565,0.649173,0.698639,0.612025, 
137,0.341193,0.324074,0.624042,0.277778,0.741048,0.525180,0.472219, 
138,0.076474,0.493957,0.525240,0.482693,0.643572,0.710414,0.488725, 
139,0.221498,0.264055,0.191696,0.515302,0.647383,0.994606,0.472423, 
140,0.505051,0.185185,0.487711,0.198413,0.303030,0.472495,0.358648, 
141,0.821678,0.000000,0.437303,0.553846,0.733185,0.743364,0.548229, 
142,0.298291,0.509259,0.317460,0.829275,0.756869,0.519676,0.538472, 
143,0.601852,0.301075,0.278556,0.749875,0.377697,0.825835,0.522482, 
144,0.336166,0.628205,0.421245,0.619081,0.594239,0.237573,0.472752, 
145,0.283380,0.797610,0.414671,0.884947,0.718587,0.581992,0.613531, 
146,0.470413,0.689386,0.341704,0.376781,0.751187,0.542946,0.528736, 
147,0.575272,0.264003,0.942238,0.903287,0.888652,0.485688,0.676523, 
148,0.372747,0.313009,0.651547,0.788264,0.388889,0.864278,0.563122, 
149,0.529427,0.322581,0.230415,0.814260,0.517612,0.489531,0.483971, 
150,0.344217,0.458019,0.259463,0.400645,0.741399,0.512100,0.452641, 
151,0.515465,0.478262,0.266142,0.924299,0.735436,0.572763,0.582061, 
