ó^Ç¶ÇΩèdóvìx,0.200000,0.260000,0.150000,0.250000,0.110000,0.250000,0.080000,0.220000,0.080000,0.180000,0.080000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.216799, 0.252606,0.207891, 0.230298,0.125671, 0.263637,0.099223, 0.216799,0.069708, 0.125671,0.076766, 0.114931,0.407884
2,0.157715, 0.257223,0.145707, 0.220515,0.110257, 0.186955,0.128611, 0.241612,0.149571, 0.169269,0.082014, 0.150551,0.452249
3,0.202511, 0.293574,0.200144, 0.236124,0.146787, 0.223090,0.118062, 0.216540,0.063108, 0.108983,0.086022, 0.105057,0.366734
4,0.154026, 0.259577,0.259577, 0.324158,0.118486, 0.193614,0.089060, 0.177441,0.070481, 0.122258,0.084166, 0.147155,0.448405
5,0.191916, 0.202526,0.151851, 0.267588,0.133794, 0.278389,0.094734, 0.161921,0.128143, 0.191916,0.095958, 0.101263,0.407208
6,0.202564, 0.312868,0.145621, 0.254951,0.135692, 0.215656,0.065795, 0.145621,0.104000, 0.196077,0.079592, 0.141563,0.533471
7,0.229344, 0.266228,0.198183, 0.240788,0.120394, 0.181410,0.110444, 0.136050,0.129236, 0.220888,0.052364, 0.114672,0.320072
8,0.183199, 0.271234,0.220683, 0.286392,0.131174, 0.221244,0.082693, 0.183199,0.077832, 0.139593,0.087428, 0.115329,0.433983
9,0.188001, 0.245382,0.179582, 0.277029,0.126602, 0.191493,0.126691, 0.195326,0.093782, 0.128872,0.065732, 0.181509,0.439222
10,0.221165, 0.311859,0.172559, 0.250490,0.142049, 0.193735,0.103953, 0.188229,0.083497, 0.148407,0.061794, 0.122264,0.429968
11,0.220349, 0.323221,0.224768, 0.229633,0.113756, 0.128038,0.107740, 0.259008,0.063941, 0.116938,0.097791, 0.114816,0.343308
12,0.177281, 0.230175,0.168793, 0.281708,0.115087, 0.221992,0.093903, 0.287156,0.088768, 0.188111,0.054559, 0.092467,0.603218
13,0.168312, 0.217610,0.177297, 0.224155,0.111819, 0.174382,0.215633, 0.232484,0.110151, 0.177723,0.072537, 0.117899,0.288503
14,0.193900, 0.193900,0.193900, 0.193900,0.154305, 0.257483,0.128742, 0.265223,0.080979, 0.163356,0.077362, 0.096950,0.341624
15,0.190768, 0.236083,0.168631, 0.238990,0.119495, 0.227923,0.160783, 0.190768,0.068480, 0.109738,0.106454, 0.181889,0.370780
16,0.197173, 0.255677,0.127838, 0.229818,0.214859, 0.232146,0.113815, 0.207891,0.089852, 0.107429,0.107429, 0.116073,0.298067
17,0.255311, 0.271390,0.176041, 0.270921,0.106901, 0.176041,0.130318, 0.185822,0.090463, 0.116013,0.091868, 0.128910,0.298195
18,0.172757, 0.313621,0.168328, 0.274548,0.119682, 0.227544,0.077593, 0.175693,0.075848, 0.129926,0.092610, 0.171850,0.586364
19,0.236654, 0.335976,0.120853, 0.238864,0.167951, 0.220284,0.110142, 0.120896,0.110142, 0.120896,0.099014, 0.118327,0.310486
20,0.175246, 0.236718,0.236718, 0.311425,0.127245, 0.208730,0.077577, 0.192783,0.060705, 0.157743,0.086200, 0.128910,0.472620
21,0.180458, 0.299624,0.158000, 0.186593,0.147931, 0.233595,0.107552, 0.213283,0.075130, 0.098155,0.084574, 0.215103,0.492708
22,0.194121, 0.290956,0.236944, 0.245120,0.085190, 0.204518,0.096985, 0.211654,0.098422, 0.119588,0.097942, 0.118561,0.380793
23,0.250281, 0.263462,0.114557, 0.282532,0.098022, 0.250281,0.094177, 0.227209,0.067718, 0.106318,0.108020, 0.137422,0.534449
24,0.173742, 0.255772,0.255772, 0.258317,0.084004, 0.202553,0.115725, 0.168008,0.074713, 0.179681,0.082288, 0.149425,0.427513
25,0.190494, 0.253720,0.235108, 0.249530,0.123021, 0.257084,0.065679, 0.190494,0.117554, 0.135197,0.064565, 0.117554,0.407160
26,0.185840, 0.247093,0.118862, 0.258111,0.146718, 0.208428,0.082364, 0.161526,0.129055, 0.234925,0.098842, 0.128237,0.476636
27,0.259595, 0.271571,0.128469, 0.262581,0.110222, 0.242152,0.076484, 0.150977,0.080541, 0.152969,0.080717, 0.183722,0.527943
