é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.747486,0.366101,0.894561,0.912940,0.585663,0.711680,0.703072, 
2,0.717492,0.806769,0.707876,0.722437,0.329124,0.902250,0.697658, 
3,0.761131,0.529200,0.705518,0.825886,0.397364,0.481682,0.616797, 
4,0.719743,0.000000,0.698447,0.773980,0.556847,0.907951,0.609495, 
5,0.071558,0.909891,0.816641,0.648567,0.633280,0.162473,0.540402, 
6,0.674513,0.955430,0.727061,0.597027,0.791351,0.983839,0.788204, 
7,0.632838,0.597527,0.607076,0.309242,0.529752,0.566961,0.540566, 
8,0.810621,0.353840,0.782980,0.835788,0.736804,0.634820,0.692476, 
9,0.773236,0.713286,0.633421,0.657944,0.519507,0.682685,0.663347, 
10,0.515415,0.870464,0.539278,0.751540,0.787223,0.701651,0.694262, 
11,0.486896,0.092773,0.185144,0.770835,0.482858,0.442065,0.410095, 
12,0.534568,0.762810,0.865959,0.756765,0.915326,0.254663,0.681682, 
13,0.322232,0.638137,0.617712,0.055682,0.806482,0.719401,0.526608, 
14,0.000000,0.000000,0.787034,0.660142,0.903370,0.425943,0.462748, 
15,0.685234,0.826009,0.872911,0.352795,0.421040,0.495379,0.608894, 
16,0.939661,0.790357,0.219811,0.803808,0.298999,0.251833,0.550745, 
17,0.123258,0.759016,0.631551,0.567808,0.407004,0.763426,0.542011, 
18,0.597420,0.792086,0.870340,0.803805,0.648062,0.680693,0.732068, 
19,0.293064,0.815227,0.544192,0.142663,0.194187,0.487007,0.412723, 
20,0.604546,0.152052,0.735805,0.883858,0.789119,0.831667,0.666174, 
21,0.669770,0.444700,0.759216,0.860544,0.295150,0.581810,0.601865, 
22,0.765136,0.151168,0.728943,0.900530,0.349370,0.511520,0.567778, 
23,0.265617,0.746338,0.958054,0.921672,0.379772,0.657750,0.654867, 
24,0.785356,0.000000,0.715941,0.543809,0.972649,0.907873,0.654271, 
25,0.871897,0.252090,0.926641,0.834500,0.299943,0.664734,0.641634, 
26,0.776770,0.835952,0.611868,0.722405,0.494923,0.657632,0.683258, 
27,0.011257,0.854293,0.970323,0.661812,0.840094,0.727375,0.677526, 
28,0.752109,0.604585,0.635588,0.318959,0.890972,0.588927,0.631857, 
29,0.000000,0.158574,0.796831,0.710081,0.817333,0.887790,0.561768, 
30,0.489463,0.689891,0.528847,0.542891,0.842139,0.350819,0.574008, 
31,0.133355,0.841247,0.897516,0.591557,0.490847,0.923296,0.646303, 
32,0.629009,0.457039,0.633669,0.706848,0.218887,0.735522,0.563496, 
33,0.789506,0.785939,0.205438,0.397400,0.983445,0.763278,0.654168, 
34,0.158062,0.000000,0.792631,0.651891,0.665046,0.814798,0.513738, 
35,0.000000,0.808667,0.632540,0.676252,0.675848,0.261725,0.509172, 
36,0.831574,0.681300,0.246919,0.393331,0.917397,0.282264,0.558798, 
37,0.459372,0.000000,0.840359,0.397416,0.711552,0.786759,0.532576, 
38,0.615229,0.000000,0.735206,0.303645,0.257801,0.810206,0.453681, 
39,0.632165,0.669714,0.744319,0.736212,0.661284,0.726853,0.695091, 
40,0.724928,0.655818,0.871256,0.618750,0.755953,0.683844,0.718425, 
41,0.000000,0.776894,0.574234,0.735049,0.969006,0.857239,0.652070, 
42,0.691232,0.685435,0.412679,0.714853,0.336133,0.740736,0.596845, 
43,0.149193,0.589401,0.450442,0.195668,0.521112,0.589551,0.415895, 
44,0.206328,0.409578,0.747930,0.564810,0.787002,0.825724,0.590229, 
45,0.716247,0.836577,0.710267,0.753209,0.850623,0.699368,0.761048, 
46,0.613826,0.508744,0.738180,0.893452,0.487677,0.541576,0.630576, 
47,0.569091,0.179931,0.745069,0.847420,0.821321,0.684717,0.641258, 
48,0.480015,0.913608,0.315724,0.495189,0.869163,0.275057,0.558126, 
49,0.526077,0.861500,0.018090,0.652038,0.025235,0.354655,0.406266, 
50,0.611754,0.601924,0.633188,0.714457,0.835060,0.756081,0.692077, 
51,0.603924,0.633770,0.372624,0.754512,0.343122,0.419221,0.521195, 
52,0.005015,0.699391,0.902383,0.813319,0.621656,0.381628,0.570565, 
53,0.537282,0.839939,0.869913,0.764070,0.827402,0.672492,0.751850, 
54,0.639370,0.655709,0.640875,0.550106,0.874786,0.565191,0.654339, 
55,0.671004,0.087133,0.358043,0.548974,0.355439,0.683230,0.450637, 
56,0.148279,0.488691,0.900986,0.928898,0.389497,0.677270,0.588937, 
57,0.568095,0.774016,0.532833,0.554057,0.213314,0.715963,0.559713, 
58,0.740295,0.954297,0.816795,0.828664,0.971913,0.437042,0.791501, 
