é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.596788,0.224066,0.809237,0.839824,0.414090,0.552410,0.572736, 
2,0.559445,0.676122,0.547839,0.565481,0.196977,0.821908,0.561295, 
3,0.614375,0.359804,0.545020,0.703413,0.247944,0.317247,0.464634, 
4,0.562186,0.000000,0.536625,0.631295,0.385855,0.831420,0.491230, 
5,0.037107,0.834679,0.690104,0.479910,0.463358,0.088420,0.432263, 
6,0.508879,0.914664,0.571168,0.425544,0.654741,0.968191,0.673864, 
7,0.462884,0.426053,0.435828,0.182901,0.360315,0.395636,0.377270, 
8,0.681550,0.214949,0.643359,0.717901,0.583286,0.465009,0.551009, 
9,0.630306,0.554346,0.463508,0.490251,0.350901,0.518240,0.501259, 
10,0.347178,0.770639,0.369186,0.601974,0.649108,0.540418,0.546417, 
11,0.321787,0.048643,0.102016,0.627121,0.318269,0.283751,0.283598, 
12,0.364785,0.616567,0.763605,0.608706,0.843873,0.145911,0.557241, 
13,0.192060,0.468577,0.446876,0.028638,0.675718,0.561769,0.395606, 
14,0.000000,0.000000,0.648851,0.492696,0.823769,0.270602,0.372653, 
15,0.521183,0.703590,0.774483,0.214178,0.266656,0.329238,0.468221, 
16,0.886190,0.653381,0.123476,0.671973,0.175779,0.144055,0.442476, 
17,0.065677,0.611625,0.461509,0.396460,0.255496,0.617371,0.401356, 
18,0.425944,0.655747,0.770444,0.671968,0.479357,0.515948,0.586568, 
19,0.171690,0.688087,0.373808,0.076810,0.107534,0.321883,0.289969, 
20,0.433225,0.082281,0.582034,0.791887,0.651691,0.711840,0.542160, 
21,0.503499,0.285925,0.611885,0.755224,0.173124,0.410249,0.456651, 
22,0.619612,0.081764,0.573494,0.819059,0.211659,0.343652,0.441540, 
23,0.153148,0.595327,0.919485,0.854724,0.234394,0.490035,0.541186, 
24,0.646572,0.000000,0.557561,0.373447,0.946754,0.831289,0.559270, 
25,0.772888,0.144224,0.863309,0.716002,0.176431,0.497829,0.528447, 
26,0.635015,0.718142,0.440785,0.565441,0.328836,0.489904,0.529687, 
27,0.005660,0.745647,0.942356,0.494558,0.724278,0.571555,0.580676, 
28,0.602704,0.433266,0.465833,0.189739,0.803381,0.417361,0.485381, 
29,0.000000,0.086115,0.662277,0.550485,0.691093,0.798222,0.464699, 
30,0.324032,0.526590,0.359478,0.372581,0.727323,0.212723,0.420455, 
31,0.071441,0.725994,0.814085,0.420008,0.325246,0.857521,0.535716, 
32,0.458799,0.296209,0.463774,0.546608,0.122893,0.581680,0.411661, 
33,0.652218,0.647363,0.114478,0.247972,0.967430,0.617179,0.541107, 
34,0.085813,0.000000,0.656495,0.483560,0.498179,0.687477,0.401920, 
35,0.000000,0.678792,0.462565,0.510861,0.510401,0.150566,0.385531, 
36,0.711705,0.516646,0.140849,0.244812,0.847400,0.164324,0.437622, 
37,0.298172,0.000000,0.724671,0.247985,0.552255,0.648477,0.411927, 
38,0.444282,0.000000,0.581285,0.178998,0.147975,0.680964,0.338917, 
39,0.462165,0.503436,0.592761,0.582543,0.493969,0.570910,0.534297, 
40,0.568539,0.487894,0.771882,0.447964,0.607656,0.519577,0.567252, 
41,0.000000,0.635181,0.402754,0.581089,0.939875,0.750148,0.551508, 
42,0.528155,0.521416,0.259985,0.556242,0.202019,0.588230,0.442674, 
43,0.080610,0.417837,0.290691,0.108443,0.352368,0.417988,0.277989, 
44,0.115031,0.257528,0.597354,0.393544,0.648808,0.703177,0.452574, 
45,0.557932,0.719065,0.550708,0.604118,0.740073,0.537714,0.618268, 
46,0.442820,0.341151,0.585012,0.807422,0.322469,0.371343,0.478370, 
47,0.397713,0.098860,0.593714,0.735238,0.696814,0.520586,0.507154, 
48,0.315802,0.840956,0.187454,0.329071,0.768602,0.159458,0.433557, 
49,0.356923,0.756698,0.009128,0.483721,0.012779,0.215551,0.305800, 
50,0.440667,0.430538,0.463259,0.555763,0.716826,0.607822,0.535812, 
51,0.432587,0.463882,0.228972,0.605796,0.207090,0.265199,0.367254, 
52,0.002514,0.537742,0.822128,0.685373,0.451016,0.235810,0.455764, 
53,0.367318,0.724047,0.769775,0.618215,0.705614,0.506582,0.615259, 
54,0.469907,0.487774,0.471535,0.379411,0.777439,0.393914,0.496663, 
55,0.504895,0.045551,0.218058,0.378335,0.216130,0.518868,0.313640, 
56,0.080076,0.323356,0.819813,0.867236,0.241848,0.512024,0.474059, 
57,0.396741,0.631343,0.363172,0.383180,0.119391,0.557587,0.408569, 
58,0.587674,0.912589,0.690324,0.707452,0.945361,0.279625,0.687171, 
59,0.443686,0.387341,0.555899,0.480196,0.292922,0.718837,0.479813, 
60,0.413367,0.000000,0.670322,0.134991,0.337876,0.600719,0.359546, 
61,0.383952,0.000000,0.549827,0.728917,0.203231,0.360363,0.371048, 
62,0.377479,0.654626,0.310669,0.854932,0.636735,0.894178,0.621437, 
63,0.000000,0.453335,0.166075,0.299152,0.602759,0.696991,0.369718, 
64,0.439806,0.306063,0.799375,0.661575,0.206024,0.475059,0.481317, 
65,0.235252,0.834053,0.426254,0.265324,0.136710,0.646095,0.423948, 
66,0.725830,0.570919,0.054256,0.646892,0.409145,0.778987,0.531005, 
67,0.519589,0.545687,0.434680,0.852089,0.885562,0.914252,0.691977, 
68,0.518631,0.000000,0.300693,0.712233,0.244970,0.851650,0.438029, 
69,0.107705,0.401103,0.067189,0.330349,0.243835,0.728455,0.313106, 
70,0.359931,0.801468,0.576038,0.859782,0.432838,0.810025,0.640014, 
71,0.183495,0.586979,0.952431,0.815122,0.902022,0.532897,0.662158, 
72,0.387797,0.737796,0.015391,0.750499,0.930363,0.587295,0.568190, 
73,0.341516,0.496677,0.520906,0.450307,0.535696,0.453221,0.466387, 
74,0.525171,0.306230,0.410097,0.491697,0.213922,0.091436,0.339759, 
75,0.000000,0.159351,0.417768,0.421280,0.630750,0.479546,0.351449, 
76,0.406330,0.699858,0.629394,0.719768,0.385408,0.501480,0.557040, 
77,0.187798,0.012756,0.590724,0.359558,0.314691,0.584460,0.341664, 
78,0.311295,0.633379,0.583466,0.379179,0.697405,0.326445,0.488528, 
79,0.285293,0.171176,0.598402,0.409329,0.505155,0.706471,0.445971, 
80,0.531953,0.674590,0.732348,0.393140,0.509682,0.824541,0.611042, 
81,0.636750,0.248209,0.810112,0.495993,0.637501,0.473696,0.550377, 
82,0.531208,0.313054,0.869001,0.068891,0.510221,0.600890,0.482211, 
83,0.000000,0.724560,0.135142,0.725824,0.516924,0.708487,0.468489, 
84,0.328371,0.741177,0.681310,0.873775,0.709875,0.791044,0.687592, 
85,0.000000,0.349705,0.475194,0.748964,0.444087,0.405886,0.403972, 
86,0.619748,0.546864,0.574011,0.440440,0.556211,0.788776,0.587675, 
87,0.403290,0.474945,0.815161,0.272992,0.829827,0.666723,0.577156, 
88,0.438301,0.283160,0.451684,0.590323,0.493033,0.385910,0.440402, 
89,0.530632,0.000000,0.000000,0.477482,0.720686,0.444000,0.362133, 
90,0.372116,0.274834,0.688784,0.601412,0.192439,0.828131,0.492953, 
91,0.835739,0.526609,0.925745,0.752788,0.848603,0.288788,0.696379, 
92,0.680960,0.696180,0.796594,0.633207,0.581211,0.651945,0.673350, 
93,0.000000,0.609734,0.222231,0.490307,0.802094,0.543437,0.444634, 
94,0.740696,0.300424,0.413423,0.683594,0.228224,0.209464,0.429304, 
95,0.000000,0.661580,0.000000,0.359345,0.677442,0.000000,0.283061, 
96,0.325512,0.698886,0.810147,0.439202,0.735213,0.363773,0.562122, 
97,0.000000,0.135773,0.665075,0.649212,0.509604,0.530501,0.415028, 
98,0.242020,0.666788,0.702715,0.462478,0.439714,0.497859,0.501929, 
99,0.794895,0.725574,0.289840,0.636248,0.477698,0.825093,0.624891, 
100,0.853801,0.307651,0.589210,0.665731,0.290946,0.651213,0.559759, 
101,0.663327,0.674593,0.533609,0.416702,0.408438,0.446281,0.523825, 
102,0.587741,0.266368,0.437200,0.493189,0.506156,0.601422,0.482013, 
