No.,tL,tR
true,0.862069,1.190476
0,0.938107,1.070636
1,0.898373,1.127553
2,0.921752,1.092762
3,0.893933,1.134627
4,0.944280,1.062709
5,0.864729,1.185441
6,0.935993,1.073402
7,0.895668,1.131843
8,0.905933,1.115863
9,0.889450,1.141929
10,0.980021,1.020811
11,0.902237,1.121524
12,0.928780,1.083047
13,0.966808,1.035552
14,0.928537,1.083378
15,0.955061,1.049377
16,0.948571,1.057326
17,0.867816,1.179688
18,0.964104,1.038673
19,0.891979,1.137790
20,0.896199,1.130999
21,0.933647,1.076505
22,0.909712,1.110186
23,0.913069,1.105225
24,0.935002,1.074710
25,0.909859,1.109964
26,0.885065,1.149240
27,0.918889,1.096817
28,0.922230,1.092092
29,0.944548,1.062368
30,0.905312,1.116804
31,0.936101,1.073262
32,0.902367,1.121324
33,0.960921,1.042392
34,0.943427,1.063790
35,0.941736,1.065948
36,0.968167,1.033997
37,0.950464,1.054983
38,0.896535,1.130461
39,0.866655,1.181843
40,0.899302,1.126093
41,0.926554,1.086094
42,0.953412,1.051374
43,0.886149,1.147419
44,0.857560,1.199183
45,0.890855,1.139625
46,0.908831,1.111501
47,0.909451,1.110573
48,0.991677,1.008463
49,0.907467,1.113549
50,0.943529,1.063661
51,0.930811,1.080301
52,0.892444,1.137032
53,0.881807,1.154780
54,0.950208,1.055299
55,0.942927,1.064425
56,0.898294,1.127677
57,0.895142,1.132682
58,0.895571,1.131996
59,0.956228,1.047974
60,0.930376,1.080888
61,0.888111,1.144148
62,0.965845,1.036659
63,0.951554,1.053643
64,0.941901,1.065738
65,0.920836,1.094057
66,0.873302,1.169697
67,0.924975,1.088270
68,0.959016,1.044642
69,0.901794,1.122209
70,0.890877,1.139588
71,0.890447,1.140290
72,0.883315,1.152205
73,0.917337,1.099035
74,0.961129,1.042149
75,0.870535,1.174703
76,0.954961,1.049499
77,0.899858,1.125223
78,0.926458,1.086222
79,0.910656,1.108783
80,0.915901,1.101106
81,0.899232,1.126203
82,0.911679,1.107268
83,0.893127,1.135926
84,0.918377,1.097548
85,0.908170,1.112488
86,0.906630,1.114809
87,0.890478,1.140242
88,0.964144,1.038628
89,0.928648,1.083226
90,0.860559,1.193367
91,0.868884,1.177722
92,0.924756,1.088573
93,0.911143,1.108061
94,0.983607,1.016951
95,0.891081,1.139253
96,0.941747,1.065936
97,0.918670,1.097128
98,0.916636,1.100045
99,0.926668,1.085937
100,0.906152,1.115532
101,0.898757,1.126947
102,0.917229,1.099192
103,0.910272,1.109353
104,0.860553,1.193380
105,0.920281,1.094839
106,0.891953,1.137829
107,0.925789,1.087146
108,0.900456,1.124288
109,0.900380,1.124408
110,0.878515,1.160476
111,0.944247,1.062748
112,0.872099,1.171866
113,0.967687,1.034547
114,0.893461,1.135387
115,0.891107,1.139209
116,0.924855,1.088437
117,0.888950,1.142754
118,0.883869,1.151265
119,0.917827,1.098336
120,0.907488,1.113515
121,0.909012,1.111230
122,0.944411,1.062545
123,0.901181,1.123159
124,0.919941,1.095323
125,0.982450,1.018188
126,0.932628,1.077866
127,0.915662,1.101450
128,0.877636,1.162016
129,0.909591,1.110366
130,0.906593,1.114864
131,0.922543,1.091655
132,0.872541,1.171069
133,0.923373,1.090495
134,0.933541,1.076648
135,0.926520,1.086138
136,0.906475,1.115042
137,0.940624,1.067376
138,0.929122,1.082584
139,0.964456,1.038266
140,0.968861,1.033208
141,0.910295,1.109318
142,0.925398,1.087685
143,0.954107,1.050531
144,0.895602,1.131949
145,0.900829,1.123708
146,0.881789,1.154812
147,0.945586,1.061060
148,0.962219,1.040870
149,0.895062,1.132812
150,0.926342,1.086385
151,0.882394,1.153778
152,0.919522,1.095917
153,0.870399,1.174945
154,0.941909,1.065729
155,0.983158,1.017430
156,0.922839,1.091243
157,0.957771,1.046126
158,0.896704,1.130193
159,0.928786,1.083040
160,0.944710,1.062164
161,0.934287,1.075657
162,0.897277,1.129284
163,0.912032,1.106749
164,0.911702,1.107236
165,0.899633,1.125576
166,0.927710,1.084509
167,0.932180,1.078461
168,0.940052,1.068115
169,0.969799,1.032142
170,0.910509,1.109003
171,0.970045,1.031864
172,0.917041,1.099463
173,0.843440,1.227931
174,0.904064,1.118715
175,0.879750,1.158326
176,0.941289,1.066524
177,0.878491,1.160518
178,0.920818,1.094082
179,0.973503,1.027978
180,0.898981,1.126596
181,0.913183,1.105062
182,0.917229,1.099191
183,0.931728,1.079070
184,0.881344,1.155576
185,0.922143,1.092216
186,0.940618,1.067384
187,0.933257,1.077026
188,0.894791,1.133247
189,0.903770,1.119164
190,0.914430,1.103239
191,0.903107,1.120180
192,0.973503,1.027978
193,0.908292,1.112307
194,0.908757,1.111609
195,0.928290,1.083716
196,0.877215,1.162750
197,0.997456,1.002557
198,0.952184,1.052871
199,0.930071,1.081300
200,0.921863,1.092611
201,0.882819,1.153050
202,0.941360,1.066431
203,0.879119,1.159426
204,0.935150,1.074516
205,0.896061,1.131214
206,0.935268,1.074360
207,0.917532,1.098756
208,0.873817,1.168775
209,0.914899,1.102558
210,0.909361,1.110708
211,0.866331,1.182441
212,0.897697,1.128617
213,0.895346,1.132355
214,0.982040,1.018629
215,0.895480,1.132144
216,0.876135,1.164654
217,0.907790,1.113059
218,0.925134,1.088052
219,0.878963,1.159693
220,0.903428,1.119688
221,0.913416,1.104718
222,0.903063,1.120251
223,0.946406,1.060028
224,0.865182,1.184590
225,0.911319,1.107799
226,0.920644,1.094328
227,0.887726,1.144784
228,0.849108,1.216112
229,0.973423,1.028069
230,0.911716,1.107215
231,0.900940,1.123536
232,0.915098,1.102270
233,0.897599,1.128773
234,0.925075,1.088133
235,0.888394,1.143679
236,0.867620,1.180050
237,0.922686,1.091455
238,0.995876,1.004158
239,0.889231,1.142292
240,0.908284,1.112317
241,0.922311,1.091982
242,0.947689,1.058425
243,0.881946,1.154541
244,0.904270,1.118399
245,0.931018,1.080024
246,0.883172,1.152451
247,0.891709,1.138229
248,0.974271,1.027124
249,0.887580,1.145029
250,0.926121,1.086690
251,0.882488,1.153617
252,0.883173,1.152448
253,0.894824,1.133195
254,0.910446,1.109095
255,0.976279,1.024902
256,0.921888,1.092573
257,0.919479,1.095977
258,0.899605,1.125618
259,0.927070,1.085385
260,0.942437,1.065052
261,0.870591,1.174597
262,0.927209,1.085193
263,0.903252,1.119959
264,0.976316,1.024862
265,0.876881,1.163337
266,0.941293,1.066518
267,0.895013,1.132890
268,0.940696,1.067284
269,0.920322,1.094782
270,0.957953,1.045909
271,0.943738,1.063399
272,0.885316,1.148817
273,0.872669,1.170838
274,0.918333,1.097611
275,0.893852,1.134758
276,0.935719,1.073763
277,0.959663,1.043877
278,0.963920,1.038888
279,0.908231,1.112400
280,0.915280,1.102002
281,0.948858,1.056968
282,0.906812,1.114536
283,0.951243,1.054024
284,0.885189,1.149030
285,0.852123,1.209977
286,0.964322,1.038421
287,0.903156,1.120111
288,0.887064,1.145889
289,0.895212,1.132571
290,0.904305,1.118344
291,0.896607,1.130347
292,0.903479,1.119613
293,0.965270,1.037322
294,0.900067,1.124894
295,0.867857,1.179614
296,0.925281,1.087848
297,0.884173,1.150748
298,0.927360,1.084985
299,0.901325,1.122937
300,0.918994,1.096667
301,0.914435,1.103230
302,0.886497,1.146836
303,0.873253,1.169789
304,0.914049,1.103794
305,0.896518,1.130484
306,0.941190,1.066650
307,0.951701,1.053462
308,0.909005,1.111242
309,0.935840,1.073606
310,0.901340,1.122912
311,0.862648,1.189372
312,0.984973,1.015490
313,0.939657,1.068624
314,0.951768,1.053384
315,0.927395,1.084938
316,0.927654,1.084587
317,0.935627,1.073887
318,0.908713,1.111677
319,0.929237,1.082429
320,0.925617,1.087382
321,0.873113,1.170038
322,0.932864,1.077550
323,0.927571,1.084699
324,0.902356,1.121340
325,0.928983,1.082776
326,0.936740,1.072423
327,0.896032,1.131264
328,0.928766,1.083068
329,0.910724,1.108681
330,0.995693,1.004343
331,0.932889,1.077515
332,0.950082,1.055455
333,0.900538,1.124159
334,0.883794,1.151391
335,0.921583,1.093001
336,0.916899,1.099667
337,0.932360,1.078219
338,0.924733,1.088605
339,0.941535,1.066206
340,0.914240,1.103514
341,0.886695,1.146504
342,0.905917,1.115891
343,0.955930,1.048329
344,0.911981,1.106823
345,0.903523,1.119546
346,0.877616,1.162048
347,0.946707,1.059652
348,0.890618,1.140010
349,0.951536,1.053665
350,0.898208,1.127813
351,0.882223,1.154065
352,0.877283,1.162633
353,0.922847,1.091229
354,0.829812,1.258006
355,0.937086,1.071971
356,0.922614,1.091558
357,0.920960,1.093882
358,0.904338,1.118296
359,0.938987,1.069494
360,0.912280,1.106384
361,0.941939,1.065690
362,0.890938,1.139488
363,0.893417,1.135457
364,0.861942,1.190719
365,0.861876,1.190843
366,0.913542,1.104537
367,0.905843,1.116004
368,0.939687,1.068587
369,0.882061,1.154345
370,0.866697,1.181763
371,0.950118,1.055409
372,0.935427,1.074148
373,0.908011,1.112727
374,0.925880,1.087019
375,0.946652,1.059721
376,0.926007,1.086845
377,0.971419,1.030313
378,0.904498,1.118049
379,0.944792,1.062062
380,0.878584,1.160357
381,0.884914,1.149495
382,0.937709,1.071157
383,0.938660,1.069916
384,0.922340,1.091940
385,0.871316,1.173281
386,0.930044,1.081336
387,0.959679,1.043858
388,0.956521,1.047621
389,0.897353,1.129164
390,0.891174,1.139103
391,0.920452,1.094597
392,0.885780,1.148038
393,0.882347,1.153855
394,0.945474,1.061202
395,0.940807,1.067140
396,0.882602,1.153419
397,0.939802,1.068439
398,0.873214,1.169853
399,0.901092,1.123300
400,0.985939,1.014468
401,0.905360,1.116734
402,0.954744,1.049761
403,0.919194,1.096383
404,0.965731,1.036792
405,0.923857,1.089821
406,0.911981,1.106825
407,0.894412,1.133852
408,0.920072,1.095134
409,0.982319,1.018329
410,0.932406,1.078160
411,0.868065,1.179226
412,0.904314,1.118332
413,0.889896,1.141198
414,0.912168,1.106548
415,0.901301,1.122972
416,0.918221,1.097770
417,0.946405,1.060029
418,0.932664,1.077816
419,0.871724,1.172543
420,0.875054,1.166571
421,0.920694,1.094254
422,0.924514,1.088908
423,0.903782,1.119147
424,0.943582,1.063593
425,0.916332,1.100483
426,0.870514,1.174736
427,0.868423,1.178567
428,0.880198,1.157551
429,0.957595,1.046333
430,0.914770,1.102744
431,0.891424,1.138690
432,0.923608,1.090167
433,0.899566,1.125676
434,0.896016,1.131286
435,0.877051,1.163038
436,0.919336,1.096181
437,0.866517,1.182097
438,0.927129,1.085305
439,0.868060,1.179238
440,0.901573,1.122552
441,0.892428,1.137064
442,0.923517,1.090294
443,0.933378,1.076863
