ó^Ç¶ÇΩèdóvìx,0.200000,0.260000,0.150000,0.250000,0.110000,0.250000,0.080000,0.220000,0.080000,0.180000,0.080000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.202791, 0.266614,0.179120, 0.259069,0.118700, 0.270609,0.085986, 0.230036,0.062072, 0.133307,0.073032, 0.118666,0.556600
2,0.092096, 0.322842,0.117159, 0.249063,0.103401, 0.193812,0.115315, 0.254908,0.134533, 0.184307,0.073144, 0.159420,0.728703
3,0.145463, 0.350621,0.137249, 0.299020,0.138975, 0.230901,0.109067, 0.225535,0.061697, 0.110393,0.082011, 0.109067,0.651075
4,0.121736, 0.291867,0.225586, 0.358148,0.093784, 0.218316,0.060846, 0.205655,0.051863, 0.140876,0.053908, 0.177413,0.784553
5,0.181306, 0.213137,0.097627, 0.321813,0.111109, 0.301074,0.059434, 0.197221,0.122838, 0.197221,0.090653, 0.106568,0.674069
6,0.108399, 0.407033,0.117336, 0.283236,0.093633, 0.257716,0.017017, 0.194399,0.085905, 0.214171,0.045481, 0.175674,1.064460
7,0.209395, 0.286178,0.166943, 0.272027,0.112211, 0.189593,0.104697, 0.141797,0.103630, 0.246494,0.043143, 0.123893,0.519963
8,0.160960, 0.293473,0.192278, 0.314797,0.098881, 0.253537,0.038676, 0.227216,0.060042, 0.157383,0.075739, 0.127018,0.746848
9,0.158625, 0.274758,0.145377, 0.311234,0.095442, 0.222654,0.105325, 0.216691,0.074502, 0.148151,0.020794, 0.226448,0.799869
10,0.121518, 0.411506,0.127105, 0.295943,0.130718, 0.205065,0.088837, 0.203345,0.077135, 0.154769,0.050802, 0.133256,0.807768
11,0.171499, 0.372071,0.212608, 0.241793,0.107236, 0.134558,0.100592, 0.266156,0.059982, 0.120897,0.091711, 0.120897,0.512744
12,0.116177, 0.291278,0.052254, 0.398248,0.101864, 0.235215,0.082258, 0.298801,0.073151, 0.203728,0.045162, 0.101864,1.058269
13,0.150703, 0.235218,0.169187, 0.232265,0.100363, 0.185838,0.200726, 0.247392,0.087148, 0.200726,0.066909, 0.123527,0.449930
14,0.193900, 0.193900,0.193900, 0.193900,0.109151, 0.302637,0.108944, 0.285020,0.050434, 0.193900,0.077362, 0.096950,0.532616
15,0.175775, 0.251075,0.094133, 0.313488,0.101905, 0.245512,0.138125, 0.213425,0.057003, 0.121215,0.084533, 0.203810,0.697051
16,0.132681, 0.320168,0.114674, 0.242983,0.197572, 0.249432,0.098204, 0.223502,0.085530, 0.111751,0.098786, 0.124716,0.545106
17,0.231087, 0.295614,0.164250, 0.282713,0.067066, 0.215876,0.115543, 0.200596,0.087783, 0.118693,0.089103, 0.131675,0.490334
18,0.135873, 0.350505,0.133535, 0.309341,0.038564, 0.308661,0.010097, 0.243189,0.064185, 0.141589,0.043022, 0.221438,1.149446
19,0.221842, 0.350789,0.119860, 0.239857,0.166260, 0.221975,0.106420, 0.124617,0.106420, 0.124617,0.097413, 0.119929,0.363569
20,0.137892, 0.274072,0.214995, 0.333148,0.105331, 0.230644,0.064122, 0.206237,0.015179, 0.203270,0.057725, 0.157385,0.809511
21,0.135490, 0.344593,0.128540, 0.216053,0.121598, 0.259929,0.092930, 0.227904,0.059469, 0.113817,0.015920, 0.283757,0.892107
22,0.131876, 0.353202,0.216503, 0.265561,0.048675, 0.241032,0.081348, 0.227291,0.092672, 0.125338,0.095453, 0.121050,0.666947
23,0.238951, 0.274792,0.033417, 0.363672,0.091431, 0.256872,0.087099, 0.234286,0.064685, 0.109351,0.090326, 0.155117,0.788181
24,0.172469, 0.257045,0.249409, 0.264681,0.077605, 0.208951,0.055558, 0.228175,0.073016, 0.181378,0.067864, 0.163849,0.608158
25,0.179561, 0.264654,0.199052, 0.285586,0.121159, 0.258946,0.054278, 0.201896,0.099526, 0.153225,0.060959, 0.121159,0.570931
26,0.090030, 0.342902,0.066469, 0.310504,0.129589, 0.225556,0.072155, 0.171735,0.106751, 0.257229,0.063608, 0.163471,0.942793
27,0.229655, 0.301511,0.088895, 0.302155,0.021003, 0.331371,0.066396, 0.161066,0.044170, 0.189340,0.073194, 0.191245,0.953374
28,0.180132, 0.253309,0.142377, 0.247017,0.047929, 0.216721,0.155656, 0.237799,0.064899, 0.173890,0.083544, 0.196727,0.650926
29,0.214856, 0.406441,0.120160, 0.184021,0.100387, 0.245667,0.063577, 0.170403,0.103549, 0.184021,0.051594, 0.155324,0.691753
30,0.134811, 0.399355,0.065022, 0.289544,0.118138, 0.199568,0.053193, 0.156394,0.089976, 0.199568,0.111533, 0.182898,0.854654
31,0.242229, 0.305899,0.113911, 0.289482,0.112906, 0.274064,0.027797, 0.181207,0.048706, 0.193522,0.056121, 0.154156,0.796659
32,0.215925, 0.255401,0.186304, 0.233846,0.150997, 0.227873,0.109779, 0.204225,0.060028, 0.102312,0.086382, 0.166927,0.381168
33,0.170659, 0.281083,0.106024, 0.246031,0.215722, 0.276056,0.057534, 0.136334,0.042177, 0.214460,0.079094, 0.174826,0.657580
34,0.239856, 0.270749,0.112205, 0.127651,0.140290, 0.274763,0.096206, 0.312025,0.058080, 0.170202,0.063826, 0.134149,0.579077
35,0.257474, 0.298476,0.160982, 0.279120,0.133759, 0.204941,0.093040, 0.168430,0.066380, 0.138414,0.093040, 0.105944,0.390652
36,0.131394, 0.306960,0.100659, 0.229539,0.175059, 0.227576,0.146587, 0.203530,0.076061, 0.201317,0.087529, 0.113788,0.565421
37,0.209604, 0.307456,0.240989, 0.240989,0.134180, 0.269091,0.064637, 0.120494,0.076475, 0.138036,0.077555, 0.120494,0.393120
38,0.131525, 0.265117,0.240672, 0.289562,0.124555, 0.220733,0.124054, 0.157209,0.106616, 0.142494,0.059179, 0.138285,0.426798
39,0.174246, 0.353355,0.084598, 0.263801,0.082917, 0.300121,0.067977, 0.172532,0.099685, 0.215464,0.027728, 0.157575,0.925696
40,0.164003, 0.333502,0.077141, 0.248752,0.083312, 0.286934,0.079960, 0.173483,0.074817, 0.212117,0.012535, 0.253443,1.016464
41,0.215673, 0.215673,0.117507, 0.237927,0.142320, 0.323510,0.083386, 0.189431,0.048226, 0.215673,0.070912, 0.139761,0.643951
42,0.177514, 0.252153,0.147188, 0.240929,0.140194, 0.214833,0.064043, 0.194059,0.128476, 0.235010,0.023859, 0.181743,0.637452
43,0.232712, 0.297594,0.193469, 0.270663,0.120812, 0.176691,0.109048, 0.132577,0.041191, 0.132577,0.070160, 0.222507,0.465216
44,0.086850, 0.262528,0.136105, 0.396440,0.135008, 0.282785,0.090006, 0.170486,0.065632, 0.157654,0.002853, 0.213653,0.967091
45,0.143810, 0.362803,0.080016, 0.287620,0.033645, 0.253307,0.030440, 0.262746,0.039916, 0.252849,0.080696, 0.172153,1.182954
46,0.145452, 0.358868,0.093743, 0.398937,0.118347, 0.240520,0.084053, 0.222766,0.057947, 0.121388,0.031897, 0.126080,0.937119
47,0.183892, 0.254903,0.204280, 0.233361,0.073905, 0.219398,0.075667, 0.192855,0.079556, 0.221152,0.042212, 0.218821,0.680978
48,0.062756, 0.385358,0.129476, 0.260620,0.051922, 0.173789,0.073541, 0.378089,0.082348, 0.201051,0.080907, 0.120144,1.038102
49,0.147178, 0.317837,0.152820, 0.238190,0.157699, 0.160138,0.076957, 0.149618,0.157699, 0.160138,0.121587, 0.160138,0.372121
50,0.152101, 0.253576,0.155061, 0.335220,0.115296, 0.207780,0.043604, 0.245141,0.066016, 0.189976,0.081714, 0.154516,0.772417
51,0.077561, 0.396937,0.141742, 0.370017,0.135567, 0.238726,0.094815, 0.191706,0.065400, 0.130594,0.050243, 0.106693,0.869346
52,0.219076, 0.316834,0.106616, 0.239527,0.063430, 0.267955,0.012585, 0.238441,0.093863, 0.160518,0.106082, 0.175073,0.796696
53,0.091246, 0.299243,0.124809, 0.252410,0.097622, 0.250502,0.008591, 0.377218,0.030728, 0.195245,0.000001, 0.272384,1.294004
54,0.178048, 0.336245,0.164728, 0.304341,0.042275, 0.234534,0.085715, 0.181395,0.002044, 0.257146,0.078178, 0.135350,0.898024
55,0.182714, 0.304701,0.226798, 0.254129,0.189875, 0.263721,0.082317, 0.143219,0.053148, 0.113399,0.065745, 0.120232,0.398803
56,0.235594, 0.246265,0.122863, 0.349390,0.117265, 0.236127,0.078709, 0.213892,0.088069, 0.129713,0.058712, 0.123401,0.597575
57,0.124814, 0.395765,0.148674, 0.295733,0.030090, 0.217769,0.130145, 0.282199,0.075546, 0.110402,0.058720, 0.130145,0.864026
58,0.164888, 0.276274,0.073587, 0.317102,0.014857, 0.292108,0.098337, 0.228439,0.037552, 0.220581,0.105118, 0.171157,1.011323
59,0.125402, 0.296922,0.174770, 0.303985,0.075596, 0.211162,0.064396, 0.161692,0.133797, 0.224512,0.043183, 0.184583,0.765711
60,0.225476, 0.255239,0.240357, 0.270120,0.075612, 0.240312,0.120179, 0.149941,0.058675, 0.127619,0.062768, 0.173702,0.433865
61,0.201256, 0.336740,0.098531, 0.149166,0.146928, 0.254791,0.076588, 0.244141,0.142451, 0.167251,0.076910, 0.105247,0.514673
62,0.129950, 0.400991,0.086338, 0.272159,0.102115, 0.170044,0.057010, 0.265470,0.088490, 0.214496,0.058670, 0.154266,0.954854
63,0.138730, 0.217321,0.143812, 0.364338,0.133119, 0.182555,0.099435, 0.178026,0.101399, 0.200815,0.036498, 0.203952,0.694015
64,0.209772, 0.286493,0.186899, 0.248133,0.063104, 0.268349,0.104150, 0.251162,0.068924, 0.108758,0.081103, 0.123153,0.572096
65,0.202878, 0.281695,0.142475, 0.276414,0.127491, 0.347331,0.074703, 0.121143,0.080762, 0.094936,0.060300, 0.189871,0.622781
66,0.194753, 0.285013,0.135065, 0.220073,0.171966, 0.217541,0.115148, 0.236417,0.067645, 0.142507,0.053486, 0.160385,0.523873
67,0.055027, 0.387103,0.122687, 0.302703,0.118301, 0.232830,0.076478, 0.228683,0.038845, 0.212695,0.049083, 0.175565,1.079159
68,0.146964, 0.282563,0.226967, 0.338159,0.059807, 0.191077,0.092129, 0.207840,0.094188, 0.131252,0.079483, 0.149574,0.600926
69,0.163282, 0.422235,0.158160, 0.360791,0.109008, 0.154928,0.062641, 0.134598,0.099561, 0.135218,0.059728, 0.139849,0.695238
70,0.219651, 0.295822,0.096002, 0.295822,0.118271, 0.218161,0.037043, 0.257736,0.094261, 0.154132,0.062841, 0.150257,0.743861
71,0.145824, 0.247057,0.155611, 0.297674,0.020516, 0.345195,0.072291, 0.208176,0.033956, 0.226642,0.098220, 0.148837,0.947164
72,0.161847, 0.379008,0.076581, 0.357654,0.112754, 0.125682,0.029700, 0.251365,0.063243, 0.189504,0.081577, 0.171084,0.948595
73,0.123799, 0.352404,0.119158, 0.346326,0.112667, 0.233659,0.000001, 0.214235,0.042527, 0.194969,0.027513, 0.232742,1.148669
74,0.121707, 0.284415,0.148541, 0.351243,0.134697, 0.216546,0.025660, 0.202941,0.080609, 0.115195,0.101590, 0.216855,0.774391
75,0.240190, 0.304800,0.123137, 0.181663,0.158134, 0.312557,0.049389, 0.168553,0.079882, 0.198196,0.063555, 0.119944,0.571425
76,0.090721, 0.433259,0.085475, 0.273981,0.079666, 0.235066,0.056502, 0.288583,0.091215, 0.182767,0.032225, 0.150542,1.128396
77,0.225921, 0.259725,0.242823, 0.276626,0.083972, 0.234706,0.066719, 0.141730,0.087125, 0.129862,0.076717, 0.174074,0.433446
78,0.150441, 0.420842,0.140987, 0.247392,0.087019, 0.211480,0.087078, 0.194189,0.000001, 0.297732,0.043465, 0.119373,0.982020
79,0.196235, 0.230470,0.196235, 0.230470,0.123770, 0.233021,0.138929, 0.213353,0.044091, 0.160556,0.071118, 0.161753,0.459245
80,0.187671, 0.301099,0.046680, 0.312770,0.070076, 0.244385,0.122192, 0.194314,0.105545, 0.183482,0.079086, 0.152700,0.777499
81,0.113876, 0.372144,0.138975, 0.351971,0.122736, 0.262311,0.035504, 0.199143,0.058662, 0.163646,0.060758, 0.120274,0.938977
82,0.148762, 0.332470,0.076232, 0.234650,0.025354, 0.355720,0.113583, 0.132998,0.082692, 0.263424,0.082194, 0.151920,0.942365
83,0.173979, 0.406638,0.083954, 0.346624,0.046718, 0.145154,0.075753, 0.215393,0.101659, 0.203319,0.048319, 0.152489,0.939234
84,0.105146, 0.306273,0.060838, 0.310397,0.080371, 0.332612,0.046793, 0.260600,0.068570, 0.221468,0.068310, 0.138622,1.139944
85,0.246963, 0.246963,0.188224, 0.301289,0.086080, 0.191908,0.023099, 0.246963,0.077253, 0.135355,0.013352, 0.242550,0.730057
86,0.116062, 0.379674,0.075309, 0.383969,0.099878, 0.247868,0.001474, 0.212745,0.074681, 0.186054,0.060596, 0.161692,1.144002
87,0.156136, 0.300344,0.142300, 0.342360,0.092920, 0.294832,0.070303, 0.160000,0.012338, 0.228240,0.076080, 0.124149,0.899848
88,0.089426, 0.311642,0.147792, 0.350871,0.127528, 0.223343,0.055336, 0.200534,0.100267, 0.218351,0.053106, 0.121803,0.853089
89,0.141839, 0.287042,0.218178, 0.218178,0.218178, 0.218178,0.109089, 0.175937,0.039772, 0.190035,0.074484, 0.109089,0.396920
90,0.116168, 0.353484,0.119363, 0.197273,0.101901, 0.290718,0.071959, 0.175255,0.151419, 0.202065,0.062077, 0.158318,0.754225
91,0.150530, 0.298054,0.000001, 0.333110,0.092042, 0.279011,0.065155, 0.224292,0.000001, 0.269273,0.053514, 0.235018,1.277514
