é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.924046,0.787778,0.899597,0.943594,0.622616,0.732066,0.818283, 
2,0.412731,0.854343,0.727498,0.748837,0.607141,0.820369,0.695153, 
3,0.452559,0.764026,0.792720,0.865082,0.408795,0.621573,0.650793, 
4,0.521441,0.209954,0.818927,0.882382,0.644150,0.653936,0.621798, 
5,0.286106,0.616928,0.841853,0.843963,0.655593,0.419295,0.610623, 
6,0.334602,0.752161,0.920801,0.720892,0.824431,0.630938,0.697304, 
7,0.739936,0.809979,0.711944,0.418966,0.628913,0.623702,0.655573, 
8,0.623335,0.518804,0.950259,0.852254,0.784256,0.845043,0.762325, 
9,0.681303,0.752287,0.843179,0.886085,0.784931,0.451716,0.733250, 
10,0.342870,0.743941,0.693705,0.899837,0.841831,0.747693,0.711646, 
11,0.460524,0.451842,0.293538,0.781557,0.508304,0.654494,0.525043, 
12,0.510419,0.448437,0.916149,0.772653,0.867391,0.374696,0.648291, 
13,0.487399,0.773590,0.672696,0.206511,0.869494,0.746484,0.626029, 
14,0.000000,0.000000,0.839615,0.702716,0.821471,0.425943,0.464958, 
15,0.754991,0.626261,0.955634,0.699489,0.501968,0.618783,0.692855, 
16,0.484874,0.814534,0.540602,0.918183,0.415480,0.603514,0.629531, 
17,0.464366,0.785030,0.733189,0.755847,0.472221,0.830095,0.673458, 
18,0.436949,0.725147,0.682766,0.750485,0.694336,0.503322,0.632168, 
19,0.403906,0.816895,0.569350,0.230052,0.307906,0.545736,0.478974, 
20,0.611684,0.320920,0.909447,0.894936,0.694225,0.751600,0.697135, 
21,0.445925,0.704518,0.922658,0.924231,0.438189,0.366035,0.633593, 
22,0.426552,0.449449,0.788502,0.969788,0.492453,0.598096,0.620807, 
23,0.439243,0.464841,0.916708,0.925533,0.405779,0.796117,0.658037, 
24,0.789135,0.010262,0.729338,0.895665,0.959865,0.769304,0.692261, 
25,0.827055,0.546262,0.927624,0.847621,0.698756,0.684848,0.755361, 
26,0.383544,0.581337,0.813391,0.765799,0.584874,0.750643,0.646598, 
27,0.460277,0.638448,0.621714,0.690890,0.815763,0.673963,0.650176, 
28,0.800579,0.948169,0.691215,0.579301,0.898507,0.651979,0.761625, 
29,0.358876,0.415241,0.951116,0.732521,0.847231,0.732915,0.672983, 
30,0.369749,0.616291,0.735489,0.628239,0.859042,0.433408,0.607036, 
31,0.287401,0.725765,0.910446,0.689867,0.816940,0.759330,0.698291, 
32,0.793670,0.644452,0.708938,0.805696,0.313626,0.763001,0.671564, 
33,0.704125,0.800237,0.342211,0.514933,0.734529,0.770555,0.644432, 
34,0.443248,0.000000,0.799424,0.695827,0.850469,0.830996,0.603327, 
35,0.050028,0.816162,0.674134,0.700033,0.679101,0.353989,0.545575, 
36,0.509412,0.695029,0.545583,0.578271,0.887880,0.608833,0.637501, 
37,0.638521,0.000000,0.842597,0.413510,0.718435,0.786759,0.566637, 
38,0.619859,0.125300,0.814450,0.382949,0.528090,0.837995,0.551441, 
39,0.501864,0.716327,0.783866,0.756736,0.744416,0.632089,0.689216, 
40,0.522879,0.727159,0.814849,0.800634,0.842817,0.398792,0.684522, 
41,0.000000,0.797813,0.670506,0.862001,0.747810,0.927615,0.667624, 
42,0.774703,0.938668,0.695485,0.844831,0.498943,0.550753,0.717231, 
43,0.437021,0.638071,0.570545,0.287760,0.549431,0.565112,0.507990, 
44,0.509169,0.555040,0.799172,0.730045,0.808802,0.443132,0.640893, 
45,0.430118,0.650187,0.778510,0.752070,0.639115,0.783115,0.672186, 
46,0.438892,0.493591,0.932002,0.975533,0.506460,0.597732,0.657368, 
47,0.838148,0.450581,0.766378,0.877604,0.827827,0.507166,0.711284, 
48,0.313642,0.865260,0.487188,0.629854,0.893011,0.790772,0.663288, 
49,0.520248,0.921077,0.034254,0.654731,0.047629,0.373673,0.425269, 
50,0.663583,0.677749,0.795618,0.819823,0.893018,0.877791,0.787931, 
51,0.316309,0.609245,0.848492,0.818023,0.612538,0.458446,0.610509, 
52,0.518817,0.768764,0.812713,0.765329,0.799918,0.525892,0.698572, 
53,0.447767,0.878732,0.956024,0.550502,0.756096,0.361029,0.658358, 
54,0.549960,0.711747,0.749623,0.811944,0.563217,0.944771,0.721877, 
55,0.659388,0.364435,0.562320,0.606285,0.416834,0.702821,0.552014, 
56,0.301988,0.612508,0.918341,0.973112,0.588009,0.696156,0.681686, 
57,0.362592,0.809523,0.657771,0.615332,0.450885,0.763092,0.609866, 
58,0.700174,0.582215,0.671059,0.900868,0.706641,0.553517,0.685746, 
59,0.518314,0.656412,0.734212,0.688525,0.484525,0.595831,0.612970, 
60,0.663138,0.148619,0.855346,0.350637,0.563728,0.702027,0.547249, 
61,0.601007,0.000000,0.831687,0.910411,0.397439,0.571608,0.552025, 
62,0.362492,0.699737,0.577543,0.803533,0.809799,0.771230,0.670723, 
63,0.249960,0.623974,0.521933,0.719068,0.788309,0.527578,0.571804, 
64,0.734751,0.759561,0.811017,0.807283,0.411317,0.824112,0.724674, 
65,0.822979,0.854924,0.680909,0.441357,0.248280,0.633007,0.613576, 
66,0.798617,0.757515,0.491180,0.802637,0.714929,0.718999,0.713979, 
67,0.306063,0.714246,0.899932,0.958233,0.730325,0.643492,0.708715, 
68,0.613501,0.218128,0.597757,0.905013,0.540829,0.922436,0.632944, 
69,0.376231,0.606942,0.483308,0.515179,0.525688,0.854249,0.560266, 
70,0.592623,0.667068,0.832798,0.776283,0.748994,0.814020,0.738631, 
71,0.583719,0.779872,0.602566,0.929200,0.683325,0.755394,0.722346, 
72,0.432961,0.524833,0.169079,0.774198,0.883936,0.781544,0.594425, 
73,0.415793,0.611308,0.927170,0.757888,0.792262,0.452439,0.659477, 
74,0.538821,0.660716,0.737877,0.774967,0.513966,0.438304,0.610775, 
75,0.317956,0.399471,0.624042,0.683375,0.916112,0.686386,0.604557, 
76,0.298108,0.693225,0.846756,0.752524,0.927010,0.672958,0.698430, 
77,0.720731,0.107281,0.857871,0.574200,0.598821,0.762594,0.603583, 
78,0.363195,0.943698,0.767447,0.866908,0.502852,0.579409,0.670585, 
79,0.646687,0.510077,0.876635,0.694173,0.744282,0.796627,0.711414, 
80,0.691931,0.546313,0.855113,0.680005,0.836869,0.898111,0.751390, 
81,0.377040,0.638987,0.910410,0.784767,0.816122,0.673950,0.700213, 
82,0.492393,0.655143,0.595282,0.243576,0.693245,0.891201,0.595140, 
83,0.410034,0.551466,0.294872,0.968339,0.776960,0.730950,0.622104, 
84,0.459547,0.572149,0.713848,0.791391,0.790832,0.899713,0.704580, 
85,0.000000,0.579879,0.666386,0.769518,0.700244,0.414941,0.521828, 
86,0.370814,0.489404,0.957447,0.755798,0.946197,0.744899,0.710760, 
87,0.587637,0.666534,0.818924,0.696569,0.633107,0.817053,0.703304, 
88,0.425207,0.659893,0.812625,0.845268,0.731211,0.649633,0.687306, 
89,0.584785,0.000000,0.000000,0.646345,0.799158,0.614959,0.440875, 
90,0.403611,0.531428,0.851538,0.783037,0.379445,0.768045,0.619517, 
91,0.578247,0.461777,0.856352,0.936028,0.541607,0.496885,0.645149, 
92,0.305187,0.618790,0.809135,0.877657,0.821031,0.500813,0.655436, 
93,0.528839,0.676416,0.454478,0.741305,0.898985,0.773478,0.678917, 
94,0.713601,0.613688,0.726050,0.941697,0.560190,0.476647,0.671979, 
95,0.000000,0.796326,0.000000,0.531888,0.822734,0.000000,0.358491, 
96,0.334400,0.782441,0.810232,0.823288,0.859915,0.601222,0.701916, 
97,0.048252,0.615060,0.904546,0.913884,0.532630,0.509575,0.587324, 
98,0.536021,0.571715,0.940781,0.726571,0.706539,0.731167,0.702132, 
99,0.693084,0.757192,0.505661,0.899168,0.731020,0.832337,0.736410, 
100,0.845111,0.901057,0.776558,0.908166,0.648537,0.452799,0.755371, 
101,0.525031,0.805236,0.844947,0.775539,0.728075,0.688643,0.727912, 
102,0.375566,0.587014,0.728590,0.827628,0.759222,0.648782,0.654467, 
103,0.593502,0.700876,0.863655,0.589567,0.723775,0.774798,0.707695, 
104,0.583973,0.537311,0.764818,0.684821,0.778913,0.543259,0.648849, 
105,0.708985,0.505418,0.779994,0.850758,0.520852,0.451491,0.636249, 
106,0.493549,0.617361,0.742918,0.630771,0.688502,0.610830,0.630655, 
107,0.498605,0.893717,0.902035,0.950883,0.810696,0.662124,0.786343, 
108,0.076379,0.539598,0.779343,0.461712,0.759126,0.494945,0.518517, 
109,0.562211,0.869895,0.360810,0.649455,0.831585,0.829925,0.683980, 
110,0.574531,0.857761,0.830491,0.965945,0.848368,0.408297,0.747566, 
111,0.534191,0.809001,0.850122,0.682983,0.637979,0.921737,0.739335, 
112,0.757575,0.445076,0.965147,0.757853,0.514520,0.566834,0.667834, 
113,0.308403,0.736821,0.756876,0.989324,0.883290,0.582068,0.709464, 
114,0.406644,0.401083,0.663733,0.841692,0.503174,0.461104,0.546238, 
115,0.673003,0.783141,0.654514,0.791876,0.708672,0.751037,0.727041, 
116,0.618892,0.788088,0.794669,0.885639,0.741359,0.894174,0.787137, 
117,0.465768,0.850535,0.366451,0.958464,0.599011,0.748905,0.664856, 
118,0.751279,0.833488,0.864342,0.508160,0.510309,0.759159,0.704456, 
119,0.703638,0.803954,0.964793,0.719793,0.646325,0.574794,0.735549, 
120,0.213944,0.591145,0.676818,0.899770,0.745340,0.493657,0.603446, 
121,0.564239,0.493391,0.680997,0.680997,0.958861,0.876103,0.709098, 
122,0.261971,0.858283,0.883568,0.781024,0.638515,0.681661,0.684170, 
123,0.719677,0.822563,0.757621,0.402578,0.794805,0.772762,0.711668, 
124,0.376184,0.791841,0.962743,0.881902,0.885963,0.715699,0.769055, 
125,0.557232,0.220379,0.763020,0.859806,0.919199,0.911261,0.705149, 
126,0.720656,0.876394,0.507685,0.371094,0.659945,0.694155,0.638322, 
127,0.644044,0.000000,0.905815,0.577481,0.851125,0.902437,0.646817, 
128,0.344720,0.895623,0.777578,0.777357,0.743495,0.604423,0.690533, 
129,0.305865,0.680192,0.648614,0.851834,0.756675,0.889626,0.688801, 
130,0.413723,0.734225,0.930454,0.682005,0.933051,0.857124,0.758430, 
131,0.751612,0.734969,0.676199,0.654979,0.738685,0.508316,0.677460, 
132,0.548864,0.540855,0.745590,0.741796,0.881936,0.654138,0.685530, 
133,0.298222,0.646009,0.604027,0.802964,0.792583,0.654495,0.633050, 
134,0.519544,0.715630,0.660307,0.666861,0.692718,0.665083,0.653357, 
135,0.452378,0.662002,0.819858,0.794033,0.622649,0.285244,0.606027, 
136,0.404770,0.754507,0.884212,0.884317,0.990647,0.457097,0.729258, 
137,0.529050,0.801307,0.924892,0.772850,0.760802,0.679403,0.744717, 
138,0.319837,0.738600,0.786187,0.858322,0.886993,0.625970,0.702652, 
139,0.427750,0.608614,0.535066,0.644499,0.786454,0.861007,0.643898, 
140,0.236410,0.888750,0.666483,0.476010,0.077321,0.605513,0.491748, 
141,0.575486,0.000000,0.510365,0.806256,0.850367,0.605581,0.558009, 
142,0.316814,0.470163,0.863793,0.775634,0.775614,0.533841,0.622643, 
143,0.421928,0.642935,0.816127,0.857826,0.434567,0.873205,0.674431, 
144,0.661050,0.886458,0.892825,0.767906,0.597959,0.495410,0.716935, 
145,0.501155,0.746293,0.555356,0.683814,0.617896,0.716474,0.636831, 
146,0.316790,0.650354,0.626720,0.812920,0.896383,0.674346,0.662919, 
147,0.298212,0.687694,0.855089,0.635130,0.768341,0.603685,0.641358, 
148,0.488868,0.589613,0.679924,0.712226,0.353699,0.857346,0.613613, 
149,0.000000,0.000000,0.524530,0.894695,0.756787,0.399185,0.429199, 
150,0.640938,0.680333,0.878159,0.741864,0.723483,0.608632,0.712235, 
151,0.573817,0.679965,0.622286,0.987104,0.582096,0.755090,0.700060, 
152,0.268557,0.644939,0.409116,0.835887,0.899923,0.567660,0.604347, 
153,0.559018,0.542881,0.766876,0.778552,0.294054,0.471277,0.568776, 
154,0.486551,0.739436,0.799917,0.775542,0.582974,0.617478,0.666983, 
155,0.713856,0.652811,0.802291,0.361899,0.545236,0.768294,0.640731, 
156,0.493240,0.615753,0.802405,0.384998,0.546570,0.834433,0.612900, 
157,0.388122,0.804080,0.777896,0.917535,0.812798,0.263544,0.660662, 
158,0.486692,0.427195,0.335968,0.714531,0.680306,0.446411,0.515184, 
159,0.328958,0.845073,0.895043,0.592609,0.653380,0.619352,0.655736, 
160,0.524246,0.636359,0.752905,0.895802,0.858730,0.746501,0.735757, 
161,0.550934,0.819862,0.676834,0.756190,0.000000,0.000000,0.467303, 
162,0.382378,0.703897,0.703137,0.568401,0.901563,0.758057,0.669572, 
163,0.493348,0.676265,0.692442,0.930114,0.539049,0.683188,0.669067, 
164,0.000000,0.680577,0.871917,0.598121,0.652930,0.710235,0.585630, 
165,0.000000,0.724938,0.834329,0.754341,0.760211,0.844061,0.652980, 
166,0.433881,0.786018,0.711345,0.642342,0.575225,0.569900,0.619785, 
167,0.492855,0.824560,0.376701,0.676728,0.827704,0.671739,0.645048, 
168,0.802448,0.230354,0.651008,0.863714,0.650219,0.799506,0.666208, 
169,0.862499,0.591346,0.191323,0.891293,0.789464,0.644675,0.661767, 
170,0.242491,0.000000,0.809663,0.708891,0.647135,0.775591,0.530628, 
171,0.538227,0.620691,0.731416,0.440694,0.675139,0.632720,0.606481, 
172,0.825514,0.862444,0.720916,0.669982,0.348284,0.778641,0.700963, 
173,0.419851,0.721374,0.887958,0.728552,0.792711,0.355847,0.651049, 
174,0.319871,0.911434,0.931764,0.823735,0.849870,0.513070,0.724957, 
175,0.452510,0.927006,0.765580,0.762588,0.801462,0.711427,0.736762, 
176,0.629185,0.724483,0.827054,0.935689,0.909578,0.573573,0.766594, 
177,0.313540,0.392927,0.711488,0.685956,0.762888,0.635966,0.583794, 
