é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.858816,0.649863,0.817517,0.893212,0.452028,0.577369,0.708134, 
2,0.260026,0.745724,0.571706,0.598512,0.435896,0.695446,0.551218, 
3,0.292457,0.618157,0.656616,0.762242,0.256909,0.450929,0.506218, 
4,0.352668,0.117290,0.693375,0.789520,0.475089,0.485813,0.485626, 
5,0.166933,0.446057,0.726896,0.730048,0.487645,0.265259,0.470473, 
6,0.200914,0.602771,0.853226,0.563590,0.701303,0.460855,0.563777, 
7,0.587221,0.680643,0.552728,0.264995,0.458696,0.453173,0.499576, 
8,0.452786,0.350260,0.905233,0.742545,0.645083,0.731666,0.637929, 
9,0.516649,0.602932,0.728876,0.795470,0.645997,0.291752,0.596946, 
10,0.206906,0.592282,0.531048,0.817912,0.726863,0.597052,0.578677, 
11,0.299144,0.291858,0.172016,0.641439,0.340756,0.486430,0.371940, 
12,0.342659,0.289022,0.845273,0.629531,0.765834,0.230539,0.517143, 
13,0.322226,0.630776,0.506813,0.115145,0.769119,0.595512,0.489932, 
14,0.000000,0.000000,0.723566,0.541682,0.697031,0.270602,0.372147, 
15,0.606415,0.455881,0.915038,0.537857,0.335085,0.447998,0.549712, 
16,0.320022,0.687100,0.370428,0.848741,0.262212,0.432166,0.486778, 
17,0.302394,0.646132,0.578768,0.607519,0.309090,0.709541,0.525574, 
18,0.279548,0.568808,0.518333,0.600622,0.531788,0.336293,0.472565, 
19,0.253059,0.690467,0.397966,0.129977,0.181967,0.375266,0.338117, 
20,0.440594,0.191128,0.833932,0.809849,0.531657,0.602050,0.568202, 
21,0.286939,0.543827,0.856420,0.859135,0.280565,0.224017,0.508484, 
22,0.271093,0.289864,0.650849,0.941348,0.326659,0.426631,0.484407, 
23,0.281429,0.302797,0.846225,0.861388,0.254531,0.661291,0.534610, 
24,0.651711,0.005158,0.573982,0.811045,0.922827,0.625097,0.598303, 
25,0.705110,0.375763,0.865017,0.735541,0.536991,0.520737,0.623193, 
26,0.237274,0.409778,0.685475,0.620481,0.413302,0.600823,0.494522, 
27,0.298935,0.468912,0.451077,0.527756,0.688851,0.508254,0.490631, 
28,0.667471,0.901446,0.528135,0.407758,0.815717,0.483656,0.634031, 
29,0.218677,0.262022,0.906788,0.577936,0.734953,0.578426,0.546467, 
30,0.226805,0.445391,0.581640,0.457980,0.752912,0.276656,0.456897, 
31,0.167816,0.569569,0.835614,0.526563,0.690532,0.612032,0.567021, 
32,0.657921,0.475419,0.549112,0.674615,0.185976,0.616816,0.526643, 
33,0.543359,0.666996,0.206426,0.346740,0.580440,0.626750,0.495118, 
34,0.284726,0.000000,0.665867,0.533539,0.739840,0.710859,0.489138, 
35,0.025656,0.689420,0.508448,0.538501,0.514120,0.215059,0.415201, 
36,0.341753,0.532601,0.375122,0.406738,0.798367,0.437642,0.482037, 
37,0.468991,0.000000,0.728007,0.260644,0.560592,0.648477,0.444452, 
38,0.449127,0.066837,0.686981,0.236819,0.358779,0.721163,0.419951, 
39,0.334993,0.558029,0.644555,0.608669,0.592884,0.462083,0.533535, 
40,0.353986,0.571288,0.687548,0.667547,0.728335,0.249057,0.542960, 
41,0.000000,0.663635,0.504332,0.757470,0.597202,0.865002,0.564607, 
42,0.632258,0.884425,0.533137,0.731349,0.332395,0.380027,0.582265, 
43,0.279608,0.468506,0.399134,0.168061,0.378769,0.393837,0.347986, 
44,0.341534,0.384122,0.665518,0.574859,0.678982,0.284630,0.488274, 
45,0.273981,0.481686,0.637344,0.602653,0.469632,0.643541,0.518140, 
46,0.281142,0.327661,0.872663,0.952234,0.339100,0.426261,0.533177, 
47,0.721389,0.290806,0.621242,0.781903,0.706232,0.339734,0.576884, 
48,0.185988,0.762518,0.322041,0.459698,0.806703,0.653948,0.531816, 
49,0.351578,0.853700,0.017426,0.486691,0.024396,0.229765,0.327259, 
50,0.496539,0.512572,0.660603,0.694662,0.806714,0.782200,0.658882, 
51,0.187866,0.438068,0.736853,0.692080,0.441481,0.297392,0.465623, 
52,0.350272,0.624384,0.684513,0.619864,0.666552,0.356753,0.550390, 
53,0.288466,0.783695,0.915753,0.379788,0.607841,0.220278,0.532637, 
54,0.379273,0.552491,0.599517,0.683422,0.391999,0.895323,0.583671, 
