ó^Ç¶ÇΩèdóvìx,0.200000,0.260000,0.150000,0.250000,0.110000,0.250000,0.080000,0.220000,0.080000,0.180000,0.080000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.220003, 0.253450,0.213858, 0.237430,0.115232, 0.260548,0.092903, 0.220003,0.078054, 0.115232,0.079143, 0.114143,0.401613
2,0.157048, 0.255848,0.150356, 0.217492,0.108746, 0.183215,0.127924, 0.239925,0.154570, 0.173146,0.077160, 0.154570,0.448391
3,0.204300, 0.287708,0.204234, 0.234095,0.143854, 0.228371,0.117048, 0.214567,0.062125, 0.108445,0.088663, 0.106590,0.359552
4,0.148169, 0.267600,0.267600, 0.332042,0.116467, 0.191965,0.086081, 0.170746,0.069939, 0.120584,0.081435, 0.147371,0.460618
5,0.196928, 0.209274,0.148636, 0.257566,0.128783, 0.277419,0.096510, 0.159381,0.125475, 0.196928,0.098464, 0.104637,0.410409
6,0.203113, 0.310495,0.141110, 0.258617,0.138457, 0.217659,0.068570, 0.141110,0.102365, 0.194167,0.081034, 0.143305,0.530705
7,0.229617, 0.266793,0.199092, 0.243159,0.121580, 0.176499,0.110665, 0.137540,0.129684, 0.221331,0.049230, 0.114809,0.320262
8,0.179469, 0.273319,0.219736, 0.288502,0.130238, 0.222154,0.081948, 0.179469,0.078954, 0.138724,0.090147, 0.117340,0.439016
9,0.190703, 0.243356,0.168784, 0.286594,0.128141, 0.193859,0.128283, 0.193718,0.095461, 0.132228,0.070088, 0.168784,0.437079
10,0.220753, 0.311522,0.172212, 0.250255,0.141489, 0.193824,0.103841, 0.189082,0.083418, 0.149074,0.061949, 0.122581,0.432676
11,0.221399, 0.302901,0.229125, 0.237974,0.114899, 0.130121,0.100967, 0.262562,0.060769, 0.120996,0.097871, 0.120417,0.349941
12,0.188998, 0.237270,0.172118, 0.254149,0.118635, 0.219694,0.084716, 0.287662,0.084143, 0.197578,0.057938, 0.097098,0.586904
13,0.167055, 0.217511,0.175072, 0.228382,0.113410, 0.171876,0.217511, 0.235351,0.109982, 0.175303,0.072273, 0.116273,0.289394
14,0.200504, 0.200504,0.200504, 0.200504,0.152457, 0.248552,0.124276, 0.257959,0.075031, 0.161081,0.076803, 0.101826,0.340850
15,0.193512, 0.238436,0.167597, 0.236126,0.117027, 0.225811,0.166164, 0.193512,0.071457, 0.104885,0.103925, 0.181550,0.360637
16,0.197221, 0.252596,0.126298, 0.230722,0.218290, 0.231526,0.112548, 0.205521,0.091225, 0.109145,0.109145, 0.115763,0.290546
17,0.262507, 0.270611,0.169778, 0.274141,0.109873, 0.169778,0.132394, 0.181504,0.090204, 0.117252,0.090209, 0.131750,0.290072
18,0.188332, 0.293198,0.170703, 0.279361,0.118845, 0.221648,0.060800, 0.191790,0.073883, 0.136445,0.090143, 0.174853,0.594588
19,0.229496, 0.339218,0.119975, 0.231328,0.169609, 0.224715,0.112202, 0.119975,0.112202, 0.119975,0.106559, 0.114748,0.299916
20,0.174810, 0.244941,0.244941, 0.320886,0.128978, 0.204178,0.066374, 0.192912,0.058008, 0.143787,0.086307, 0.133876,0.481161
21,0.177558, 0.304492,0.170985, 0.186617,0.147201, 0.235403,0.100915, 0.217673,0.077352, 0.097974,0.081999, 0.201830,0.487978
22,0.192211, 0.285084,0.243568, 0.257170,0.076459, 0.204570,0.095028, 0.199804,0.099981, 0.123072,0.098498, 0.124555,0.388511
23,0.251933, 0.281663,0.115142, 0.262167,0.100721, 0.251933,0.087389, 0.226790,0.068788, 0.104112,0.107645, 0.141719,0.536765
24,0.162032, 0.264874,0.264874, 0.272993,0.083619, 0.198523,0.114905, 0.167238,0.072025, 0.179335,0.075532, 0.144051,0.454027
25,0.188866, 0.254548,0.241923, 0.255792,0.125955, 0.250588,0.059991, 0.188866,0.120962, 0.127896,0.063650, 0.120962,0.397304
