é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.715860,0.381513,0.944693,0.951682,0.513670,0.718803,0.704370, 
2,0.703373,0.803367,0.682759,0.730761,0.313312,0.873298,0.684478, 
3,0.776805,0.459895,0.752879,0.821150,0.388800,0.460096,0.609938, 
4,0.668778,0.000000,0.700683,0.753702,0.538804,0.930072,0.598673, 
5,0.256377,0.957258,0.839930,0.619810,0.636037,0.186572,0.582664, 
6,0.679728,0.919510,0.722641,0.575042,0.809535,0.964514,0.778495, 
7,0.625315,0.611763,0.563508,0.322091,0.525088,0.554373,0.533690, 
8,0.779984,0.358654,0.792664,0.821159,0.735105,0.623748,0.685219, 
9,0.769728,0.745751,0.638914,0.637040,0.537660,0.756162,0.680876, 
10,0.520621,0.873810,0.544209,0.756887,0.792678,0.705961,0.699028, 
11,0.545588,0.162595,0.196130,0.789356,0.511720,0.546278,0.458611, 
12,0.688447,0.855698,0.838458,0.788950,0.898233,0.344865,0.735775, 
13,0.317070,0.695454,0.589179,0.031537,0.790235,0.697553,0.520171, 
14,0.000000,0.000000,0.814037,0.699526,0.871604,0.513411,0.483096, 
15,0.732644,0.813258,0.874526,0.326841,0.373008,0.524251,0.607421, 
16,0.911737,0.789749,0.172756,0.798146,0.303930,0.198688,0.529167, 
17,0.000000,0.785095,0.598064,0.519386,0.425788,0.818215,0.524425, 
18,0.727866,0.760066,0.846798,0.825049,0.694440,0.689060,0.757213, 
19,0.359459,0.769593,0.564885,0.105201,0.144246,0.240187,0.363929, 
20,0.690705,0.057505,0.698883,0.847250,0.686698,0.884438,0.644246, 
21,0.641938,0.270372,0.773017,0.909478,0.298019,0.645058,0.589647, 
22,0.784962,0.113246,0.705455,0.856096,0.375186,0.605577,0.573420, 
23,0.179809,0.809635,0.961499,0.949253,0.356353,0.687862,0.657402, 
24,0.736911,0.000000,0.694561,0.544191,0.958324,0.933719,0.644618, 
25,0.868033,0.141857,0.937487,0.809792,0.129692,0.698340,0.597533, 
26,0.786763,0.843326,0.624761,0.724400,0.521617,0.617336,0.686367, 
27,0.000000,0.901192,0.916402,0.632646,0.852334,0.712064,0.669106, 
28,0.775541,0.625315,0.618686,0.272090,0.800308,0.567569,0.609918, 
29,0.000000,0.188851,0.718149,0.700606,0.813471,0.870173,0.548542, 
30,0.506059,0.740899,0.543339,0.553802,0.858127,0.372891,0.595853, 
31,0.000000,0.874411,0.889704,0.556244,0.524950,0.882518,0.621305, 
32,0.618326,0.485642,0.673950,0.710826,0.210013,0.762650,0.576901, 
33,0.781426,0.790029,0.120619,0.391967,0.947950,0.812314,0.640717, 
34,0.000000,0.000000,0.795937,0.737973,0.762539,0.761265,0.509619, 
35,0.000000,0.827379,0.558731,0.612403,0.686375,0.399451,0.514057, 
36,0.774021,0.628944,0.289222,0.319704,0.928957,0.329485,0.545055, 
37,0.407738,0.000000,0.884210,0.417976,0.679607,0.819952,0.534914, 
38,0.630816,0.000000,0.675232,0.288797,0.274462,0.797473,0.444463, 
39,0.549251,0.743542,0.696964,0.705112,0.646801,0.741994,0.680611, 
40,0.608914,0.660117,0.829074,0.697345,0.814731,0.720154,0.721723, 
41,0.000000,0.796505,0.605210,0.693333,0.946829,0.826387,0.644711, 
42,0.736639,0.612921,0.406891,0.766883,0.404509,0.790662,0.619751, 
43,0.121262,0.565805,0.404919,0.181392,0.516754,0.608533,0.399777, 
44,0.200484,0.417958,0.727453,0.560510,0.789067,0.879168,0.595773, 
45,0.613738,0.808850,0.749667,0.739871,0.871171,0.673064,0.742727, 
46,0.462834,0.522947,0.765657,0.880789,0.459320,0.582694,0.612373, 
47,0.525493,0.533377,0.747809,0.801414,0.860185,0.719730,0.698001, 
48,0.502433,0.947187,0.305577,0.518415,0.826737,0.451994,0.592057, 
49,0.495934,0.832988,0.085188,0.576633,0.117265,0.280469,0.398080, 
