é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.557463,0.235722,0.895182,0.907818,0.345596,0.561040,0.583804, 
2,0.542464,0.671356,0.518325,0.575747,0.185756,0.775092,0.544790, 
3,0.635062,0.298613,0.603694,0.696568,0.241311,0.298782,0.462339, 
4,0.502379,0.000000,0.539271,0.604753,0.368742,0.869285,0.480738, 
5,0.147037,0.918020,0.724035,0.449076,0.466316,0.102884,0.467894, 
6,0.514839,0.851011,0.565731,0.403550,0.680016,0.931461,0.657768, 
7,0.454879,0.440676,0.392281,0.191960,0.356013,0.383483,0.369882, 
8,0.639322,0.218512,0.656539,0.696582,0.581159,0.453222,0.540889, 
9,0.625656,0.594579,0.469415,0.467395,0.367671,0.607926,0.522107, 
10,0.351919,0.775899,0.373824,0.608864,0.656559,0.545548,0.552102, 
11,0.375126,0.088492,0.108727,0.652013,0.343833,0.375778,0.323995, 
12,0.524910,0.747790,0.721849,0.651459,0.815266,0.208360,0.611606, 
13,0.188404,0.533101,0.417614,0.016021,0.653213,0.535571,0.390654, 
14,0.000000,0.000000,0.686394,0.537901,0.772427,0.345361,0.390347, 
15,0.578088,0.685286,0.777029,0.195344,0.229263,0.355244,0.470042, 
16,0.837791,0.652549,0.094544,0.664095,0.179197,0.110302,0.423080, 
17,0.000000,0.646220,0.426599,0.350791,0.270477,0.692355,0.397740, 
18,0.572162,0.612989,0.734302,0.702199,0.531909,0.525623,0.613197, 
19,0.219110,0.625479,0.393617,0.055521,0.077729,0.136485,0.251323, 
20,0.527540,0.029604,0.537141,0.734981,0.522879,0.792818,0.524160, 
21,0.472687,0.156318,0.630014,0.833984,0.175101,0.476078,0.457364, 
22,0.646039,0.060021,0.544945,0.748399,0.230910,0.434285,0.444100, 
23,0.098786,0.680157,0.925852,0.903408,0.216806,0.524230,0.558206, 
24,0.583419,0.000000,0.532052,0.373807,0.919982,0.875679,0.547490, 
25,0.766835,0.076343,0.882329,0.680378,0.069343,0.536499,0.501955, 
26,0.648483,0.729095,0.454292,0.567890,0.352830,0.446483,0.533179, 
27,0.000000,0.820154,0.845703,0.462679,0.742667,0.552872,0.570679, 
28,0.633374,0.454879,0.447897,0.157468,0.667094,0.396228,0.459490, 
29,0.000000,0.104271,0.560243,0.539179,0.685590,0.770182,0.443244, 
30,0.338741,0.588435,0.373003,0.382937,0.751509,0.229174,0.443967, 
31,0.000000,0.776847,0.801322,0.385276,0.355886,0.789739,0.518178, 
32,0.447519,0.320691,0.508238,0.551382,0.117326,0.616358,0.426919, 
33,0.641262,0.652932,0.064180,0.243755,0.901050,0.683946,0.531188, 
34,0.000000,0.000000,0.661042,0.584752,0.616213,0.614550,0.412759, 
35,0.000000,0.705581,0.387666,0.441341,0.522504,0.249572,0.384444, 
36,0.631349,0.458729,0.169059,0.190266,0.867339,0.197236,0.418996, 
37,0.256075,0.000000,0.792452,0.264203,0.514701,0.694847,0.420380, 
38,0.460724,0.000000,0.509699,0.168768,0.159059,0.663164,0.326902, 
39,0.378598,0.591777,0.534876,0.544535,0.477980,0.589818,0.519597, 
40,0.437726,0.492668,0.708051,0.535325,0.687381,0.562688,0.570640, 
41,0.000000,0.661827,0.433907,0.530612,0.899026,0.704139,0.538252, 
42,0.583079,0.441879,0.255407,0.621906,0.253533,0.653797,0.468267, 
43,0.064544,0.394510,0.253855,0.099742,0.348394,0.437332,0.266396, 
44,0.111410,0.264189,0.571651,0.389381,0.651620,0.784388,0.462106, 
45,0.442729,0.679050,0.599574,0.587139,0.771747,0.507232,0.597912, 
46,0.301096,0.354047,0.620295,0.786973,0.298128,0.411128,0.461945, 
47,0.356385,0.363677,0.597200,0.668633,0.754670,0.562170,0.550456, 
48,0.335500,0.899672,0.180343,0.349905,0.704647,0.291984,0.460342, 
49,0.329729,0.713779,0.044489,0.405119,0.062284,0.163108,0.286418, 
50,0.459177,0.458851,0.471213,0.494942,0.698158,0.616762,0.533184, 
51,0.481994,0.485903,0.304240,0.682807,0.226915,0.295365,0.412871, 
52,0.000000,0.591295,0.756794,0.512592,0.445224,0.232909,0.423136, 
53,0.524487,0.912956,0.733700,0.612863,0.704486,0.525291,0.668964, 
54,0.432911,0.451275,0.491978,0.330079,0.798774,0.415701,0.486786, 
55,0.425069,0.052940,0.242713,0.372977,0.209340,0.519740,0.303797, 
56,0.155772,0.342058,0.762308,0.751173,0.299545,0.538403,0.474877, 
57,0.424520,0.670641,0.314154,0.370438,0.130052,0.546033,0.409306, 
58,0.846545,0.916178,0.607138,0.771487,0.833723,0.147085,0.687026, 
59,0.532751,0.369994,0.552302,0.488091,0.288867,0.790528,0.503755, 
60,0.488422,0.000000,0.538401,0.112677,0.327584,0.566897,0.338997, 
61,0.411494,0.000000,0.492419,0.705152,0.193667,0.308753,0.351914, 
62,0.351384,0.654893,0.400154,0.895698,0.647549,0.846703,0.632730, 
63,0.045032,0.517241,0.192268,0.214108,0.610332,0.755456,0.389073, 
64,0.362313,0.278061,0.667180,0.698822,0.241960,0.442539,0.448479, 
65,0.289151,0.872194,0.462355,0.264090,0.200751,0.647654,0.456033, 
66,0.725631,0.580076,0.045845,0.638365,0.407388,0.703679,0.516831, 
67,0.526159,0.554096,0.520333,0.846365,0.823619,0.875729,0.691050, 
68,0.522688,0.000000,0.294619,0.672072,0.273224,0.800503,0.427184, 
69,0.145724,0.402709,0.104439,0.328710,0.259287,0.724471,0.327557, 
70,0.269447,0.788828,0.582336,0.768986,0.543186,0.645444,0.599704, 
71,0.359475,0.567761,0.832042,0.791005,0.878681,0.405847,0.639135, 
72,0.337578,0.780366,0.016734,0.560621,0.923011,0.639925,0.543039, 
73,0.309358,0.457101,0.487296,0.401454,0.477822,0.433546,0.427763, 
74,0.488163,0.262808,0.469304,0.460613,0.257260,0.103140,0.340215, 
75,0.000000,0.169005,0.440924,0.389047,0.598723,0.462202,0.343317, 
76,0.419205,0.702082,0.602028,0.772071,0.430303,0.561542,0.581205, 
77,0.219896,0.000000,0.533065,0.338959,0.345095,0.639085,0.346017, 
78,0.340524,0.554932,0.579571,0.430171,0.739914,0.322003,0.494519, 
79,0.080753,0.048452,0.699831,0.479747,0.460234,0.786417,0.425906, 
80,0.411952,0.632236,0.614075,0.242000,0.466309,0.747100,0.518946, 
81,0.625073,0.200989,0.802787,0.429395,0.605710,0.468765,0.522120, 
82,0.542655,0.381952,0.896125,0.087042,0.547249,0.659390,0.519069, 
83,0.000000,0.813232,0.144992,0.777170,0.512861,0.752458,0.500119, 
84,0.633248,0.875950,0.683876,0.919410,0.813258,0.772395,0.783023, 
85,0.000000,0.306823,0.479270,0.705205,0.481010,0.335149,0.384576, 
86,0.600532,0.565068,0.507464,0.396507,0.601579,0.720799,0.565325, 
87,0.510091,0.547228,0.883704,0.242516,0.750812,0.648901,0.597209, 
88,0.428875,0.270919,0.464907,0.572685,0.502901,0.412510,0.442133, 
89,0.599114,0.000000,0.000000,0.412620,0.703129,0.471130,0.364332, 
90,0.369902,0.342913,0.742707,0.541063,0.196461,0.631581,0.470771, 
91,0.883849,0.468457,0.914187,0.834240,0.935398,0.271319,0.717908, 
92,0.633344,0.694241,0.801019,0.635568,0.623504,0.647483,0.672526, 
93,0.000000,0.484298,0.251266,0.471319,0.778268,0.519877,0.417505, 
94,0.765701,0.332771,0.431849,0.693363,0.198850,0.227772,0.441718, 
95,0.000000,0.648875,0.000000,0.370087,0.636758,0.000000,0.275953, 
96,0.318869,0.674473,0.796076,0.387355,0.705540,0.407694,0.548334, 
97,0.170372,0.078562,0.760767,0.631221,0.522027,0.692687,0.475939, 
98,0.103088,0.650336,0.568978,0.407686,0.446705,0.508381,0.447529, 
99,0.968263,0.733638,0.301788,0.617434,0.462680,0.712397,0.632700, 
100,0.735407,0.324559,0.617634,0.667375,0.234573,0.581654,0.526867, 
101,0.657186,0.677593,0.512088,0.429075,0.390913,0.432453,0.516551, 
