No.,tL,tR
true,0.862069,1.190476
0,0.947427,1.058751
1,0.899123,1.126373
2,0.923995,1.089630
3,0.900190,1.124705
4,0.946460,1.059960
5,0.871197,1.173494
6,0.935905,1.073520
7,0.891276,1.138935
8,0.908489,1.112013
9,0.888440,1.143601
10,0.986801,1.013556
11,0.917006,1.099512
12,0.926462,1.086220
13,0.964559,1.038143
14,0.933240,1.077045
15,0.960754,1.042589
16,0.960917,1.042396
17,0.857409,1.199478
18,0.962829,1.040154
19,0.897632,1.128724
20,0.895211,1.132575
21,0.937960,1.070829
22,0.895117,1.132721
23,0.899192,1.126264
24,0.934774,1.075012
25,0.906936,1.114346
26,0.892767,1.136511
27,0.925459,1.087600
28,0.929767,1.081711
29,0.933518,1.076678
30,0.904093,1.118668
31,0.934324,1.075607
32,0.905768,1.116115
33,0.942457,1.065026
34,0.947004,1.059282
35,0.950713,1.054675
36,0.970979,1.030810
37,0.953986,1.050676
38,0.882769,1.153137
39,0.869903,1.175855
40,0.901403,1.122816
41,0.916132,1.100769
42,0.956105,1.048118
43,0.889406,1.142002
44,0.876470,1.164066
45,0.889700,1.141523
46,0.906910,1.114384
47,0.898708,1.127022
48,0.999999,1.000001
49,0.913688,1.104320
50,0.939926,1.068278
51,0.954185,1.050437
52,0.897535,1.128875
53,0.887335,1.145437
54,0.949340,1.056372
55,0.932067,1.078615
56,0.899799,1.125314
57,0.889027,1.142629
58,0.898959,1.126631
59,0.962980,1.039981
60,0.938926,1.069575
61,0.884330,1.150481
62,0.964049,1.038739
63,0.965828,1.036679
64,0.938779,1.069764
65,0.917967,1.098134
66,0.869672,1.176275
67,0.921315,1.093380
68,0.963691,1.039154
69,0.905422,1.116640
70,0.877985,1.161401
71,0.911468,1.107579
72,0.892224,1.137392
73,0.918541,1.097313
74,0.966200,1.036250
75,0.866591,1.181959
76,0.949796,1.055808
77,0.902423,1.121238
78,0.945877,1.060693
79,0.906391,1.115172
80,0.918407,1.097507
81,0.919558,1.095864
82,0.901738,1.122297
83,0.886641,1.146594
84,0.920833,1.094058
85,0.904926,1.117397
86,0.920450,1.094601
87,0.892399,1.137105
88,0.969355,1.032644
89,0.923624,1.090145
90,0.867945,1.179450
91,0.858793,1.196781
92,0.931326,1.079607
93,0.905599,1.116372
94,0.989013,1.011234
95,0.897396,1.129094
96,0.948268,1.057700
97,0.930066,1.081307
98,0.917563,1.098715
99,0.922774,1.091331
100,0.906867,1.114448
101,0.897701,1.128615
102,0.920487,1.094549
103,0.916495,1.100247
104,0.883137,1.152507
105,0.927047,1.085416
106,0.898443,1.127444
107,0.919305,1.096224
108,0.896611,1.130339
109,0.925796,1.087136
110,0.879453,1.158841
111,0.938977,1.069507
112,0.868170,1.179031
113,0.953805,1.050898
114,0.891436,1.138672
115,0.894420,1.133843
116,0.926010,1.086840
117,0.907601,1.113343
118,0.890638,1.139978
119,0.925195,1.087963
120,0.907739,1.113137
121,0.907331,1.113749
122,0.950184,1.055327
123,0.914196,1.103581
124,0.937731,1.071127
125,0.984304,1.016204
126,0.931771,1.079009
127,0.905065,1.117186
128,0.874848,1.166937
129,0.913543,1.104531
130,0.918928,1.096763
131,0.918125,1.097908
132,0.877512,1.162231
133,0.914255,1.103493
134,0.924622,1.088758
135,0.942197,1.065358
136,0.894525,1.133674
137,0.938890,1.069618
138,0.931575,1.079274
139,0.944157,1.062863
140,0.974176,1.027231
