ó^Ç¶ÇΩèdóvìx,0.200000,0.260000,0.150000,0.250000,0.110000,0.250000,0.080000,0.220000,0.080000,0.180000,0.080000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.202537, 0.270917,0.184335, 0.266953,0.105003, 0.270777,0.080962, 0.231944,0.069382, 0.123905,0.075215, 0.118072,0.565134
2,0.085180, 0.327716,0.121943, 0.245905,0.101995, 0.189966,0.115816, 0.252032,0.142169, 0.185547,0.067872, 0.163858,0.730047
3,0.145878, 0.346130,0.149585, 0.288744,0.136422, 0.235803,0.109582, 0.222033,0.060987, 0.109582,0.085671, 0.109582,0.623749
4,0.115948, 0.299821,0.229919, 0.369724,0.088082, 0.220350,0.053245, 0.203582,0.048522, 0.142001,0.053382, 0.175425,0.821805
5,0.184582, 0.221620,0.089871, 0.316331,0.101550, 0.304651,0.052790, 0.203101,0.119302, 0.203101,0.092291, 0.110810,0.719228
6,0.107633, 0.405975,0.116253, 0.283473,0.099312, 0.256804,0.015396, 0.194283,0.085264, 0.211267,0.046281, 0.178058,1.059721
7,0.207582, 0.288828,0.166963, 0.275289,0.113147, 0.184932,0.103791, 0.144414,0.102810, 0.248205,0.039936, 0.124103,0.531541
8,0.153645, 0.299143,0.184920, 0.323318,0.098273, 0.254119,0.035023, 0.226394,0.062076, 0.155601,0.075465, 0.132022,0.781195
9,0.170208, 0.263851,0.151139, 0.304239,0.095503, 0.226498,0.104971, 0.217030,0.076686, 0.151003,0.012374, 0.226498,0.778237
10,0.121569, 0.410706,0.124196, 0.298271,0.127065, 0.208247,0.088713, 0.204210,0.076743, 0.155750,0.051461, 0.133069,0.820508
11,0.161270, 0.363030,0.207002, 0.260097,0.099786, 0.145234,0.093093, 0.270436,0.048002, 0.133763,0.085392, 0.132896,0.610911
12,0.134113, 0.292155,0.032414, 0.393854,0.106567, 0.231762,0.071045, 0.301334,0.068587, 0.213134,0.048470, 0.106567,1.077610
13,0.158312, 0.226255,0.167734, 0.235721,0.100864, 0.184422,0.201727, 0.251135,0.083558, 0.201727,0.067242, 0.121303,0.441125
