é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.895208,0.719152,0.915710,0.955648,0.568260,0.740284,0.799044, 
2,0.396648,0.856442,0.701547,0.754365,0.527710,0.769301,0.667669, 
3,0.461091,0.836265,0.830320,0.874768,0.398160,0.569916,0.661753, 
4,0.492058,0.167479,0.810600,0.851299,0.640908,0.659184,0.603588, 
5,0.445597,0.612632,0.816086,0.848063,0.660485,0.471708,0.642429, 
6,0.334875,0.748448,0.941202,0.716763,0.838358,0.625727,0.700896, 
7,0.742221,0.797186,0.677901,0.449811,0.629108,0.611830,0.651343, 
8,0.583945,0.545980,0.946441,0.844975,0.781308,0.892646,0.765882, 
9,0.781033,0.781200,0.859780,0.889146,0.814642,0.437757,0.760593, 
10,0.343704,0.729726,0.734076,0.904098,0.846334,0.749517,0.717909, 
11,0.458434,0.561722,0.379987,0.799808,0.578840,0.883757,0.610425, 
12,0.550353,0.433426,0.918282,0.756165,0.817839,0.449916,0.654330, 
13,0.410411,0.809433,0.665794,0.192946,0.884102,0.724229,0.614486, 
14,0.000000,0.000000,0.851589,0.744399,0.755013,0.530781,0.480297, 
15,0.787921,0.635080,0.939006,0.680939,0.484089,0.597911,0.687491, 
16,0.550342,0.814829,0.441922,0.933511,0.394062,0.497264,0.605322, 
17,0.229902,0.802009,0.678623,0.632892,0.458566,0.852770,0.609127, 
18,0.447231,0.706169,0.650423,0.758932,0.737014,0.489659,0.631571, 
19,0.412945,0.770597,0.579643,0.149702,0.203490,0.290997,0.401229, 
20,0.582310,0.295439,0.907512,0.871663,0.662705,0.753273,0.678817, 
21,0.409340,0.773081,0.920233,0.933564,0.392829,0.365991,0.632506, 
22,0.401339,0.348531,0.762655,0.980163,0.574914,0.884794,0.658733, 
23,0.304378,0.441335,0.872433,0.942770,0.397689,0.761501,0.620018, 
24,0.701912,0.072965,0.716331,0.789757,0.903255,0.560826,0.624174, 
25,0.795069,0.466651,0.938199,0.817515,0.587627,0.715176,0.720040, 
26,0.464759,0.584889,0.806774,0.747496,0.602703,0.774081,0.663450, 
27,0.000000,0.705710,0.645216,0.655298,0.868675,0.626740,0.583607, 
28,0.823269,0.944210,0.675984,0.522575,0.815857,0.620740,0.733772, 
29,0.268929,0.383471,0.891231,0.725287,0.832702,0.700335,0.633659, 
30,0.370022,0.641561,0.795434,0.620302,0.879176,0.470667,0.629527, 
31,0.213185,0.695620,0.895401,0.659857,0.811399,0.758890,0.672392, 
32,0.812264,0.695720,0.757404,0.825826,0.321477,0.791964,0.700776, 
33,0.689996,0.781927,0.221835,0.449498,0.711923,0.822849,0.613005, 
34,0.253298,0.000000,0.807883,0.757012,0.842414,0.796103,0.576118, 
35,0.389400,0.812869,0.663231,0.668681,0.694972,0.487317,0.619412, 
36,0.796537,0.648949,0.481492,0.614778,0.840429,0.540070,0.653709, 
37,0.630289,0.000000,0.886908,0.434884,0.692394,0.819952,0.577404, 
38,0.604466,0.101662,0.767951,0.375509,0.556310,0.828454,0.539059, 
39,0.456458,0.710927,0.793467,0.741232,0.738082,0.633366,0.678922, 
40,0.559218,0.690020,0.792986,0.824706,0.819082,0.379123,0.677522, 
41,0.000000,0.810703,0.718770,0.862717,0.671027,0.920895,0.664019, 
42,0.807607,0.933500,0.683556,0.837107,0.530649,0.538882,0.721883, 
43,0.459233,0.626611,0.522455,0.219102,0.537367,0.554332,0.486517, 
44,0.474235,0.550525,0.772824,0.700224,0.808923,0.448569,0.625883, 
45,0.596585,0.637946,0.765986,0.791349,0.614360,0.759796,0.694337, 
46,0.440315,0.495824,0.863019,0.970482,0.468687,0.610782,0.641518, 
47,0.707691,0.661407,0.765268,0.827349,0.743838,0.430146,0.689283, 
48,0.306869,0.830084,0.436840,0.619353,0.821098,0.758022,0.628711, 
49,0.480046,0.947445,0.216228,0.584217,0.290171,0.344195,0.477050, 
50,0.686521,0.667342,0.850591,0.821781,0.919320,0.858551,0.800684, 
51,0.298408,0.569023,0.790329,0.923887,0.692263,0.507630,0.630257, 
52,0.232489,0.766408,0.800267,0.768626,0.812751,0.507548,0.648015, 
53,0.534108,0.856818,0.959369,0.564170,0.702893,0.515192,0.688758, 
54,0.501886,0.685392,0.764794,0.777834,0.570981,0.988597,0.714914, 
55,0.662029,0.346586,0.564935,0.605009,0.414806,0.706385,0.549959, 
56,0.557488,0.651240,0.930825,0.915514,0.716771,0.728976,0.750136, 
57,0.362662,0.766761,0.643506,0.612232,0.489143,0.767593,0.606983, 
58,0.667565,0.568742,0.650784,0.912687,0.591783,0.373042,0.627434, 
59,0.513139,0.659557,0.733824,0.695367,0.486335,0.583579,0.611967, 
60,0.717023,0.063878,0.789641,0.353813,0.569660,0.664594,0.526435, 
61,0.611945,0.000000,0.837928,0.923860,0.330109,0.487301,0.531857, 
62,0.355893,0.643844,0.675092,0.740616,0.822769,0.663397,0.650269, 
63,0.251550,0.630609,0.504486,0.698176,0.802839,0.465283,0.558824, 
64,0.650996,0.746313,0.808023,0.832563,0.443911,0.801928,0.713956, 
65,0.752093,0.815239,0.710472,0.478076,0.381783,0.563536,0.616867, 
66,0.848265,0.768857,0.425438,0.836755,0.707881,0.735748,0.720491, 
67,0.307345,0.733173,0.936436,0.944343,0.676880,0.618746,0.702820, 
68,0.597252,0.255149,0.568130,0.975351,0.577779,0.903233,0.646149, 
69,0.368136,0.608830,0.562808,0.519474,0.473895,0.852346,0.564248, 
70,0.549623,0.573835,0.919248,0.708668,0.853085,0.819398,0.737310, 
71,0.691983,0.763304,0.578859,0.893274,0.663724,0.663052,0.709032, 
72,0.420490,0.501960,0.159704,0.767497,0.885249,0.815473,0.591729, 
73,0.385769,0.604816,0.897010,0.736790,0.797271,0.429210,0.641811, 
74,0.541161,0.648276,0.776540,0.759708,0.535102,0.452393,0.618863, 
75,0.104716,0.439684,0.646008,0.669371,0.929312,0.678273,0.577894, 
76,0.283790,0.644518,0.861159,0.771132,0.873742,0.630248,0.677431, 
77,0.656779,0.056470,0.828859,0.556340,0.611826,0.807487,0.586294, 
78,0.336034,0.960830,0.764270,0.839447,0.511532,0.588238,0.666725, 
79,0.278098,0.176686,0.860648,0.679307,0.697975,0.870130,0.593807, 
80,0.658501,0.605422,0.766345,0.645729,0.826885,0.774950,0.712972, 
81,0.378373,0.658648,0.901504,0.746745,0.790736,0.670464,0.691078, 
82,0.498826,0.687440,0.576790,0.377510,0.663455,0.840610,0.607439, 
83,0.407244,0.546953,0.309463,0.960035,0.760220,0.728766,0.618780, 
84,0.583316,0.586039,0.560346,0.771174,0.842455,0.860086,0.700569, 
85,0.186318,0.625661,0.677153,0.702720,0.653723,0.413431,0.543168, 
86,0.369325,0.488715,0.976867,0.735870,0.936651,0.712315,0.703291, 
87,0.578571,0.645634,0.767837,0.698020,0.600867,0.885001,0.695988, 
88,0.429730,0.649516,0.820593,0.829466,0.740939,0.665026,0.689212, 
89,0.576698,0.000000,0.000000,0.584191,0.805817,0.640501,0.434534, 
90,0.395824,0.574599,0.773887,0.746854,0.378911,0.793113,0.610531, 
91,0.587626,0.490178,0.843850,0.899636,0.556004,0.479555,0.642808, 
