é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.810295,0.561465,0.844526,0.915062,0.396902,0.587660,0.685985, 
2,0.247386,0.748927,0.540295,0.605606,0.358428,0.625093,0.520956, 
3,0.299622,0.718605,0.709870,0.777411,0.248564,0.398519,0.525432, 
4,0.326311,0.091393,0.681520,0.741097,0.471570,0.491630,0.467253, 
5,0.286668,0.441579,0.689313,0.736206,0.493078,0.308651,0.492582, 
6,0.201111,0.598016,0.888934,0.558559,0.721701,0.455315,0.570606, 
7,0.590104,0.662768,0.512747,0.290165,0.458904,0.440746,0.492572, 
8,0.412375,0.375497,0.898327,0.731564,0.641104,0.806107,0.644162, 
9,0.640733,0.640959,0.754047,0.800416,0.687253,0.280211,0.633937, 
10,0.207514,0.574463,0.579873,0.824981,0.733605,0.599382,0.586636, 
11,0.297382,0.390551,0.234558,0.666401,0.407301,0.791724,0.464653, 
12,0.379646,0.276671,0.848910,0.607930,0.691817,0.290253,0.515871, 
13,0.258187,0.679872,0.499019,0.106774,0.792278,0.567680,0.483968, 
14,0.000000,0.000000,0.741537,0.592863,0.606442,0.361267,0.383685, 
15,0.650058,0.465288,0.885025,0.516230,0.319339,0.426443,0.543730, 
16,0.379636,0.687520,0.283633,0.875312,0.245378,0.330905,0.467064, 
17,0.129881,0.669462,0.513572,0.462942,0.297493,0.743330,0.469447, 
18,0.288022,0.545796,0.481945,0.611515,0.583549,0.324205,0.472505, 
19,0.260196,0.626806,0.408097,0.080907,0.113270,0.170273,0.276591, 
20,0.410745,0.173323,0.830683,0.772520,0.495557,0.604200,0.547838, 
21,0.257340,0.630100,0.852251,0.875406,0.244422,0.223984,0.513917, 
22,0.251047,0.211043,0.616364,0.961097,0.403424,0.793390,0.539394, 
23,0.179508,0.283150,0.773730,0.891737,0.248197,0.614858,0.498530, 
24,0.540727,0.037864,0.558034,0.652561,0.823578,0.389686,0.500408, 
25,0.659846,0.304335,0.883593,0.691354,0.416057,0.556633,0.585303, 
26,0.302727,0.413316,0.676128,0.596801,0.431335,0.631429,0.508623, 
27,0.000000,0.545249,0.476251,0.487319,0.767839,0.456388,0.455508, 
28,0.699623,0.894317,0.510556,0.353707,0.688985,0.450053,0.599540, 
29,0.155354,0.237219,0.803802,0.568980,0.713358,0.538858,0.502929, 
30,0.227011,0.472278,0.660348,0.449593,0.784402,0.307759,0.483565, 
31,0.119310,0.533296,0.810612,0.492378,0.682651,0.611461,0.541618, 
32,0.683876,0.533413,0.609534,0.703325,0.191524,0.655580,0.562875, 
33,0.526713,0.641938,0.124755,0.289905,0.552702,0.699018,0.472505, 
34,0.145015,0.000000,0.677688,0.609025,0.727733,0.661272,0.470122, 
35,0.241773,0.684734,0.496145,0.502269,0.532534,0.322154,0.463268, 
36,0.661871,0.480329,0.317082,0.443812,0.724775,0.369929,0.499633, 
37,0.460162,0.000000,0.796796,0.277861,0.529512,0.694847,0.459863, 
38,0.433143,0.053553,0.623312,0.231155,0.385339,0.707146,0.405608, 
39,0.295721,0.551502,0.657642,0.588856,0.584889,0.463450,0.523676, 
40,0.388135,0.526741,0.656982,0.701702,0.693597,0.233900,0.533509, 
