No.,tL,tR
true,0.862069,1.190476
0,0.895420,1.132236
1,0.890878,1.139587
2,0.899586,1.125648
3,0.814976,1.293710
4,0.882493,1.153607
5,0.812006,1.301268
6,0.892557,1.136849
7,0.833871,1.248793
8,0.851067,1.212114
9,0.891968,1.137807
10,0.906047,1.115692
11,0.849354,1.215604
12,0.907117,1.114075
13,0.914912,1.102536
14,0.894454,1.133787
15,0.913278,1.104921
16,0.924940,1.088317
17,0.768069,1.432597
18,0.962882,1.040095
19,0.797949,1.339068
20,0.842200,1.230566
21,0.896517,1.130492
22,0.935323,1.074286
23,0.849258,1.215804
24,0.882059,1.154351
25,0.832274,1.252392
26,0.901799,1.122201
27,0.866640,1.181868
28,0.872505,1.171132
29,0.851092,1.212065
30,0.819424,1.282661
31,0.906304,1.115305
32,0.878100,1.161199
33,0.929354,1.082271
34,0.907935,1.112843
35,0.908718,1.111667
36,0.941996,1.065616
37,0.927430,1.084889
38,0.791472,1.357714
39,0.783328,1.382373
40,0.882737,1.153190
41,0.860123,1.194208
42,0.928590,1.083307
43,0.832836,1.251120
44,0.751150,1.495417
45,0.867098,1.181015
46,0.830246,1.257013
47,0.832773,1.251265
48,0.973066,1.028470
49,0.828439,1.261174
50,0.882647,1.153345
51,0.878593,1.160340
52,0.818816,1.284150
53,0.826843,1.264894
54,0.922708,1.091427
55,0.913951,1.103934
56,0.855210,1.203810
57,0.791568,1.357436
58,0.814866,1.293991
59,0.931086,1.079933
60,0.926548,1.086101
61,0.799306,1.335265
62,0.873449,1.169435
63,0.923231,1.090692
64,0.892685,1.136643
65,0.880898,1.156342
66,0.815817,1.291598
67,0.848638,1.217077
68,0.910742,1.108655
69,0.837656,1.240401
70,0.868292,1.178807
71,0.841399,1.232281
72,0.748440,1.506278
73,0.843429,1.227955
74,0.893212,1.135788
75,0.817022,1.288592
76,0.941335,1.066462
77,0.833677,1.249225
78,0.926583,1.086053
79,0.851301,1.211638
80,0.842708,1.229485
81,0.877039,1.163058
82,0.824880,1.269511
83,0.810599,1.304894
84,0.852844,1.208529
85,0.789856,1.362498
86,0.806296,1.316202
87,0.827306,1.263810
88,0.954726,1.049778
89,0.864438,1.185988
90,0.754949,1.480589
91,0.810645,1.304776
92,0.875839,1.165179
93,0.877099,1.162957
94,0.975957,1.025257
95,0.844470,1.225752
96,0.907691,1.113210
97,0.863325,1.188090
98,0.852208,1.209806
99,0.832679,1.251477
100,0.824689,1.269967
101,0.855155,1.203917
102,0.896004,1.131307
103,0.870452,1.174852
104,0.776301,1.404810
105,0.863498,1.187763
106,0.809542,1.307644
107,0.828974,1.259938
108,0.843903,1.226953
109,0.851654,1.210926
110,0.815784,1.291681
111,0.887684,1.144856
112,0.818314,1.285385
113,0.886752,1.146409
114,0.795722,1.345390
115,0.812835,1.299145
116,0.838051,1.239531
117,0.872429,1.171267
118,0.845871,1.222812
119,0.879337,1.159048
120,0.875839,1.165179
121,0.912376,1.106241
122,0.902079,1.121768
123,0.855978,1.202289
124,0.854198,1.205820
125,0.882801,1.153082
126,0.907439,1.113588
127,0.798682,1.337009
128,0.834198,1.248058
129,0.881912,1.154601
130,0.818223,1.285611
131,0.926931,1.085576
132,0.763366,1.449248
133,0.894081,1.134386
134,0.806491,1.315686
135,0.871578,1.172806
136,0.834672,1.247001
137,0.871318,1.173274
138,0.877679,1.161938
139,0.939756,1.068495
140,0.940101,1.068051
141,0.863148,1.188426
142,0.900340,1.124469
143,0.907999,1.112746
144,0.875661,1.165493
145,0.832553,1.251762
146,0.829348,1.259073
147,0.851013,1.212223
148,0.964060,1.038723
149,0.841361,1.232363
150,0.873088,1.170085
151,0.826349,1.266055
152,0.875139,1.166419
153,0.795962,1.344704
154,0.889883,1.141219
155,0.895732,1.131742
156,0.896830,1.129992
157,0.899539,1.125720
158,0.791668,1.357141
159,0.907117,1.114075
160,0.913587,1.104468
161,0.862540,1.189578
162,0.825816,1.267307
163,0.866707,1.181744
164,0.852969,1.208280
165,0.850941,1.212367
166,0.876970,1.163180
167,0.904018,1.118783
168,0.886986,1.146020
169,0.901728,1.122313
170,0.856704,1.200862
171,0.859002,1.196374
172,0.933406,1.076828
173,0.824353,1.270766
174,0.828939,1.260022
175,0.796461,1.343283
176,0.924024,1.089590
177,0.762032,1.454078
178,0.858662,1.197033
179,0.921654,1.092903
180,0.862979,1.188744
181,0.811968,1.301360
182,0.833361,1.249939
183,0.843458,1.227890
184,0.854656,1.204909
185,0.862995,1.188716
186,0.904086,1.118681
187,0.935405,1.074180
188,0.840105,1.235071
189,0.808379,1.310693
190,0.857926,1.198469
191,0.815050,1.293524
192,0.921654,1.092903
193,0.849626,1.215054
194,0.810492,1.305171
195,0.853190,1.207833
196,0.796466,1.343265
197,0.992834,1.007270
198,0.870459,1.174840
199,0.893907,1.134667
200,0.900828,1.123709
201,0.818374,1.285240
202,0.849417,1.215479
203,0.812511,1.299973
204,0.882975,1.152784
205,0.861855,1.190886
206,0.915556,1.101603
207,0.820619,1.279746
208,0.814245,1.295558
209,0.768111,1.432449
210,0.845041,1.224551
211,0.791688,1.357082
212,0.818587,1.284716
213,0.828722,1.260517
214,0.960180,1.043264
215,0.828573,1.260866
216,0.880526,1.156984
217,0.851355,1.211531
218,0.843569,1.227655
219,0.860807,1.192890
220,0.858628,1.197102
221,0.832448,1.251994
222,0.760987,1.457902
223,0.902247,1.121509
224,0.753196,1.487378
225,0.804114,1.322059
226,0.864118,1.186590
227,0.820709,1.279523
228,0.751200,1.495222
229,0.952448,1.052550
230,0.860907,1.192697
231,0.866205,1.182679
232,0.850948,1.212355
233,0.791702,1.357036
234,0.908179,1.112477
235,0.811613,1.302280
236,0.783321,1.382390
237,0.868761,1.177948
238,0.989667,1.010551
239,0.837337,1.241097
240,0.893876,1.134718
241,0.883537,1.151828
242,0.922314,1.091976
243,0.795235,1.346783
244,0.882533,1.153540
245,0.918738,1.097031
246,0.769940,1.426131
247,0.839645,1.236060
248,0.906421,1.115126
249,0.774288,1.411449
250,0.859403,1.195599
251,0.798090,1.338672
252,0.820251,1.280638
253,0.844727,1.225214
254,0.868823,1.177833
255,0.935047,1.074651
256,0.824959,1.269329
257,0.889852,1.141268
258,0.806626,1.315324
259,0.866542,1.182047
260,0.880241,1.157480
261,0.795881,1.344937
262,0.887637,1.144934
263,0.860140,1.194172
264,0.935021,1.074686
265,0.799598,1.334451
266,0.876661,1.163726
267,0.818223,1.285611
268,0.899116,1.126385
269,0.876389,1.164212
270,0.941125,1.066733
271,0.892434,1.137052
272,0.822847,1.274359
273,0.812052,1.301150
274,0.889532,1.141798
275,0.846870,1.220733
276,0.871364,1.173193
277,0.941613,1.066108
278,0.931110,1.079898
279,0.875579,1.165640
280,0.898771,1.126927
281,0.919135,1.096465
282,0.841058,1.233009
283,0.896371,1.130724
284,0.821313,1.278055
285,0.753680,1.485493
286,0.931574,1.079275
287,0.840538,1.234132
288,0.836367,1.243235
289,0.834200,1.248055
290,0.805636,1.317966
291,0.896700,1.130196
292,0.900941,1.123535
293,0.932179,1.078465
294,0.838010,1.239624
295,0.795575,1.345810
296,0.897631,1.128723
297,0.849535,1.215234
298,0.874913,1.166822
299,0.827833,1.262586
300,0.837461,1.240824
301,0.879746,1.158334
302,0.814424,1.295104
303,0.817871,1.286480
304,0.867377,1.180498
305,0.838005,1.239637
306,0.927884,1.084269
307,0.868414,1.178589
308,0.848081,1.218224
309,0.872032,1.171985
310,0.874757,1.167101
311,0.736480,1.557174
312,0.973269,1.028240
313,0.927213,1.085190
314,0.963371,1.039525
315,0.899430,1.125892
316,0.890959,1.139454
317,0.922656,1.091497
318,0.875944,1.164993
319,0.864972,1.184984
320,0.909564,1.110404
321,0.851486,1.211268
322,0.903139,1.120132
323,0.893228,1.135766
324,0.799777,1.333956
325,0.883320,1.152197
326,0.934347,1.075579
327,0.828269,1.261569
328,0.853347,1.207521
329,0.847900,1.218598
330,0.978231,1.022759
331,0.897149,1.129484
332,0.935323,1.074286
333,0.824175,1.271186
334,0.822495,1.275208
335,0.896225,1.130956
336,0.882430,1.153714
337,0.912290,1.106371
338,0.903019,1.120319
339,0.941529,1.066214
340,0.888379,1.143703
341,0.826079,1.266687
342,0.814176,1.295730
343,0.875470,1.165831
344,0.849904,1.214481
345,0.896904,1.129876
346,0.754701,1.481543
347,0.807876,1.312016
348,0.817788,1.286690
349,0.865678,1.183662
350,0.824103,1.271359
351,0.833055,1.250627
352,0.780040,1.392727
353,0.886968,1.146050
354,0.706633,1.709869
355,0.836999,1.241841
356,0.876468,1.164068
357,0.903292,1.119897
358,0.821407,1.277831
359,0.854658,1.204902
360,0.815044,1.293542
361,0.850011,1.214264
362,0.821231,1.278253
363,0.788663,1.366062
364,0.749974,1.500101
365,0.800161,1.332887
366,0.878011,1.161358
