ó^Ç¶ÇΩèdóvìx,0.200000,0.260000,0.150000,0.250000,0.110000,0.250000,0.080000,0.220000,0.080000,0.180000,0.080000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.236727, 0.236727,0.225644, 0.225644,0.187890, 0.187890,0.156453, 0.156453,0.096643, 0.096643,0.096643, 0.096643,0.000000
2,0.206448, 0.206448,0.183924, 0.183924,0.145981, 0.145981,0.183924, 0.183924,0.163858, 0.163858,0.115865, 0.115865,0.000000
3,0.246004, 0.246004,0.219165, 0.219165,0.186113, 0.186113,0.165807, 0.165807,0.085285, 0.085285,0.097627, 0.097627,0.000000
4,0.207884, 0.207884,0.299821, 0.299821,0.154216, 0.154216,0.128413, 0.128413,0.095262, 0.095262,0.114403, 0.114403,0.000000
5,0.203101, 0.203101,0.203101, 0.203101,0.203101, 0.203101,0.127946, 0.127946,0.161201, 0.161201,0.101550, 0.101550,0.000000
6,0.256804, 0.256804,0.199863, 0.199863,0.178058, 0.178058,0.104840, 0.104840,0.148266, 0.148266,0.112169, 0.112169,0.000000
7,0.248205, 0.248205,0.221126, 0.221126,0.149039, 0.149039,0.124103, 0.124103,0.175508, 0.175508,0.082020, 0.082020,0.000000
8,0.226394, 0.226394,0.254119, 0.254119,0.176196, 0.176196,0.130709, 0.130709,0.108839, 0.108839,0.103744, 0.103744,0.000000
9,0.217030, 0.217030,0.227689, 0.227689,0.161000, 0.161000,0.161000, 0.161000,0.113845, 0.113845,0.119436, 0.119436,0.000000
10,0.266138, 0.266138,0.211234, 0.211234,0.167656, 0.167656,0.146461, 0.146461,0.116246, 0.116246,0.092265, 0.092265,0.000000
11,0.262150, 0.262150,0.233549, 0.233549,0.122510, 0.122510,0.181765, 0.181765,0.090882, 0.090882,0.109144, 0.109144,0.000000
12,0.213134, 0.213134,0.213134, 0.213134,0.169164, 0.169164,0.186189, 0.186189,0.140860, 0.140860,0.077518, 0.077518,0.000000
13,0.192283, 0.192283,0.201727, 0.201727,0.142643, 0.142643,0.226431, 0.226431,0.142643, 0.142643,0.094273, 0.094273,0.000000
14,0.200504, 0.200504,0.200504, 0.200504,0.200504, 0.200504,0.191117, 0.191117,0.118056, 0.118056,0.089314, 0.089314,0.000000
