é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.501398,0.643679,0.522821,0.953521,0.702391,0.490313,0.635687, 
2,0.481267,0.707150,0.642331,0.857768,0.410970,0.604521,0.617335, 
3,0.618622,0.821189,0.888198,0.965982,0.782140,0.524288,0.766737, 
4,0.545822,0.661865,0.782429,0.924318,0.672802,0.469482,0.676120, 
5,0.467824,0.865784,0.616115,0.936899,0.797909,0.467824,0.692059, 
6,0.469622,0.676763,0.834514,0.885917,0.733769,0.453112,0.675616, 
7,0.621618,0.819230,0.893374,0.837162,0.793638,0.701785,0.777801, 
8,0.500586,0.684260,0.804229,0.838108,0.790340,0.440664,0.676364, 
9,0.476827,0.772498,0.878057,0.878057,0.650120,0.509884,0.694241, 
10,0.511994,0.799540,0.926259,0.928015,0.648044,0.491024,0.717479, 
11,0.686106,0.654601,0.808075,0.742268,0.745923,0.529420,0.694399, 
12,0.395328,0.695960,0.841778,0.821255,0.699594,0.441300,0.649202, 
13,0.363004,0.775869,0.663164,0.510378,0.913562,0.531764,0.626290, 
14,0.541781,0.764842,0.869423,0.754251,0.701171,0.541781,0.695541, 
15,0.560667,0.892758,0.578285,0.549773,0.787306,0.694354,0.677191, 
16,0.658258,0.285177,0.720053,0.826757,0.744123,0.524538,0.626484, 
17,0.512445,0.800049,0.756001,0.953842,0.788392,0.561585,0.728719, 
18,0.453339,0.598900,0.863578,0.848672,0.588772,0.475435,0.638116, 
19,0.583063,0.506256,0.929903,0.870617,0.710199,0.509008,0.684841, 
20,0.519742,0.676534,0.859129,0.671782,0.671755,0.432749,0.638615, 
21,0.563917,0.640195,0.832493,0.862334,0.643763,0.564214,0.684486, 
22,0.556043,0.608591,0.569929,0.783804,0.649883,0.511177,0.613238, 
23,0.408710,0.667496,0.882870,0.771918,0.680182,0.402882,0.635676, 
24,0.515523,0.475675,0.625849,0.784150,0.731811,0.566166,0.616529, 
25,0.497935,0.593289,0.805365,0.738855,0.640978,0.487474,0.627316, 
26,0.475422,0.718498,0.824661,0.779447,0.743259,0.523822,0.677518, 
27,0.405225,0.762571,0.706538,0.826832,0.698110,0.492579,0.648642, 
28,0.583829,0.657606,0.343968,0.553574,0.814532,0.588156,0.590278, 
29,0.329473,0.737624,0.727765,0.538931,0.821125,0.640825,0.632624, 
30,0.519715,0.722856,0.821662,0.788316,0.714408,0.426210,0.665528, 
31,0.433263,0.711555,0.763035,0.811796,0.624781,0.468981,0.635568, 
32,0.653487,0.763660,0.865662,0.931419,0.753080,0.725023,0.782055, 
33,0.422436,0.619345,0.611428,0.875530,0.751950,0.500404,0.630182, 
34,0.422630,0.617405,0.692578,0.929994,0.697803,0.464396,0.637468, 
35,0.480912,0.827054,0.906543,0.850106,0.737435,0.477862,0.713318, 
36,0.564963,0.290574,0.833490,0.576498,0.705961,0.521766,0.582209, 
37,0.564071,0.563124,0.682882,0.888446,0.793585,0.565982,0.676348, 
38,0.388048,0.744565,0.855356,0.921153,0.631336,0.661037,0.700249, 
39,0.554279,0.819819,0.859599,0.793682,0.689577,0.502398,0.703226, 
40,0.427314,0.638870,0.797159,0.744483,0.644520,0.488666,0.623502, 
41,0.408426,0.683254,0.686578,0.864802,0.778844,0.506431,0.654722, 
42,0.548539,0.772908,0.762595,0.760303,0.941757,0.735777,0.753647, 
43,0.570110,0.760595,0.900404,0.809204,0.710111,0.615905,0.727722, 
44,0.310807,0.694922,0.801106,0.773820,0.667691,0.473400,0.620291, 
45,0.429399,0.662888,0.797569,0.802269,0.703184,0.413044,0.634726, 
46,0.515105,0.801029,0.938038,0.883124,0.725628,0.497040,0.726661, 
47,0.447420,0.648920,0.803732,0.712907,0.728772,0.513911,0.642610, 
48,0.541398,0.634878,0.786199,0.871458,0.634878,0.373511,0.640387, 
49,0.339233,0.676722,0.851257,0.722447,0.607313,0.383521,0.596749, 
50,0.507969,0.738295,0.863543,0.822883,0.648766,0.434329,0.669297, 
51,0.533669,0.543262,0.797536,0.836444,0.628172,0.425873,0.627493, 
52,0.404636,0.704242,0.556827,0.769057,0.730237,0.513075,0.613012, 
53,0.407631,0.553315,0.697459,0.790955,0.584576,0.437741,0.578613, 
54,0.483885,0.629516,0.827852,0.838252,0.780334,0.408231,0.661345, 
55,0.811978,0.460502,0.802377,0.552613,0.502294,0.804577,0.655723, 
56,0.471898,0.701875,0.883914,0.759475,0.693054,0.506439,0.669442, 
57,0.571709,0.828735,0.625330,0.920395,0.672848,0.514023,0.688840, 
58,0.437406,0.690055,0.615504,0.851640,0.702490,0.436137,0.622205, 
59,0.445419,0.683437,0.686580,0.840489,0.774957,0.543016,0.662316, 
60,0.613529,0.410644,0.715128,0.905745,0.539017,0.433521,0.602931, 
61,0.590297,0.656247,0.928434,0.916934,0.631468,0.488936,0.702053, 
62,0.466124,0.642045,0.814491,0.846679,0.661147,0.421489,0.641996, 
63,0.524145,0.754062,0.811121,0.743417,0.721347,0.607507,0.693600, 
64,0.550850,0.691052,0.757764,0.773274,0.740124,0.509807,0.670478, 
65,0.481424,0.729792,0.899440,0.828833,0.677565,0.611419,0.704746, 
66,0.552076,0.718689,0.660743,0.910301,0.717967,0.657613,0.702898, 
67,0.526654,0.659068,0.835022,0.825403,0.753834,0.493598,0.682263, 
68,0.342330,0.614505,0.742197,0.846227,0.648954,0.452436,0.607775, 
69,0.592428,0.758839,0.834561,0.861581,0.689196,0.519847,0.709409, 
70,0.394950,0.604072,0.774448,0.828965,0.555619,0.432471,0.598421, 
71,0.440093,0.658803,0.825626,0.843583,0.720021,0.402750,0.648479, 
72,0.501164,0.723483,0.759771,0.880681,0.663029,0.522672,0.675133, 
73,0.438232,0.605555,0.737626,0.880425,0.600744,0.497427,0.626668, 
74,0.431177,0.765609,0.907854,0.818701,0.727208,0.508313,0.693144, 
75,0.504211,0.759986,0.893100,0.763933,0.897307,0.578620,0.732860, 
76,0.466955,0.549183,0.827518,0.872154,0.574792,0.415704,0.617718, 
77,0.587688,0.472965,0.756256,0.594188,0.863962,0.768607,0.673944, 
78,0.427246,0.745912,0.746241,0.832963,0.647754,0.434523,0.639107, 
79,0.522130,0.741213,0.731467,0.884035,0.827825,0.644614,0.725214, 
80,0.427006,0.636952,0.557162,0.775567,0.660449,0.475838,0.588829, 
81,0.602911,0.734284,0.884448,0.853906,0.768177,0.508196,0.725320, 
82,0.503631,0.686555,0.871621,0.755389,0.762570,0.420859,0.666771, 
