é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.334577,0.474577,0.353932,0.911171,0.541296,0.324778,0.490055, 
2,0.316887,0.546970,0.473114,0.750958,0.258629,0.433200,0.463293, 
3,0.447830,0.696624,0.798881,0.934203,0.642224,0.355278,0.645840, 
4,0.375347,0.494618,0.642615,0.859286,0.506934,0.306748,0.530925, 
5,0.305333,0.763333,0.445207,0.881289,0.663768,0.305333,0.560711, 
6,0.306867,0.511445,0.716023,0.795198,0.579491,0.292918,0.533657, 
7,0.450976,0.693810,0.807296,0.719929,0.657878,0.540577,0.645078, 
8,0.333855,0.520057,0.672561,0.721330,0.653357,0.282597,0.530626, 
9,0.313049,0.629325,0.782622,0.782622,0.481613,0.342178,0.555235, 
10,0.344081,0.666027,0.862647,0.865698,0.479338,0.325402,0.590532, 
11,0.522193,0.486547,0.677957,0.590164,0.594799,0.360008,0.538611, 
12,0.246361,0.533695,0.726785,0.696720,0.537981,0.283121,0.504110, 
13,0.221750,0.633813,0.496069,0.342623,0.840879,0.362179,0.482885, 
14,0.371536,0.619226,0.769009,0.605459,0.539848,0.371536,0.546102, 
15,0.389532,0.806290,0.406752,0.379095,0.649221,0.531809,0.527116, 
16,0.490600,0.166301,0.562565,0.704676,0.592512,0.355507,0.478694, 
17,0.344488,0.666735,0.607718,0.911757,0.650699,0.390420,0.595303, 
18,0.293108,0.427449,0.759910,0.737124,0.417206,0.311850,0.491108, 
19,0.411496,0.338918,0.868990,0.770878,0.550627,0.341389,0.547050, 
20,0.351116,0.511183,0.753047,0.505777,0.505746,0.276120,0.483831, 
21,0.392677,0.470799,0.713052,0.757986,0.474668,0.392965,0.533691, 
22,0.385082,0.437392,0.398532,0.644472,0.481353,0.343343,0.448362, 
23,0.256842,0.500933,0.790303,0.628556,0.515361,0.252256,0.490708, 
24,0.347276,0.312056,0.455444,0.644940,0.577052,0.394862,0.455272, 
25,0.331500,0.421756,0.674152,0.585860,0.471646,0.322292,0.467868, 
26,0.311838,0.560668,0.701636,0.638601,0.591418,0.354851,0.526502, 
27,0.254095,0.616254,0.546238,0.704786,0.536228,0.326769,0.497395, 
28,0.412259,0.489875,0.207706,0.382719,0.687098,0.416587,0.432707, 
29,0.197227,0.584314,0.572037,0.368861,0.696533,0.471481,0.481742, 
30,0.351091,0.565994,0.697305,0.650596,0.555704,0.270818,0.515251, 
31,0.276539,0.552258,0.616860,0.683213,0.454313,0.306320,0.481584, 
32,0.485318,0.617678,0.763142,0.871640,0.603952,0.568656,0.651731, 
33,0.267778,0.448588,0.440328,0.778615,0.602500,0.333692,0.478584, 
34,0.267933,0.446555,0.529728,0.869148,0.535866,0.302419,0.491942, 
35,0.316579,0.705108,0.829061,0.739290,0.584077,0.313941,0.581343, 
36,0.393692,0.169984,0.714516,0.404985,0.545548,0.352966,0.430282, 
37,0.392827,0.391909,0.518466,0.799283,0.657804,0.394682,0.525828, 
38,0.240732,0.593074,0.747268,0.853831,0.461279,0.493694,0.564980, 
39,0.383392,0.694656,0.753769,0.657937,0.526225,0.335468,0.558575, 
40,0.271710,0.469367,0.662730,0.592969,0.475492,0.323334,0.465934, 
41,0.256618,0.518896,0.522740,0.761807,0.637792,0.339074,0.506154, 
42,0.377922,0.629870,0.616286,0.613297,0.889925,0.582000,0.618217, 
43,0.398709,0.613678,0.818850,0.679548,0.550521,0.444987,0.584382, 
44,0.183997,0.532475,0.668204,0.631082,0.501153,0.310101,0.471169, 
45,0.273398,0.495761,0.663297,0.669824,0.542239,0.260275,0.484132, 
46,0.346896,0.668096,0.883306,0.790709,0.569400,0.330708,0.598186, 
47,0.288179,0.480298,0.671866,0.553889,0.573282,0.345814,0.485555, 
48,0.371176,0.465071,0.647717,0.772198,0.465071,0.229642,0.491812, 
49,0.204263,0.511398,0.741033,0.565492,0.436073,0.237257,0.449253, 
50,0.340455,0.585156,0.759855,0.699067,0.480128,0.277407,0.523678, 
51,0.363948,0.372931,0.663252,0.718868,0.457909,0.270546,0.474576, 
52,0.253632,0.543498,0.385835,0.624770,0.575097,0.345058,0.454648, 
53,0.255991,0.382471,0.535460,0.654198,0.413004,0.280198,0.420220, 
54,0.319161,0.459338,0.706269,0.721544,0.639793,0.256464,0.517095, 
55,0.683471,0.299124,0.669974,0.381800,0.335376,0.673048,0.507132, 
56,0.308813,0.540683,0.791976,0.612221,0.530286,0.339081,0.520510, 
57,0.400274,0.707556,0.454895,0.852529,0.506986,0.345916,0.544693, 
58,0.279923,0.526782,0.444569,0.741614,0.541414,0.278884,0.468865, 
59,0.286520,0.519107,0.522742,0.724865,0.632595,0.372699,0.509755, 
60,0.442511,0.258371,0.556576,0.827728,0.368941,0.276749,0.455146, 
61,0.418738,0.488369,0.866427,0.846610,0.461420,0.323571,0.567522, 
62,0.303887,0.472802,0.687039,0.734123,0.493816,0.267017,0.493114, 
63,0.355147,0.605217,0.682256,0.591618,0.564146,0.436273,0.539109, 
64,0.380120,0.527944,0.610000,0.630355,0.587458,0.342108,0.512998, 
65,0.317023,0.574545,0.817257,0.707699,0.512361,0.440319,0.561534, 
66,0.381288,0.560902,0.493365,0.835368,0.560023,0.489883,0.553471, 
67,0.357455,0.491500,0.716771,0.702712,0.604923,0.327667,0.533505, 
68,0.206513,0.443527,0.590074,0.733443,0.480334,0.292353,0.457707, 
69,0.420886,0.611395,0.716091,0.756823,0.525781,0.351212,0.563698, 
70,0.246067,0.432739,0.631918,0.707891,0.384676,0.275893,0.446531, 
71,0.282128,0.491205,0.703035,0.729479,0.562525,0.252152,0.503421, 
72,0.334369,0.566764,0.612605,0.786801,0.495918,0.353795,0.525042, 
73,0.280600,0.434262,0.584316,0.786392,0.429331,0.331050,0.474325, 
74,0.274841,0.620232,0.831257,0.693051,0.571349,0.340764,0.555249, 
75,0.337087,0.612886,0.806848,0.618035,0.813741,0.407083,0.599280, 
76,0.304593,0.378534,0.705782,0.773292,0.403304,0.262391,0.471316, 
77,0.416118,0.309728,0.608048,0.422666,0.760505,0.624176,0.523540, 
78,0.271654,0.594785,0.595203,0.713742,0.479021,0.277566,0.488662, 
79,0.353299,0.588831,0.576624,0.792172,0.706231,0.475594,0.582125, 
80,0.271461,0.467299,0.386157,0.633409,0.493038,0.312197,0.427260, 
81,0.431548,0.580134,0.792835,0.745058,0.623610,0.340658,0.585640, 
82,0.336569,0.522713,0.772454,0.606928,0.616253,0.266512,0.520238, 
83,0.336399,0.666003,0.555961,0.548498,0.493139,0.385754,0.497626, 
84,0.243274,0.467835,0.660955,0.712973,0.449245,0.225254,0.459923, 
85,0.281321,0.526921,0.545412,0.756427,0.531385,0.442821,0.514048, 
86,0.320533,0.515800,0.691650,0.695040,0.451089,0.300378,0.495748, 
87,0.301817,0.576021,0.680417,0.671935,0.662214,0.291756,0.530693, 
88,0.274841,0.620232,0.831257,0.693051,0.567939,0.342809,0.555022, 
89,0.011785,0.496559,0.404435,0.820471,0.715269,0.451766,0.483381, 
90,0.326315,0.503749,0.764019,0.567418,0.392095,0.302249,0.475974, 
91,0.256742,0.510392,0.586103,0.718879,0.462978,0.236993,0.462014, 
92,0.314011,0.536772,0.746262,0.651283,0.438619,0.288746,0.495949, 
93,0.285758,0.576502,0.556327,0.788495,0.491076,0.401554,0.516619, 
94,0.416932,0.398999,0.590533,0.528337,0.457930,0.299127,0.448643, 
95,0.389877,0.247525,0.420865,0.474699,0.814737,0.400000,0.457950, 
96,0.349593,0.592565,0.618133,0.699640,0.517915,0.265950,0.507299, 
97,0.266142,0.443569,0.721739,0.740048,0.624372,0.327559,0.520572, 
98,0.310970,0.530504,0.684212,0.557925,0.509262,0.305557,0.483072, 
