No.,tL,tR
true,0.862069,1.190476
0,0.766757,1.437186
1,0.788210,1.367422
2,0.787683,1.369013
3,0.745459,1.518497
4,0.781570,1.387881
5,0.732504,1.575250
6,0.815648,1.292020
7,0.760907,1.458196
8,0.747371,1.510629
9,0.764417,1.445477
10,0.801329,1.329656
11,0.740155,1.540996
12,0.785393,1.375983
13,0.807310,1.313506
14,0.805252,1.319000
15,0.808504,1.310364
16,0.796002,1.344588
17,0.723192,1.620110
18,0.762406,1.452718
19,0.754407,1.482679
20,0.751589,1.493685
21,0.772857,1.416234
22,0.732731,1.574198
23,0.755441,1.478697
24,0.753165,1.487500
25,0.752494,1.490124
26,0.752563,1.489853
27,0.782490,1.384988
28,0.812105,1.301011
29,0.734771,1.564867
30,0.736333,1.557836
31,0.807426,1.313206
32,0.748448,1.506251
33,0.737825,1.551186
34,0.765079,1.443118
35,0.793980,1.350393
36,0.786199,1.373524
37,0.813539,1.297350
38,0.758064,1.468750
39,0.718924,1.641944
40,0.750426,1.498298
41,0.807796,1.312233
42,0.798804,1.336666
43,0.734165,1.567619
44,0.721244,1.629973
45,0.754362,1.482850
46,0.765706,1.440893
47,0.733175,1.572154
48,0.768395,1.431465
49,0.734314,1.566949
50,0.734131,1.567779
51,0.775007,1.409068
52,0.688552,1.825897
53,0.741038,1.537182
54,0.869884,1.175888
55,0.757295,1.471649
56,0.783377,1.382214
57,0.732920,1.573329
58,0.756140,1.476028
59,0.847239,1.219964
60,0.768719,1.430337
61,0.725960,1.606390
62,0.764532,1.445066
63,0.771467,1.420923
64,0.755413,1.478809
65,0.790961,1.359220
66,0.748097,1.507668
67,0.747370,1.510636
68,0.757054,1.472559
69,0.713499,1.670964
70,0.739603,1.543393
71,0.747656,1.509466
72,0.715130,1.662093
73,0.769999,1.425925
74,0.797583,1.340100
75,0.731290,1.580900
76,0.825245,1.268652
77,0.722110,1.625570
78,0.786060,1.373940
79,0.740784,1.538275
80,0.774868,1.409527
81,0.738675,1.547451
82,0.771075,1.422257
83,0.712685,1.675443
84,0.756129,1.476067
85,0.723860,1.616770
86,0.753850,1.484829
87,0.769999,1.425925
88,0.805988,1.317027
89,0.744388,1.522962
90,0.718923,1.641953
91,0.724705,1.612570
92,0.801560,1.329020
93,0.784552,1.378574
94,0.818684,1.284479
95,0.752875,1.488629
96,0.739058,1.545772
97,0.750229,1.499084
98,0.741797,1.533923
99,0.767108,1.435948
100,0.775695,1.406798
101,0.751270,1.494949
102,0.757062,1.472526
103,0.759806,1.462256
104,0.727654,1.598156
105,0.754444,1.482538
106,0.712324,1.677441
107,0.771152,1.421990
108,0.766388,1.438483
109,0.731253,1.581065
110,0.738358,1.548841
111,0.810003,1.306447
112,0.742668,1.530210
113,0.771367,1.421264
114,0.755538,1.478326
115,0.769759,1.426755
116,0.767725,1.433792
117,0.725107,1.610583
118,0.743272,1.527655
119,0.769816,1.426558
120,0.772854,1.416242
121,0.760417,1.460001
122,0.814286,1.295454
123,0.795124,1.347103
124,0.773442,1.414275
125,0.845359,1.223884
126,0.746840,1.512804
127,0.751120,1.495540
128,0.723832,1.616912
129,0.731848,1.578293
130,0.733636,1.570039
131,0.789780,1.362726
132,0.716263,1.655999
133,0.722011,1.626077
134,0.737866,1.551006
135,0.739872,1.542222
136,0.771765,1.419914
137,0.778480,1.397733
138,0.779098,1.395745
139,0.794224,1.349693
140,0.769034,1.429247
141,0.752822,1.488840
142,0.798778,1.336743
143,0.778374,1.398073
144,0.733135,1.572342
145,0.739274,1.544829
146,0.713220,1.672501
147,0.787246,1.370334
148,0.800910,1.330814
149,0.760004,1.461529
150,0.774092,1.412100
151,0.737501,1.552621
152,0.767629,1.434128
153,0.739653,1.543177
154,0.768270,1.431900
155,0.815034,1.293562
156,0.786470,1.372689
157,0.778348,1.398158
158,0.705916,1.714090
159,0.785393,1.375983
160,0.796342,1.343622
161,0.717039,1.651866
162,0.762470,1.452492
163,0.766717,1.437323
164,0.746306,1.515000
165,0.751539,1.493884
166,0.770836,1.423070
167,0.799011,1.336087
168,0.774863,1.409547
169,0.754667,1.481672
170,0.745859,1.516843
171,0.726022,1.606085
172,0.784793,1.377832
173,0.697051,1.768706
174,0.775285,1.408155
175,0.768425,1.431358
176,0.812364,1.300343
177,0.722850,1.621831
178,0.751086,1.495674
179,0.850449,1.213368
180,0.740710,1.538592
181,0.754293,1.483118
182,0.717357,1.650181
183,0.787309,1.370145
184,0.731746,1.578769
185,0.816111,1.290859
186,0.778148,1.398803
187,0.731505,1.579894
188,0.765249,1.442510
189,0.776720,1.403442
190,0.759221,1.464429
191,0.740771,1.538331
192,0.850449,1.213368
193,0.759281,1.464208
194,0.752800,1.488924
195,0.697684,1.764646
196,0.724194,1.615110
197,0.836167,1.243681
198,0.777131,1.402106
199,0.766114,1.439443
200,0.818808,1.284172
201,0.726130,1.605557
202,0.722772,1.622228
203,0.756442,1.474876
204,0.791124,1.358740
205,0.734817,1.564661
206,0.764139,1.446475
207,0.759309,1.464099
208,0.723235,1.619895
209,0.711185,1.683794
210,0.747710,1.509247
211,0.751194,1.495249
212,0.754209,1.483442
213,0.741597,1.534778
214,0.793396,1.352090
215,0.753226,1.487259
216,0.739210,1.545108
217,0.768322,1.431715
218,0.761734,1.455168
219,0.755459,1.478632
220,0.713821,1.669201
221,0.737784,1.551374
222,0.731265,1.581010
223,0.759805,1.462262
224,0.712801,1.674803
225,0.738455,1.548417
226,0.782678,1.384399
227,0.740229,1.540678
228,0.722894,1.621610
229,0.779235,1.395307
230,0.747419,1.510430
231,0.770413,1.424512
232,0.764179,1.446326
233,0.757124,1.472290
234,0.797495,1.340351
235,0.738606,1.547753
236,0.740343,1.540177
237,0.762521,1.452304
238,0.842730,1.229433
239,0.730595,1.584153
240,0.795950,1.344740
241,0.793871,1.350713
242,0.852166,1.209894
243,0.703619,1.727775
244,0.782168,1.385998
245,0.780521,1.391202
246,0.745911,1.516629
247,0.786949,1.371230
248,0.805296,1.318877
249,0.716757,1.653360
250,0.773093,1.415442
251,0.745178,1.519667
252,0.734863,1.564443
253,0.754806,1.481139
254,0.784552,1.378574
255,0.841411,1.232256
256,0.758120,1.468550
257,0.751684,1.493308
258,0.724608,1.613049
259,0.725554,1.608384
260,0.746736,1.513228
261,0.742108,1.532598
262,0.768299,1.431797
263,0.737030,1.554717
264,0.741581,1.534846
265,0.730240,1.585827
266,0.764545,1.445018
267,0.771641,1.420331
268,0.824533,1.270335
269,0.752308,1.490855
270,0.788026,1.367982
271,0.780528,1.391175
272,0.738223,1.549436
273,0.745303,1.519145
274,0.755543,1.478315
275,0.764271,1.445998
276,0.788792,1.365671
277,0.859555,1.195304
278,0.846023,1.222492
279,0.750510,1.497964
280,0.795053,1.347300
281,0.764583,1.444880
282,0.762008,1.454171
283,0.765748,1.440737
284,0.761866,1.454689
285,0.707901,1.702493
286,0.772420,1.417704
287,0.710666,1.686705
288,0.730721,1.583559
289,0.756077,1.476263
290,0.734894,1.564306
291,0.743188,1.528015
292,0.744123,1.524070
293,0.827468,1.263432
294,0.717736,1.648185
295,0.747295,1.510944
296,0.755540,1.478321
297,0.724045,1.615848
298,0.715129,1.662096
299,0.762327,1.453005
300,0.774301,1.411407
301,0.729952,1.587186
302,0.716544,1.654501
303,0.743961,1.524753
304,0.794536,1.348794
305,0.760494,1.459711
306,0.767388,1.434973
307,0.759505,1.463370
308,0.777866,1.399717
309,0.774946,1.409270
310,0.778485,1.397712
311,0.739858,1.542289
312,0.818813,1.284160
313,0.807927,1.311883
314,0.797461,1.340445
315,0.788049,1.367907
316,0.816033,1.291054
317,0.803537,1.323621
318,0.741545,1.535002
319,0.756088,1.476224
320,0.740980,1.537430
321,0.753818,1.484960
322,0.766470,1.438193
323,0.737020,1.554760
324,0.759072,1.464980
325,0.828656,1.260673
326,0.751533,1.493906
327,0.729564,1.589022
328,0.777008,1.402503
329,0.747949,1.508273
330,0.784615,1.378383
331,0.767401,1.434928
332,0.784691,1.378145
333,0.737024,1.554746
334,0.739845,1.542334
335,0.780733,1.390523
336,0.775178,1.408504
337,0.753866,1.484772
338,0.767451,1.434747
339,0.824850,1.269585
340,0.775325,1.408018
341,0.734363,1.566720
342,0.726386,1.604307
343,0.791084,1.358858
344,0.775842,1.406321
345,0.752980,1.488221
346,0.697662,1.764792
347,0.705524,1.716405
348,0.721145,1.630481
349,0.790184,1.361524
350,0.755913,1.476895
351,0.781417,1.388362
352,0.744074,1.524281
353,0.785839,1.374620
354,0.687375,1.834220
355,0.789649,1.363120
356,0.757530,1.470759
357,0.782014,1.386480
358,0.728968,1.591857
359,0.753964,1.484393
360,0.713644,1.670166
361,0.762491,1.452416
362,0.755687,1.477758
363,0.714766,1.664057
364,0.702325,1.735632
365,0.723404,1.619050
366,0.764962,1.443535
367,0.774535,1.410630
368,0.795910,1.344852
369,0.717602,1.648883
370,0.714280,1.666697
371,0.752229,1.491164
372,0.752756,1.489092
373,0.748900,1.504418
374,0.782051,1.386363
375,0.750671,1.497320
376,0.791847,1.356618
377,0.828459,1.261133
378,0.784783,1.377860
379,0.805331,1.318785
380,0.726792,1.602333
381,0.743454,1.526888
382,0.750486,1.498060
383,0.743066,1.528526
384,0.774692,1.410109
385,0.746113,1.515799
386,0.731809,1.578472
387,0.774997,1.409098
388,0.759288,1.464174
389,0.753399,1.486584
390,0.750494,1.498029
391,0.762157,1.453628
392,0.724098,1.615579
393,0.737150,1.554183
394,0.790065,1.361873
395,0.746051,1.516050
396,0.727458,1.599105
397,0.767898,1.433190
398,0.754449,1.482516
399,0.750330,1.498684
400,0.832367,1.252180
401,0.785560,1.375476
402,0.796137,1.344205
403,0.737108,1.554374
404,0.828337,1.261413
405,0.748928,1.504307
406,0.749668,1.501330
407,0.770521,1.424146
408,0.739385,1.544340
409,0.841111,1.232901
410,0.783922,1.380527
411,0.737449,1.552860
412,0.740282,1.540443
413,0.744597,1.522093
414,0.755396,1.478874
415,0.741090,1.536955
416,0.760390,1.460097
417,0.753982,1.484320
418,0.733773,1.569415
419,0.744125,1.524070
420,0.701682,1.739572
421,0.788389,1.366882
422,0.734786,1.564796
423,0.731776,1.578627
424,0.824841,1.269608
425,0.790876,1.359471
426,0.704587,1.721980
427,0.713196,1.672630
428,0.735554,1.561329
429,0.815598,1.292142
430,0.777809,1.399898
431,0.741544,1.535007
432,0.753706,1.485392
433,0.726538,1.603566
434,0.770587,1.423917
435,0.741917,1.533408
436,0.772240,1.418307
437,0.747643,1.509518
438,0.783770,1.380994
439,0.717234,1.650835
440,0.768209,1.432109
441,0.735029,1.563707
442,0.785569,1.375444
443,0.746309,1.514984
444,0.787224,1.370402
445,0.782730,1.384236
446,0.724850,1.611850
447,0.752961,1.488295
448,0.731144,1.581575
449,0.752289,1.490928
450,0.793001,1.353240
451,0.749672,1.501314
452,0.739995,1.541687
453,0.758431,1.467375
454,0.740047,1.541466
455,0.772336,1.417979
456,0.818808,1.284172
457,0.856449,1.201361
458,0.828684,1.260606
459,0.700935,1.744181
460,0.732122,1.577016
461,0.759540,1.463244
462,0.738962,1.546185
463,0.842914,1.229043
464,0.765754,1.440719
465,0.710497,1.687661
466,0.782821,1.383951
467,0.781846,1.387011
468,0.739882,1.542182
469,0.720518,1.633696
470,0.744396,1.522925
471,0.779796,1.393511
472,0.789379,1.363916
473,0.764133,1.446493
474,0.743505,1.526669
475,0.855009,1.204207
476,0.739369,1.544411
477,0.758140,1.468463
478,0.727262,1.600054
479,0.745014,1.520353
480,0.818296,1.285435
481,0.800099,1.333060
482,0.713547,1.670707
483,0.815387,1.292679
484,0.783095,1.383097
485,0.765611,1.441230
486,0.776769,1.403282
487,0.792818,1.353774
488,0.727061,1.601027
489,0.788778,1.365721
490,0.785352,1.376112
491,0.757788,1.469793
492,0.805090,1.319430
493,0.726347,1.604503
494,0.705152,1.718615
495,0.782545,1.384819
496,0.734269,1.567150
497,0.749523,1.501912
498,0.755717,1.477644
499,0.805268,1.318950
500,0.777071,1.402296
501,0.739449,1.544063
502,0.768383,1.431502
503,0.715160,1.661925
504,0.739743,1.542781
505,0.726592,1.603302
506,0.756253,1.475601
507,0.732021,1.577489
508,0.763158,1.450000
509,0.753670,1.485531
510,0.761666,1.455422
511,0.756655,1.474072
512,0.733696,1.569763
513,0.745983,1.516330
514,0.752096,1.491687
515,0.785294,1.376290
516,0.809346,1.308156
517,0.722351,1.624352
518,0.707919,1.702388
519,0.731444,1.580171
520,0.750967,1.496150
521,0.723492,1.618608
522,0.740913,1.537716
523,0.738584,1.547853
524,0.790328,1.361096
525,0.739431,1.544144
526,0.736405,1.557509
527,0.775665,1.406901
528,0.737076,1.554516
529,0.754637,1.481791
530,0.780000,1.392857
531,0.740019,1.541583
532,0.747047,1.511956
533,0.765760,1.440700
534,0.763490,1.448801
535,0.750643,1.497441
536,0.716196,1.656361
537,0.734787,1.564796
538,0.784142,1.379841
539,0.814574,1.294725
540,0.793570,1.351583
541,0.748137,1.507507
542,0.791850,1.356607
543,0.756126,1.476082
544,0.722191,1.625160
545,0.723306,1.619541
546,0.763518,1.448698
547,0.783890,1.380624
548,0.776029,1.405701
549,0.772927,1.415995
550,0.793510,1.351759
551,0.758657,1.466534
552,0.776666,1.403617
553,0.763030,1.450459
554,0.699818,1.751142
555,0.752078,1.491756
556,0.734433,1.566399
557,0.746684,1.513441
558,0.750087,1.499648
559,0.762517,1.452323
