ó^Ç¶ÇΩèdóvìx,0.200000,0.260000,0.150000,0.250000,0.110000,0.250000,0.080000,0.220000,0.080000,0.180000,0.080000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.230769, 0.230769,0.230769, 0.230769,0.115385, 0.230769,0.115385, 0.230769,0.076923, 0.115385,0.076923, 0.115385,0.307692
2,0.190476, 0.190476,0.190476, 0.190476,0.095238, 0.190476,0.095238, 0.190476,0.190476, 0.190476,0.095238, 0.190476,0.285714
3,0.226415, 0.226415,0.226415, 0.226415,0.113208, 0.226415,0.113208, 0.226415,0.075472, 0.113208,0.113208, 0.113208,0.264151
4,0.179775, 0.269663,0.269663, 0.269663,0.134831, 0.179775,0.089888, 0.179775,0.067416, 0.134831,0.089888, 0.134831,0.337079
5,0.210526, 0.210526,0.210526, 0.210526,0.105263, 0.210526,0.105263, 0.210526,0.105263, 0.210526,0.105263, 0.105263,0.315789
6,0.196721, 0.196721,0.196721, 0.196721,0.196721, 0.196721,0.065574, 0.196721,0.065574, 0.196721,0.098361, 0.196721,0.360656
7,0.250000, 0.250000,0.233333, 0.250000,0.125000, 0.125000,0.116667, 0.125000,0.125000, 0.233333,0.041667, 0.125000,0.216667
8,0.210526, 0.210526,0.210526, 0.210526,0.210526, 0.210526,0.070175, 0.210526,0.070175, 0.210526,0.070175, 0.105263,0.315789
9,0.214286, 0.214286,0.214286, 0.214286,0.107143, 0.214286,0.107143, 0.214286,0.107143, 0.107143,0.071429, 0.214286,0.357143
10,0.292683, 0.292683,0.146341, 0.292683,0.146341, 0.146341,0.097561, 0.146341,0.097561, 0.146341,0.048780, 0.146341,0.341463
11,0.235294, 0.308824,0.235294, 0.235294,0.117647, 0.117647,0.102941, 0.235294,0.058824, 0.117647,0.117647, 0.117647,0.264706
12,0.218182, 0.218182,0.218182, 0.218182,0.109091, 0.218182,0.072727, 0.218182,0.109091, 0.218182,0.072727, 0.109091,0.400000
13,0.203390, 0.203390,0.203390, 0.203390,0.101695, 0.203390,0.203390, 0.203390,0.101695, 0.203390,0.067797, 0.101695,0.237288
