é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.000000,0.000000,0.903614,0.819277,0.511111,0.718750,0.492125, 
2,0.000000,0.000000,0.684211,0.809717,0.000000,0.576687,0.345102, 
3,0.000000,0.000000,0.894188,0.843517,0.482192,0.000000,0.369983, 
4,0.800600,0.000000,0.486027,0.782014,0.655034,0.856531,0.596701, 
5,0.000000,0.000000,0.819742,0.858369,0.728205,0.000000,0.401053, 
6,0.000000,0.000000,0.000000,0.860943,0.865248,0.525880,0.375345, 
7,0.000000,0.285714,0.000000,0.112360,0.528000,0.627907,0.258997, 
8,0.000000,0.000000,0.000000,0.931164,0.832117,0.531365,0.382441, 
9,0.000000,0.000000,0.843931,0.867052,0.000000,0.591549,0.383755, 
10,0.000000,0.811881,0.000000,0.516796,0.655738,0.761610,0.457671, 
11,0.370044,0.000000,0.000000,0.859611,0.474074,0.000000,0.283955, 
12,0.000000,0.000000,0.868613,0.968153,0.678261,0.603774,0.519800, 
13,0.000000,0.000000,0.772791,0.000000,0.776471,0.462094,0.335226, 
14,0.000000,0.000000,0.179372,0.849858,0.892308,0.206186,0.354621, 
15,0.000000,0.000000,0.772791,0.000000,0.324051,0.473795,0.261773, 
16,0.000000,0.684211,0.000000,0.867257,0.000000,0.000000,0.258578, 
17,0.000000,0.000000,0.923077,0.444444,0.571429,0.800000,0.456492, 
18,0.000000,0.000000,0.868613,0.875912,0.426667,0.584071,0.459211, 
19,0.360656,0.733333,0.579710,0.000000,0.000000,0.000000,0.278950, 
20,0.000000,0.000000,0.903614,0.913043,0.637288,0.000000,0.408991, 
21,0.000000,0.000000,0.843931,0.867052,0.400000,0.393162,0.417358, 
22,0.000000,0.000000,0.911466,0.957983,0.000000,0.276243,0.357615, 
23,0.000000,0.495146,0.585023,0.827586,0.881119,0.692042,0.580153, 
24,0.795181,0.000000,0.566308,0.000000,0.936170,0.862069,0.526621, 
25,0.000000,0.000000,0.903614,0.913043,0.227273,0.718750,0.460447, 
26,0.000000,0.000000,0.000000,0.844125,0.845902,0.551440,0.373578, 
27,0.000000,0.885609,0.442152,0.719372,0.879705,0.723065,0.608317, 
28,0.000000,0.000000,0.669579,0.000000,0.478740,0.447257,0.265929, 
29,0.000000,0.000000,0.000000,0.648649,0.695652,0.857143,0.366907, 
30,0.518519,0.000000,0.000000,0.759494,0.923077,0.439024,0.440019, 
31,0.000000,0.840580,0.806452,0.146685,0.000000,0.762481,0.426033, 
