é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.000000,0.000000,0.824176,0.693878,0.343284,0.560976,0.403719, 
2,0.000000,0.000000,0.520000,0.680272,0.000000,0.405172,0.267574, 
3,0.000000,0.000000,0.808625,0.729381,0.317690,0.000000,0.309283, 
4,0.667500,0.000000,0.321027,0.642055,0.487026,0.749064,0.477779, 
5,0.000000,0.000000,0.694545,0.751880,0.572581,0.000000,0.336501, 
6,0.000000,0.000000,0.000000,0.755839,0.762500,0.356742,0.312513, 
7,0.000000,0.166667,0.000000,0.059524,0.358696,0.457627,0.173752, 
8,0.000000,0.000000,0.000000,0.871194,0.712500,0.361809,0.324251, 
9,0.000000,0.000000,0.730000,0.765306,0.000000,0.420000,0.319218, 
10,0.000000,0.683333,0.000000,0.348432,0.487805,0.615000,0.355762, 
11,0.227027,0.000000,0.000000,0.753788,0.310680,0.000000,0.215249, 
12,0.000000,0.000000,0.767742,0.938272,0.513158,0.432432,0.441934, 
13,0.000000,0.000000,0.629714,0.000000,0.634615,0.300469,0.260800, 
14,0.000000,0.000000,0.098522,0.738916,0.805556,0.114943,0.292989, 
15,0.000000,0.000000,0.629714,0.000000,0.193353,0.310440,0.188918, 
16,0.000000,0.520000,0.000000,0.765625,0.000000,0.000000,0.214271, 
17,0.000000,0.000000,0.857143,0.285714,0.400000,0.666667,0.368254, 
18,0.000000,0.000000,0.767742,0.779221,0.271186,0.412500,0.371775, 
19,0.220000,0.578947,0.408163,0.000000,0.000000,0.000000,0.201185, 
20,0.000000,0.000000,0.824176,0.840000,0.467662,0.000000,0.355306, 
21,0.000000,0.000000,0.730000,0.765306,0.250000,0.244681,0.331664, 
22,0.000000,0.000000,0.837333,0.919355,0.000000,0.160256,0.319491, 
23,0.000000,0.329032,0.413451,0.705882,0.787500,0.529101,0.460828, 
24,0.660000,0.000000,0.395000,0.000000,0.880000,0.757576,0.448763, 
25,0.000000,0.000000,0.824176,0.840000,0.128205,0.560976,0.392226, 
26,0.000000,0.000000,0.000000,0.730290,0.732955,0.380682,0.307321, 
27,0.000000,0.794702,0.283822,0.561734,0.785244,0.566250,0.498625, 
28,0.000000,0.000000,0.503284,0.000000,0.314700,0.288043,0.184338, 
29,0.000000,0.000000,0.000000,0.480000,0.533333,0.750000,0.293889, 
30,0.350000,0.000000,0.000000,0.612245,0.857143,0.281250,0.350106, 
31,0.000000,0.725000,0.675676,0.079147,0.000000,0.616137,0.349327, 
32,0.000000,0.000000,0.000000,0.726392,0.193353,0.310440,0.205031, 
33,0.000000,0.000000,0.000000,0.755839,0.699438,0.457500,0.318796, 
34,0.000000,0.000000,0.689935,0.418838,0.227273,0.580645,0.319448, 
35,0.000000,0.515152,0.329670,0.659341,0.493506,0.000000,0.332945, 
36,0.416667,0.333333,0.000000,0.000000,0.800000,0.000000,0.258333, 
37,0.000000,0.000000,0.892857,0.297619,0.416667,0.694444,0.383598, 
38,0.505714,0.000000,0.121065,0.121065,0.000000,0.623574,0.228570, 
39,0.000000,0.691667,0.000000,0.375877,0.000000,0.830000,0.316257, 
40,0.000000,0.750000,0.744681,0.347826,0.000000,0.727273,0.428297, 
41,0.000000,0.000000,0.000000,0.755839,0.699438,0.457500,0.318796, 
42,0.000000,0.000000,0.000000,0.669643,0.075581,0.548571,0.215633, 
43,0.000000,0.294118,0.000000,0.000000,0.369427,0.386076,0.174937, 
44,0.418333,0.000000,0.341491,0.341491,0.585725,0.753000,0.406673, 
45,0.000000,0.750000,0.744681,0.000000,0.470588,0.727273,0.448757, 
46,0.000000,0.000000,0.816993,0.307220,0.357928,0.649573,0.355286, 
47,0.000000,0.000000,0.840336,0.233577,0.566667,0.000000,0.273430, 
48,0.509524,0.373913,0.645217,0.366300,0.618852,0.000000,0.418968, 
49,0.437143,0.196078,0.000000,0.598540,0.000000,0.000000,0.205294, 
50,0.000000,0.000000,0.730000,0.765306,0.542553,0.395833,0.405615, 
51,0.308642,0.469565,0.396825,0.765625,0.000000,0.039474,0.330022, 
52,0.000000,0.000000,0.340000,0.595238,0.833333,0.653846,0.403736, 
53,0.000000,0.621818,0.832178,0.801111,0.643750,0.000000,0.483143, 
54,0.000000,0.000000,0.848656,0.275668,0.561111,0.638436,0.387312, 
55,0.000000,0.000000,0.000000,0.275668,0.321839,0.638436,0.205991, 
56,0.000000,0.000000,0.824176,0.910000,0.000000,0.560976,0.382525, 
57,0.000000,0.515152,0.473171,0.329670,0.000000,0.745098,0.343848, 
58,0.000000,0.000000,0.565176,0.784031,0.282272,0.213351,0.307472, 
59,0.000000,0.000000,0.832178,0.225690,0.414975,0.585670,0.343085, 
60,0.000000,0.000000,0.119048,0.000000,0.470588,0.592593,0.197038, 
61,0.000000,0.000000,0.649351,0.551887,0.000000,0.468354,0.278265, 
62,0.000000,0.113846,0.230826,0.638383,0.621118,0.805000,0.401529, 
63,0.000000,0.452196,0.000000,0.000000,0.540541,0.646245,0.273164, 
64,0.000000,0.000000,0.476190,0.791667,0.400000,0.666667,0.389087, 
65,0.000000,0.530973,0.180314,0.000000,0.239870,0.423750,0.229151, 
66,0.000000,0.000000,0.000000,0.738916,0.211180,0.435000,0.230849, 
67,0.000000,0.000000,0.000000,0.755839,0.762500,0.356742,0.312513, 
68,0.645000,0.000000,0.484444,0.664452,0.000000,0.775194,0.428182, 
69,0.000000,0.683333,0.000000,0.451827,0.487805,0.820000,0.407161, 
70,0.000000,0.000000,0.637895,0.596842,0.370370,0.659176,0.377381, 
71,0.000000,0.000000,0.730000,0.903846,0.542553,0.000000,0.362733, 
72,0.000000,0.758333,0.000000,0.479665,0.454721,0.732601,0.404220, 
73,0.000000,0.000000,0.277393,0.901250,0.356736,0.343333,0.313119, 
74,0.420000,0.000000,0.000000,0.423077,0.578947,0.000000,0.237004, 
75,0.000000,0.000000,0.000000,0.285714,0.323529,0.580645,0.198315, 
76,0.000000,0.563636,0.583090,0.583090,0.408163,0.700980,0.473160, 
77,0.000000,0.000000,0.669643,0.285714,0.156250,0.260417,0.228671, 
78,0.000000,0.555556,0.242667,0.375940,0.000000,0.570000,0.290694, 
79,0.000000,0.000000,0.000000,0.089286,0.860465,0.533333,0.247181, 
80,0.033333,0.725806,0.732558,0.000000,0.000000,0.740741,0.372073, 
81,0.000000,0.000000,0.841874,0.303951,0.410256,0.625698,0.363630, 
82,0.123077,0.914286,0.000000,0.111607,0.492308,0.762887,0.400694, 
