No.,tL,tR
true,0.862069,1.190476
0,0.962963,1.040000
1,0.954546,1.050001
2,0.981480,1.019230
3,0.927085,1.085365
4,0.950001,1.055557
5,0.953126,1.051725
6,1.000000,1.000000
7,0.982760,1.017859
8,0.965516,1.037036
9,0.976193,1.025001
10,1.000000,1.000000
11,0.948275,1.057692
12,0.983333,1.017240
13,0.999998,1.000000
14,0.983333,1.017240
15,1.000000,1.000001
16,1.000000,1.000000
17,0.948275,1.057692
18,0.972223,1.029410
19,1.000000,1.000000
20,0.933332,1.076921
21,1.000000,1.000001
22,0.926472,1.086208
23,0.936170,1.073171
24,1.000000,1.000000
25,0.968752,1.033335
26,0.920732,1.094204
27,0.999998,1.000000
28,0.986842,1.013513
29,0.972220,1.029411
30,0.945652,1.060975
31,0.983333,1.017240
32,0.953126,1.051725
33,1.000000,1.000000
34,0.942029,1.065573
35,1.000000,1.000000
36,1.000000,1.000001
37,1.000000,1.000002
38,0.988096,1.012195
39,0.937501,1.071428
40,0.953126,1.051725
41,1.000000,1.000000
42,0.999998,1.000000
43,0.950758,1.054621
44,0.937501,1.071428
45,0.968750,1.033331
46,1.000000,1.000000
47,0.886365,1.147060
48,0.999998,1.000000
49,0.933332,1.076921
50,1.000000,1.000000
51,0.923076,1.090910
52,0.903508,1.119564
53,0.990195,1.009999
54,0.990195,1.009999
55,1.000000,1.000000
56,0.942029,1.065573
57,0.956142,1.048079
58,0.953703,1.051020
59,1.000000,1.000000
60,1.000000,1.000000
61,1.000000,1.000000
62,1.000000,1.000001
63,1.000000,1.000000
64,0.974139,1.027274
65,0.999998,1.000000
66,0.953126,1.051725
67,0.934782,1.074999
68,0.976193,1.025000
69,1.000000,1.000001
70,0.965516,1.037036
71,0.947918,1.058141
72,0.971697,1.029999
73,1.000000,1.000000
74,1.000000,1.000000
75,0.942308,1.065217
76,1.000000,1.000000
77,0.950000,1.055556
78,1.000000,1.000000
79,1.000000,1.000000
80,0.979165,1.021740
81,1.000000,1.000000
82,0.973685,1.027779
83,0.907407,1.113635
84,1.000000,1.000000
85,0.933334,1.076922
86,0.958332,1.045452
87,1.000000,1.000000
88,1.000000,1.000001
89,0.986112,1.014286
90,0.966666,1.035713
91,0.927085,1.085366
92,1.000000,1.000001
93,0.999998,1.000000
94,1.000000,1.000001
95,0.999999,1.000000
96,0.956142,1.048079
97,0.976193,1.025001
98,0.944445,1.062501
99,0.999998,1.000000
100,0.954546,1.050001
101,0.916668,1.100000
102,0.953703,1.051020
103,0.968752,1.033335
104,0.914180,1.103605
105,0.944445,1.062499
