No.,tL,tR
true,0.862069,1.190476
0,0.896336,1.130777
1,0.857389,1.199518
2,0.879748,1.158331
3,0.840056,1.235174
4,0.883631,1.151668
5,0.860459,1.193561
6,0.858831,1.196706
7,0.868009,1.179331
8,0.903964,1.118867
9,0.844466,1.225762
10,0.892395,1.137113
11,0.900042,1.124934
12,0.890163,1.140758
13,0.915259,1.102035
14,0.901331,1.122928
15,0.852212,1.209800
16,0.886013,1.147647
17,0.850252,1.213772
18,0.849977,1.214333
19,0.879215,1.159257
20,0.834175,1.248112
21,0.859802,1.194826
22,0.872883,1.170452
23,0.866740,1.181682
24,0.841606,1.231837
25,0.855500,1.203235
26,0.894881,1.133102
27,0.876195,1.164549
28,0.850904,1.212446
29,0.893964,1.134576
30,0.841333,1.232423
31,0.874154,1.168173
32,0.874014,1.168425
33,0.873501,1.169342
34,0.895058,1.132818
35,0.887885,1.144521
36,0.868269,1.178851
37,0.833831,1.248882
38,0.857634,1.199039
39,0.882412,1.153745
40,0.881588,1.155157
41,0.845673,1.223228
42,0.844121,1.226488
43,0.862922,1.188852
44,0.853490,1.207234
45,0.843975,1.226798
46,0.890598,1.140044
47,0.863430,1.187891
48,0.861563,1.191442
49,0.868607,1.178229
50,0.821742,1.277021
51,0.855459,1.203317
52,0.932344,1.078243
53,0.881903,1.154616
54,0.874844,1.166944
55,0.850020,1.214245
56,0.844607,1.225463
57,0.907669,1.113243
58,0.887920,1.144463
59,0.840775,1.233621
60,0.885873,1.147881
61,0.886833,1.146273
62,0.872370,1.171376
63,0.873929,1.168577
64,0.840831,1.233502
65,0.874447,1.167652
66,0.868602,1.178237
67,0.817902,1.286406
68,0.849377,1.215559
69,0.849626,1.215049
70,0.841670,1.231701
71,0.889074,1.142551
72,0.906213,1.115440
73,0.833332,1.250004
74,0.909481,1.110529
75,0.846809,1.220858
76,0.896022,1.131278
77,0.842796,1.229296
78,0.899259,1.126160
79,0.853973,1.206270
80,0.864986,1.184957
81,0.832381,1.252149
82,0.848828,1.216685
83,0.862802,1.189082
84,0.869542,1.176513
85,0.866362,1.182385
86,0.910381,1.109190
87,0.863556,1.187652
88,0.842011,1.230971
89,0.828771,1.260407
90,0.891036,1.139327
91,0.873248,1.169796
92,0.933277,1.076997
93,0.849529,1.215249
94,0.849329,1.215658
95,0.853672,1.206871
96,0.862787,1.189110
97,0.881455,1.155386
98,0.876342,1.164289
99,0.867850,1.179626
100,0.866037,1.182991
101,0.865183,1.184589
102,0.839230,1.236962
103,0.870234,1.175248
104,0.831495,1.254160
105,0.875123,1.166448
106,0.853863,1.206488
107,0.848419,1.217527
108,0.843629,1.227528
109,0.889857,1.141260
110,0.834683,1.246975
111,0.901776,1.122237
112,0.873204,1.169874
113,0.861712,1.191157
114,0.889419,1.141982
115,0.827212,1.264031
116,0.848278,1.217818
117,0.851905,1.210420
118,0.871495,1.172957
119,0.862344,1.189952
120,0.906503,1.115002
121,0.863449,1.187854
122,0.872470,1.171194
123,0.937648,1.071236
124,0.860034,1.194379
125,0.855635,1.202967
126,0.824684,1.269978
127,0.858777,1.196811
128,0.857961,1.198400
129,0.873240,1.169810
130,0.831951,1.253122
131,0.838481,1.238594
132,0.866216,1.182657
133,0.850139,1.214001
134,0.862993,1.188719
135,0.891478,1.138605
136,0.890749,1.139796
137,0.913645,1.104383
138,0.901063,1.123344
139,0.840592,1.234017
140,0.886928,1.146115
141,0.893718,1.134972
142,0.854921,1.204381
143,0.856916,1.200445
144,0.832045,1.252909
145,0.893254,1.135722
146,0.899533,1.125730
147,0.866322,1.182459
148,0.868176,1.179024
149,0.826920,1.264713
150,0.882250,1.154022
151,0.842866,1.229147
152,0.878342,1.160777
153,0.921884,1.092580
154,0.884883,1.149548
155,0.902761,1.120715
156,0.825231,1.268685
157,0.892395,1.137113
158,0.897268,1.129298
159,0.850654,1.212953
160,0.854386,1.205446
161,0.871882,1.172256
162,0.849479,1.215351
163,0.848333,1.217705
164,0.875218,1.166279
165,0.877229,1.162727
166,0.883578,1.151758
167,0.888388,1.143687
168,0.860428,1.193620
169,0.871823,1.172364
170,0.882195,1.154116
171,0.813179,1.298267
172,0.867692,1.179916
173,0.854954,1.204317
174,0.901334,1.122923
175,0.840051,1.235183
176,0.857466,1.199367
177,0.925524,1.087510
