No.,tL,tR
true,0.862069,1.190476
0,0.929546,1.082010
1,0.896933,1.129829
2,0.936376,1.072900
3,0.887808,1.144649
4,0.914490,1.103151
5,0.902856,1.120569
6,0.904850,1.117512
7,0.895181,1.132621
8,0.972735,1.028838
9,0.900756,1.123821
10,0.925723,1.087236
11,0.958220,1.045590
12,0.941409,1.066368
13,0.964538,1.038169
14,0.943783,1.063339
15,0.903868,1.119014
16,0.958400,1.045375
17,0.901063,1.123344
18,0.907701,1.113194
19,0.932894,1.077508
20,0.895245,1.132518
21,0.892856,1.136365
22,0.928036,1.084062
23,0.914532,1.103089
24,0.897110,1.129549
25,0.905281,1.116857
26,0.931402,1.079505
27,0.947119,1.059135
28,0.909856,1.109970
29,0.937670,1.071207
30,0.893081,1.136001
31,0.952740,1.052194
32,0.916706,1.099943
33,0.930604,1.080580
34,0.963032,1.039920
35,0.931470,1.079414
36,0.909756,1.110118
37,0.873669,1.169041
38,0.909060,1.111158
39,0.925820,1.087102
40,0.927867,1.084293
41,0.893663,1.135061
42,0.872855,1.170502
43,0.899856,1.125225
44,0.908643,1.111781
45,0.918572,1.097268
46,0.967853,1.034355
47,0.928035,1.084065
48,0.936038,1.073344
49,0.931772,1.079010
50,0.891412,1.138713
51,0.901819,1.122171
52,0.950823,1.054542
53,0.942151,1.065417
54,0.909922,1.109871
55,0.895389,1.132289
56,0.891995,1.137764
57,0.956619,1.047503
58,0.932756,1.077692
59,0.888295,1.143841
60,0.971201,1.030559
61,0.943855,1.063247
62,0.932177,1.078467
63,0.941978,1.065640
64,0.892519,1.136911
65,0.941291,1.066520
66,0.938387,1.070273
67,0.879757,1.158315
68,0.907509,1.113484
69,0.897736,1.128557
70,0.870912,1.174014
71,0.929738,1.081749
72,0.958675,1.045048
73,0.882138,1.154214
74,0.959007,1.044654
75,0.914049,1.103794
76,0.927146,1.085279
77,0.906958,1.114314
78,0.927416,1.084911
79,0.912963,1.105381
80,0.921115,1.093662
81,0.899127,1.126367
82,0.917810,1.098358
83,0.923926,1.089726
84,0.916146,1.100751
85,0.897448,1.129013
86,0.961684,1.041496
87,0.933428,1.076797
88,0.874040,1.168378
89,0.878554,1.160408
90,0.935828,1.073621
91,0.921185,1.093563
92,0.979810,1.021039
93,0.892498,1.136946
94,0.933785,1.076322
95,0.923147,1.090811
96,0.912867,1.105522
97,0.937328,1.071654
98,0.916484,1.100263
99,0.905435,1.116622
100,0.914308,1.103416
101,0.919586,1.095826
102,0.884994,1.149360
103,0.929605,1.081929
104,0.885607,1.148329
105,0.939619,1.068674
106,0.905632,1.116322
107,0.905782,1.116095
108,0.900892,1.123609
109,0.937095,1.071958
110,0.886901,1.146160
111,0.965977,1.036508
