No.,tL,tR
true,0.862069,1.190476
0,0.777522,1.400829
1,0.738475,1.548327
2,0.758872,1.465728
3,0.710660,1.686745
4,0.777484,1.400952
5,0.755623,1.478001
6,0.736045,1.559119
7,0.740783,1.538279
8,0.766249,1.438971
9,0.710707,1.686482
10,0.767672,1.433980
11,0.771505,1.420793
12,0.759655,1.462816
13,0.790333,1.361080
14,0.779303,1.395085
15,0.709178,1.695156
16,0.757256,1.471793
17,0.728947,1.591954
18,0.732711,1.574294
19,0.765036,1.443268
20,0.720807,1.632210
21,0.739817,1.542460
22,0.741228,1.536366
23,0.736659,1.556373
24,0.720950,1.631479
25,0.743702,1.525842
26,0.788756,1.365782
27,0.719526,1.638818
28,0.731391,1.580421
29,0.790921,1.359339
30,0.728424,1.594455
31,0.729906,1.587400
32,0.760349,1.460251
33,0.760893,1.458247
34,0.751976,1.492157
35,0.779951,1.393015
36,0.726650,1.603023
37,0.715580,1.659662
38,0.739274,1.544829
39,0.767955,1.432991
40,0.775493,1.407464
41,0.720544,1.633560
42,0.719723,1.637797
43,0.729889,1.587481
44,0.716763,1.653331
45,0.717601,1.648891
46,0.741392,1.535658
47,0.729494,1.589353
48,0.719532,1.638788
49,0.734064,1.568082
50,0.687252,1.835098
51,0.736354,1.557736
52,0.827217,1.264020
53,0.752881,1.488608
54,0.753776,1.485119
55,0.731195,1.581339
56,0.729508,1.589285
57,0.788503,1.366542
58,0.767201,1.435626
59,0.714198,1.667142
60,0.736087,1.558931
61,0.759381,1.463833
62,0.746966,1.512283
63,0.761027,1.457754
64,0.712676,1.675497
65,0.742329,1.531657
66,0.725768,1.607331
67,0.708564,1.698675
68,0.722449,1.623853
69,0.725984,1.606271
70,0.703233,1.730118
71,0.753391,1.486616
72,0.781386,1.388459
73,0.722045,1.625898
74,0.801831,1.328278
75,0.725463,1.608831
76,0.781691,1.387496
77,0.717606,1.648864
78,0.757469,1.470992
79,0.727556,1.598630
80,0.735433,1.561873
81,0.692288,1.800130
82,0.716766,1.653319
83,0.710098,1.689920
84,0.737549,1.552414
85,0.748595,1.505651
86,0.783938,1.380475
87,0.734963,1.563997
88,0.710375,1.688353
89,0.713137,1.672952
90,0.776404,1.404474
91,0.753240,1.487204
92,0.809372,1.308090
93,0.742911,1.529182
94,0.716729,1.653513
95,0.728970,1.591846
96,0.730252,1.585769
97,0.751084,1.495683
98,0.753791,1.485063
99,0.730764,1.583356
100,0.744563,1.522231
101,0.739070,1.545718
102,0.707213,1.706489
103,0.733866,1.568987
104,0.718656,1.643348
105,0.744439,1.522750
106,0.732810,1.573836
107,0.727663,1.598115
108,0.715512,1.660029
109,0.761828,1.454824
110,0.715936,1.657751
111,0.756454,1.474835
112,0.739676,1.543076
113,0.742544,1.530742
114,0.742002,1.533049
115,0.705760,1.715008
116,0.727999,1.596495
117,0.735452,1.561787
118,0.746342,1.514848
119,0.739439,1.544109
120,0.800053,1.333185
121,0.738884,1.546534
122,0.744091,1.524209
123,0.814274,1.295484
124,0.735424,1.561915
125,0.730431,1.584924
126,0.707217,1.706464
127,0.727790,1.597502
128,0.728949,1.591946
129,0.755150,1.479816
130,0.699280,1.754519
131,0.710499,1.687654
132,0.726725,1.602659
133,0.706588,1.710137
134,0.722907,1.621542
135,0.773303,1.414734
136,0.768279,1.431864
137,0.800820,1.331063
138,0.765299,1.442332
139,0.727776,1.597569
140,0.768951,1.429538
141,0.761696,1.455305
142,0.729100,1.591226
143,0.712642,1.675686
144,0.702949,1.731834
145,0.765060,1.443181
146,0.773158,1.415221
147,0.749114,1.503558
148,0.760883,1.458285
149,0.703171,1.730488
150,0.756487,1.474710
151,0.722802,1.622072
152,0.743508,1.526662
153,0.786638,1.372179
154,0.767865,1.433307
155,0.763510,1.448730
156,0.702190,1.736458
157,0.767672,1.433980
158,0.790301,1.361176
159,0.723189,1.620127
160,0.726067,1.605865
161,0.755276,1.479334
162,0.715989,1.657469
163,0.736921,1.555203
164,0.751364,1.494574
165,0.757746,1.469947
166,0.755126,1.479909
167,0.739343,1.544527
168,0.742842,1.529477
169,0.714233,1.666951
170,0.769447,1.427827
171,0.697974,1.762790
172,0.741316,1.535986
173,0.730475,1.584717
174,0.796002,1.344588
175,0.722028,1.625984
176,0.726412,1.604179
177,0.806492,1.315681
178,0.720054,1.636084
179,0.733903,1.568819
180,0.699385,1.753857
181,0.765283,1.442391
182,0.717858,1.647537
183,0.773470,1.414179
184,0.768179,1.432212
185,0.735600,1.561120
186,0.729880,1.587525
187,0.741561,1.534936
188,0.740011,1.541617
189,0.740400,1.539934
190,0.806492,1.315681
191,0.736791,1.555784
192,0.750323,1.498708
193,0.692221,1.800585
194,0.720189,1.635389
195,0.811326,1.303016
196,0.747713,1.509233
197,0.732879,1.573517
198,0.781342,1.388599
199,0.714214,1.667058
200,0.725531,1.608494
201,0.723808,1.617031
202,0.764245,1.446091
203,0.728989,1.591754
204,0.735892,1.559805
205,0.736618,1.556557
206,0.702190,1.736461
207,0.713287,1.672128
208,0.730516,1.584522
209,0.729192,1.590788
210,0.741021,1.537255
211,0.737026,1.554738
212,0.781483,1.388154
213,0.745487,1.518383
214,0.730508,1.584562
215,0.736902,1.555290
216,0.731738,1.578805
217,0.729925,1.587310
218,0.702089,1.737077
219,0.727494,1.598930
220,0.716058,1.657095
221,0.737830,1.551173
222,0.700528,1.746709
223,0.733353,1.571340
224,0.751433,1.494302
225,0.711938,1.679589
226,0.702956,1.731794
227,0.736117,1.558795
228,0.731108,1.581747
229,0.743972,1.524706
230,0.741578,1.534864
231,0.759002,1.465243
232,0.777614,1.400531
233,0.698941,1.756651
234,0.726572,1.603402
235,0.736669,1.556328
236,0.817063,1.288488
237,0.712496,1.676491
238,0.759464,1.463526
239,0.747030,1.512023
240,0.840084,1.235113
241,0.698044,1.762345
242,0.738124,1.549875
243,0.745843,1.516911
244,0.727811,1.597401
245,0.738806,1.546874
246,0.761904,1.454549
247,0.721387,1.629247
248,0.746790,1.513006
249,0.707857,1.702752
250,0.732338,1.576018
251,0.717351,1.650215
252,0.755430,1.478742
253,0.816405,1.290127
254,0.719834,1.637221
255,0.739829,1.542408
256,0.702283,1.735892
257,0.721792,1.627183
258,0.717196,1.651036
259,0.723697,1.617582
260,0.754649,1.481742
261,0.705744,1.715101
262,0.750411,1.498358
263,0.725646,1.607930
264,0.747597,1.509705
265,0.743058,1.528561
266,0.806176,1.316525
267,0.731433,1.580228
268,0.759002,1.465245
269,0.747563,1.509845
270,0.715997,1.657423
271,0.717646,1.648655
272,0.746771,1.513086
273,0.753636,1.485665
274,0.763469,1.448879
275,0.799658,1.334284
276,0.825900,1.267105
277,0.736317,1.557900
278,0.772773,1.416513
279,0.748273,1.506957
280,0.747606,1.509668
281,0.737673,1.551865
282,0.758560,1.466895
283,0.693594,1.791363
284,0.751788,1.492897
285,0.695313,1.779997
286,0.716577,1.654321
287,0.736421,1.557437
288,0.721572,1.628303
289,0.724744,1.612377
290,0.725035,1.610940
291,0.790868,1.359495
292,0.697585,1.765275
293,0.740951,1.537554
294,0.730274,1.585664
295,0.696999,1.769040
296,0.718245,1.645503
297,0.729813,1.587841
298,0.752913,1.488482
299,0.718010,1.646735
300,0.714968,1.662964
301,0.710830,1.685792
302,0.766792,1.437061
303,0.720596,1.633295
304,0.749188,1.503260
305,0.741681,1.534420
306,0.760891,1.458255
307,0.767319,1.435211
308,0.750574,1.497710
309,0.726878,1.601912
310,0.800165,1.332876
311,0.780794,1.390331
312,0.793052,1.353092
313,0.774892,1.409447
314,0.779780,1.393559
315,0.774501,1.410745
316,0.730084,1.586562
317,0.734364,1.566718
318,0.719121,1.640920
319,0.719306,1.639960
320,0.740570,1.539200
321,0.725292,1.609673
322,0.743490,1.526737
323,0.786059,1.373946
324,0.727080,1.600935
325,0.725139,1.610426
326,0.752830,1.488809
327,0.734921,1.564189
328,0.765955,1.440008
329,0.746530,1.514077
330,0.755637,1.477950
331,0.721302,1.629679
332,0.708930,1.696575
333,0.743229,1.527837
334,0.743193,1.527992
335,0.740986,1.537405
336,0.740601,1.539064
337,0.807785,1.312256
338,0.753271,1.487087
339,0.725429,1.608998
340,0.719952,1.636611
341,0.778215,1.398585
342,0.745803,1.517075
343,0.730275,1.585660
344,0.689917,1.816366
345,0.700949,1.744096
346,0.715320,1.661064
347,0.756482,1.474727
348,0.727558,1.598622
349,0.736326,1.557862
350,0.732591,1.574847
351,0.767974,1.432927
352,0.687300,1.834761
353,0.772131,1.418675
354,0.728641,1.593419
355,0.766550,1.437911
356,0.723578,1.618180
357,0.753111,1.487709
358,0.704881,1.720221
359,0.737890,1.550904
360,0.725220,1.610025
361,0.712537,1.676265
362,0.693836,1.789747
363,0.707908,1.702456
364,0.736114,1.558813
365,0.758055,1.468785
366,0.754553,1.482114
367,0.692816,1.796575
368,0.705336,1.717518
369,0.730421,1.584971
