No.,tL,tR
true,0.862069,1.190476
0,0.862151,1.190320
1,0.839974,1.235350
2,0.884893,1.149531
3,0.805826,1.317457
4,0.872571,1.171013
5,0.831853,1.253345
6,0.832596,1.251662
7,0.846100,1.222334
8,0.909971,1.109799
9,0.843145,1.228555
10,0.862284,1.190067
11,0.918269,1.097701
12,0.870256,1.175208
13,0.906786,1.114574
14,0.889550,1.141766
15,0.815108,1.293379
16,0.920018,1.095212
17,0.815204,1.293138
18,0.861600,1.191371
19,0.888761,1.143068
20,0.851706,1.210820
21,0.822923,1.274178
22,0.832470,1.251948
23,0.851136,1.211975
24,0.838148,1.239321
25,0.814702,1.294401
26,0.874849,1.166935
27,0.851864,1.210501
28,0.840723,1.233734
29,0.875357,1.166032
30,0.803298,1.324271
31,0.896599,1.130359
32,0.862194,1.190238
33,0.861811,1.190968
34,0.917111,1.099361
35,0.868967,1.177568
36,0.800342,1.332385
37,0.798587,1.337278
38,0.849259,1.215801
39,0.853292,1.207630
40,0.879329,1.159058
41,0.845943,1.222663
42,0.785300,1.376271
43,0.843205,1.228428
44,0.814151,1.295795
45,0.857684,1.198941
46,0.902077,1.121772
47,0.885149,1.149099
48,0.851769,1.210693
49,0.860684,1.193128
50,0.813775,1.296749
51,0.815637,1.292048
52,0.914518,1.103110
53,0.881669,1.155018
54,0.835769,1.244559
55,0.811387,1.302858
56,0.800199,1.332781
57,0.927471,1.084834
58,0.878960,1.159700
59,0.802412,1.326688
60,0.897425,1.129049
61,0.892559,1.136848
62,0.881269,1.155706
63,0.883658,1.151622
64,0.841075,1.232977
65,0.891430,1.138684
66,0.866117,1.182842
67,0.807914,1.311915
68,0.842038,1.230913
69,0.811478,1.302625
70,0.775623,1.407036
71,0.850934,1.212384
72,0.903609,1.119412
73,0.830293,1.256903
74,0.907963,1.112800
75,0.846526,1.221447
76,0.852345,1.209531
77,0.837485,1.240774
78,0.842263,1.230432
79,0.845748,1.223070
80,0.841731,1.231569
81,0.803413,1.323960
82,0.846709,1.221066
83,0.832259,1.252425
84,0.845761,1.223044
85,0.841170,1.232772
86,0.917411,1.098930
87,0.846604,1.221284
88,0.791981,1.356221
89,0.815897,1.291397
90,0.897882,1.128327
91,0.860677,1.193140
92,0.940742,1.067225
93,0.844745,1.225173
94,0.850374,1.213524
95,0.863488,1.187780
96,0.850822,1.212612
97,0.862123,1.190372
98,0.848526,1.217307
99,0.841081,1.232965
100,0.837630,1.240455
101,0.851592,1.211051
102,0.812341,1.300407
103,0.870051,1.175583
104,0.804116,1.322056
105,0.876082,1.164749
106,0.821272,1.278156
107,0.848807,1.216728
108,0.807476,1.313072
109,0.853872,1.206470
110,0.841645,1.231753
111,0.899714,1.125447
112,0.833505,1.249614
113,0.820838,1.279211
114,0.841162,1.232789
115,0.811084,1.303642
116,0.822502,1.275190
117,0.845957,1.222634
118,0.843345,1.228131
119,0.835673,1.244772
120,0.874172,1.168141
121,0.850421,1.213427
122,0.825652,1.267692
123,0.907494,1.113505
124,0.855956,1.202333
125,0.839151,1.237134
126,0.821846,1.276769
127,0.839445,1.236497
128,0.846072,1.222392
129,0.890654,1.139952
130,0.778964,1.396174
131,0.841719,1.231596
132,0.862424,1.189801
133,0.844302,1.226107
134,0.840578,1.234046
135,0.860433,1.193610
136,0.848452,1.217460
137,0.885711,1.148154
138,0.873635,1.169102
139,0.861149,1.192234
140,0.871938,1.172155
141,0.891081,1.139253
142,0.823992,1.271624
143,0.811886,1.301574
144,0.854633,1.204955
145,0.849765,1.214766
146,0.920473,1.094568
147,0.813646,1.297077
148,0.888789,1.143023
149,0.790912,1.359366
150,0.858794,1.196779
151,0.841003,1.233131
152,0.871161,1.173562
153,0.899331,1.126047
154,0.873624,1.169122
155,0.903576,1.119461
156,0.812930,1.298902
157,0.864568,1.185742
158,0.891872,1.137963
159,0.844432,1.225833
160,0.832420,1.252060
161,0.875763,1.165313
162,0.841181,1.232750
163,0.828145,1.261859
164,0.857667,1.198973
