No.,tL,tR
true,0.862069,1.190476
0,0.897594,1.128781
1,0.851684,1.210866
2,0.883936,1.151150
3,0.855786,1.202670
4,0.884516,1.150168
5,0.863140,1.188439
6,0.865388,1.184205
7,0.871007,1.173842
8,0.917047,1.099453
9,0.856873,1.200530
10,0.891136,1.139164
11,0.902728,1.120766
12,0.894538,1.133652
13,0.917267,1.099136
14,0.905247,1.116908
15,0.854130,1.205956
16,0.889543,1.141778
17,0.854434,1.205350
18,0.855664,1.202910
19,0.880114,1.157698
20,0.841352,1.232382
21,0.858418,1.197509
22,0.872714,1.170755
23,0.872792,1.170615
24,0.838977,1.237513
25,0.858376,1.197592
26,0.903017,1.120321
27,0.871917,1.172193
28,0.851253,1.211738
29,0.893574,1.135205
30,0.854470,1.205278
31,0.871698,1.172589
32,0.879005,1.159621
33,0.882467,1.153651
34,0.899539,1.125721
35,0.893771,1.134887
36,0.870873,1.174085
37,0.835354,1.245480
38,0.856471,1.201319
39,0.886943,1.146091
40,0.884496,1.150201
41,0.848793,1.216757
42,0.850045,1.214193
43,0.863809,1.187174
44,0.856602,1.201061
45,0.838037,1.239564
46,0.896439,1.130614
47,0.865269,1.184427
48,0.863256,1.188220
49,0.878586,1.160352
50,0.818279,1.285475
51,0.858332,1.197678
52,0.932132,1.078527
53,0.880799,1.156515
54,0.884932,1.149465
55,0.854295,1.205626
56,0.844582,1.225517
57,0.912687,1.105786
58,0.889696,1.141526
59,0.835911,1.244244
60,0.892281,1.137298
61,0.903784,1.119143
62,0.877738,1.161835
63,0.886135,1.147443
64,0.842272,1.230413
65,0.872070,1.171917
66,0.875518,1.165747
67,0.819880,1.281543
68,0.849435,1.215440
69,0.854076,1.206063
70,0.846863,1.220746
71,0.891549,1.138489
72,0.910532,1.108966
73,0.837507,1.240726
74,0.908776,1.111582
75,0.844080,1.226576
76,0.899484,1.125807
77,0.842346,1.230255
78,0.903605,1.119418
79,0.870456,1.174844
80,0.870469,1.174820
81,0.830149,1.257234
82,0.847738,1.218932
83,0.863935,1.186936
84,0.872985,1.170269
85,0.866630,1.181887
86,0.923443,1.090398
87,0.856451,1.201358
88,0.848131,1.218121
89,0.832551,1.251764
90,0.895977,1.131350
91,0.871854,1.172308
92,0.936159,1.073185
93,0.850093,1.214095
94,0.853513,1.207188
95,0.855948,1.202350
96,0.861119,1.192292
97,0.887761,1.144726
98,0.878118,1.161169
99,0.871406,1.173118
100,0.873226,1.169835
101,0.875940,1.165000
102,0.845536,1.223513
103,0.874282,1.167946
104,0.837891,1.239884
105,0.873401,1.169521
106,0.859134,1.196118
107,0.860425,1.193626
108,0.854671,1.204878
109,0.889683,1.141547
110,0.835718,1.244673
111,0.903238,1.119981
112,0.873737,1.168920
113,0.861887,1.190823
114,0.888887,1.142860
115,0.838887,1.237709
116,0.851673,1.210888
117,0.857735,1.198841
118,0.876506,1.164000
119,0.861229,1.192082
120,0.912930,1.105429
121,0.872137,1.171796
122,0.881323,1.155613
123,0.943336,1.063907
124,0.858956,1.196464
125,0.851411,1.211418
126,0.820274,1.280582
127,0.864459,1.185948
128,0.867071,1.181067
129,0.876027,1.164845
130,0.835630,1.244868
131,0.836407,1.243147
132,0.865153,1.184645
133,0.853223,1.207767
134,0.862412,1.189823
135,0.891181,1.139090
136,0.895517,1.132084
137,0.911565,1.107437
138,0.902586,1.120985
139,0.841994,1.231007
140,0.889272,1.142224
141,0.891838,1.138018
142,0.857978,1.198366
143,0.856997,1.200286
144,0.830295,1.256899
145,0.889086,1.142531
146,0.898204,1.127819
147,0.873092,1.170076
148,0.867769,1.179774
149,0.828087,1.261993
150,0.887949,1.144414
151,0.845528,1.223530
152,0.887323,1.145457
153,0.927479,1.084824
154,0.889584,1.141710
155,0.905871,1.115959
156,0.822280,1.275722
157,0.887432,1.145274
158,0.899971,1.125045
159,0.848609,1.217135
160,0.854384,1.205449
161,0.871813,1.172380
162,0.850988,1.212274
163,0.858525,1.197302
164,0.874537,1.167491
165,0.877394,1.162437
166,0.893470,1.135372
167,0.895828,1.131588
168,0.857128,1.200028
169,0.888037,1.144268
170,0.877944,1.161473
171,0.807943,1.311838
172,0.867454,1.180358
173,0.856507,1.201248
174,0.902814,1.120634
175,0.842653,1.229601
176,0.859863,1.194709
177,0.929784,1.081688
178,0.851546,1.211144
179,0.867340,1.180568
180,0.850848,1.212558
181,0.877788,1.161747
182,0.853214,1.207785
183,0.900386,1.124397
184,0.896472,1.130562
185,0.861651,1.191275
186,0.859839,1.194755
187,0.869311,1.176937
188,0.876654,1.163740
189,0.871158,1.173568
190,0.929784,1.081688
191,0.867105,1.181005
192,0.885146,1.149104
193,0.834089,1.248303
194,0.848434,1.217496
195,0.935862,1.073577
196,0.880917,1.156311
197,0.861531,1.191503
198,0.887648,1.144914
199,0.828748,1.260460
200,0.866612,1.181920
201,0.854107,1.206000
202,0.893067,1.136024
203,0.856908,1.200460
204,0.868871,1.177743
205,0.879940,1.157999
206,0.841973,1.231052
207,0.846998,1.220465
208,0.847671,1.219070
209,0.856770,1.200731
210,0.856357,1.201544
211,0.869705,1.176216
212,0.891983,1.137783
213,0.871303,1.173304
214,0.848137,1.218108
215,0.866660,1.181831
216,0.870779,1.174256
217,0.849992,1.214301
218,0.843037,1.228784
219,0.843825,1.227115
220,0.852396,1.209429
221,0.857443,1.199413
222,0.826464,1.265782
223,0.848103,1.218178
224,0.875175,1.166356
225,0.838701,1.238114
226,0.834310,1.247809
227,0.896110,1.131139
228,0.859921,1.194596
229,0.871004,1.173847
230,0.865051,1.184837
231,0.877878,1.161590
232,0.897230,1.129359
233,0.842946,1.228977
234,0.851200,1.211846
235,0.874938,1.166776
236,0.946365,1.060080
237,0.836794,1.242294
238,0.884948,1.149439
239,0.867348,1.180553
240,0.925078,1.088128
241,0.831026,1.255229
242,0.873263,1.169769
243,0.866186,1.182713
244,0.859205,1.195981
245,0.878496,1.160509
246,0.906356,1.115224
247,0.847098,1.220259
248,0.895250,1.132510
249,0.837761,1.240168
250,0.849604,1.215095
251,0.843610,1.227569
252,0.884240,1.150634
253,0.934018,1.076013
254,0.864782,1.185342
255,0.859306,1.195785
256,0.830690,1.255995
257,0.843907,1.226940
258,0.858166,1.198000
259,0.859340,1.195720
260,0.875722,1.165386
261,0.848759,1.216828
262,0.883234,1.152343
263,0.856556,1.201152
264,0.891663,1.138303
265,0.871686,1.172610
266,0.917625,1.098623
267,0.865033,1.184869
268,0.900227,1.124645
269,0.889390,1.142029
270,0.848186,1.218007
271,0.845661,1.223253
272,0.870277,1.175170
