No.,tL,tR
true,0.862069,1.190476
0,0.932639,1.077850
1,0.901759,1.122264
2,0.939294,1.069095
3,0.891991,1.137769
4,0.914453,1.103205
5,0.904667,1.117792
6,0.913281,1.104916
7,0.897376,1.129127
8,0.984316,1.016192
9,0.913167,1.105083
10,0.923448,1.090391
11,0.958890,1.044793
12,0.946540,1.059860
13,0.966256,1.036187
14,0.950789,1.054584
15,0.905005,1.117277
16,0.962762,1.040235
17,0.907174,1.113989
18,0.900537,1.124162
19,0.929707,1.081792
20,0.897752,1.128533
21,0.891105,1.139214
22,0.925369,1.087725
23,0.911939,1.106886
24,0.893730,1.134953
25,0.908467,1.112044
26,0.938857,1.069662
27,0.947457,1.058713
28,0.907447,1.113577
29,0.935689,1.073803
30,0.900617,1.124038
31,0.939442,1.068903
32,0.923434,1.090410
33,0.943348,1.063891
34,0.969274,1.032737
35,0.935647,1.073859
36,0.914979,1.102440
37,0.876578,1.163873
38,0.908844,1.111481
39,0.927898,1.084252
40,0.931056,1.079971
41,0.890615,1.140016
42,0.871680,1.172622
43,0.898833,1.126829
44,0.907130,1.114054
45,0.909073,1.111137
46,0.977736,1.023301
47,0.929697,1.081805
48,0.936032,1.073352
49,0.941512,1.066235
50,0.894902,1.133069
51,0.904817,1.117564
52,0.951086,1.054218
53,0.938294,1.070394
54,0.910639,1.108807
55,0.896764,1.130098
56,0.894272,1.134080
57,0.958078,1.045758
58,0.942046,1.065553
59,0.886234,1.147275
60,0.976293,1.024887
61,0.954827,1.049660
62,0.937125,1.071919
63,0.942188,1.065370
64,0.888064,1.144224
65,0.938656,1.069922
66,0.945788,1.060805
67,0.888194,1.144008
68,0.894263,1.134094
69,0.906201,1.115459
70,0.872965,1.170304
71,0.925591,1.087419
72,0.963697,1.039145
73,0.877839,1.161657
74,0.954976,1.049479
75,0.912063,1.106703
76,0.932739,1.077716
77,0.904700,1.117742
78,0.930930,1.080140
79,0.929244,1.082419
80,0.914209,1.103560
81,0.903603,1.119421
82,0.920562,1.094442
83,0.924303,1.089202
84,0.920283,1.094837
85,0.897520,1.128899
86,0.979955,1.020883
87,0.931318,1.079618
88,0.879801,1.158239
89,0.878808,1.159965
90,0.930881,1.080206
91,0.916695,1.099959
92,0.984068,1.016456
93,0.891639,1.138343
94,0.940431,1.067626
95,0.925760,1.087185
96,0.913054,1.105247
97,0.942463,1.065019
98,0.916110,1.100802
99,0.908303,1.112291
100,0.920347,1.094747
101,0.927805,1.084378
102,0.890828,1.139668
103,0.935271,1.074355
104,0.884796,1.149694
105,0.934939,1.074793
106,0.900121,1.124811
107,0.913664,1.104356
108,0.900268,1.124582
109,0.936486,1.072756
110,0.894517,1.133687
111,0.965145,1.037467
112,0.918967,1.096705
113,0.894422,1.133839
114,0.931489,1.079389
115,0.896460,1.130581
116,0.892719,1.136587
117,0.905146,1.117062
118,0.904384,1.118224
119,0.905264,1.116882
120,0.934874,1.074879
121,0.923599,1.090181
122,0.915753,1.101319
123,0.981399,1.019319
124,0.913734,1.104252
125,0.916541,1.100181
126,0.886006,1.147658
127,0.923251,1.090666
128,0.924916,1.088352
129,0.919974,1.095276
130,0.887421,1.145293
131,0.912584,1.105937
132,0.931624,1.079208
133,0.925658,1.087327
134,0.907541,1.113434
135,0.920029,1.095197
136,0.933486,1.076720
137,0.945211,1.061531
138,0.950154,1.055366
139,0.897555,1.128844
140,0.931850,1.078905
141,0.948023,1.058007
142,0.911696,1.107244
143,0.912670,1.105811
144,0.902137,1.121678
145,0.939718,1.068547
146,0.961422,1.041803
147,0.910498,1.109016
148,0.925250,1.087890
149,0.888610,1.143319
150,0.939462,1.068878
151,0.907883,1.112921
152,0.961341,1.041899
153,0.980719,1.020054
154,0.920623,1.094356
155,0.960876,1.042446
156,0.887192,1.145675
157,0.919361,1.096145
158,0.945069,1.061710
159,0.920461,1.094585
160,0.909261,1.110857
161,0.922112,1.092259
162,0.907213,1.113930
163,0.905742,1.116155
164,0.914216,1.103550
165,0.924038,1.089570
166,0.953976,1.050690
167,0.974933,1.026390
168,0.912121,1.106618
169,0.976674,1.024467
170,0.922374,1.091892
171,0.851033,1.212184
172,0.907195,1.113956
173,0.896814,1.130019
174,0.940199,1.067925
175,0.891608,1.138394
176,0.927966,1.084159
177,0.980191,1.020626
178,0.907786,1.113067
179,0.893542,1.135257
180,0.936102,1.073260
181,0.925430,1.087641
182,0.900100,1.124843
183,0.952371,1.052644
184,0.946375,1.060068
185,0.924237,1.089294
186,0.907650,1.113271
187,0.911116,1.108100
188,0.914406,1.103273
189,0.915775,1.101287
190,0.980191,1.020626
191,0.924388,1.089083
192,0.926853,1.085682
193,0.909506,1.110492
194,0.896636,1.130302
195,0.985606,1.014821
196,0.935524,1.074022
197,0.923108,1.090866
198,0.918191,1.097813
199,0.875097,1.166495
200,0.946479,1.059937
201,0.900929,1.123552
202,0.935576,1.073953
203,0.902719,1.120781
204,0.935426,1.074150
205,0.923975,1.089657
206,0.884754,1.149766
207,0.909857,1.109968
208,0.897668,1.128665
209,0.885294,1.148855
210,0.901892,1.122058
211,0.918662,1.097140
212,0.955121,1.049305
213,0.925235,1.087910
214,0.881212,1.155803
215,0.919131,1.096472
216,0.943017,1.064312
217,0.884707,1.149845
218,0.897707,1.128603
219,0.901501,1.122663
220,0.908431,1.112098
221,0.939942,1.068256
222,0.877037,1.163064
223,0.898996,1.126573
224,0.924183,1.089368
225,0.886239,1.147267
226,0.867074,1.181062
227,0.972433,1.029175
228,0.913466,1.104645
229,0.898655,1.127109
230,0.915433,1.101782
231,0.918539,1.097316
232,0.937337,1.071642
233,0.897152,1.129481
234,0.881351,1.155564
235,0.931859,1.078892
236,0.987367,1.012960
237,0.892905,1.136286
238,0.913630,1.104405
239,0.919953,1.095305
240,0.950741,1.054642
241,0.903591,1.119438
242,0.911087,1.108144
243,0.921223,1.093510
244,0.902893,1.120512
245,0.909125,1.111060
246,0.928869,1.082928
247,0.897723,1.128579
248,0.962544,1.040489
249,0.891945,1.137845
250,0.904233,1.118455
251,0.891113,1.139202
252,0.925713,1.087250
253,0.978269,1.022718
254,0.938045,1.070717
255,0.900933,1.123546
256,0.890285,1.140557
257,0.914816,1.102677
258,0.921719,1.092812
259,0.890187,1.140718
260,0.911792,1.107103
261,0.919748,1.095596
262,0.947966,1.058078
263,0.892453,1.137018
264,0.944912,1.061908
265,0.906899,1.114403
266,0.941045,1.066836
267,0.939946,1.068252
268,0.961823,1.041333
269,0.936855,1.072272
270,0.899987,1.125020
271,0.879435,1.158874
272,0.926329,1.086401
273,0.899263,1.126154
274,0.937852,1.070969
275,0.953495,1.051274
276,0.961280,1.041970
277,0.913388,1.104758
278,0.915474,1.101722
279,0.938757,1.069791
280,0.901128,1.123242
281,0.944991,1.061809
282,0.907855,1.112962
283,0.876927,1.163259
284,0.963043,1.039906
285,0.905020,1.117254
286,0.898621,1.127162
287,0.908603,1.111841
288,0.927188,1.085222
289,0.894288,1.134054
290,0.909602,1.110349
291,0.961493,1.041720
292,0.883381,1.152093
293,0.891784,1.138107
294,0.925488,1.087561
295,0.899797,1.125317
296,0.915058,1.102325
297,0.905061,1.117190
298,0.935828,1.073621
299,0.907711,1.113179
300,0.887919,1.144464
301,0.870328,1.175077
302,0.919799,1.095523
303,0.896419,1.130645
304,0.926100,1.086717
305,0.947213,1.059017
306,0.927269,1.085112
307,0.958568,1.045175
308,0.908013,1.112725
309,0.875311,1.166115
310,0.984915,1.015554
311,0.938839,1.069685
312,0.969880,1.032051
313,0.930126,1.081225
314,0.918350,1.097586
315,0.931460,1.079428
316,0.897690,1.128631
317,0.939577,1.068728
318,0.905400,1.116675
319,0.879377,1.158976
320,0.946958,1.059337
321,0.905293,1.116838
322,0.904869,1.117484
323,0.950552,1.054875
324,0.917170,1.099275
325,0.894992,1.132924
326,0.946888,1.059424
327,0.928431,1.083524
328,0.971317,1.030428
329,0.927826,1.084350
330,0.952979,1.051902
331,0.902245,1.121512
332,0.898427,1.127468
333,0.928857,1.082944
334,0.920247,1.094889
335,0.914821,1.102670
336,0.912889,1.105490
337,0.941590,1.066136
338,0.918661,1.097142
339,0.891947,1.137842
340,0.915038,1.102354
341,0.955488,1.048862
342,0.921382,1.093287
343,0.898667,1.127090
344,0.884930,1.149469
345,0.945444,1.061237
346,0.888936,1.142779
347,0.926883,1.085641
348,0.913723,1.104270
349,0.897316,1.129222
350,0.889703,1.141514
351,0.923152,1.090805
352,0.835638,1.244850
353,0.954267,1.050337
354,0.927221,1.085177
355,0.922051,1.092345
356,0.900646,1.123993
357,0.940634,1.067365
358,0.925565,1.087455
359,0.919230,1.096332
360,0.917220,1.099205
361,0.890455,1.140278
362,0.859870,1.194695
363,0.862276,1.190082
364,0.914951,1.102481
365,0.928150,1.083908
366,0.924075,1.089518
367,0.885945,1.147761
368,0.878245,1.160947
369,0.943957,1.063118
370,0.935063,1.074629
371,0.905371,1.116719
372,0.912642,1.105852
373,0.956714,1.047388
374,0.928591,1.083307
375,0.961582,1.041615
376,0.924607,1.088779
377,0.953157,1.051685
378,0.883178,1.152439
379,0.897202,1.129402
380,0.918480,1.097401
381,0.929526,1.082037
382,0.933030,1.077327
383,0.877169,1.162833
384,0.923570,1.090221
385,0.922711,1.091421
386,0.939431,1.068918
387,0.909476,1.110537
388,0.890578,1.140077
389,0.923467,1.090365
390,0.895683,1.131819
391,0.898079,1.128015
392,0.938996,1.069481
393,0.948247,1.057728
394,0.889841,1.141287
395,0.938636,1.069949
396,0.873113,1.170039
397,0.916969,1.099565
398,0.982787,1.017827
399,0.925854,1.087056
400,0.959994,1.043486
401,0.905979,1.115796
402,0.973688,1.027773
403,0.944367,1.062598
404,0.930251,1.081057
405,0.903913,1.118946
406,0.909679,1.110234
407,0.953990,1.050673
408,0.938198,1.070518
409,0.879085,1.159483
410,0.912798,1.105622
411,0.902371,1.121317
412,0.921911,1.092542
413,0.912589,1.105930
414,0.923838,1.089847
415,0.927114,1.085324
416,0.911682,1.107265
417,0.894499,1.133715
418,0.868309,1.178778
419,0.914797,1.102705
420,0.933205,1.077095
421,0.924024,1.089589
422,0.945559,1.061093
423,0.929363,1.082258
424,0.871427,1.173079
425,0.898518,1.127325
426,0.890442,1.140301
427,0.920203,1.094950
428,0.923438,1.090405
429,0.910076,1.109643
430,0.946412,1.060020
431,0.909207,1.110937
432,0.906285,1.115331
433,0.883160,1.152469
434,0.924205,1.089338
435,0.903394,1.119742
436,0.914779,1.102731
437,0.890801,1.139712
438,0.910588,1.108883
439,0.883137,1.152508
440,0.925183,1.087982
441,0.937814,1.071019
442,0.942172,1.065391
443,0.936239,1.073081
444,0.869697,1.176229
445,0.915427,1.101791
446,0.915973,1.101001
447,0.908270,1.112339
448,0.926241,1.086523
449,0.908696,1.111701
450,0.915623,1.101506
451,0.883758,1.151453
452,0.883993,1.151053
453,0.924355,1.089129
454,0.918191,1.097813
455,0.961859,1.041291
456,0.949277,1.056450
457,0.868264,1.178862
458,0.894377,1.133911
459,0.892513,1.136922
460,0.905476,1.116560
461,0.977117,1.023981
462,0.913787,1.104176
463,0.912206,1.106493
464,0.906193,1.115471
465,0.954828,1.049659
466,0.902684,1.120834
467,0.908497,1.111999
468,0.911633,1.107336
469,0.933310,1.076954
470,0.974711,1.026636
471,0.918512,1.097355
472,0.896278,1.130869
473,0.959345,1.044253
474,0.886562,1.146727
475,0.903149,1.120119
476,0.911204,1.107971
477,0.930386,1.080875
478,0.955085,1.049347
479,0.932858,1.077556
480,0.867000,1.181198
481,0.923183,1.090762
482,0.919305,1.096225
483,0.909643,1.110287
484,0.934291,1.075651
485,0.928741,1.083103
486,0.899206,1.126243
487,0.912168,1.106550
488,0.957367,1.046607
489,0.922972,1.091056
490,0.942341,1.065175
491,0.889115,1.142483
492,0.885439,1.148611
493,0.899189,1.126270
494,0.902097,1.121740
495,0.916726,1.099915
496,0.908297,1.112299
497,0.959011,1.044649
498,0.957802,1.046088
499,0.915882,1.101132
500,0.914167,1.103621
