No.,tL,tR
true,0.862069,1.190476
0,0.777325,1.401469
1,0.741503,1.535186
2,0.760288,1.460475
3,0.724646,1.612862
4,0.778718,1.396963
5,0.753993,1.484277
6,0.733382,1.571205
7,0.739284,1.544783
8,0.771657,1.420278
9,0.715941,1.657723
10,0.766518,1.438022
11,0.773367,1.414521
12,0.759885,1.461964
13,0.790443,1.360754
14,0.781361,1.388538
15,0.713560,1.670630
16,0.767561,1.434365
17,0.733317,1.571504
18,0.735977,1.559424
19,0.763380,1.449200
20,0.724008,1.616031
21,0.748168,1.507381
22,0.743870,1.525137
23,0.739578,1.543501
24,0.727449,1.599148
25,0.736685,1.556255
26,0.791238,1.358404
27,0.716714,1.653594
28,0.732434,1.575575
29,0.790007,1.362047
30,0.725040,1.610911
31,0.728882,1.592268
32,0.760823,1.458505
33,0.754818,1.481091
34,0.749410,1.502364
35,0.780690,1.390662
36,0.726435,1.604067
37,0.718047,1.646540
38,0.738654,1.547542
39,0.771153,1.421989
40,0.776132,1.405363
41,0.721033,1.631051
42,0.723128,1.620432
43,0.733866,1.568988
44,0.716747,1.653419
45,0.717139,1.651335
46,0.738155,1.549736
47,0.729346,1.590057
48,0.719767,1.637567
49,0.736813,1.555684
50,0.680838,1.882453
51,0.736835,1.555586
52,0.826309,1.266146
53,0.754439,1.482556
54,0.764018,1.446907
55,0.730684,1.583734
56,0.729037,1.591528
57,0.790310,1.361149
58,0.766858,1.436827
59,0.712268,1.677758
60,0.736193,1.558456
61,0.760500,1.459693
62,0.744718,1.521585
63,0.764662,1.444600
64,0.707963,1.702137
65,0.742782,1.529731
66,0.725809,1.607128
67,0.707940,1.702269
68,0.723844,1.616851
69,0.729452,1.589550
70,0.705132,1.718729
71,0.756433,1.474914
72,0.782224,1.385822
73,0.723357,1.619285
74,0.803531,1.323638
75,0.727557,1.598626
76,0.784755,1.377948
77,0.723025,1.620953
78,0.759220,1.464433
79,0.730056,1.586692
80,0.733104,1.572481
81,0.691503,1.805460
82,0.714799,1.663878
83,0.711639,1.681256
84,0.737727,1.551625
85,0.750100,1.499601
86,0.800779,1.331176
87,0.728599,1.593617
88,0.714495,1.665526
89,0.715855,1.658184
90,0.782863,1.383819
91,0.760349,1.460249
92,0.807235,1.313708
93,0.744596,1.522094
94,0.720123,1.635727
95,0.726175,1.605340
96,0.729379,1.589898
97,0.751974,1.492166
98,0.756122,1.476097
99,0.732083,1.577200
100,0.740832,1.538070
101,0.745431,1.518616
102,0.709044,1.695922
103,0.732256,1.576400
104,0.715560,1.659768
105,0.747683,1.509357
106,0.732547,1.575049
107,0.728035,1.596324
108,0.728853,1.592405
109,0.758414,1.467441
110,0.714588,1.665024
111,0.757832,1.469624
112,0.740087,1.541290
113,0.746253,1.515215
114,0.739913,1.542043
115,0.705664,1.715572
116,0.731111,1.581733
117,0.735470,1.561707
118,0.748883,1.504487
119,0.752356,1.490663
120,0.806076,1.316791
121,0.742145,1.532438
122,0.743624,1.526171
123,0.816613,1.289608
124,0.736031,1.559181
125,0.730358,1.585265
126,0.706676,1.709621
127,0.731621,1.579352
128,0.733883,1.568911
129,0.754141,1.483706
130,0.703407,1.729060
131,0.712140,1.678466
132,0.729420,1.589703
133,0.715826,1.658342
134,0.725952,1.606429
135,0.778155,1.398779
136,0.767798,1.433541
137,0.796478,1.343232
138,0.766071,1.439600
139,0.726325,1.604608
140,0.769300,1.428332
141,0.764514,1.445128
142,0.730464,1.584767
143,0.712898,1.674269
144,0.704225,1.724143
145,0.757197,1.472017
146,0.770883,1.422907
147,0.753756,1.485197
148,0.761146,1.457319
149,0.708399,1.699620
150,0.756936,1.473007
151,0.723721,1.617464
152,0.744238,1.523591
153,0.788703,1.365942
154,0.773639,1.413613
155,0.765669,1.441021
156,0.702182,1.736508
157,0.768838,1.429927
158,0.793416,1.352033
159,0.722936,1.621398
160,0.724508,1.613546
161,0.760785,1.458643
162,0.715567,1.659735
163,0.735217,1.562850
164,0.754001,1.484248
165,0.764355,1.445699
166,0.754992,1.480423
167,0.739735,1.542819
168,0.745076,1.520092
169,0.720162,1.635528
