No.,tL,tR
true,0.862069,1.190476
0,0.867041,1.181123
1,0.837137,1.241537
2,0.880954,1.156248
3,0.804415,1.321248
4,0.871619,1.172731
5,0.830360,1.256750
6,0.834362,1.247693
7,0.839833,1.235655
8,0.912711,1.105750
9,0.836168,1.243675
10,0.860602,1.193285
11,0.921346,1.093337
12,0.860869,1.192773
13,0.907646,1.113277
14,0.895384,1.132297
15,0.807243,1.313689
16,0.920269,1.094856
17,0.814763,1.294248
18,0.857438,1.199423
19,0.888495,1.143509
20,0.847808,1.218787
21,0.823002,1.273989
22,0.846437,1.221632
23,0.853985,1.206244
24,0.853155,1.207905
25,0.817008,1.288624
26,0.871860,1.172295
27,0.855676,1.202887
28,0.841931,1.231141
29,0.869398,1.176777
30,0.805516,1.318288
31,0.888935,1.142781
32,0.865063,1.184813
33,0.876864,1.163370
34,0.922774,1.091333
35,0.870857,1.174115
36,0.807227,1.313731
37,0.794929,1.347661
38,0.855692,1.202855
39,0.850277,1.213721
40,0.879608,1.158574
41,0.847841,1.218719
42,0.786707,1.371971
43,0.843484,1.227837
44,0.805208,1.319113
45,0.863283,1.188168
46,0.913126,1.105142
47,0.879580,1.158623
48,0.843856,1.227048
49,0.863463,1.187827
50,0.812229,1.300694
51,0.816444,1.290030
52,0.911767,1.107140
53,0.880269,1.157429
54,0.834543,1.247289
55,0.808310,1.310871
56,0.799253,1.335415
57,0.923150,1.090807
58,0.879990,1.157912
59,0.803510,1.323695
60,0.906953,1.114322
61,0.895094,1.132760
62,0.885337,1.148783
63,0.889470,1.141897
64,0.838226,1.239151
65,0.888268,1.143884
66,0.859295,1.195807
67,0.807180,1.313855
68,0.831102,1.255054
69,0.810244,1.305816
70,0.775888,1.406166
71,0.845876,1.222803
72,0.905561,1.116430
73,0.828714,1.260538
74,0.906738,1.114647
75,0.851355,1.211532
76,0.865617,1.183776
77,0.846706,1.221072
78,0.844663,1.225347
79,0.846122,1.222289
80,0.840390,1.234452
81,0.817703,1.286897
82,0.827678,1.262945
83,0.833580,1.249445
84,0.841775,1.231476
85,0.844546,1.225592
86,0.928554,1.083357
87,0.843757,1.227258
88,0.791846,1.356615
89,0.817533,1.287319
90,0.895103,1.132746
91,0.859123,1.196141
92,0.946008,1.060528
93,0.849067,1.216195
94,0.861406,1.191743
95,0.865868,1.183307
96,0.855077,1.204073
97,0.862128,1.190364
98,0.845288,1.224033
99,0.835939,1.244183
100,0.835756,1.244589
101,0.849426,1.215460
102,0.813243,1.298103
103,0.869287,1.176979
104,0.797409,1.340594
105,0.870778,1.174258
106,0.811041,1.303753
107,0.837942,1.239771
108,0.812489,1.300027
109,0.842257,1.230445
110,0.839275,1.236864
111,0.888294,1.143842
112,0.828506,1.261022
113,0.817702,1.286900
114,0.838354,1.238871
115,0.815880,1.291440
116,0.831394,1.254389
117,0.844360,1.225985
118,0.840327,1.234587
119,0.826068,1.266710
120,0.873526,1.169297
121,0.848454,1.217456
122,0.827098,1.264297
123,0.897514,1.128909
124,0.851550,1.211136
125,0.833069,1.250595
126,0.827039,1.264435
127,0.850792,1.212673
128,0.851804,1.210622
129,0.891448,1.138654
130,0.785988,1.374163
131,0.842359,1.230227
132,0.861509,1.191546
133,0.843399,1.228016
134,0.833529,1.249560
135,0.855951,1.202344
136,0.850449,1.213371
137,0.888004,1.144323
138,0.878840,1.159909
139,0.826731,1.265156
140,0.864721,1.185455
141,0.895867,1.131526
142,0.821992,1.276416
143,0.812187,1.300803
144,0.852789,1.208640
145,0.866826,1.181522
146,0.915615,1.101519
147,0.821450,1.277727
148,0.884212,1.150682
149,0.788441,1.366729
150,0.859656,1.195109
151,0.842519,1.229887
152,0.878582,1.160359
153,0.894254,1.134108
154,0.875254,1.166216
155,0.902697,1.120814
156,0.808289,1.310928
157,0.863800,1.187192
158,0.892242,1.137362
159,0.841623,1.231801
160,0.828216,1.261693
161,0.872939,1.170352
162,0.835158,1.245918
163,0.838789,1.237921
164,0.855142,1.203944
165,0.890246,1.140622
166,0.909120,1.111067
167,0.895957,1.131381
168,0.861989,1.190629
169,0.878136,1.161137
170,0.862976,1.188750
171,0.768551,1.430923
172,0.835040,1.246180
173,0.825686,1.267610
174,0.885588,1.148361
175,0.812167,1.300852
176,0.837506,1.240727
177,0.921994,1.092425
178,0.833789,1.248977
179,0.823740,1.272225
180,0.846734,1.221013
181,0.845571,1.223440
182,0.815381,1.292692
183,0.889352,1.142093
184,0.885814,1.147981
185,0.846780,1.220919
186,0.831717,1.253654
187,0.853885,1.206445
188,0.846007,1.222528
189,0.845076,1.224478
190,0.921994,1.092425
191,0.860064,1.194321
192,0.825011,1.269205
193,0.839242,1.236937
194,0.815509,1.292371
195,0.948689,1.057179
196,0.849944,1.214400
197,0.858184,1.197966
198,0.848139,1.218103
199,0.806798,1.314868
200,0.873253,1.169786
201,0.824356,1.270759
202,0.858991,1.196397
203,0.870615,1.174555
204,0.900417,1.124349
205,0.845708,1.223154
206,0.802521,1.326389
207,0.794151,1.349904
208,0.826040,1.266777
209,0.798734,1.336865
210,0.841343,1.232402
211,0.831685,1.253728
212,0.895678,1.131827
213,0.833837,1.248868
214,0.795076,1.347240
215,0.845913,1.222726
216,0.858174,1.197984
217,0.799056,1.335963
218,0.832194,1.252573
219,0.805476,1.318394
220,0.812104,1.301015
221,0.897791,1.128471
222,0.797120,1.341410
223,0.835156,1.245921
224,0.854560,1.205099
225,0.794987,1.347495
226,0.765119,1.442971
227,0.928592,1.083305
228,0.848069,1.218249
229,0.836057,1.243922
230,0.846058,1.222423
231,0.830786,1.255776
232,0.851616,1.211002
233,0.830018,1.257535
234,0.811802,1.301791
235,0.831655,1.253796
236,0.955280,1.049113
237,0.836805,1.242269
238,0.841989,1.231017
239,0.861384,1.191785
240,0.915760,1.101309
241,0.789350,1.364006
242,0.825480,1.268095
243,0.865544,1.183913
244,0.838745,1.238018
245,0.848739,1.216869
246,0.871443,1.173051
247,0.804441,1.321177
248,0.883251,1.152315
249,0.822180,1.275965
250,0.849841,1.214610
251,0.818309,1.285400
252,0.839752,1.235830
253,0.932993,1.077376
254,0.853800,1.206613
255,0.843599,1.227591
256,0.798638,1.337133
257,0.864595,1.185693
258,0.835994,1.244061
259,0.800097,1.333065
260,0.852586,1.209046
261,0.851989,1.210249
262,0.886215,1.147307
263,0.832734,1.251352
264,0.873631,1.169110
265,0.823613,1.272529
266,0.895888,1.131491
267,0.848051,1.218286
268,0.901059,1.123349
269,0.854267,1.205682
270,0.837245,1.241301
271,0.821215,1.278296
272,0.855497,1.203240
273,0.816146,1.290775
274,0.875845,1.165168
275,0.903598,1.119428
276,0.891742,1.138176
277,0.826600,1.265462
278,0.863479,1.187798
279,0.874835,1.166959
280,0.840742,1.233693
281,0.855934,1.202377
282,0.847769,1.218869
283,0.760556,1.459485
284,0.902288,1.121445
285,0.822154,1.276026
286,0.814810,1.294130
287,0.830021,1.257528
288,0.828284,1.261536
289,0.837339,1.241094
290,0.825763,1.267430
291,0.903439,1.119672
292,0.795124,1.347102
293,0.808796,1.309595
294,0.849048,1.216234
295,0.818690,1.284462
296,0.867523,1.180229
297,0.813069,1.298547
298,0.843699,1.227380
299,0.821950,1.276519
300,0.812458,1.300108
301,0.804792,1.320232
302,0.855685,1.202870
303,0.809800,1.306973
304,0.872721,1.170744
305,0.878013,1.161353
306,0.837729,1.240237
307,0.885163,1.149076
308,0.874109,1.168255
309,0.784892,1.377525
310,0.926097,1.086722
311,0.884881,1.149552
312,0.897536,1.128874
313,0.889121,1.142474
314,0.875809,1.165232
315,0.864850,1.185213
316,0.798708,1.336936
317,0.879289,1.159128
318,0.825759,1.267438
319,0.802305,1.326978
320,0.871246,1.173407
321,0.845555,1.223474
322,0.823023,1.273939
323,0.882223,1.154068
324,0.828461,1.261125
325,0.806576,1.315459
326,0.893637,1.135103
327,0.853014,1.208188
328,0.904857,1.117502
329,0.875997,1.164899
330,0.872427,1.171273
331,0.834936,1.246412
332,0.793677,1.351275
333,0.840435,1.234354
334,0.876935,1.163245
335,0.853993,1.206228
336,0.857170,1.199946
337,0.901690,1.122370
338,0.837820,1.240039
339,0.826592,1.265482
340,0.844951,1.224740
341,0.891400,1.138733
342,0.856948,1.200382
343,0.845162,1.224297
344,0.798446,1.337673
345,0.853122,1.207971
346,0.816584,1.289680
347,0.845023,1.224590
348,0.841267,1.232564
349,0.830183,1.257155
350,0.818289,1.285450
351,0.858157,1.198018
352,0.750361,1.498558
353,0.870067,1.175554
354,0.863781,1.187226
355,0.860605,1.193280
356,0.817235,1.288058
357,0.842292,1.230371
358,0.811128,1.303527
359,0.862684,1.189306
360,0.819909,1.281473
361,0.777134,1.402091
362,0.766954,1.436490
363,0.757379,1.471331
364,0.852548,1.209124
365,0.850028,1.214229
366,0.872328,1.171451
367,0.812757,1.299341
368,0.767911,1.433147
369,0.841793,1.231437
370,0.869899,1.175861
371,0.838832,1.237829
372,0.835963,1.244130
373,0.863831,1.187133
374,0.854116,1.205983
375,0.903009,1.120333
376,0.853109,1.207997
377,0.905087,1.117151
378,0.797466,1.340433
379,0.800799,1.331119
380,0.830534,1.256352
381,0.842123,1.230731
382,0.858642,1.197075
383,0.789579,1.363322
384,0.829491,1.258747
385,0.849201,1.215919
386,0.877337,1.162538
387,0.855166,1.203896
388,0.828207,1.261714
389,0.850033,1.214218
390,0.830460,1.256521
391,0.834106,1.248265
392,0.884395,1.150372
393,0.902187,1.121602
394,0.807856,1.312069
395,0.877941,1.161479
396,0.773817,1.413020
397,0.825435,1.268202
398,0.912702,1.105763
399,0.856396,1.201467
400,0.886401,1.146996
401,0.831121,1.255012
402,0.923073,1.090915
403,0.858418,1.197509
404,0.871090,1.173692
405,0.840084,1.235113
406,0.851714,1.210805
407,0.892296,1.137273
408,0.895630,1.131903
409,0.820782,1.279346
410,0.820417,1.280233
411,0.827282,1.263868
412,0.846081,1.222374
413,0.823336,1.273190
414,0.867420,1.180421
415,0.843907,1.226942
416,0.851874,1.210482
417,0.808841,1.309479
418,0.797849,1.339352
419,0.869246,1.177055
420,0.867364,1.180524
421,0.840539,1.234131
422,0.876249,1.164454
423,0.871545,1.172867
424,0.768573,1.430847
425,0.791527,1.357553
426,0.821138,1.278483
427,0.852642,1.208935
428,0.888466,1.143557
429,0.816407,1.290122
430,0.857912,1.198495
431,0.793938,1.350520
432,0.835995,1.244059
433,0.805175,1.319203
434,0.855058,1.204111
435,0.843695,1.227390
436,0.861945,1.190712
437,0.833095,1.250537
438,0.872817,1.170569
439,0.817004,1.288634
440,0.838278,1.239038
441,0.829099,1.259650
442,0.884534,1.150138
443,0.854448,1.205322
444,0.810407,1.305395
445,0.812894,1.298992
446,0.821015,1.278780
447,0.830761,1.255832
448,0.872278,1.171541
449,0.855217,1.203796
450,0.831023,1.255236
451,0.842077,1.230831
452,0.813119,1.298419
453,0.861421,1.191714
454,0.848139,1.218103
455,0.912988,1.105344
456,0.905969,1.115810
457,0.776317,1.404757
458,0.808898,1.309328
459,0.808547,1.310249
460,0.835699,1.244716
461,0.905991,1.115778
462,0.829771,1.258103
463,0.838038,1.239562
464,0.834503,1.247378
465,0.891447,1.138656
466,0.812588,1.299775
467,0.836208,1.243587
468,0.830802,1.255740
469,0.855622,1.202994
470,0.927388,1.084949
471,0.854927,1.204370
472,0.823225,1.273454
473,0.913950,1.103938
474,0.825366,1.268366
475,0.832946,1.250874
476,0.868386,1.178636
477,0.873357,1.169601
478,0.899561,1.125686
479,0.854036,1.206142
480,0.784789,1.377844
481,0.883414,1.152037
482,0.842570,1.229777
483,0.856555,1.201154
484,0.834368,1.247678
485,0.871566,1.172828
486,0.827007,1.264510
487,0.842151,1.230671
488,0.882144,1.154204
489,0.885910,1.147819
490,0.876118,1.164685
491,0.806615,1.315354
492,0.805853,1.317385
493,0.840169,1.234929
494,0.820515,1.279994
495,0.832387,1.252136
496,0.846906,1.220656
497,0.911195,1.107984
498,0.903512,1.119561
499,0.857760,1.198792
500,0.851523,1.211191
501,0.865908,1.183231
502,0.835554,1.245037
503,0.811456,1.302681
504,0.848285,1.217802
505,0.830083,1.257386
506,0.864570,1.185740
507,0.807347,1.313412
508,0.834191,1.248075
509,0.879497,1.158766
510,0.763108,1.450180
511,0.800116,1.333011
512,0.828756,1.260442
513,0.865009,1.184915
514,0.865436,1.184114
515,0.793177,1.352727
516,0.775145,1.408612
517,0.821530,1.277531
518,0.808619,1.310061
519,0.822215,1.275880
520,0.800201,1.332775
521,0.817292,1.287918
522,0.874718,1.167168
523,0.852315,1.209592
524,0.829825,1.257977
525,0.847216,1.220012
526,0.814686,1.294443
527,0.883299,1.152232
528,0.885467,1.148563
529,0.826804,1.264984
530,0.793284,1.352417
531,0.874953,1.166750
532,0.843127,1.228594
533,0.813731,1.296861
534,0.830820,1.255697
535,0.851123,1.212002
536,0.874918,1.166812
537,0.873069,1.170117
538,0.900002,1.124997
539,0.831971,1.253078
540,0.858012,1.198301
541,0.856815,1.200643
542,0.775344,1.407955
543,0.797354,1.340750
544,0.838328,1.238928
545,0.875371,1.166007
546,0.869832,1.175983
547,0.872246,1.171599
548,0.867161,1.180901
549,0.881721,1.154929
550,0.853124,1.207966
551,0.861608,1.191356
552,0.788454,1.366688
553,0.806156,1.316578
554,0.826560,1.265556
555,0.855830,1.202582
556,0.844913,1.224820
557,0.832035,1.252933
558,0.889159,1.142412
559,0.888523,1.143462
560,0.866280,1.182537
561,0.828791,1.260361
562,0.828066,1.262042
563,0.868300,1.178795
564,0.830956,1.255388
565,0.854606,1.205007
566,0.866125,1.182827
