ó^Ç¶ÇΩèdóvìx,0.320000,0.380000,0.240000,0.320000,0.160000,0.280000,0.080000,0.220000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
1,0.326473, 0.333521,0.326473, 0.333521,0.165920, 0.233243,0.113811, 0.167037,0.134646
2,0.363328, 0.379300,0.182217, 0.377193,0.177562, 0.254825,0.081917, 0.183658,0.389952
3,0.288657, 0.404424,0.198618, 0.293914,0.198479, 0.208714,0.198479, 0.208714,0.231535
4,0.243685, 0.513292,0.203614, 0.257243,0.203614, 0.257243,0.079479, 0.241828,0.539213
5,0.315773, 0.415936,0.239771, 0.315773,0.206184, 0.258933,0.119702, 0.127928,0.237141
6,0.295046, 0.448474,0.184516, 0.298202,0.213438, 0.253597,0.107270, 0.199457,0.399461
7,0.372534, 0.463650,0.209574, 0.289807,0.221757, 0.223431,0.095068, 0.124178,0.202133
8,0.424406, 0.427163,0.206637, 0.255830,0.169981, 0.219121,0.126881, 0.169981,0.144190
9,0.280630, 0.448823,0.217714, 0.398786,0.199393, 0.309114,0.071831, 0.073708,0.460863
10,0.313866, 0.344009,0.246901, 0.386106,0.158902, 0.246901,0.124793, 0.178523,0.311078
11,0.298335, 0.319387,0.175962, 0.305435,0.298335, 0.319387,0.097895, 0.185263,0.258947
12,0.263458, 0.339623,0.320279, 0.396534,0.196666, 0.263458,0.109635, 0.110347,0.219923
13,0.292138, 0.356587,0.239577, 0.306225,0.297666, 0.299598,0.088422, 0.119788,0.164395
14,0.299676, 0.310322,0.299676, 0.310322,0.250084, 0.303635,0.097013, 0.129273,0.107102
15,0.273015, 0.401690,0.270870, 0.276041,0.197291, 0.328936,0.109645, 0.142511,0.298356
16,0.301191, 0.487073,0.176649, 0.301191,0.222696, 0.228515,0.089247, 0.193439,0.420435
17,0.298335, 0.319387,0.175962, 0.305435,0.298335, 0.319387,0.097895, 0.185263,0.258947
18,0.320884, 0.414571,0.235568, 0.328189,0.160991, 0.238957,0.131616, 0.169224,0.301881
19,0.311008, 0.466732,0.230089, 0.368868,0.168194, 0.208027,0.086096, 0.160986,0.409225
20,0.270830, 0.414629,0.190412, 0.287426,0.269994, 0.277050,0.099247, 0.190412,0.339034
21,0.275826, 0.390747,0.267564, 0.345345,0.190899, 0.278912,0.111592, 0.139115,0.308238
22,0.313866, 0.344009,0.246901, 0.386106,0.158902, 0.246901,0.124793, 0.178523,0.311078
23,0.254245, 0.400357,0.283312, 0.349998,0.197421, 0.306705,0.075593, 0.132369,0.378859
24,0.354610, 0.359209,0.244787, 0.372138,0.154231, 0.244787,0.107063, 0.163174,0.278618
25,0.292744, 0.388566,0.290994, 0.294759,0.237138, 0.300835,0.076396, 0.118569,0.205458
26,0.319490, 0.441381,0.218422, 0.321368,0.212631, 0.283687,0.079484, 0.123537,0.339946
27,0.320884, 0.414571,0.235568, 0.328189,0.160991, 0.238957,0.131616, 0.169224,0.301881
28,0.412966, 0.420845,0.207975, 0.306351,0.167940, 0.216492,0.099491, 0.167940,0.223257
29,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
30,0.359379, 0.394353,0.266016, 0.375459,0.179689, 0.197176,0.085473, 0.142455,0.218886
31,0.250084, 0.303633,0.299677, 0.310321,0.299677, 0.310321,0.097014, 0.129273,0.107096
32,0.270883, 0.367361,0.194083, 0.291593,0.279168, 0.282792,0.120038, 0.194083,0.271656
