ó^Ç¶ÇΩèdóvìx,0.320000,0.380000,0.240000,0.320000,0.160000,0.280000,0.080000,0.220000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
1,0.311688, 0.389610,0.311688, 0.389610,0.155844, 0.207792,0.077922, 0.155844,0.285714
2,0.255489, 0.468397,0.195609, 0.335329,0.127745, 0.319361,0.042582, 0.255489,0.757152
3,0.279720, 0.391608,0.195804, 0.293706,0.139860, 0.279720,0.139860, 0.279720,0.489510
4,0.215054, 0.358423,0.197133, 0.387097,0.197133, 0.387097,0.043011, 0.215054,0.695341
5,0.286239, 0.381651,0.238532, 0.330275,0.143119, 0.286239,0.095413, 0.238532,0.473394
6,0.235514, 0.418692,0.201869, 0.336449,0.134579, 0.314019,0.089720, 0.269159,0.676636
7,0.391739, 0.447702,0.207861, 0.259827,0.207861, 0.277148,0.069287, 0.138574,0.246502
8,0.389189, 0.486486,0.194595, 0.259459,0.162162, 0.216216,0.097297, 0.194595,0.313514
9,0.276812, 0.461354,0.163571, 0.327142,0.085680, 0.342720,0.042840, 0.299880,0.862193
10,0.251945, 0.419909,0.227245, 0.340867,0.144868, 0.289737,0.083982, 0.241447,0.583920
11,0.230769, 0.384615,0.184615, 0.276923,0.230769, 0.384615,0.076923, 0.230769,0.553846
12,0.250000, 0.333333,0.283333, 0.377778,0.141667, 0.283333,0.094444, 0.236111,0.461111
13,0.278771, 0.334525,0.250179, 0.300214,0.278771, 0.348463,0.069693, 0.139385,0.245175
14,0.279720, 0.326340,0.279720, 0.326340,0.261072, 0.293706,0.093240, 0.139860,0.172494
15,0.276710, 0.399693,0.215219, 0.358698,0.145273, 0.290546,0.071740, 0.242121,0.582116
16,0.260902, 0.417443,0.187849, 0.328736,0.134178, 0.335445,0.067089, 0.268356,0.699963
17,0.230769, 0.384615,0.184615, 0.276923,0.230769, 0.384615,0.076923, 0.230769,0.553846
18,0.259542, 0.389313,0.229008, 0.343511,0.145992, 0.291985,0.097328, 0.243321,0.536260
19,0.349854, 0.495627,0.192420, 0.320700,0.106900, 0.249433,0.071267, 0.213800,0.559119
20,0.232558, 0.372093,0.178891, 0.286225,0.232558, 0.406977,0.058140, 0.232558,0.595707
21,0.274476, 0.396466,0.226039, 0.339059,0.144100, 0.288200,0.091492, 0.240167,0.527784
22,0.251945, 0.419909,0.227245, 0.340867,0.144868, 0.289737,0.083982, 0.241447,0.583920
23,0.275971, 0.413956,0.214644, 0.357740,0.148600, 0.297199,0.068993, 0.222899,0.583587
24,0.251945, 0.419909,0.227245, 0.340867,0.144868, 0.289737,0.083982, 0.241447,0.583920
25,0.277056, 0.346320,0.277056, 0.360173,0.242424, 0.303030,0.055411, 0.138528,0.296104
26,0.273756, 0.395426,0.242911, 0.350871,0.147407, 0.294815,0.073704, 0.221111,0.524444
27,0.259542, 0.389313,0.229008, 0.343511,0.145992, 0.291985,0.097328, 0.243321,0.536260
28,0.383764, 0.511685,0.191882, 0.287823,0.147601, 0.221402,0.063961, 0.191882,0.425584
29,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
30,0.320000, 0.400000,0.290909, 0.349091,0.160000, 0.240000,0.080000, 0.160000,0.298182
31,0.261072, 0.293706,0.279720, 0.326340,0.279720, 0.326340,0.093240, 0.139860,0.172494
32,0.235294, 0.352941,0.188235, 0.282353,0.235294, 0.392157,0.078431, 0.235294,0.525490
33,0.259542, 0.389313,0.229008, 0.343511,0.145992, 0.291985,0.097328, 0.243321,0.536260
34,0.285714, 0.285714,0.285714, 0.285714,0.285714, 0.285714,0.142857, 0.142857,0.000000
35,0.243056, 0.347222,0.284722, 0.379630,0.142361, 0.284722,0.081019, 0.237269,0.497685
36,0.299625, 0.411985,0.299625, 0.411985,0.149813, 0.239700,0.037453, 0.149813,0.426966
37,0.250863, 0.439011,0.220931, 0.353489,0.149553, 0.299106,0.062716, 0.224330,0.631873
38,0.263210, 0.438684,0.153539, 0.307079,0.083749, 0.334995,0.083749, 0.334995,0.831505
39,0.286239, 0.381651,0.238532, 0.330275,0.143119, 0.286239,0.095413, 0.238532,0.473394
40,0.389189, 0.475676,0.208494, 0.277992,0.108108, 0.216216,0.108108, 0.216216,0.372201
41,0.317881, 0.357616,0.317881, 0.370861,0.158940, 0.211921,0.105960, 0.158940,0.198675
42,0.259542, 0.389313,0.229008, 0.343511,0.145992, 0.291985,0.097328, 0.243321,0.536260
43,0.325879, 0.380192,0.325879, 0.380192,0.143770, 0.172524,0.108626, 0.162939,0.191693
44,0.324963, 0.389956,0.324963, 0.406204,0.132939, 0.177253,0.081241, 0.162482,0.271787
45,0.254257, 0.381385,0.238365, 0.317821,0.136209, 0.272418,0.127128, 0.272418,0.488082
46,0.260818, 0.417309,0.207469, 0.331950,0.130409, 0.326023,0.065205, 0.260818,0.672199
47,0.226039, 0.339059,0.274476, 0.396466,0.144100, 0.288200,0.091492, 0.240167,0.527784
48,0.271493, 0.407240,0.190045, 0.316742,0.135747, 0.316742,0.090498, 0.271493,0.624434
49,0.348055, 0.377060,0.336190, 0.358603,0.174028, 0.203032,0.087014, 0.116018,0.109426
50,0.274476, 0.396466,0.226039, 0.339059,0.144100, 0.288200,0.091492, 0.240167,0.527784
51,0.317881, 0.370861,0.317881, 0.357616,0.158940, 0.211921,0.105960, 0.158940,0.198675
52,0.276195, 0.414293,0.219701, 0.351521,0.148720, 0.297441,0.069049, 0.223081,0.572670
53,0.279720, 0.326340,0.261072, 0.293706,0.279720, 0.326340,0.093240, 0.139860,0.172494
54,0.259542, 0.389313,0.229008, 0.343511,0.145992, 0.291985,0.097328, 0.243321,0.536260
55,0.294840, 0.353808,0.324324, 0.405405,0.162162, 0.216216,0.081081, 0.162162,0.275184
56,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
57,0.369231, 0.461538,0.184615, 0.276923,0.184615, 0.246154,0.092308, 0.184615,0.338462
58,0.369231, 0.461538,0.184615, 0.276923,0.184615, 0.246154,0.092308, 0.184615,0.338462
59,0.345790, 0.403422,0.321477, 0.367402,0.172895, 0.216119,0.057632, 0.115263,0.204412
60,0.227245, 0.340867,0.251945, 0.419909,0.144868, 0.289737,0.083982, 0.241447,0.583920
61,0.273826, 0.365101,0.225503, 0.338255,0.136913, 0.273826,0.112752, 0.273826,0.502013
62,0.383494, 0.511326,0.205443, 0.319579,0.110623, 0.221247,0.063916, 0.184372,0.473046
63,0.252570, 0.432977,0.196350, 0.349066,0.134017, 0.301537,0.065450, 0.268033,0.703228
64,0.259542, 0.389313,0.229008, 0.343511,0.145992, 0.291985,0.097328, 0.243321,0.536260
65,0.278771, 0.334525,0.250179, 0.300214,0.278771, 0.348463,0.069693, 0.139385,0.245175
66,0.384307, 0.512409,0.213504, 0.308394,0.110858, 0.221715,0.064051, 0.184763,0.454562
67,0.276710, 0.399693,0.215219, 0.358698,0.145273, 0.290546,0.071740, 0.242121,0.582116
68,0.218182, 0.327273,0.218182, 0.363636,0.218182, 0.363636,0.072727, 0.218182,0.545455
69,0.246852, 0.438848,0.133222, 0.319732,0.192942, 0.353726,0.048235, 0.266443,0.757499
70,0.225503, 0.338255,0.273826, 0.365101,0.136913, 0.273826,0.112752, 0.273826,0.502013
71,0.388308, 0.503363,0.204373, 0.306559,0.112012, 0.224024,0.074675, 0.186687,0.441265
72,0.227245, 0.340867,0.251945, 0.419909,0.144868, 0.289737,0.083982, 0.241447,0.583920
73,0.215219, 0.358698,0.276710, 0.399693,0.145273, 0.290546,0.071740, 0.242121,0.582116
74,0.317881, 0.357616,0.317881, 0.370861,0.158940, 0.211921,0.105960, 0.158940,0.198675
75,0.239544, 0.425856,0.205323, 0.342205,0.136882, 0.273764,0.102662, 0.273764,0.631179
76,0.287519, 0.460030,0.160314, 0.320627,0.082662, 0.330647,0.055108, 0.303093,0.828795
