ó^Ç¶ÇΩèdóvìx,0.300000,0.400000,0.230000,0.330000,0.170000,0.270000,0.100000,0.200000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
1,0.333333, 0.354167,0.333333, 0.354167,0.166667, 0.194444,0.097222, 0.166667,0.138889
2,0.324675, 0.378247,0.256494, 0.324675,0.162338, 0.209957,0.087121, 0.256494,0.338745
3,0.400000, 0.400000,0.200000, 0.200000,0.200000, 0.200000,0.200000, 0.200000,0.000000
4,0.250000, 0.325000,0.250000, 0.296875,0.250000, 0.296875,0.081250, 0.250000,0.337500
5,0.322476, 0.355288,0.271474, 0.322476,0.177644, 0.271474,0.118429, 0.160737,0.219952
6,0.298115, 0.339782,0.255456, 0.298115,0.169891, 0.255456,0.127728, 0.255456,0.297619
7,0.422390, 0.436813,0.218407, 0.245192,0.218407, 0.236264,0.081731, 0.140797,0.118132
8,0.422222, 0.447222,0.211111, 0.227778,0.183333, 0.211111,0.113889, 0.183333,0.138889
9,0.345221, 0.395221,0.197610, 0.298346,0.149173, 0.345221,0.099449, 0.169761,0.417096
10,0.311786, 0.355264,0.268485, 0.311786,0.177632, 0.268485,0.103929, 0.202632,0.276336
11,0.275000, 0.316667,0.225000, 0.275000,0.275000, 0.316667,0.091667, 0.225000,0.266667
12,0.282353, 0.326471,0.326471, 0.351471,0.175735, 0.282353,0.108824, 0.146324,0.213235
13,0.292857, 0.304762,0.276190, 0.292857,0.292857, 0.304762,0.097619, 0.138095,0.080952
14,0.323915, 0.355661,0.177831, 0.280121,0.280121, 0.323915,0.093374, 0.165061,0.249518
15,0.302521, 0.350140,0.273109, 0.302521,0.175070, 0.273109,0.136555, 0.186975,0.225490
16,0.305634, 0.347301,0.249817, 0.305634,0.173650, 0.261722,0.106425, 0.249817,0.328947
17,0.275000, 0.316667,0.225000, 0.275000,0.275000, 0.316667,0.091667, 0.225000,0.266667
