No.,tL,tR
true,0.909091,1.111111
0,1.000000,1.000000
1,1.000000,1.000000
2,1.000000,1.000000
3,1.000000,1.000000
4,0.984112,1.016412
5,0.979354,1.021536
6,1.000000,1.000000
7,1.000000,1.000001
8,0.987653,1.012657
9,0.962034,1.041086
10,0.999999,1.000000
11,0.999999,1.000000
12,1.000000,1.000001
13,0.978026,1.022985
14,0.985507,1.014925
15,0.979353,1.021536
16,0.999999,1.000000
17,0.969582,1.032388
18,0.977054,1.024050
19,1.000000,1.000000
20,1.000000,1.000000
21,1.000000,1.000000
22,0.961832,1.041323
23,0.962034,1.041086
24,1.000000,1.000001
25,0.984112,1.016412
26,0.969582,1.032388
27,0.999999,1.000000
28,1.000000,1.000000
29,1.000000,1.000000
30,1.000000,1.000001
31,1.000000,1.000000
32,1.000000,1.000001
33,0.985507,1.014925
34,0.961832,1.041323
35,1.000000,1.000000
36,0.962034,1.041086
37,0.988235,1.012048
38,0.985507,1.014925
39,0.994476,1.005586
40,0.999999,1.000000
41,0.969582,1.032388
42,0.974544,1.026822
43,0.968382,1.033752
44,0.983606,1.016949
45,1.000000,1.000000
46,0.974079,1.027337
47,1.000000,1.000000
48,0.987653,1.012657
49,0.974079,1.027337
50,1.000000,1.000000
51,0.974079,1.027337
52,1.000000,1.000001
53,0.969582,1.032388
54,1.000000,1.000000
55,0.961282,1.041967
56,1.000000,1.000000
57,1.000000,1.000000
58,1.000000,1.000000
59,0.962034,1.041086
60,0.985507,1.014925
61,1.000000,1.000000
62,0.979354,1.021536
63,0.969582,1.032388
64,1.000000,1.000001
65,0.999999,1.000000
66,0.961832,1.041323
67,0.999999,1.000000
68,0.984804,1.015672
69,0.983606,1.016949
70,0.994476,1.005586
71,0.962034,1.041086
72,0.974079,1.027337
73,0.999999,1.000000
74,0.979354,1.021536
75,0.999999,1.000000
76,1.000000,1.000000
77,1.000000,1.000000
78,0.961832,1.041323
79,1.000000,1.000000
80,1.000000,1.000000
81,1.000000,1.000000
82,0.983606,1.016949
83,0.952381,1.052632
84,1.000000,1.000000
85,1.000000,1.000000
86,0.999999,1.000000
87,0.983606,1.016949
88,0.979354,1.021536
89,1.000000,1.000001
90,1.000000,1.000000
91,0.967742,1.034483
92,1.000000,1.000000
93,1.000000,1.000000
94,0.964441,1.038279
95,1.000000,1.000000
96,0.974079,1.027337
97,0.983606,1.016949
98,0.952381,1.052632
99,0.979354,1.021536
100,0.999999,1.000000
101,1.000000,1.000000
102,0.994476,1.005586
103,0.985507,1.014925
104,0.985507,1.014925
105,0.961832,1.041323
106,0.962034,1.041086
107,1.000000,1.000000
108,1.000000,1.000000
109,0.966241,1.036204
110,0.999999,1.000000
111,0.983606,1.016949
112,1.000000,1.000001
113,0.987653,1.012657
114,1.000000,1.000000
115,1.000000,1.000001
116,0.969582,1.032388
117,0.985507,1.014925
118,0.964441,1.038279
119,0.984112,1.016412
120,1.000000,1.000000
121,1.000000,1.000000
122,0.969582,1.032388
123,0.984112,1.016412
124,0.983606,1.016949
125,1.000000,1.000000
126,0.978261,1.022727
127,0.992867,1.007235
128,0.983606,1.016949
129,0.966628,1.035760
130,1.000000,1.000000
131,0.999999,1.000000
132,1.000000,1.000001
133,1.000000,1.000000
134,0.985507,1.014925
135,0.979591,1.021276
136,0.966629,1.035759
137,0.984112,1.016412
138,1.000000,1.000000
139,1.000000,1.000000
140,1.000000,1.000000
141,0.966241,1.036204
142,1.000000,1.000001
143,0.962034,1.041086
144,0.983606,1.016949
145,0.983606,1.016949
146,0.966628,1.035760
147,0.999999,1.000000
148,1.000000,1.000000
149,0.971020,1.030763
150,1.000000,1.000000
151,1.000000,1.000000
152,0.999999,1.000000
153,0.987013,1.013333
154,0.999999,1.000000
155,1.000000,1.000000
156,1.000000,1.000000
157,0.969582,1.032388
158,1.000000,1.000001
159,0.968769,1.033313
160,0.962034,1.041086
161,0.976537,1.024620
162,1.000000,1.000000
163,0.979354,1.021536
164,0.999999,1.000000
165,0.974290,1.027104
166,0.962034,1.041086
167,0.974290,1.027104
168,1.000000,1.000000
169,1.000000,1.000000
170,0.982923,1.017682
171,0.985222,1.015228
172,0.971020,1.030763
173,1.000000,1.000000
174,1.000000,1.000000
175,1.000000,1.000000
176,0.962034,1.041086
177,0.969800,1.032140
178,1.000000,1.000000
179,0.983606,1.016949
180,1.000000,1.000000
181,0.978261,1.022727
182,1.000000,1.000000
183,0.999999,1.000000
184,1.000000,1.000000
185,0.999999,1.000000
186,0.974079,1.027337
187,0.984112,1.016412
188,0.985507,1.014925
189,0.985507,1.014925
190,0.984804,1.015672
191,0.999999,1.000000
192,1.000000,1.000001
193,1.000000,1.000001
194,1.000000,1.000000
195,1.000000,1.000000
196,0.974290,1.027104
197,0.967742,1.034483
198,1.000000,1.000001
199,1.000000,1.000001
200,0.969582,1.032388
201,0.973508,1.027975
202,0.978026,1.022983
203,0.952381,1.052632
204,0.985507,1.014925
205,0.999999,1.000001
206,0.952381,1.052632
207,0.983606,1.016949
208,0.985507,1.014925
209,0.979354,1.021536
210,0.985507,1.014925
211,1.000000,1.000000
212,1.000000,1.000000
213,1.000000,1.000000
214,1.000000,1.000001
215,0.984112,1.016412
216,0.978026,1.022985
217,0.969582,1.032388
218,0.985185,1.015268
219,0.978026,1.022985
220,1.000000,1.000001
221,1.000000,1.000000
222,1.000000,1.000000
223,0.999999,1.000000
224,1.000000,1.000000
225,1.000000,1.000000
226,1.000000,1.000001
227,1.000000,1.000000
228,0.983606,1.016949
229,0.968382,1.033752
230,0.982923,1.017682
231,0.983606,1.016949
232,1.000000,1.000000
233,1.000000,1.000001
234,0.978026,1.022983
235,1.000000,1.000000
236,0.974079,1.027337
237,1.000000,1.000000
238,0.987013,1.013333
239,0.993630,1.006451
240,1.000000,1.000000
241,0.979591,1.021276
242,0.974079,1.027337
243,1.000000,1.000000
244,0.984615,1.015873
245,0.969582,1.032388
246,0.983606,1.016949
247,0.964441,1.038279
248,0.983606,1.016949
249,0.974079,1.027337
250,0.966628,1.035760
251,0.983606,1.016949
252,0.961832,1.041323
253,1.000000,1.000000
254,0.978026,1.022983
255,1.000000,1.000001
256,0.968769,1.033313
257,1.000000,1.000000
258,0.962034,1.041086
259,1.000000,1.000000
260,0.974079,1.027337
261,0.985507,1.014925
262,0.974079,1.027337
263,0.961832,1.041323
264,1.000000,1.000000
265,0.985507,1.014925
266,0.983606,1.016949
267,1.000000,1.000000
268,1.000000,1.000000
269,0.974290,1.027104
270,1.000000,1.000001
271,0.987653,1.012657
272,0.984804,1.015672
273,1.000000,1.000001
274,0.978261,1.022727
275,1.000000,1.000000
276,1.000000,1.000001
277,1.000000,1.000000
278,1.000000,1.000000
279,0.984112,1.016412
280,1.000000,1.000000
281,0.979354,1.021536
282,0.983606,1.016949
283,0.983606,1.016949
284,1.000000,1.000000
285,0.999999,1.000000
286,1.000000,1.000000
287,0.964441,1.038279
288,1.000000,1.000001
289,0.987013,1.013333
290,1.000000,1.000000
291,0.952381,1.052632
292,0.979353,1.021536
293,0.961282,1.041967
294,1.000000,1.000000
295,0.979353,1.021536
296,1.000000,1.000000
297,0.983606,1.016949
298,0.964441,1.038279
299,1.000000,1.000000
300,1.000000,1.000001
301,0.969582,1.032388
302,0.999999,1.000000
303,0.968769,1.033313
304,0.968769,1.033313
305,0.983606,1.016949
306,0.985507,1.014925
307,1.000000,1.000000
308,1.000000,1.000001
309,0.962034,1.041086
310,0.999999,1.000000
311,0.974079,1.027337
312,1.000000,1.000001
313,0.984804,1.015672
314,1.000000,1.000001
315,1.000000,1.000000
316,0.999999,1.000000
317,0.962034,1.041086
318,1.000000,1.000000
319,0.962034,1.041086
320,0.999999,1.000000
321,0.984112,1.016412
322,0.993632,1.006452
323,0.984112,1.016412
324,1.000000,1.000001
325,0.984112,1.016412
326,0.962034,1.041086
327,1.000000,1.000001
328,0.999999,1.000000
329,0.961874,1.041274
330,0.999999,1.000000
331,0.984112,1.016412
332,1.000000,1.000000
333,0.984804,1.015672
334,0.954361,1.050224
335,0.999999,1.000000
336,1.000000,1.000000
337,0.979353,1.021536
338,1.000000,1.000001
339,0.987653,1.012657
340,1.000000,1.000001
341,1.000000,1.000001
342,1.000000,1.000000
343,1.000000,1.000000
344,1.000000,1.000000
345,1.000000,1.000000
346,1.000000,1.000000
347,0.983606,1.016949
348,0.966241,1.036204
349,1.000000,1.000000
350,1.000000,1.000001
351,1.000000,1.000001
352,1.000000,1.000001
353,1.000000,1.000000
354,0.985507,1.014925
355,0.999999,1.000000
356,1.000000,1.000000
357,0.977054,1.024050
358,0.999999,1.000000
359,1.000000,1.000000
360,0.982559,1.018071
361,1.000000,1.000000
362,0.969582,1.032388
363,1.000000,1.000001
364,0.979354,1.021536
365,0.954361,1.050224
366,0.962034,1.041086
367,1.000000,1.000001
368,1.000000,1.000000
369,0.984112,1.016412
370,0.979354,1.021536
371,1.000000,1.000000
372,0.984112,1.016412
373,1.000000,1.000000
374,0.999999,1.000000
375,0.971020,1.030763
376,0.974079,1.027337
377,0.999999,1.000000
378,0.974079,1.027337
379,0.967742,1.034483
380,1.000000,1.000000
381,0.994476,1.005586
382,1.000000,1.000000
383,0.974079,1.027337
384,0.999999,1.000000
385,0.979354,1.021536
386,1.000000,1.000000
387,1.000000,1.000000
388,0.984112,1.016412
389,0.993632,1.006452
390,1.000000,1.000000
391,0.964441,1.038279
392,0.964441,1.038279
393,0.974079,1.027337
394,1.000000,1.000000
395,0.962034,1.041086
396,0.979353,1.021536
397,0.952381,1.052632
398,1.000000,1.000000
399,1.000000,1.000001
400,0.966241,1.036204
401,1.000000,1.000000
402,1.000000,1.000001
403,1.000000,1.000001
404,1.000000,1.000000
