ó^Ç¶ÇΩèdóvìx,0.300000,0.400000,0.230000,0.330000,0.170000,0.270000,0.100000,0.200000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
1,0.326473, 0.333521,0.326473, 0.333521,0.165920, 0.233243,0.113811, 0.167037,0.134646
2,0.353602, 0.365520,0.204428, 0.365274,0.172048, 0.224868,0.109077, 0.205184,0.321691
3,0.400000, 0.400000,0.200000, 0.200000,0.200000, 0.200000,0.200000, 0.200000,0.000000
4,0.244793, 0.469218,0.215366, 0.255309,0.215366, 0.255309,0.100050, 0.244589,0.448849
5,0.315773, 0.415936,0.239771, 0.315773,0.206184, 0.258933,0.119702, 0.127928,0.237141
6,0.284866, 0.401425,0.193683, 0.291594,0.189674, 0.295611,0.137844, 0.205302,0.387865
7,0.372534, 0.463650,0.209574, 0.289807,0.221757, 0.223431,0.095068, 0.124178,0.202133
8,0.424406, 0.427163,0.206637, 0.255830,0.169981, 0.219121,0.126881, 0.169981,0.144190
9,0.273984, 0.438194,0.212559, 0.389342,0.194671, 0.301793,0.093506, 0.095950,0.450559
10,0.313866, 0.344009,0.246901, 0.386106,0.158902, 0.246901,0.124793, 0.178523,0.311078
11,0.298335, 0.319387,0.175962, 0.305435,0.298335, 0.319387,0.097895, 0.185263,0.258947
12,0.263458, 0.339623,0.320279, 0.396534,0.196666, 0.263458,0.109635, 0.110347,0.219923
13,0.299676, 0.310322,0.250084, 0.303635,0.299676, 0.310322,0.097013, 0.129273,0.107102
14,0.306865, 0.416845,0.202621, 0.307461,0.235612, 0.308782,0.091427, 0.130388,0.326951
15,0.283139, 0.396275,0.274823, 0.286874,0.193357, 0.284683,0.135544, 0.145304,0.226272
16,0.295046, 0.448474,0.184516, 0.298202,0.213438, 0.253597,0.107270, 0.199457,0.399461
17,0.298335, 0.319387,0.175962, 0.305435,0.298335, 0.319387,0.097895, 0.185263,0.258947
18,0.320884, 0.414571,0.235568, 0.328189,0.160991, 0.238957,0.131616, 0.169224,0.301881
19,0.311008, 0.466732,0.230089, 0.368868,0.168194, 0.208027,0.086096, 0.160986,0.409225
20,0.270883, 0.367361,0.194083, 0.291593,0.279168, 0.282792,0.120038, 0.194083,0.271656
21,0.331850, 0.458556,0.219082, 0.245290,0.219082, 0.245290,0.103279, 0.177569,0.253412
22,0.373027, 0.402997,0.196715, 0.336868,0.186513, 0.201499,0.103592, 0.198789,0.280305
23,0.264312, 0.400979,0.290903, 0.304194,0.196403, 0.317919,0.092618, 0.132672,0.311527
24,0.313866, 0.344009,0.246901, 0.386106,0.158902, 0.246901,0.124793, 0.178523,0.311078
25,0.292138, 0.356587,0.297666, 0.299598,0.239577, 0.306225,0.088422, 0.119788,0.164395
26,0.315773, 0.415936,0.239771, 0.315773,0.206184, 0.258933,0.119702, 0.127928,0.237141
27,0.320884, 0.414571,0.235568, 0.328189,0.160991, 0.238957,0.131616, 0.169224,0.301881
28,0.412966, 0.420845,0.207975, 0.306351,0.167940, 0.216492,0.099491, 0.167940,0.223257
29,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
30,0.354788, 0.358090,0.283481, 0.367981,0.167662, 0.219485,0.106773, 0.141740,0.174592
31,0.274303, 0.286432,0.281932, 0.342100,0.274303, 0.286432,0.109295, 0.145205,0.120336
32,0.270883, 0.367361,0.194083, 0.291593,0.279168, 0.282792,0.120038, 0.194083,0.271656
33,0.424406, 0.427163,0.206637, 0.255830,0.169981, 0.219121,0.126881, 0.169981,0.144190
34,0.283139, 0.396275,0.193357, 0.284683,0.274823, 0.286874,0.135544, 0.145304,0.226272
35,0.290900, 0.304192,0.264315, 0.400989,0.196404, 0.317911,0.092621, 0.132669,0.311520
36,0.315960, 0.333973,0.315960, 0.333973,0.165362, 0.281523,0.086557, 0.166692,0.232323
37,0.313866, 0.344009,0.246901, 0.386106,0.158902, 0.246901,0.124793, 0.178523,0.311078
38,0.263616, 0.428775,0.214388, 0.356701,0.145375, 0.264243,0.159122, 0.167780,0.434998
39,0.283139, 0.396275,0.274823, 0.286874,0.193357, 0.284683,0.135544, 0.145304,0.226272
40,0.374917, 0.474807,0.230956, 0.309178,0.135114, 0.187459,0.135173, 0.152396,0.247678
41,0.328192, 0.397581,0.318693, 0.333465,0.156710, 0.169369,0.127016, 0.168975,0.138779
42,0.320884, 0.414571,0.235568, 0.328189,0.160991, 0.238957,0.131616, 0.169224,0.301881
43,0.355930, 0.481792,0.235710, 0.354730,0.134378, 0.180700,0.105441, 0.151319,0.337083
44,0.343994, 0.413243,0.241262, 0.361496,0.147335, 0.244007,0.087484, 0.161180,0.359851
45,0.331266, 0.345356,0.238801, 0.337047,0.166054, 0.243166,0.165633, 0.172678,0.196493
46,0.315160, 0.427407,0.225807, 0.339254,0.162400, 0.164507,0.139659, 0.225807,0.313952
47,0.267552, 0.345340,0.275830, 0.390765,0.190906, 0.278902,0.111599, 0.139107,0.308227
48,0.248076, 0.347680,0.241336, 0.251198,0.241336, 0.251198,0.169648, 0.249529,0.199209
49,0.271601, 0.454425,0.212175, 0.391797,0.180878, 0.277088,0.106019, 0.106019,0.458657
50,0.275826, 0.390747,0.267564, 0.345345,0.190899, 0.278912,0.111592, 0.139115,0.308238
51,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
52,0.275826, 0.390747,0.267564, 0.345345,0.190899, 0.278912,0.111592, 0.139115,0.308238
53,0.285714, 0.285714,0.285714, 0.285714,0.285714, 0.285714,0.142857, 0.142857,0.000000
54,0.320884, 0.414571,0.235568, 0.328189,0.160991, 0.238957,0.131616, 0.169224,0.301881
55,0.283476, 0.367976,0.354790, 0.358089,0.167664, 0.219490,0.106776, 0.141738,0.174587
56,0.329765, 0.460642,0.224760, 0.331375,0.157299, 0.169430,0.157299, 0.169430,0.261754
57,0.389212, 0.401199,0.194606, 0.200599,0.198341, 0.279699,0.136484, 0.199861,0.162716
58,0.389212, 0.401199,0.194606, 0.200599,0.198341, 0.279699,0.136484, 0.199861,0.162716
59,0.335343, 0.419371,0.258311, 0.335343,0.189910, 0.260816,0.100076, 0.100831,0.232721
60,0.246892, 0.386109,0.313861, 0.344021,0.158903, 0.246892,0.124791, 0.178532,0.311106
61,0.283139, 0.396275,0.274823, 0.286874,0.193357, 0.284683,0.135544, 0.145304,0.226272
62,0.372534, 0.463650,0.209574, 0.289807,0.221757, 0.223431,0.095068, 0.124178,0.202133
63,0.284866, 0.401425,0.193683, 0.291594,0.189674, 0.295611,0.137844, 0.205302,0.387865
64,0.320884, 0.414571,0.235568, 0.328189,0.160991, 0.238957,0.131616, 0.169224,0.301881
65,0.281934, 0.342098,0.274304, 0.286431,0.274304, 0.286431,0.109294, 0.145204,0.120328
66,0.395505, 0.451669,0.220483, 0.233606,0.220483, 0.233606,0.107364, 0.137284,0.112329
67,0.273015, 0.401690,0.270870, 0.276041,0.197291, 0.328936,0.109645, 0.142511,0.298356
